target_id	tau	highest	order
lcl|NW_011623728.1_mrna_XM_011054566.1_1	0.796783563939728	heads	heads|brain
lcl|NW_011624586.1_ncrna_XR_846910.1_2	1	brain	brain
lcl|NW_011624727.1_mrna_XM_011069933.1_3	0.214738090030076	heads	heads|brain
lcl|NW_011624860.1_mrna_XM_011050785.1_4	1	brain	brain
lcl|NW_011624872.1_mrna_XM_011051941.1_5	1	heads	heads
lcl|NW_011625353.1_mrna_XM_011053060.1_6	0.753125103004981	brain	brain|heads
lcl|NW_011625419.1_mrna_XM_011054215.1_7	0.693011505698197	heads	heads|brain
lcl|NW_011625430.1_mrna_XM_011055343.1_8	0.762911105950634	heads	heads|brain
lcl|NW_011625696.1_mrna_XM_011057713.1_9	0.461306376177864	heads	heads|brain
lcl|NW_011625781.1_mrna_XM_011058873.1_10	0.970909218343499	brain	brain|heads
lcl|NW_011625949.1_mrna_XM_011062367.1_11	0.998376864389624	heads	heads|brain
lcl|NW_011625970.1_mrna_XM_011063536.1_12	0.372872993411006	brain	brain|heads
lcl|NW_011626003.1_mrna_XM_011064707.1_13	1	brain	brain
lcl|NW_011626056.1_mrna_XM_011065862.1_14	0.711032056979191	heads	heads|brain
lcl|NW_011626079.1_ncrna_XR_846969.1_15	0.567747369425565	brain	brain|heads
lcl|NW_011626117.1_ncrna_XR_847052.1_16	0.850774644687246	brain	brain|heads
lcl|NW_011626120.1_mrna_XM_011068524.1_17	0.721282776304158	heads	heads|brain
lcl|NW_011626159.1_mrna_XM_011069491.1_18	0.655342835386949	heads	heads|brain
lcl|NW_011626164.1_mrna_XM_011069602.1_19	0.523640047609679	brain	brain|heads
lcl|NW_011626168.1_ncrna_XR_847172.1_20	0.566041323207037	brain	brain|heads
lcl|NW_011626187.1_mrna_XM_011069818.1_21	0.543509154478451	heads	heads|brain
lcl|NW_011626194.1_mrna_XM_011069934.1_22	0.561052495824259	heads	heads|brain
lcl|NW_011626205.1_mrna_XM_011070057.1_23	0.932983714512811	heads	heads|brain
lcl|NW_011626208.1_mrna_XM_011070177.1_24	0.792644033435214	brain	brain|heads
lcl|NW_011626220.1_mrna_XM_011070389.1_25	0.586102057975997	heads	heads|brain
lcl|NW_011626221.1_mrna_XM_011070500.1_26	0.753722404220296	brain	brain|heads
lcl|NW_011626222.1_mrna_XM_011070601.1_27	0.982221851332551	brain	brain|heads
lcl|NW_011626239.1_mrna_XM_011070709.1_28	1	brain	brain
lcl|NW_011626243.1_mrna_XM_011070824.1_29	0.818586598286346	brain	brain|heads
lcl|NW_011626245.1_mrna_XM_011070931.1_30	0.297961632900514	brain	brain|heads
lcl|NW_011626261.1_mrna_XM_011050786.1_31	0.457349341976211	brain	brain|heads
lcl|NW_011626283.1_ncrna_XR_845635.1_33	0.997611088628584	brain	brain|heads
lcl|NW_011626283.1_ncrna_XR_845637.1_34	0.998034385258042	brain	brain|heads
lcl|NW_011626283.1_ncrna_XR_845642.1_32	0.368142938983125	heads	heads|brain
lcl|NW_011626283.1_ncrna_XR_845649.1_35	1	brain	brain
lcl|NW_011626283.1_ncrna_XR_845664.1_36	1	brain	brain
lcl|NW_011626290.1_mrna_XM_011051118.1_37	0.97672939488039	heads	heads|brain
lcl|NW_011626291.1_mrna_XM_011051238.1_38	0.900831345856936	brain	brain|heads
lcl|NW_011626294.1_mrna_XM_011051359.1_39	0.962050134182362	brain	brain|heads
lcl|NW_011626302.1_mrna_XM_011051468.1_40	0.809410290397108	heads	heads|brain
lcl|NW_011626310.1_mrna_XM_011051602.1_41	0.974646772320267	brain	brain|heads
lcl|NW_011626321.1_ncrna_XR_845717.1_42	NA	NA	NA
lcl|NW_011626324.1_mrna_XM_011051790.1_43	1	brain	brain
lcl|NW_011626327.1_mrna_XM_011051905.1_44	0.886192809859433	heads	heads|brain
lcl|NW_011626331.1_mrna_XM_011052023.1_45	0.30425837283632	brain	brain|heads
lcl|NW_011626337.1_mrna_XM_011052136.1_47	0.798148919211058	brain	brain|heads
lcl|NW_011626337.1_mrna_XM_011052198.1_46	0.521163493960315	heads	heads|brain
lcl|NW_011626340.1_mrna_XM_011052299.1_48	0.623367192834968	heads	heads|brain
lcl|NW_011626340.1_mrna_XM_011052375.1_49	0.698817606347403	heads	heads|brain
lcl|NW_011626340.1_mrna_XM_011052497.1_51	0.840823392184915	heads	heads|brain
lcl|NW_011626340.1_mrna_XM_011052580.1_50	0.90281552566838	heads	heads|brain
lcl|NW_011626343.1_mrna_XM_011052664.1_52	1	brain	brain
lcl|NW_011626350.1_mrna_XM_011052898.1_53	0.653885084231053	brain	brain|heads
lcl|NW_011626354.1_mrna_XM_011053017.1_54	0.919048810293599	brain	brain|heads
lcl|NW_011626355.1_mrna_XM_011053145.1_55	1	brain	brain
lcl|NW_011626359.1_mrna_XM_011053261.1_56	0.952815782467446	heads	heads|brain
lcl|NW_011626359.1_mrna_XM_011053318.1_57	0.895764978455225	heads	heads|brain
lcl|NW_011626361.1_mrna_XM_011053429.1_58	0.182877916062636	brain	brain|heads
lcl|NW_011626363.1_mrna_XM_011053548.1_59	0.873320483016971	brain	brain|heads
lcl|NW_011626364.1_mrna_XM_011053661.1_60	0.766967719051284	brain	brain|heads
lcl|NW_011626373.1_mrna_XM_011053850.1_62	0.918176379219747	brain	brain|heads
