Surrogate variable	Sample group	BioProject	Library layout	Library selection	Instrument	Mapping rate	Log10 total reads	Log10 total bases
SV1	-0.00750452895404674	-0.00492143070698048	-0.00492143070698048	-0.00492143070698048	-0.00492143070698048	-0.00112128928752897	-0.001211155513416	-0.00151806780659425
SV2	-0.0101452165803337	-0.004562382772618	-0.004562382772618	-0.004562382772618	-0.004562382772618	-0.00551177360008581	-0.0018003734428258	-0.00141464803254787
SV3	-0.010708415582261	-0.0055259546262556	-0.0055259546262556	-0.0055259546262556	-0.0055259546262556	-0.00294390017814328	-0.000337767111822096	-3.0406034839503e-05
SV4	-0.0106576359842916	-0.00503500540198809	-0.00503500540198809	-0.00503500540198809	-0.00503500540198809	0.0579593738504279	-0.00498907104126478	-0.00499389922432014
SV5	-0.00800554171190559	-0.00277393295239903	-0.00277393295239903	-0.00277393295239903	-0.00277393295239903	0.120565187353369	0.0263807455561729	0.0261508893480005
SV6	-0.0107681731469975	-0.00561775334773018	-0.00561775334773018	-0.00561775334773018	-0.00561775334773018	0.0729167943604914	-0.00561696515840837	-0.00561794967940998
SV7	-0.00921534118155898	-0.00551604232661496	-0.00551604232661496	-0.00551604232661496	-0.00551604232661496	0.0665551627964824	0.057321812809686	0.0592776776182444
SV8	-0.0110429335249254	-0.00539529260709237	-0.00539529260709237	-0.00539529260709237	-0.00539529260709237	0.00528528284417307	0.022297456495716	0.0229814018395907
SV9	-0.0107605256495056	-0.00552692913612685	-0.00552692913612685	-0.00552692913612685	-0.00552692913612685	0.000780465167889322	-0.00296839579673014	-0.00307196730519199
SV10	-0.010966761354374	-0.00545847653572173	-0.00545847653572173	-0.00545847653572173	-0.00545847653572173	0.0503625277909612	-0.00545644040676341	-0.00544449911412381
SV11	-0.0103644791667377	-0.0054865815067715	-0.0054865815067715	-0.0054865815067715	-0.0054865815067715	0.00157678417791374	-0.000614725312118924	-0.000417955772059386
SV12	-0.00803605966440912	-0.0035819781334212	-0.0035819781334212	-0.0035819781334212	-0.0035819781334212	-0.00551464814374003	-0.00414080494406366	-0.00434208024807892
SV13	0.00400343163845185	-0.00557613514247302	-0.00557613514247302	-0.00557613514247302	-0.00557613514247302	-0.00561651394829887	-0.00427517964466118	-0.00430705258217556
SV14	-0.00828879941121374	-0.00267290975445844	-0.00267290975445844	-0.00267290975445844	-0.00267290975445844	0.0120533310678512	0.0573318492884185	0.0625665754806157
SV15	0.0468499920937145	0.0129626307927815	0.0129626307927815	0.0129626307927814	0.0129626307927814	-0.00190621314066086	0.0104776216970964	0.0140870579919187
SV16	0.0513979972482851	0.0132899598781206	0.0132899598781206	0.0132899598781208	0.0132899598781208	0.0866913573376119	0.0225011632956083	0.0275870782944276
