Surrogate variable	Sample group	BioProject	Library layout	Library selection	Instrument	Mapping rate	Log10 total reads	Log10 total bases
SV1	-0.0157395824253879	-0.005781380909468	-0.005781380909468	-0.005781380909468	-0.005781380909468	-0.00352712076410033	-0.00689564122529962	-0.00749755017555742
SV2	0.00408008825862016	0.013079325601926	0.013079325601926	0.013079325601926	0.013079325601926	0.0301658536139361	0.0421597657597862	0.0503408426972359
SV3	-0.0160619012067202	-0.00764437624222425	-0.00764437624222425	-0.00764437624222425	-0.00764437624222425	0.00234781875557122	0.00619394176498989	0.00764956612181189
SV4	-0.0184349846475147	-0.00965882403398965	-0.00965882403398965	-0.00965882403398988	-0.00965882403398988	-0.00955401292504088	0.00459415298057553	0.00488076371946067
SV5	-0.0130659988416575	-0.00331334381706827	-0.00331334381706827	-0.00331334381706827	-0.00331334381706827	-0.00174734746627436	-0.00315548738743332	-0.00387260415241863
SV6	-0.0161686176901148	-0.00778549311270127	-0.00778549311270127	-0.00778549311270127	-0.00778549311270127	0.179030665553603	0.0226324942033383	0.0224405802301089
SV7	-0.00485473049293272	-0.00644525915005256	-0.00644525915005256	-0.00644525915005256	-0.00644525915005256	0.0306565214548475	0.0653190718282256	0.0713809534832692
SV8	0.10508517486196	0.0702459330526306	0.0702459330526306	0.0702459330526302	0.0702459330526302	0.0533055873282902	-0.000822552539996302	-0.00485640796131026
SV9	0.145482000079589	0.0924803913434572	0.0924803913434572	0.0924803913434575	0.0924803913434575	-0.00724858154081143	0.0237492033671873	0.0145086519415677
SV10	0.0714333678876515	0.0660657722218813	0.0660657722218813	0.0660657722218821	0.0660657722218821	0.00720024438305844	-0.0087346839755329	-0.00624992201696317
SV11	0.0706409127505103	0.0603223921028552	0.0603223921028552	0.0603223921028545	0.0603223921028545	0.104933857148448	0.0192809359855644	0.0290706071099722
SV12	-0.00549508415923095	-0.000438891591336477	-0.000438891591336477	-0.000438891591336477	-0.000438891591336477	-0.0076194242944887	-0.00966062702547044	-0.00979160075664032
