scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	geo_loc_name	collection_date	isolate	breed	replicate	isolation_source	caste	collected_by	dev_stage	colony	biosamplemodel	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Atta cephalotes	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430724	SRX27489944	SRR32143951	SRA2062353	SRS23911834	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759834: Acep_Sol_5; Atta cephalotes; RNA-Seq		Acep_Sol_5		GSM8759834	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	60458615	18258501730	6228542182								Biology, University of Florida	SUB15042868	40849535	12957	2025-06-23 14:45:36	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143951/SRR32143951.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143951/SRR32143951	gs://sra-pub-zq-107/SRR32143951/SRR32143951.lite.1	missing	missing										2759	33208	6656	50557	7399	36668	12956	12957	Atta cephalotes
Atta cephalotes	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430725	SRX27489943	SRR32143952	SRA2062353	SRS23911832	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759833: Acep_Sol_4; Atta cephalotes; RNA-Seq		Acep_Sol_4		GSM8759833	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	29360411	8866844122	3051600216								Biology, University of Florida	SUB15042868	40849535	12957	2025-06-23 14:45:36	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143952/SRR32143952.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143952/SRR32143952	gs://sra-pub-zq-107/SRR32143952/SRR32143952.lite.1	missing	missing										2759	33208	6656	50557	7399	36668	12956	12957	Atta cephalotes
Atta cephalotes	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430726	SRX27489942	SRR32143956	SRA2062353	SRS23911833	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759832: Acep_Sol_3; Atta cephalotes; RNA-Seq		Acep_Sol_3		GSM8759832	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	100084301	30225458902	10291599588								Biology, University of Florida	SUB15042868	40849535	12957	2025-06-23 14:45:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143956/SRR32143956.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143956/SRR32143956	gs://sra-pub-zq-107/SRR32143956/SRR32143956.lite.1	missing	missing										2759	33208	6656	50557	7399	36668	12956	12957	Atta cephalotes
Atta cephalotes	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430727	SRX27489941	SRR32143953	SRA2062353	SRS23911831	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759831: Acep_Sol_2; Atta cephalotes; RNA-Seq		Acep_Sol_2		GSM8759831	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	55048637	16624688374	5682424734								Biology, University of Florida	SUB15042868	40849535	12957	2025-06-23 14:45:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143953/SRR32143953.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143953/SRR32143953	gs://sra-pub-zq-107/SRR32143953/SRR32143953.lite.1	missing	missing										2759	33208	6656	50557	7399	36668	12956	12957	Atta cephalotes
Atta cephalotes	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430728	SRX27489940	SRR32143954	SRA2062353	SRS23911830	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759830: Acep_Sol_1; Atta cephalotes; RNA-Seq		Acep_Sol_1		GSM8759830	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	61895958	18692579316	6338565801								Biology, University of Florida	SUB15042868	40849535	12957	2025-06-23 14:45:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143954/SRR32143954.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143954/SRR32143954	gs://sra-pub-zq-107/SRR32143954/SRR32143954.lite.1	missing	missing										2759	33208	6656	50557	7399	36668	12956	12957	Atta cephalotes
Atta cephalotes	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430729	SRX27489939	SRR32143955	SRA2062353	SRS23911829	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759829: Acep_Mi_5; Atta cephalotes; RNA-Seq		Acep_Mi_5		GSM8759829	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	19325662	5836349924	2023542649								Biology, University of Florida	SUB15042868	40849535	12957	2025-06-23 14:45:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143955/SRR32143955.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143955/SRR32143955	gs://sra-pub-zq-107/SRR32143955/SRR32143955.lite.1	missing	missing										2759	33208	6656	50557	7399	36668	12956	12957	Atta cephalotes
Atta cephalotes	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430730	SRX27489938	SRR32143957	SRA2062353	SRS23911827	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759828: Acep_Mi_4; Atta cephalotes; RNA-Seq		Acep_Mi_4		GSM8759828	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	27978315	8449451130	2913160770								Biology, University of Florida	SUB15042868	40849535	12957	2025-06-23 14:45:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143957/SRR32143957.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143957/SRR32143957	gs://sra-pub-zq-107/SRR32143957/SRR32143957.lite.1	missing	missing										2759	33208	6656	50557	7399	36668	12956	12957	Atta cephalotes
Atta cephalotes	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430731	SRX27489937	SRR32143958	SRA2062353	SRS23911828	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759827: Acep_Mi_3; Atta cephalotes; RNA-Seq		Acep_Mi_3		GSM8759827	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	41537141	12544216582	4306077921								Biology, University of Florida	SUB15042868	40849535	12957	2025-06-23 14:45:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143958/SRR32143958.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143958/SRR32143958	gs://sra-pub-zq-107/SRR32143958/SRR32143958.lite.1	missing	missing										2759	33208	6656	50557	7399	36668	12956	12957	Atta cephalotes
Atta cephalotes	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430732	SRX27489936	SRR32143959	SRA2062353	SRS23911825	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759826: Acep_Mi_2; Atta cephalotes; RNA-Seq		Acep_Mi_2		GSM8759826	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	27585125	8330707750	2847245064								Biology, University of Florida	SUB15042868	40849535	12957	2025-06-23 14:45:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143959/SRR32143959.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143959/SRR32143959	gs://sra-pub-zq-107/SRR32143959/SRR32143959.lite.1	missing	missing										2759	33208	6656	50557	7399	36668	12956	12957	Atta cephalotes
Atta cephalotes	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430733	SRX27489935	SRR32143960	SRA2062353	SRS23911826	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759825: Acep_Mi_1; Atta cephalotes; RNA-Seq		Acep_Mi_1		GSM8759825	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	27527761	8313383822	2855582545								Biology, University of Florida	SUB15042868	40849535	12957	2025-06-23 14:45:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143960/SRR32143960.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143960/SRR32143960	gs://sra-pub-zq-107/SRR32143960/SRR32143960.lite.1	missing	missing										2759	33208	6656	50557	7399	36668	12956	12957	Atta cephalotes
