scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	isolate	breed	isolation_source	collection_date	geo_loc_name	biosamplemodel	developmental_stage	colony	collected_by	dev_stage	lat_lon	replicate	read	host	behavioral_caste	morphological_caste	zeitgeber_time	caste	assay	target	morphology	treatment_duration	foundress_origin	modification	antibody_vendor	strain	sample_type	gender	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Camponotus floridanus	embryo	embryo								no		PRJNA1370284	SAMN53424533	SRX31253586	SRR36217482	SRA2285425	SRS27232722	SRP649457	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Each sample consists of 10 or more whole embryos obtained from 4 ant colonies			CflStg5_Sample3	paired	RNA-Seq	TRANSCRIPTOMIC	other	Illumina NovaSeq 6000	32093434	9628030200	2946480653								Beykoz Institute of Life Science and Biotechnology	SUB15796738		104421	2025-11-27 02:58:55	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR036/36217/SRR36217482/SRR36217482.lite.1	s3://sra-pub-zq-3/SRR36217482/SRR36217482.lite.1	gs://sra-pub-zq-101/SRR36217482/SRR36217482.lite.1	Colony 4,5,7,&9	floridanus	embryo9	2020-07-18	USA: Florida	Invertebrate																							2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	embryo	embryo								no		PRJNA1370284	SAMN53424532	SRX31253585	SRR36217483	SRA2285425	SRS27232721	SRP649457	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Each sample consists of 10 or more whole embryos obtained from 4 ant colonies			CflStg5_Sample2	paired	RNA-Seq	TRANSCRIPTOMIC	other	Illumina NovaSeq 6000	29413378	8824013400	2698413785								Beykoz Institute of Life Science and Biotechnology	SUB15796738		104421	2025-11-27 02:58:55	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR036/36217/SRR36217483/SRR36217483.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR36217483/SRR36217483	gs://sra-pub-zq-101/SRR36217483/SRR36217483.lite.1	Colony 4,5,7,&9	floridanus	embryo8	2020-07-17	USA: Florida	Invertebrate																							2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	embryo	embryo								no		PRJNA1370284	SAMN53424531	SRX31253584	SRR36217484	SRA2285425	SRS27232720	SRP649457	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Each sample consists of 10 or more whole embryos obtained from 4 ant colonies			Cflstg5_Sample1	paired	RNA-Seq	TRANSCRIPTOMIC	other	Illumina NovaSeq 6000	15174269	4552280700	1502654338								Beykoz Institute of Life Science and Biotechnology	SUB15796738		104421	2025-11-27 02:58:55	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR036/36217/SRR36217484/SRR36217484.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR36217484/SRR36217484	gs://sra-pub-zq-101/SRR36217484/SRR36217484.lite.1	Colony 4,5,7,&9	floridanus	embryo7	2020-07-16	USA: Florida	Invertebrate																							2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	bacteriocytes	bacteriocytes								no		PRJNA1370284	SAMN53424530	SRX31253583	SRR36217485	SRA2285425	SRS27232719	SRP649457	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Each sample is bacteriocyte mass tissue pooled from embryos obtained from 4 ant colonies			CflBact_Sample3	paired	RNA-Seq	TRANSCRIPTOMIC	other	Illumina NovaSeq 6000	22563776	6769132800	1988029446								Beykoz Institute of Life Science and Biotechnology	SUB15796738		104421	2025-11-27 02:58:55	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR036/36217/SRR36217485/SRR36217485.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR36217485/SRR36217485	gs://sra-pub-zq-101/SRR36217485/SRR36217485.lite.1	Colony 4,5,7,&9	floridanus	embryo6	2020-07-15	USA: Florida	Invertebrate																							2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	bacteriocytes	bacteriocytes								no		PRJNA1370284	SAMN53424529	SRX31253582	SRR36217486	SRA2285425	SRS27232718	SRP649457	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Each sample is bacteriocyte mass tissue pooled from embryos obtained from 4 ant colonies			CflBact_Sample2	paired	RNA-Seq	TRANSCRIPTOMIC	other	Illumina NovaSeq 6000	23949505	7184851500	2184984171								Beykoz Institute of Life Science and Biotechnology	SUB15796738		104421	2025-11-27 02:58:55	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR036/36217/SRR36217486/SRR36217486.lite.1	s3://sra-pub-zq-3/SRR36217486/SRR36217486.lite.1	gs://sra-pub-zq-101/SRR36217486/SRR36217486.lite.1	Colony 4,5,7,&9	floridanus	embryo5	2020-07-14	USA: Florida	Invertebrate																							2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	bacteriocytes	bacteriocytes								no		PRJNA1370284	SAMN53424528	SRX31253581	SRR36217487	SRA2285425	SRS27232717	SRP649457	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Each sample is bacteriocyte mass tissue pooled from embryos obtained from 4 ant colonies			CflBact_Sample1	paired	RNA-Seq	TRANSCRIPTOMIC	other	Illumina NovaSeq 6000	21878300	6563490000	2118895135								Beykoz Institute of Life Science and Biotechnology	SUB15796738		104421	2025-11-27 02:58:55	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR036/36217/SRR36217487/SRR36217487.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR36217487/SRR36217487	gs://sra-pub-zq-101/SRR36217487/SRR36217487.lite.1	Colony 4,5,7,&9	floridanus	embryo4	2020-07-13	USA: Florida	Invertebrate																							2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	germline capsule	germline capsule								no		PRJNA1370284	SAMN53424527	SRX31253580	SRR36217488	SRA2285425	SRS27232716	SRP649457	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Each sample is germline capsule tissue pooled from embryos obtained from 4 ant colonies			CflCap_Sample3	paired	RNA-Seq	TRANSCRIPTOMIC	other	Illumina NovaSeq 6000	23634503	7090350900	2090952409								Beykoz Institute of Life Science and Biotechnology	SUB15796738		104421	2025-11-27 02:58:55	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR036/36217/SRR36217488/SRR36217488.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR36217488/SRR36217488	gs://sra-pub-zq-101/SRR36217488/SRR36217488.lite.1	Colony 4,5,7,&9	floridanus	embryo3	2020-07-12	USA: Florida	Invertebrate																							2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	germline capsule	germline capsule								no		PRJNA1370284	SAMN53424526	SRX31253579	SRR36217489	SRA2285425	SRS27232715	SRP649457	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Each sample is germline capsule tissue pooled from embryos obtained from 4 ant colonies			CflCap_Sample2	paired	RNA-Seq	TRANSCRIPTOMIC	other	Illumina NovaSeq 6000	26905800	8071740000	2465283337								Beykoz Institute of Life Science and Biotechnology	SUB15796738		104421	2025-11-27 02:58:55	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR036/36217/SRR36217489/SRR36217489.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR36217489/SRR36217489	gs://sra-pub-zq-101/SRR36217489/SRR36217489.lite.1	Colony 4,5,7,&9	floridanus	embryo2	2020-07-11	USA: Florida	Invertebrate																							2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	germline capsule	germline capsule								no		PRJNA1370284	SAMN53424525	SRX31253578	SRR36217490	SRA2285425	SRS27232714	SRP649457	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Transcriptomic profiling of germline capsule, bacteriocytes, and early-stage eggs in Camponotus floridanus	Each sample is germline capsule tissue pooled from embryos obtained from 4 ant colonies			CflCap_Sample1	paired	RNA-Seq	TRANSCRIPTOMIC	other	Illumina NovaSeq 6000	21682924	6504877200	2096859371								Beykoz Institute of Life Science and Biotechnology	SUB15796738		104421	2025-11-27 02:58:55	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR036/36217/SRR36217490/SRR36217490.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR36217490/SRR36217490	gs://sra-pub-zq-101/SRR36217490/SRR36217490.lite.1	Colony 4,5,7,&9	floridanus	embryo1	2020-07-10	USA: Florida	Invertebrate																							2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430750	SRX27489918	SRR32143976	SRA2062353	SRS23911808	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759808: Cflo_24_Mn4; Camponotus floridanus; RNA-Seq		Cflo_24_Mn4		GSM8759808	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	146398752	44212423104	14355945737								Biology, University of Florida	SUB15042868	40849535	104421	2025-06-23 14:45:33	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143976/SRR32143976.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143976/SRR32143976	gs://sra-pub-zq-107/SRR32143976/SRR32143976.lite.1				missing	missing																								2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430751	SRX27489917	SRR32143977	SRA2062353	SRS23911807	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759807: Cflo_23_Mj4; Camponotus floridanus; RNA-Seq		Cflo_23_Mj4		GSM8759807	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	26328614	7951241428	2608091971								Biology, University of Florida	SUB15042868	40849535	104421	2025-06-23 14:45:33	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143977/SRR32143977.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143977/SRR32143977	gs://sra-pub-zq-107/SRR32143977/SRR32143977.lite.1				missing	missing																								2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430752	SRX27489916	SRR32143978	SRA2062353	SRS23911804	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759806: Cflo_22_Mn3; Camponotus floridanus; RNA-Seq		Cflo_22_Mn3		GSM8759806	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	20220008	6106442416	2007207345								Biology, University of Florida	SUB15042868	40849535	104421	2025-06-23 14:45:33	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143978/SRR32143978.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143978/SRR32143978	gs://sra-pub-zq-107/SRR32143978/SRR32143978.lite.1				missing	missing																								2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430753	SRX27489915	SRR32143980	SRA2062353	SRS23911805	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759805: Cflo_21_Mj16; Camponotus floridanus; RNA-Seq		Cflo_21_Mj16		GSM8759805	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	15710638	4744612676	1569215763								Biology, University of Florida	SUB15042868	40849535	104421	2025-06-23 14:45:33	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143980/SRR32143980.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143980/SRR32143980	gs://sra-pub-zq-107/SRR32143980/SRR32143980.lite.1				missing	missing																								2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430754	SRX27489914	SRR32143981	SRA2062353	SRS23911806	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759804: Cflo_20_Mn15; Camponotus floridanus; RNA-Seq		Cflo_20_Mn15		GSM8759804	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	16161443	4880755786	1620621415								Biology, University of Florida	SUB15042868	40849535	104421	2025-06-23 14:45:33	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143981/SRR32143981.lite.1	s3://sra-pub-zq-2/SRR32143981/SRR32143981.lite.1	gs://sra-pub-zq-107/SRR32143981/SRR32143981.lite.1				missing	missing																								2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430755	SRX27489913	SRR32143982	SRA2062353	SRS23911803	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759803: Cflo_19_Mj15; Camponotus floridanus; RNA-Seq		Cflo_19_Mj15		GSM8759803	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	22171866	6695903532	2191309669								Biology, University of Florida	SUB15042868	40849535	104421	2025-06-23 14:45:33	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143982/SRR32143982.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143982/SRR32143982	gs://sra-pub-zq-107/SRR32143982/SRR32143982.lite.1				missing	missing																								2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430756	SRX27489912	SRR32143983	SRA2062353	SRS23911802	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759802: Cflo_18_Mn14; Camponotus floridanus; RNA-Seq		Cflo_18_Mn14		GSM8759802	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	14814356	4473935512	1488702524								Biology, University of Florida	SUB15042868	40849535	104421	2025-06-23 14:45:33	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143983/SRR32143983.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143983/SRR32143983	gs://sra-pub-zq-107/SRR32143983/SRR32143983.lite.1				missing	missing																								2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430757	SRX27489911	SRR32143987	SRA2062353	SRS23911800	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759801: Cflo_17_Mj14; Camponotus floridanus; RNA-Seq		Cflo_17_Mj14		GSM8759801	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	17189208	5191140816	1705377395								Biology, University of Florida	SUB15042868	40849535	104421	2025-06-23 14:45:33	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143987/SRR32143987.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143987/SRR32143987	gs://sra-pub-zq-107/SRR32143987/SRR32143987.lite.1				missing	missing																								2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
Camponotus floridanus	antennae	antennae					antennae			no		PRJNA1216272	SAMN46430758	SRX27489910	SRR32143984	SRA2062353	SRS23911801	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759800: Cflo_16_Mn13; Camponotus floridanus; RNA-Seq		Cflo_16_Mn13		GSM8759800	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	15844505	4785040510	1605935323								Biology, University of Florida	SUB15042868	40849535	104421	2025-06-23 14:45:33	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143984/SRR32143984.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143984/SRR32143984	gs://sra-pub-zq-107/SRR32143984/SRR32143984.lite.1				missing	missing																								2759	33208	6656	50557	7399	36668	13390	104421	Camponotus floridanus
