scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	isolate	host	isolation_source	collection_date	geo_loc_name	biosamplemodel	breed	replicate	lat_lon	ecotype	dev_stage	nest_#	sample_month	colony	pooled_individual	caste	altitude	collected_by	depth	env_biome	host_tissue_sampled	identified_by	specimen_voucher	temp	biological_replicate	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Linepithema humile	whole body	whole body								no		PRJNA1038699	SAMN40966786	SRX24860898	SRR29344992	SRA1845553	SRS21570920	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_36h_hap_32		lhum_36h_hap_32	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	5963341	1800928982	700303640								University of Lausanne	SUB14353536	38820161	83485	2024-06-25 10:49:43	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29344/SRR29344992/SRR29344992.lite.1	s3://sra-pub-zq-2/SRR29344992/SRR29344992.lite.1	gs://sra-pub-zq-100/SRR29344992/SRR29344992.lite.1	lhum_36h_hap_32	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body								no		PRJNA1038699	SAMN40966785	SRX24860897	SRR29345094	SRA1845553	SRS21570921	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_36h_hap_30		lhum_36h_hap_30	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	7566895	2285202290	888684935								University of Lausanne	SUB14353536	38820161	83485	2024-06-25 10:49:43	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345094/SRR29345094.lite.1	s3://sra-pub-zq-2/SRR29345094/SRR29345094.lite.1	gs://sra-pub-zq-100/SRR29345094/SRR29345094.lite.1	lhum_36h_hap_30	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body								no		PRJNA1038699	SAMN40966784	SRX24860896	SRR29345095	SRA1845553	SRS21570919	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_36h_hap_28		lhum_36h_hap_28	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	6670596	2014519992	793438080								University of Lausanne	SUB14353536	38820161	83485	2024-06-25 10:49:42	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345095/SRR29345095.lite.1	s3://sra-pub-zq-2/SRR29345095/SRR29345095.lite.1	gs://sra-pub-zq-100/SRR29345095/SRR29345095.lite.1	lhum_36h_hap_28	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body								no		PRJNA1038699	SAMN40966783	SRX24860894	SRR29345097	SRA1845553	SRS21570917	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_36h_dip_26		lhum_36h_dip_26	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	6177576	1865627952	730989473								University of Lausanne	SUB14353536	38820161	83485	2024-06-25 10:49:42	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345097/SRR29345097.lite.1	s3://sra-pub-zq-2/SRR29345097/SRR29345097.lite.1	gs://sra-pub-zq-100/SRR29345097/SRR29345097.lite.1	lhum_36h_dip_26	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body								no		PRJNA1038699	SAMN40966782	SRX24860893	SRR29345098	SRA1845553	SRS21570916	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_36h_dip_24		lhum_36h_dip_24	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	6086265	1838052030	718905558								University of Lausanne	SUB14353536	38820161	83485	2024-06-25 10:49:42	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345098/SRR29345098.lite.1	s3://sra-pub-zq-2/SRR29345098/SRR29345098.lite.1	gs://sra-pub-zq-100/SRR29345098/SRR29345098.lite.1	lhum_36h_dip_24	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body								no		PRJNA1038699	SAMN40966781	SRX24860892	SRR29345099	SRA1845553	SRS21570915	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_36h_dip_22		lhum_36h_dip_22	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	7340506	2216832812	870221213								University of Lausanne	SUB14353536	38820161	83485	2024-06-25 10:49:42	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345099/SRR29345099.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR29345099/SRR29345099	gs://sra-pub-zq-100/SRR29345099/SRR29345099.lite.1	lhum_36h_dip_22	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body								no		PRJNA1038699	SAMN40966780	SRX24860891	SRR29345100	SRA1845553	SRS21570914	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_36h_dip_21		lhum_36h_dip_21	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	7366906	2224805612	880125763								University of Lausanne	SUB14353536	38820161	83485	2024-06-25 10:49:42	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345100/SRR29345100.lite.1	s3://sra-pub-zq-2/SRR29345100/SRR29345100.lite.1	gs://sra-pub-zq-100/SRR29345100/SRR29345100.lite.1	lhum_36h_dip_21	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body								no		PRJNA1038699	SAMN40966779	SRX24860890	SRR29345101	SRA1845553	SRS21570913	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_24h_hap_20		lhum_24h_hap_20	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	2277347	687758794	270117755								University of Lausanne	SUB14353536	38820161	83485	2024-06-25 10:49:42	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345101/SRR29345101.lite.1	s3://sra-pub-zq-2/SRR29345101/SRR29345101.lite.1	gs://sra-pub-zq-100/SRR29345101/SRR29345101.lite.1	lhum_24h_hap_20	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body								no		PRJNA1038699	SAMN40966778	SRX24860889	SRR29345102	SRA1845553	SRS21570912	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_24h_hap_19		lhum_24h_hap_19	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	6506072	1964833744	772615721								University of Lausanne	SUB14353536	38820161	83485	2024-06-25 10:49:42	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345102/SRR29345102.lite.1	s3://sra-pub-zq-2/SRR29345102/SRR29345102.lite.1	gs://sra-pub-zq-100/SRR29345102/SRR29345102.lite.1	lhum_24h_hap_19	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body								no		PRJNA1038699	SAMN40966777	SRX24860888	SRR29345103	SRA1845553	SRS21570911	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_24h_hap_18		lhum_24h_hap_18	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	5926499	1789802698	707530997								University of Lausanne	SUB14353536	38820161	83485	2024-06-25 10:49:42	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345103/SRR29345103.lite.1	s3://sra-pub-zq-2/SRR29345103/SRR29345103.lite.1	gs://sra-pub-zq-100/SRR29345103/SRR29345103.lite.1	lhum_24h_hap_18	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body								no		PRJNA1038699	SAMN40966776	SRX24860887	SRR29345104	SRA1845553	SRS21570910	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_24h_hap_17		lhum_24h_hap_17	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	6437645	1944168790	758859000								University of Lausanne	SUB14353536	38820161	83485	2024-06-25 10:49:42	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345104/SRR29345104.lite.1	s3://sra-pub-zq-2/SRR29345104/SRR29345104.lite.1	gs://sra-pub-zq-100/SRR29345104/SRR29345104.lite.1	lhum_24h_hap_17	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
