scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	isolate	isolation_source	collection_date	geo_loc_name	replicate	sample_type	biosamplemodel	host	colony	pooled_individual	caste	task	tissue_type	sample_name	bioproject_id	dev_stage	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Monomorium pharaonis	pupa	Pupa								no		PRJNA533756	SAMN11466325	SRX6463289	SRR9705129	SRA922734	SRS5113111	SRP193058	Convergent eusocial evolution is based on a shared reproductive groundplan plus lineage-specific plastic genes	RNA-seq of ant and honey bee caste:Ant_WP-3	polyA synthesis; 16 PCR cycles for cDNA synthesis; 50 cycles			Ant_WP-3	single	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	Illumina HiSeq 2500	25013650	1268257026	519940776								University of Pennsylvania	SUB5638882		307658	2019-07-18 13:29:27	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR009/705/SRR9705129.sralite.1	s3://sra-pub-zq-2/SRR9705129/SRR9705129.sralite.1	gs://sra-pub-zq-107/SRR9705129/SRR9705129.zq.1	not applicable	laboratory	2016	USA: (laboratory)	3	worker pupa	Invertebrate										2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis	pupa	Pupa								no		PRJNA533756	SAMN11466324	SRX6463288	SRR9705130	SRA922734	SRS5113110	SRP193058	Convergent eusocial evolution is based on a shared reproductive groundplan plus lineage-specific plastic genes	RNA-seq of ant and honey bee caste:Ant_WP-2	polyA synthesis; 16 PCR cycles for cDNA synthesis; 50 cycles			Ant_WP-2	single	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	Illumina HiSeq 2500	14615166	741005535	306519510								University of Pennsylvania	SUB5638882		307658	2019-07-18 13:29:27	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR009/705/SRR9705130.sralite.1	s3://sra-pub-zq-4/SRR9705130/SRR9705130.sralite.1	gs://sra-pub-zq-107/SRR9705130/SRR9705130.zq.1	not applicable	laboratory	2016	USA: (laboratory)	2	worker pupa	Invertebrate										2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis	pupa	Pupa								no		PRJNA533756	SAMN11466323	SRX6463287	SRR9705131	SRA922734	SRS5113109	SRP193058	Convergent eusocial evolution is based on a shared reproductive groundplan plus lineage-specific plastic genes	RNA-seq of ant and honey bee caste:Ant_WP-1	polyA synthesis; 16 PCR cycles for cDNA synthesis; 50 cycles			Ant_WP-1	single	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	Illumina HiSeq 2500	17608448	892797754	367407460								University of Pennsylvania	SUB5638882		307658	2019-07-18 13:29:27	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/705/SRR9705131.sralite.1	s3://sra-pub-zq-8/SRR9705131/SRR9705131.sralite.1	gs://sra-pub-zq-107/SRR9705131/SRR9705131.zq.1	not applicable	laboratory	2016	USA: (laboratory)	1	worker pupa	Invertebrate										2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis	larva	Larva								no		PRJNA533756	SAMN11466322	SRX6463286	SRR9705132	SRA922734	SRS5113108	SRP193058	Convergent eusocial evolution is based on a shared reproductive groundplan plus lineage-specific plastic genes	RNA-seq of ant and honey bee caste:Ant_WL5-3	polyA synthesis; 16 PCR cycles for cDNA synthesis; 50 cycles			Ant_WL5-3	single	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	Illumina HiSeq 2500	10423628	528567467	220713093								University of Pennsylvania	SUB5638882		307658	2019-07-18 13:28:12	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/705/SRR9705132.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9705132/SRR9705132	gs://sra-pub-zq-107/SRR9705132/SRR9705132.zq.1	not applicable	laboratory	2016	USA: (laboratory)	3	worker larva (L5)	Invertebrate										2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis	larva	Larva								no		PRJNA533756	SAMN11466321	SRX6463285	SRR9705133	SRA922734	SRS5113107	SRP193058	Convergent eusocial evolution is based on a shared reproductive groundplan plus lineage-specific plastic genes	RNA-seq of ant and honey bee caste:Ant_WL5-2	polyA synthesis; 16 PCR cycles for cDNA synthesis; 50 cycles			Ant_WL5-2	single	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	Illumina HiSeq 2500	9254325	469465724	198202185								University of Pennsylvania	SUB5638882		307658	2019-07-18 13:28:12	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/705/SRR9705133.sralite.1	s3://sra-pub-zq-3/SRR9705133/SRR9705133.sralite.1	gs://sra-pub-zq-103/SRR9705133/SRR9705133.zq.1	not applicable	laboratory	2016	USA: (laboratory)	2	worker larva (L5)	Invertebrate										2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis	larva	Larva								no		PRJNA533756	SAMN11466320	SRX6463284	SRR9705134	SRA922734	SRS5113106	SRP193058	Convergent eusocial evolution is based on a shared reproductive groundplan plus lineage-specific plastic genes	RNA-seq of ant and honey bee caste:Ant_WL5-1	polyA synthesis; 16 PCR cycles for cDNA synthesis; 50 cycles			Ant_WL5-1	single	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	Illumina HiSeq 2500	16914999	857779852	353922093								University of Pennsylvania	SUB5638882		307658	2019-07-18 13:29:27	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/705/SRR9705134.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9705134/SRR9705134	gs://sra-pub-zq-107/SRR9705134/SRR9705134.zq.1	not applicable	laboratory	2016	USA: (laboratory)	1	worker larva (L5)	Invertebrate										2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis	larva	Larva								no		PRJNA533756	SAMN11466319	SRX6463283	SRR9705135	SRA922734	SRS5113105	SRP193058	Convergent eusocial evolution is based on a shared reproductive groundplan plus lineage-specific plastic genes	RNA-seq of ant and honey bee caste:Ant_WL4-3	polyA synthesis; 16 PCR cycles for cDNA synthesis; 50 cycles			Ant_WL4-3	single	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	Illumina HiSeq 2500	14331682	726457251	303754929								University of Pennsylvania	SUB5638882		307658	2019-07-18 13:29:27	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/705/SRR9705135.sralite.1	s3://sra-pub-zq-7/SRR9705135/SRR9705135.sralite.1	gs://sra-pub-zq-107/SRR9705135/SRR9705135.zq.1	not applicable	laboratory	2016	USA: (laboratory)	3	worker larva (L4)	Invertebrate										2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis	larva	Larva								no		PRJNA533756	SAMN11466318	SRX6463282	SRR9705136	SRA922734	SRS5113104	SRP193058	Convergent eusocial evolution is based on a shared reproductive groundplan plus lineage-specific plastic genes	RNA-seq of ant and honey bee caste:Ant_WL4-2	polyA synthesis; 16 PCR cycles for cDNA synthesis; 50 cycles			Ant_WL4-2	single	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	Illumina HiSeq 2500	14022823	710711548	297886970								University of Pennsylvania	SUB5638882		307658	2019-07-18 13:29:27	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR009/705/SRR9705136.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9705136/SRR9705136	gs://sra-pub-zq-103/SRR9705136/SRR9705136.zq.1	not applicable	laboratory	2016	USA: (laboratory)	2	worker larva (L4)	Invertebrate										2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis	larva	Larva								no		PRJNA533756	SAMN11466317	SRX6463281	SRR9705137	SRA922734	SRS5113103	SRP193058	Convergent eusocial evolution is based on a shared reproductive groundplan plus lineage-specific plastic genes	RNA-seq of ant and honey bee caste:Ant_WL4-1	polyA synthesis; 16 PCR cycles for cDNA synthesis; 50 cycles			Ant_WL4-1	single	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	Illumina HiSeq 2500	23784130	1206141204	500793580								University of Pennsylvania	SUB5638882		307658	2019-07-18 13:29:26	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/705/SRR9705137.sralite.1	s3://sra-pub-zq-4/SRR9705137/SRR9705137.sralite.1	gs://sra-pub-zq-107/SRR9705137/SRR9705137.zq.1	not applicable	laboratory	2016	USA: (laboratory)	1	worker larva (L4)	Invertebrate										2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis	egg	Egg								no		PRJNA533756	SAMN11466247	SRX6463280	SRR9705138	SRA922734	SRS5113102	SRP193058	Convergent eusocial evolution is based on a shared reproductive groundplan plus lineage-specific plastic genes	RNA-seq of ant and honey bee caste:Ant_E-3	polyA synthesis; 16 PCR cycles for cDNA synthesis; 50 cycles			Ant_E-3	single	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	Illumina HiSeq 2500	14780107	748687826	311441243								University of Pennsylvania	SUB5638882		307658	2019-07-18 13:29:26	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/705/SRR9705138.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9705138/SRR9705138	gs://sra-pub-zq-107/SRR9705138/SRR9705138.zq.1	not applicable	laboratory	2016	USA: (laboratory)	3	egg	Invertebrate										2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
