scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	isolate	isolation_source	collection_date	geo_loc_name	biosamplemodel	geographic_location	dev_stage	sampletitle	breed	host	collectiondate	geolocname	collected_by	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Temnothorax nylanderi	fat body	Fat Body		female						no		PRJNA1297301	SAMN53361701	SRX31184058	SRR36142979	SRA2282190	SRS27167944	SRP647840	Temnothorax nylanderi: DNA methylation and gene expression in caste, tissue, and parasitism	RNA-seq from T.nylanderi: Pool of 2 Uninfected ants (Fat Body)	RNA extraction was then conducted with the RNeasy Mini Kit (Qiagen). Libraries were prepared using the NEBNext Ultra RNA Library Prep Kit and sequenced on a Novaseq X Plus Series.			MD5NotFB_lib1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq X Plus	9454223	2836266900	864301627								Johannes Gutenberg University Mainz	SUB15727152		102681	2025-11-27 16:22:51	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR036/36142/SRR36142979/SRR36142979.lite.1	s3://sra-pub-zq-5/SRR36142979/SRR36142979.lite.1	gs://sra-pub-zq-100/SRR36142979/SRR36142979.lite.1	Pool 2 Uninfected ants from colony MD5	Temporate forest central Germany	2023-09	Germany: Lennebergwald, Mainz	Invertebrate									2759	33208	6656	50557	7399	36668	300110	102681	Temnothorax nylanderi
Temnothorax nylanderi	fat body	Fat Body		female						no		PRJNA1297301	SAMN53361700	SRX31184057	SRR36142980	SRA2282190	SRS27167943	SRP647840	Temnothorax nylanderi: DNA methylation and gene expression in caste, tissue, and parasitism	RNA-seq from T.nylanderi: Pool of 2 Infected ants (Fat Body)	RNA extraction was then conducted with the RNeasy Mini Kit (Qiagen). Libraries were prepared using the NEBNext Ultra RNA Library Prep Kit and sequenced on a Novaseq X Plus Series.			MD5InfFB_lib1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq X Plus	20528681	6158604300	1838782824								Johannes Gutenberg University Mainz	SUB15727152		102681	2025-11-27 16:22:51	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR036/36142/SRR36142980/SRR36142980.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR36142980/SRR36142980	gs://sra-pub-zq-100/SRR36142980/SRR36142980.lite.1	Pool 2 Infected ants from colony MD5	Temporate forest central Germany	2023-09	Germany: Lennebergwald, Mainz	Invertebrate									2759	33208	6656	50557	7399	36668	300110	102681	Temnothorax nylanderi
Temnothorax nylanderi	fat body	Fat Body		female						no		PRJNA1297301	SAMN53361699	SRX31184056	SRR36142981	SRA2282190	SRS27167942	SRP647840	Temnothorax nylanderi: DNA methylation and gene expression in caste, tissue, and parasitism	RNA-seq from T.nylanderi: Pool of 2 Uninfected ants (Fat Body)	RNA extraction was then conducted with the RNeasy Mini Kit (Qiagen). Libraries were prepared using the NEBNext Ultra RNA Library Prep Kit and sequenced on a Novaseq X Plus Series.			MD4NotFB_lib1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq X Plus	26822188	8046656400	2415935189								Johannes Gutenberg University Mainz	SUB15727152		102681	2025-11-27 16:22:50	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR036/36142/SRR36142981/SRR36142981.lite.1	s3://sra-pub-zq-5/SRR36142981/SRR36142981.lite.1	gs://sra-pub-zq-100/SRR36142981/SRR36142981.lite.1	Pool 2 Uninfected ants from colony MD4	Temporate forest central Germany	2023-09	Germany: Lennebergwald, Mainz	Invertebrate									2759	33208	6656	50557	7399	36668	300110	102681	Temnothorax nylanderi
Temnothorax nylanderi	fat body	Fat Body		female						no		PRJNA1297301	SAMN53361698	SRX31184055	SRR36142982	SRA2282190	SRS27167941	SRP647840	Temnothorax nylanderi: DNA methylation and gene expression in caste, tissue, and parasitism	RNA-seq from T.nylanderi: Pool of 2 Infected ants (Fat Body)	RNA extraction was then conducted with the RNeasy Mini Kit (Qiagen). Libraries were prepared using the NEBNext Ultra RNA Library Prep Kit and sequenced on a Novaseq X Plus Series.			MD4InfFB_lib1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq X Plus	25266351	7579905300	2320797509								Johannes Gutenberg University Mainz	SUB15727152		102681	2025-11-27 16:22:50	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR036/36142/SRR36142982/SRR36142982.lite.1	s3://sra-pub-zq-5/SRR36142982/SRR36142982.lite.1	gs://sra-pub-zq-100/SRR36142982/SRR36142982.lite.1	Pool 2 Infected ants from colony MD4	Temporate forest central Germany	2023-09	Germany: Lennebergwald, Mainz	Invertebrate									2759	33208	6656	50557	7399	36668	300110	102681	Temnothorax nylanderi
Temnothorax nylanderi	fat body	Fat Body		female						no		PRJNA1297301	SAMN53361697	SRX31184054	SRR36142983	SRA2282190	SRS27167940	SRP647840	Temnothorax nylanderi: DNA methylation and gene expression in caste, tissue, and parasitism	RNA-seq from T.nylanderi: Pool of 2 Uninfected ants (Fat Body)	RNA extraction was then conducted with the RNeasy Mini Kit (Qiagen). Libraries were prepared using the NEBNext Ultra RNA Library Prep Kit and sequenced on a Novaseq X Plus Series.			MD3NotFB_lib1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq X Plus	21059335	6317800500	1882001150								Johannes Gutenberg University Mainz	SUB15727152		102681	2025-11-27 16:22:50	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR036/36142/SRR36142983/SRR36142983.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR36142983/SRR36142983	gs://sra-pub-zq-100/SRR36142983/SRR36142983.lite.1	Pool 2 Uninfected ants from colony MD3	Temporate forest central Germany	2023-09	Germany: Lennebergwald, Mainz	Invertebrate									2759	33208	6656	50557	7399	36668	300110	102681	Temnothorax nylanderi
Temnothorax nylanderi	brain	Brain		female						no		PRJNA1297301	SAMN53361733	SRX31184053	SRR36142984	SRA2282190	SRS27167939	SRP647840	Temnothorax nylanderi: DNA methylation and gene expression in caste, tissue, and parasitism	RNA-seq from T.nylanderi: Pool of 2 Uninfected ants (Brain)	RNA extraction was then conducted with the RNeasy Mini Kit (Qiagen). Libraries were prepared using the NEBNext Ultra RNA Library Prep Kit and sequenced on a Novaseq X Plus Series.			S5NotBr_lib1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq X Plus	19555701	5866710300	1786863634								Johannes Gutenberg University Mainz	SUB15727152		102681	2025-11-27 16:22:50	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR036/36142/SRR36142984/SRR36142984.lite.1	s3://sra-pub-zq-5/SRR36142984/SRR36142984.lite.1	gs://sra-pub-zq-100/SRR36142984/SRR36142984.lite.1	Pool 2 Uninfected ants from colony S5	Temporate forest central Germany	2023-08	Germany: Lennebergwald, Mainz	Invertebrate									2759	33208	6656	50557	7399	36668	300110	102681	Temnothorax nylanderi
Temnothorax nylanderi	brain	Brain		female						no		PRJNA1297301	SAMN53361732	SRX31184052	SRR36142985	SRA2282190	SRS27167938	SRP647840	Temnothorax nylanderi: DNA methylation and gene expression in caste, tissue, and parasitism	RNA-seq from T.nylanderi: Pool of 2 Infected ants (Brain)	RNA extraction was then conducted with the RNeasy Mini Kit (Qiagen). Libraries were prepared using the NEBNext Ultra RNA Library Prep Kit and sequenced on a Novaseq X Plus Series.			S5InfBr_lib1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq X Plus	30401661	9120498300	2758677399								Johannes Gutenberg University Mainz	SUB15727152		102681	2025-11-27 16:22:50	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR036/36142/SRR36142985/SRR36142985.lite.1	s3://sra-pub-zq-5/SRR36142985/SRR36142985.lite.1	gs://sra-pub-zq-100/SRR36142985/SRR36142985.lite.1	Pool 2 Infected ants from colony S5	Temporate forest central Germany	2023-08	Germany: Lennebergwald, Mainz	Invertebrate									2759	33208	6656	50557	7399	36668	300110	102681	Temnothorax nylanderi
Temnothorax nylanderi	fat body	Fat Body		female						no		PRJNA1297301	SAMN53361696	SRX31184051	SRR36142986	SRA2282190	SRS27167937	SRP647840	Temnothorax nylanderi: DNA methylation and gene expression in caste, tissue, and parasitism	RNA-seq from T.nylanderi: Pool of 2 Infected ants (Fat Body)	RNA extraction was then conducted with the RNeasy Mini Kit (Qiagen). Libraries were prepared using the NEBNext Ultra RNA Library Prep Kit and sequenced on a Novaseq X Plus Series.			MD3InfFB_lib1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq X Plus	25113984	7534195200	2284626122								Johannes Gutenberg University Mainz	SUB15727152		102681	2025-11-27 16:22:50	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR036/36142/SRR36142986/SRR36142986.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR36142986/SRR36142986	gs://sra-pub-zq-100/SRR36142986/SRR36142986.lite.1	Pool 2 Infected ants from colony MD3	Temporate forest central Germany	2023-09	Germany: Lennebergwald, Mainz	Invertebrate									2759	33208	6656	50557	7399	36668	300110	102681	Temnothorax nylanderi
Temnothorax nylanderi	brain	Brain		female						no		PRJNA1297301	SAMN53361731	SRX31184050	SRR36142987	SRA2282190	SRS27167936	SRP647840	Temnothorax nylanderi: DNA methylation and gene expression in caste, tissue, and parasitism	RNA-seq from T.nylanderi: Pool of 2 Uninfected ants (Brain)	RNA extraction was then conducted with the RNeasy Mini Kit (Qiagen). Libraries were prepared using the NEBNext Ultra RNA Library Prep Kit and sequenced on a Novaseq X Plus Series.			S14NotBr_lib1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq X Plus	24499024	7349707200	2198112740								Johannes Gutenberg University Mainz	SUB15727152		102681	2025-11-27 16:22:50	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR036/36142/SRR36142987/SRR36142987.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR36142987/SRR36142987	gs://sra-pub-zq-100/SRR36142987/SRR36142987.lite.1	Pool 2 Uninfected ants from colony S14	Temporate forest central Germany	2023-08	Germany: Lennebergwald, Mainz	Invertebrate									2759	33208	6656	50557	7399	36668	300110	102681	Temnothorax nylanderi
Temnothorax nylanderi	brain	Brain		female						no		PRJNA1297301	SAMN53361730	SRX31184049	SRR36142988	SRA2282190	SRS27167935	SRP647840	Temnothorax nylanderi: DNA methylation and gene expression in caste, tissue, and parasitism	RNA-seq from T.nylanderi: Pool of 2 Infected ants (Brain)	RNA extraction was then conducted with the RNeasy Mini Kit (Qiagen). Libraries were prepared using the NEBNext Ultra RNA Library Prep Kit and sequenced on a Novaseq X Plus Series.			S14InfBr_lib1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq X Plus	30920341	9276102300	2849103108								Johannes Gutenberg University Mainz	SUB15727152		102681	2025-11-27 16:22:50	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR036/36142/SRR36142988/SRR36142988.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR36142988/SRR36142988	gs://sra-pub-zq-100/SRR36142988/SRR36142988.lite.1	Pool 2 Infected ants from colony S14	Temporate forest central Germany	2023-08	Germany: Lennebergwald, Mainz	Invertebrate									2759	33208	6656	50557	7399	36668	300110	102681	Temnothorax nylanderi
Temnothorax nylanderi	brain	Brain		female						no		PRJNA1297301	SAMN53361729	SRX31184048	SRR36142989	SRA2282190	SRS27167934	SRP647840	Temnothorax nylanderi: DNA methylation and gene expression in caste, tissue, and parasitism	RNA-seq from T.nylanderi: Single Uninfected Queen (Brain)	RNA extraction was then conducted with the RNeasy Mini Kit (Qiagen). Libraries were prepared using the NEBNext Ultra RNA Library Prep Kit and sequenced on a Novaseq X Plus Series.			Q9_Br_lib1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq X Plus	21004220	6301266000	1918966600								Johannes Gutenberg University Mainz	SUB15727152		102681	2025-11-27 16:22:50	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR036/36142/SRR36142989/SRR36142989.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR36142989/SRR36142989	gs://sra-pub-zq-100/SRR36142989/SRR36142989.lite.1	Single Queen from colony Q9	Temporate forest central Germany	2023-10	Germany: Lennebergwald, Mainz	Invertebrate									2759	33208	6656	50557	7399	36668	300110	102681	Temnothorax nylanderi
