target_id	tau	highest	order
lcl|NW_011623728.1_mrna_XM_011054566.1_1	NA	heads	heads
lcl|NW_011624727.1_mrna_XM_011069933.1_3	NA	heads	heads
lcl|NW_011624872.1_mrna_XM_011051941.1_5	NA	heads	heads
lcl|NW_011625353.1_mrna_XM_011053060.1_6	NA	heads	heads
lcl|NW_011625419.1_mrna_XM_011054215.1_7	NA	heads	heads
lcl|NW_011625430.1_mrna_XM_011055343.1_8	NA	heads	heads
lcl|NW_011625696.1_mrna_XM_011057713.1_9	NA	heads	heads
lcl|NW_011625781.1_mrna_XM_011058873.1_10	NA	heads	heads
lcl|NW_011625949.1_mrna_XM_011062367.1_11	NA	heads	heads
lcl|NW_011625970.1_mrna_XM_011063536.1_12	NA	heads	heads
lcl|NW_011626056.1_mrna_XM_011065862.1_14	NA	heads	heads
lcl|NW_011626079.1_ncrna_XR_846969.1_15	NA	heads	heads
lcl|NW_011626117.1_ncrna_XR_847052.1_16	NA	heads	heads
lcl|NW_011626120.1_mrna_XM_011068524.1_17	NA	heads	heads
lcl|NW_011626159.1_mrna_XM_011069491.1_18	NA	heads	heads
lcl|NW_011626164.1_mrna_XM_011069602.1_19	NA	heads	heads
lcl|NW_011626168.1_ncrna_XR_847172.1_20	NA	heads	heads
lcl|NW_011626187.1_mrna_XM_011069818.1_21	NA	heads	heads
lcl|NW_011626194.1_mrna_XM_011069934.1_22	NA	heads	heads
lcl|NW_011626205.1_mrna_XM_011070057.1_23	NA	heads	heads
lcl|NW_011626208.1_mrna_XM_011070177.1_24	NA	heads	heads
lcl|NW_011626220.1_mrna_XM_011070389.1_25	NA	heads	heads
lcl|NW_011626221.1_mrna_XM_011070500.1_26	NA	heads	heads
lcl|NW_011626222.1_mrna_XM_011070601.1_27	NA	heads	heads
lcl|NW_011626243.1_mrna_XM_011070824.1_29	NA	heads	heads
lcl|NW_011626245.1_mrna_XM_011070931.1_30	NA	heads	heads
