scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link
Apis mellifera ligustica	whole tissue	whole tissue		male	the age of 25 days			yes	yes	no		PRJNA880001	SAMN30844476	SRX17603534	SRR21601882	SRA1499093	SRS15140152	SRP397595	Apis mellifera ligustica Raw sequence reads	RNA-seq of Apis mellifera	Sequencing By Synthesis	hight temperature group		6	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	10694315	240288824.0	114549934.0								College of Animal Science and Technology	Shanxi Agricultural University	SUB12060430		7469	2022-10-05 04:41:29	Shanxi Agricultural University (Taigu, China)						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21601/SRR21601882/SRR21601882.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21601882/SRR21601882	gs://sra-pub-zq-109/SRR21601882/SRR21601882.lite.1
Apis mellifera ligustica	whole tissue	whole tissue		male	the age of 24 days			yes	yes	no		PRJNA880001	SAMN30844475	SRX17603533	SRR21601883	SRA1499093	SRS15140151	SRP397595	Apis mellifera ligustica Raw sequence reads	RNA-seq of Apis mellifera	Sequencing By Synthesis	hight temperature group		5	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	11005371	250028632.0	119292199.0								College of Animal Science and Technology	Shanxi Agricultural University	SUB12060430		7469	2022-10-05 04:41:29	Shanxi Agricultural University (Taigu, China)						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21601/SRR21601883/SRR21601883.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21601883/SRR21601883	gs://sra-pub-zq-109/SRR21601883/SRR21601883.lite.1
Apis mellifera	hindgut	hindgut		female	adult	Snodgrassella alvi wkB2		yes	yes	no		PRJNA748510	SAMN20336009	SRX11511003	SRR15204488	SRA1262187	SRS9549481	SRP329186	honey bee hindgut transcriptome	RNA-Seq of Apis mellifera hindgut colonized  Snodgrassella alvi wkB2	Hindgut transcriptome of Apis mellifera colonized  Snodgrassella alvi wkB2			wkB2-312	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	5419876	276413676.0	113925913.0								College of food science and nutritional engineerin	China Agricultural university	SUB10045500		7460	2021-07-21 02:17:59							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15204/SRR15204488/SRR15204488.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR15204488/SRR15204488	gs://sra-pub-zq-109/SRR15204488/SRR15204488.lite.1
Apis mellifera	mandibular gland	mandibular gland			14 days			yes	yes	no		PRJNA498667	SAMN04910074	SRX1743305	SRR3476890	SRA420958	SRS1422528	SRP166960	Apis mellifera Raw sequence reads	Worker WQL				WQL	single	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	5711376	279857424.0	189074688.0			200.0	0.0	Application Read	Forward	1.0	apiculture laboratory	zhejiang university	MD	28674395.0	7460	2016-05-07 07:55:16							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/476/SRR3476890/SRR3476890.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR3476890/SRR3476890	gs://sra-pub-zq-108/SRR3476890/SRR3476890.zq.1
Apis mellifera ligustica	whole tissue	whole tissue		male	the age of 23 days			yes	yes	no		PRJNA880001	SAMN30844474	SRX17603532	SRR21601884	SRA1499093	SRS15140150	SRP397595	Apis mellifera ligustica Raw sequence reads	RNA-seq of Apis mellifera	Sequencing By Synthesis	hight temperature group		4	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	12389098	284399331.0	135034288.0								College of Animal Science and Technology	Shanxi Agricultural University	SUB12060430		7469	2022-10-05 04:41:29	Shanxi Agricultural University (Taigu, China)						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21601/SRR21601884/SRR21601884.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21601884/SRR21601884	gs://sra-pub-zq-109/SRR21601884/SRR21601884.lite.1
Apis mellifera	mandibular gland	mandibular gland			14 days			yes	yes	no		PRJNA498667	SAMN04910073	SRX1738108	SRR3476887	SRA420958	SRS1418590	SRP166960	Apis mellifera Raw sequence reads	Worker WQR				WQR	single	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	5945373	291323277.0	194174832.0			200.0	0.0	Application Read	Forward	1.0	apiculture laboratory	zhejiang university	MD	28674395.0	7460	2018-10-26 14:01:23							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/476/SRR3476887/SRR3476887.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR3476887/SRR3476887	gs://sra-pub-zq-108/SRR3476887/SRR3476887.zq.1
Apis mellifera	mandibular gland	mandibular gland			1 year			yes	yes	no		PRJNA498667	SAMN04910072	SRX1734343	SRR8113905	SRA420958	SRS1415482	SRP166960	Apis mellifera Raw sequence reads	QUEEN				QueenMD	single	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	6048878	296395022.0	206971971.0			100.0	0.0	Application Read	Forward	1.0	apiculture laboratory	zhejiang university	MD	28674395.0	7460	2018-10-26 14:01:23							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/113/SRR8113905.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8113905/SRR8113905	gs://sra-pub-zq-103/SRR8113905/SRR8113905.zq.1
Apis mellifera	brain	brain		female	larval			yes	yes	no		PRJNA312886	SAMN04516665	SRX1600860	SRR5041700	SRA357620	SRS1310738	SRP070830	Apis mellifera Genome sequencing	Honeybee L3 larval brain queen		Honeybee brain L3 larval queen		RNA-Seq brain of L3 larval queen	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina MiSeq	6081775	304088750.0	186733906.0		0.0	100.0	0.0	Application Read	Forward	1.0	LabaInt	Unifal	Honeybee L3 larval brain		7460	2017-11-22 00:00:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/041/SRR5041700.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5041700/SRR5041700	gs://sra-pub-zq-103/SRR5041700/SRR5041700.noqual.1
Apis mellifera	brain	brain		female	larval			yes	yes	no		PRJNA312886	SAMN04516663	SRX1600843	SRR5041701	SRA357620	SRS1310721	SRP070830	Apis mellifera Genome sequencing	Honeybee L3 larval brain worker		Brain of L3 larval worker		RNA-Seq brain of L3 larval worker	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina MiSeq	6383679	319183950.0	195804187.0		0.0	100.0	0.0	Application Read	Forward	1.0	LabaInt	Unifal	Honeybee L3 larval brain		7460	2017-11-22 00:00:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/041/SRR5041701/SRR5041701.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5041701/SRR5041701	gs://sra-pub-zq-101/SRR5041701/SRR5041701.zq.1
Apis mellifera ligustica	whole tissue	whole tissue		male	the age of 22 days			yes	yes	no		PRJNA880001	SAMN30844473	SRX17603531	SRR21601885	SRA1499093	SRS15140149	SRP397595	Apis mellifera ligustica Raw sequence reads	RNA-seq of Apis mellifera	Sequencing By Synthesis	contro group		3	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	13547473	319500145.0	153100339.0								College of Animal Science and Technology	Shanxi Agricultural University	SUB12060430		7469	2022-10-05 04:41:29	Shanxi Agricultural University (Taigu, China)						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21601/SRR21601885/SRR21601885.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21601885/SRR21601885	gs://sra-pub-zq-109/SRR21601885/SRR21601885.lite.1
Apis mellifera	ovary	ovary		female			Queen-right worker	yes	yes	no		PRJNA493573	SAMN10136818	SRX4744313	SRR7908187	SRA784813	SRS3855907	SRP162734	Phenotypic plasticity shapes genome architecture in the honeybee Apis mellifera (RNA-seq)	GSM3403191: W2: Worker Pool 2 (RNA-seq); Apis mellifera; RNA-Seq		W2: Worker Pool 2 (RNA-seq)			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	6964277	341249573.0	189276080.0									GEO	GEO: GSE120561	34348652.0	7460	2019-09-17 15:59:25							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/908/SRR7908187.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7908187/SRR7908187	gs://sra-pub-zq-108/SRR7908187/SRR7908187.zq.1
Apis mellifera	whole larvae	Whole larvae					Queens	yes	yes	no		PRJNA227348	SAMN02401744	SRX376737	SRR1028782	SRA111046	SRS501671	SRP032943	Biased gene expression in early honeybee larval development (sequencing)	GSM1262515: 60 hr queens 2; Apis mellifera; RNA-Seq		60 hr queens 2			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	6968503	341456647.0	186051750.0									GEO	GEO: GSE52289	24350621.0	7460	2015-07-22 17:04:09							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR001/1028/SRR1028782/SRR1028782.2	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1028782/SRR1028782	gs://sra-pub-run-109/SRR1028782/SRR1028782.2
Apis mellifera	ovary	ovary		female			Queen-less worker	yes	yes	no		PRJNA493573	SAMN10136816	SRX4744315	SRR7908189	SRA784813	SRS3855906	SRP162734	Phenotypic plasticity shapes genome architecture in the honeybee Apis mellifera (RNA-seq)	GSM3403193: AW2: Active Pool 2 (RNA-seq); Apis mellifera; RNA-Seq		AW2: Active Pool 2 (RNA-seq)			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	7008828	343432572.0	187545102.0									GEO	GEO: GSE120561	34348652.0	7460	2019-09-17 15:59:25							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/908/SRR7908189.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7908189/SRR7908189	gs://sra-pub-zq-108/SRR7908189/SRR7908189.zq.1
Apis mellifera ligustica	whole tissue	whole tissue		male	the age of 21 days			yes	yes	no		PRJNA880001	SAMN30844472	SRX17603530	SRR21601886	SRA1499093	SRS15140148	SRP397595	Apis mellifera ligustica Raw sequence reads	RNA-seq of Apis mellifera	Sequencing By Synthesis	contro group		2	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	14752682	343913899.0	164320354.0								College of Animal Science and Technology	Shanxi Agricultural University	SUB12060430		7469	2022-10-05 04:41:29	Shanxi Agricultural University (Taigu, China)						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21601/SRR21601886/SRR21601886.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21601886/SRR21601886	gs://sra-pub-zq-109/SRR21601886/SRR21601886.lite.1
Apis mellifera	ovary	ovary		female			Queen-right worker	yes	yes	no		PRJNA493573	SAMN10136819	SRX4744312	SRR7908186	SRA784813	SRS3855909	SRP162734	Phenotypic plasticity shapes genome architecture in the honeybee Apis mellifera (RNA-seq)	GSM3403190: W1: Worker Pool 1 (RNA-seq); Apis mellifera; RNA-Seq		W1: Worker Pool 1 (RNA-seq)			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	7160479	350863471.0	192586946.0									GEO	GEO: GSE120561	34348652.0	7460	2019-09-17 15:59:25							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/908/SRR7908186.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7908186/SRR7908186	gs://sra-pub-zq-108/SRR7908186/SRR7908186.zq.1
Apis mellifera	ovary	ovary		female			Queen	yes	yes	no		PRJNA493573	SAMN10136815	SRX4744316	SRR7908190	SRA784813	SRS3855908	SRP162734	Phenotypic plasticity shapes genome architecture in the honeybee Apis mellifera (RNA-seq)	GSM3403194: Q1: Queen Pool 1 (RNA-seq); Apis mellifera; RNA-Seq		Q1: Queen Pool 1 (RNA-seq)			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	7192461	352430589.0	193352969.0									GEO	GEO: GSE120561	34348652.0	7460	2019-09-17 15:59:25							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/908/SRR7908190.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7908190/SRR7908190	gs://sra-pub-zq-108/SRR7908190/SRR7908190.zq.1
Apis mellifera	ovary	ovary		female			Queen	yes	yes	no		PRJNA493573	SAMN10136814	SRX4744317	SRR7908191	SRA784813	SRS3855911	SRP162734	Phenotypic plasticity shapes genome architecture in the honeybee Apis mellifera (RNA-seq)	GSM3403195: Q2: Queen Pool 2 (RNA-seq); Apis mellifera; RNA-Seq		Q2: Queen Pool 2 (RNA-seq)			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	7196797	352643053.0	192994977.0									GEO	GEO: GSE120561	34348652.0	7460	2019-09-17 15:59:25							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/908/SRR7908191.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7908191/SRR7908191	gs://sra-pub-zq-108/SRR7908191/SRR7908191.zq.1
