scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	tissue_normalized	tissue_original
Athalia rosae	mushroom body	mushroom_body		female				yes	yes	no		PRJDB13147	SAMD00445408	DRX337037	DRR351048	DRA013566	DRS303914	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445408		Mushroom bodies from 13-24 female Athalia rosae_replicate2		GLPR_019_19	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	18544256	1335186432	907125462	90.0		72.0	0.0	Application Read	Forward	1.0	UT-BS	DRA013566	37146148.0	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351048/DRR351048.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351048/DRR351048	gs://sra-pub-zq-109/DRR351048/DRR351048.lite.1	mushroom_body	mushroom_body
Athalia rosae	other brain region			female				yes	yes	no		PRJDB13147	SAMD00445412	DRX337033	DRR351044	DRA013566	DRS303918	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445412		Other brain regions from 25-36 female Athalia rosae_replicate3		GLPR_019_22	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	19629836	1413348192	978870435	90.0		72.0	0.0	Application Read	Forward	1.0	UT-BS	DRA013566	37146148.0	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351044/DRR351044.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351044/DRR351044	gs://sra-pub-zq-109/DRR351044/DRR351044.lite.1		
Athalia rosae	other brain region			female				yes	yes	no		PRJDB13147	SAMD00445410	DRX337035	DRR351046	DRA013566	DRS303916	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445410		Other brain regions from 1-12 female Athalia rosae_replicate1		LP_052_08	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	21491499	1547387928	1019544143	130.0		72.0	0.0	Application Read	Forward	1.0	UT-BS	DRA013566	37146148.0	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351046/DRR351046.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351046/DRR351046	gs://sra-pub-zq-109/DRR351046/DRR351046.lite.1		
Athalia rosae	other brain region			female				yes	yes	no		PRJDB13147	SAMD00445411	DRX337034	DRR351045	DRA013566	DRS303917	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445411		Other brain regions from 12-24 female Athalia rosae_replicate2		GLPR_019_21	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	23284156	1676459232	1139059142	90.0		72.0	0.0	Application Read	Forward	1.0	UT-BS	DRA013566	37146148.0	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351045/DRR351045.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351045/DRR351045	gs://sra-pub-zq-109/DRR351045/DRR351045.lite.1		
Athalia rosae	mushroom body	mushroom_body		female				yes	yes	no		PRJDB13147	SAMD00445409	DRX337036	DRR351047	DRA013566	DRS303915	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445409		Mushroom bodies from 25-36 female Athalia rosae_replicate3		GLPR_019_20	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	23614311	1700230392	1164997318	90.0		72.0	0.0	Application Read	Forward	1.0	UT-BS	DRA013566	37146148.0	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351047/DRR351047.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351047/DRR351047	gs://sra-pub-zq-109/DRR351047/DRR351047.lite.1	mushroom_body	mushroom_body
Athalia rosae	mushroom body	mushroom_body		female				yes	yes	no		PRJDB13147	SAMD00445407	DRX337038	DRR351049	DRA013566	DRS303913	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445407		Mushroom bodies from 1-12 female Athalia rosae_replicate1		LP_052_07	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	24114029	1736210088	1152256602	140.0		72.0	0.0	Application Read	Forward	1.0	UT-BS	DRA013566	37146148.0	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351049/DRR351049.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351049/DRR351049	gs://sra-pub-zq-109/DRR351049/DRR351049.lite.1	mushroom_body	mushroom_body
Athalia rosae	whole organism	adult		female				yes	yes	no		PRJNA275665	SAMN03375455	SRX903107	SRR1842140	SRA245707	SRS865591	SRP055887	Athalia rosae RNAseq	RNA sequencing of Athalia rosae whole organism sample AROS.00-female-WT-66	RNA sequencing of Athalia rosae whole organism sample AROS.00-female-WT-66	Sample from Athalia rosae female WT-66		ICD_SFI5MH.WT-66-1_2pA	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	8869760	1791691520	1215489144	426.0		202.0	0.0	Application Read	Forward	1.0	BCM	bcm-sra-AROS.00-female-WT-66_Illumina_20150305		37344	2015-03-05 18:46:54	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/842/SRR1842140/SRR1842140.sralite.1	s3://sra-pub-zq-3/SRR1842140/SRR1842140.sralite.1	gs://sra-pub-zq-104/SRR1842140/SRR1842140.zq.1	adult	adult
Athalia rosae	whole organism	adult		female				yes	yes	no		PRJNA275665	SAMN03375454	SRX903106	SRR1842139	SRA245706	SRS865592	SRP055887	Athalia rosae RNAseq	RNA sequencing of Athalia rosae whole organism sample AROS.00-female-W-1544	RNA sequencing of Athalia rosae whole organism sample AROS.00-female-W-1544	Sample from Athalia rosae female W-1544		ICD_SFI5MH.W-1544-1_2pA	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	17739404	3583359608	2414024731	405.0		202.0	0.0	Application Read	Forward	1.0	BCM	bcm-sra-AROS.00-female-W-1544_Illumina_20150305		37344	2015-03-05 19:04:50	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/842/SRR1842139/SRR1842139.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1842139/SRR1842139	gs://sra-pub-zq-104/SRR1842139/SRR1842139.zq.1	adult	adult
Athalia rosae	whole organism	adult		male				yes	yes	no		PRJNA275665	SAMN03375456	SRX903108	SRR1842141	SRA245708	SRS865590	SRP055887	Athalia rosae RNAseq	RNA sequencing of Athalia rosae whole organism sample AROS.00-male-WT-63	RNA sequencing of Athalia rosae whole organism sample AROS.00-male-WT-63	Sample from Athalia rosae male WT-63		ICD_SFI5MH.WT-63-1_2pA	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	23012651	4648555502	3129147071	407.0		202.0	0.0	Application Read	Forward	1.0	BCM	bcm-sra-AROS.00-male-WT-63_Illumina_20150305		37344	2015-03-05 19:04:50	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/842/SRR1842141/SRR1842141.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1842141/SRR1842141	gs://sra-pub-zq-102/SRR1842141/SRR1842141.zq.1	adult	adult
Athalia rosae				NOT COLLECTED				yes	no	no_tissue_label		PRJEB45163	SAMEA7849440	ERX8976896	ERR9434987	ERA11121649	ERS5596600	ERP129274	Athalia rosae (turnip sawfly), genomic and transcriptomic data	Illumina HiSeq 4000 paired end sequencing	Illumina sequencing of sample accession SAMEA7849440 for study accession PRJEB45163.  This is part of an Illumina multiplexed sequencing run (44268_5). This submission includes reads tagged with the sequence GGGCGTGC.	0581a5d9-e1b3-4ba4-a1c8-7e3736703f0a-dtol			paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	15640522	4723437644	1897778720	200.0							WELLCOME SANGER INSTITUTE	PRJEB45163-WELLCOME_SANGER_INSTITUTE-20220328-1-2022-03-28T14:00:22Z		37344	2022-03-29 04:22:50	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR009/9434/ERR9434987/ERR9434987.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR9434987/ERR9434987	gs://sra-pub-zq-101/ERR9434987/ERR9434987.lite.1		
