scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	sample_name	breed	collected_by	collection_date	dev_stage	geo_loc_name	isolation_source	biosamplemodel	ena_first_public	ena_last_update	external_id	gal	gal_sample_id	insdc_center_alias	insdc_center_name	insdc_first_public	insdc_last_update	insdc_status	broker_name	collecting_institution	common_name	geographic_location	habitat	identified_by	identifier_affiliation	lifestage	organism_part	project_name	sample_same_as	specimen_id	specimen_voucher	tolid	sample_type	species_type	developmetal_stage	isolate	host	collection	extraction	nucleic_acid_type	final_sample	conc.	vol	total_amount	sequencing_platform	raw_reads	clean_reads	raw_base(g)	clean_base(g)	effective_rate(%)	error_rate(%)	q20(%)	q30(%)	gc_content(%)	forward_read	reverse_read	tissue_type	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Athalia rosae	mushroom body	Mushroom body		female						no		PRJDB13147	SAMD00445407	DRX337038	DRR351049	DRA013566	DRS303913	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445407		Mushroom bodies from 1-12 female Athalia rosae_replicate1		LP_052_07	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	24114029	1736210088	1152256602	140		72	0	Application Read	Forward	1	UT-BS	DRA013566	37146148	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351049/DRR351049.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351049/DRR351049	gs://sra-pub-zq-109/DRR351049/DRR351049.lite.1	MB_rep1	not applicable	Takayoshi Kuwabara	2020-11-30/2020-12-11	Adult	Japan:Tokyo	Tsukuba, Ibaraki, Japan	Invertebrate																																																		2759	33208	6656	50557	7399	2982298	37343	37344	Athalia rosae
Athalia rosae	mushroom body	Mushroom body		female						no		PRJDB13147	SAMD00445408	DRX337037	DRR351048	DRA013566	DRS303914	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445408		Mushroom bodies from 13-24 female Athalia rosae_replicate2		GLPR_019_19	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	18544256	1335186432	907125462	90		72	0	Application Read	Forward	1	UT-BS	DRA013566	37146148	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351048/DRR351048.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351048/DRR351048	gs://sra-pub-zq-109/DRR351048/DRR351048.lite.1	MB_rep2	not applicable	Takayoshi Kuwabara	2020-12-18/2021-02-12	Adult	Japan:Tokyo	Tsukuba, Ibaraki, Japan	Invertebrate																																																		2759	33208	6656	50557	7399	2982298	37343	37344	Athalia rosae
Athalia rosae	mushroom body	Mushroom body		female						no		PRJDB13147	SAMD00445409	DRX337036	DRR351047	DRA013566	DRS303915	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445409		Mushroom bodies from 25-36 female Athalia rosae_replicate3		GLPR_019_20	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	23614311	1700230392	1164997318	90		72	0	Application Read	Forward	1	UT-BS	DRA013566	37146148	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351047/DRR351047.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351047/DRR351047	gs://sra-pub-zq-109/DRR351047/DRR351047.lite.1	MB_rep3	not applicable	Takayoshi Kuwabara	2021-01-03/2021-02-12	Adult	Japan:Tokyo	Tsukuba, Ibaraki, Japan	Invertebrate																																																		2759	33208	6656	50557	7399	2982298	37343	37344	Athalia rosae
Athalia rosae	other brain region	Other brain region		female						no		PRJDB13147	SAMD00445410	DRX337035	DRR351046	DRA013566	DRS303916	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445410		Other brain regions from 1-12 female Athalia rosae_replicate1		LP_052_08	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	21491499	1547387928	1019544143	130		72	0	Application Read	Forward	1	UT-BS	DRA013566	37146148	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351046/DRR351046.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351046/DRR351046	gs://sra-pub-zq-109/DRR351046/DRR351046.lite.1	OB_rep1	not applicable	Takayoshi Kuwabara	2020-11-30/2020-12-11	Adult	Japan:Tokyo	Tsukuba, Ibaraki, Japan	Invertebrate																																																		2759	33208	6656	50557	7399	2982298	37343	37344	Athalia rosae
Athalia rosae	other brain region	Other brain region		female						no		PRJDB13147	SAMD00445411	DRX337034	DRR351045	DRA013566	DRS303917	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445411		Other brain regions from 12-24 female Athalia rosae_replicate2		GLPR_019_21	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	23284156	1676459232	1139059142	90		72	0	Application Read	Forward	1	UT-BS	DRA013566	37146148	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351045/DRR351045.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351045/DRR351045	gs://sra-pub-zq-109/DRR351045/DRR351045.lite.1	OB_rep2	not applicable	Takayoshi Kuwabara	2020-12-18/2021-02-12	Adult	Japan:Tokyo	Tsukuba, Ibaraki, Japan	Invertebrate																																																		2759	33208	6656	50557	7399	2982298	37343	37344	Athalia rosae
Athalia rosae	other brain region	Other brain region		female						no		PRJDB13147	SAMD00445412	DRX337033	DRR351044	DRA013566	DRS303918	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445412		Other brain regions from 25-36 female Athalia rosae_replicate3		GLPR_019_22	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	19629836	1413348192	978870435	90		72	0	Application Read	Forward	1	UT-BS	DRA013566	37146148	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351044/DRR351044.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351044/DRR351044	gs://sra-pub-zq-109/DRR351044/DRR351044.lite.1	OB_rep3	not applicable	Takayoshi Kuwabara	2021-01-03/2021-02-12	Adult	Japan:Tokyo	Tsukuba, Ibaraki, Japan	Invertebrate																																																		2759	33208	6656	50557	7399	2982298	37343	37344	Athalia rosae
Athalia rosae				NOT COLLECTED						no		PRJEB45163	SAMEA7849440	ERX8976896	ERR9434987	ERA11121649	ERS5596600	ERP129274	Athalia rosae (turnip sawfly), genomic and transcriptomic data	Illumina HiSeq 4000 paired end sequencing	Illumina sequencing of sample accession SAMEA7849440 for study accession PRJEB45163.  This is part of an Illumina multiplexed sequencing run (44268_5). This submission includes reads tagged with the sequence GGGCGTGC.	0581a5d9-e1b3-4ba4-a1c8-7e3736703f0a-dtol			paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	15640522	4723437644	1897778720	200							WELLCOME SANGER INSTITUTE	PRJEB45163-WELLCOME_SANGER_INSTITUTE-20220328-1-2022-03-28T14:00:22Z		37344	2022-03-29 04:22:50	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR009/9434/ERR9434987/ERR9434987.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR9434987/ERR9434987	gs://sra-pub-zq-101/ERR9434987/ERR9434987.lite.1	60094e0b5648450001839e75		GAVIN BROAD	2020-08-20					2021-01-22	2021-07-02	SAMEA7849440	Natural History Museum	NHMUK014444620	EarlhamInstitute	EarlhamInstitute	2021-01-22T13:35:11Z	2021-07-02T15:21:41Z	public	Collaborative Open Plant Omics broker account, Earlham Institute, Norwich	NATURAL HISTORY MUSEUM	coleseed sawfly	United Kingdom	Woodland, grassland, hedges	GAVIN BROAD	NATURAL HISTORY MUSEUM	adult	WHOLE ORGANISM	DTOL	SAMEA7849383	NHMUK014444620	NOT PROVIDED	iyAthRosa6																										2759	33208	6656	50557	7399	2982298	37343	37344	Athalia rosae
Athalia rosae	whole animal	Whole animal		male						no		PRJNA716060	SAMN18393271	SRX10405236	SRR14028630	SRA1208543	SRS8527602	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar40	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	57694434	17308330200	5401547982								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028630/SRR14028630.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028630/SRR14028630	gs://sra-pub-zq-104/SRR14028630/SRR14028630.lite.1		NA		2019-10-02		Germany: Bielefeld	F4 bred from wild ind	Invertebrate																									RNA	Insect	L4 larvae	NSSL9	NA	Adults killed in liquid nitrogen and then stored at -80oC until extraction.	Invitrogen PureLink RNA Mini Kit with on column DNase treatment.	total RNA	Dissolved RNA-free or DEPC treated water	588	20	11760	NovaSeq6000 with S4 Flowcells (Illumina, CA, United States)	57694434	56446266	17.3	16.9	97.84	0.03	97.96	94.13	45.8				2759	33208	6656	50557	7399	2982298	37343	37344	Athalia rosae
Athalia rosae	whole animal	Whole animal		male						no		PRJNA716060	SAMN18393270	SRX10405235	SRR14028631	SRA1208543	SRS8527601	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar39	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	54123065	16236919500	5045961638								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028631/SRR14028631.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028631/SRR14028631	gs://sra-pub-zq-104/SRR14028631/SRR14028631.lite.1		NA		2019-10-02		Germany: Bielefeld	F4 bred from wild ind	Invertebrate																									RNA	Insect	L4 larvae	NSSL8	NA	Adults killed in liquid nitrogen and then stored at -80oC until extraction.	Invitrogen PureLink RNA Mini Kit with on column DNase treatment.	total RNA	Dissolved RNA-free or DEPC treated water	876	20	17520	NovaSeq6000 with S4 Flowcells (Illumina, CA, United States)	54123065	52918343	16.2	15.9	97.77	0.03	97.97	94.22	44.62				2759	33208	6656	50557	7399	2982298	37343	37344	Athalia rosae
Athalia rosae	whole animal	Whole animal		male						no		PRJNA716060	SAMN18393269	SRX10405234	SRR14028632	SRA1208543	SRS8527600	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar38	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	51629515	15488854500	4849829864								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028632/SRR14028632.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028632/SRR14028632	gs://sra-pub-zq-104/SRR14028632/SRR14028632.lite.1		NA		2019-10-02		Germany: Bielefeld	F4 bred from wild ind	Invertebrate																									RNA	Insect	L4 larvae	NSSL5	NA	Adults killed in liquid nitrogen and then stored at -80oC until extraction.	Invitrogen PureLink RNA Mini Kit with on column DNase treatment.	total RNA	Dissolved RNA-free or DEPC treated water	1131	20	22620	NovaSeq6000 with S4 Flowcells (Illumina, CA, United States)	51629515	50233243	15.5	15.1	97.3	0.03	97.87	93.98	45.52				2759	33208	6656	50557	7399	2982298	37343	37344	Athalia rosae
