scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link
Athalia rosae	mushroom body	Mushroom body		female				yes	yes	no		PRJDB13147	SAMD00445407	DRX337038	DRR351049	DRA013566	DRS303913	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445407		Mushroom bodies from 1-12 female Athalia rosae_replicate1		LP_052_07	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	24114029	1736210088	1152256602	140.0		72.0	0.0	Application Read	Forward	1.0	UT-BS	DRA013566	37146148.0	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351049/DRR351049.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351049/DRR351049	gs://sra-pub-zq-109/DRR351049/DRR351049.lite.1
Athalia rosae	mushroom body	Mushroom body		female				yes	yes	no		PRJDB13147	SAMD00445408	DRX337037	DRR351048	DRA013566	DRS303914	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445408		Mushroom bodies from 13-24 female Athalia rosae_replicate2		GLPR_019_19	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	18544256	1335186432	907125462	90.0		72.0	0.0	Application Read	Forward	1.0	UT-BS	DRA013566	37146148.0	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351048/DRR351048.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351048/DRR351048	gs://sra-pub-zq-109/DRR351048/DRR351048.lite.1
Athalia rosae	mushroom body	Mushroom body		female				yes	yes	no		PRJDB13147	SAMD00445409	DRX337036	DRR351047	DRA013566	DRS303915	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445409		Mushroom bodies from 25-36 female Athalia rosae_replicate3		GLPR_019_20	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	23614311	1700230392	1164997318	90.0		72.0	0.0	Application Read	Forward	1.0	UT-BS	DRA013566	37146148.0	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351047/DRR351047.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351047/DRR351047	gs://sra-pub-zq-109/DRR351047/DRR351047.lite.1
Athalia rosae	other brain region	Other brain region		female				yes	yes	no		PRJDB13147	SAMD00445410	DRX337035	DRR351046	DRA013566	DRS303916	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445410		Other brain regions from 1-12 female Athalia rosae_replicate1		LP_052_08	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	21491499	1547387928	1019544143	130.0		72.0	0.0	Application Read	Forward	1.0	UT-BS	DRA013566	37146148.0	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351046/DRR351046.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351046/DRR351046	gs://sra-pub-zq-109/DRR351046/DRR351046.lite.1
Athalia rosae	other brain region	Other brain region		female				yes	yes	no		PRJDB13147	SAMD00445411	DRX337034	DRR351045	DRA013566	DRS303917	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445411		Other brain regions from 12-24 female Athalia rosae_replicate2		GLPR_019_21	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	23284156	1676459232	1139059142	90.0		72.0	0.0	Application Read	Forward	1.0	UT-BS	DRA013566	37146148.0	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351045/DRR351045.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351045/DRR351045	gs://sra-pub-zq-109/DRR351045/DRR351045.lite.1
Athalia rosae	other brain region	Other brain region		female				yes	yes	no		PRJDB13147	SAMD00445412	DRX337033	DRR351044	DRA013566	DRS303918	DRP009974	RNA-seq of mushroom bodies and other brain regions in Athalia rosae	NextSeq 500 paired end sequencing of SAMD00445412		Other brain regions from 25-36 female Athalia rosae_replicate3		GLPR_019_22	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	19629836	1413348192	978870435	90.0		72.0	0.0	Application Read	Forward	1.0	UT-BS	DRA013566	37146148.0	37344	2023-05-11 12:54:04	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/351/DRR351044/DRR351044.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR351044/DRR351044	gs://sra-pub-zq-109/DRR351044/DRR351044.lite.1
Athalia rosae	whole animal	Whole animal		male				yes	yes	no		PRJNA716060	SAMN18393271	SRX10405236	SRR14028630	SRA1208543	SRS8527602	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar40	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	57694434	17308330200	5401547982								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028630/SRR14028630.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028630/SRR14028630	gs://sra-pub-zq-104/SRR14028630/SRR14028630.lite.1
Athalia rosae	whole animal	Whole animal		male				yes	yes	no		PRJNA716060	SAMN18393270	SRX10405235	SRR14028631	SRA1208543	SRS8527601	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar39	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	54123065	16236919500	5045961638								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028631/SRR14028631.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028631/SRR14028631	gs://sra-pub-zq-104/SRR14028631/SRR14028631.lite.1
Athalia rosae	whole animal	Whole animal		male				yes	yes	no		PRJNA716060	SAMN18393269	SRX10405234	SRR14028632	SRA1208543	SRS8527600	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar38	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	51629515	15488854500	4849829864								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028632/SRR14028632.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028632/SRR14028632	gs://sra-pub-zq-104/SRR14028632/SRR14028632.lite.1
Athalia rosae	whole animal	Whole animal		male				yes	yes	no		PRJNA716060	SAMN18393268	SRX10405233	SRR14028633	SRA1208543	SRS8527599	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar37	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	52327892	15698367600	4907343666								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028633/SRR14028633.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028633/SRR14028633	gs://sra-pub-zq-104/SRR14028633/SRR14028633.lite.1
