target_id	tau	highest	order
lcl|NW_012130065.1_mrna_XM_012198564.1_51	0.475755349024072	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198572.1_456	0.900746949109119	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198583.1_457	0.467356408587014	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012198594.1_458	0.331732434004327	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012198605.1_459	0.37214546792758	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198614.1_460	0.487120630833629	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198625.1_461	0.656480118524834	whole brains	whole brains|central brain|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012198636.1_462	0.475019926883672	whole brains	whole brains|central brain|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012198647.1_463	0.411658206683848	whole brains	whole brains|central brain|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012198658.1_464	0.911771810155163	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198669.1_465	0.414464501133891	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012198678.1_466	0.406766853516502	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198689.1_469	0.782313773725399	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198699.1_468	0.556374715553537	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198706.1_467	0.288327676141013	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198717.1_470	0.81056302968038	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198724.1_471	0.597670655799986	whole brains	whole brains|central brain|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012198730.1_473	0.936627623756347	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198740.1_474	0.924175086423319	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198749.1_476	0.928454881626328	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198760.1_477	0.988515436127046	neuronal cultures	neuronal cultures|central brain|whole brains
lcl|NW_012130065.1_mrna_XM_012198765.1_52	0.83586261244209	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198772.1_478	0.993368285054263	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198783.1_479	0.967616380035816	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198793.1_481	0.567333219041813	whole brains	whole brains|central brain|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012198804.1_483	0.969370993537792	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198815.1_484	0.977981785784096	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198826.1_486	0.984757378414003	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198838.1_487	0.522308963083292	whole brains	whole brains|central brain|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012198849.1_488	0.931652819610853	neuronal cultures	neuronal cultures|central brain|whole brains
lcl|NW_012130065.1_mrna_XM_012198860.1_490	0.748129036024343	neuronal cultures	neuronal cultures|central brain|whole brains
lcl|NW_012130065.1_mrna_XM_012198871.1_489	0.86381652749171	neuronal cultures	neuronal cultures|central brain|whole brains
lcl|NW_012130065.1_mrna_XM_012198875.1_53	0.751339230115872	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012198883.1_491	0.371104049423587	central brain	central brain|neuronal cultures|whole brains
lcl|NW_012130065.1_mrna_XM_012198893.1_492	0.604256522805343	central brain	central brain|neuronal cultures|whole brains
lcl|NW_012130065.1_mrna_XM_012198901.1_493	0.574876372889134	central brain	central brain|neuronal cultures|whole brains
lcl|NW_012130065.1_mrna_XM_012198906.1_9	0.12993265543634	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012198910.1_494	0.356782439726979	central brain	central brain|neuronal cultures|whole brains
lcl|NW_012130065.1_mrna_XM_012198921.1_495	0.413321267414173	central brain	central brain|whole brains|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012198931.1_496	0.633211945778292	neuronal cultures	neuronal cultures|central brain|whole brains
lcl|NW_012130065.1_mrna_XM_012198939.1_497	0.523353527465399	neuronal cultures	neuronal cultures|central brain|whole brains
lcl|NW_012130065.1_mrna_XM_012198948.1_498	0.92156106216161	central brain	central brain|whole brains|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012198959.1_499	0.547301205343595	central brain	central brain|neuronal cultures|whole brains
lcl|NW_012130065.1_mrna_XM_012198969.1_500	0.170632144725234	whole brains	whole brains|central brain|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012198973.1_54	0.914085440490094	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012198981.1_502	0.56109487577749	central brain	central brain|whole brains|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012198992.1_503	0.415968914994577	whole brains	whole brains|central brain|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012199003.1_504	0.44210185800732	central brain	central brain|neuronal cultures|whole brains
lcl|NW_012130065.1_mrna_XM_012199014.1_505	0.285479089519717	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012199024.1_507	0.457992247989451	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012199035.1_509	0.819434938679246	central brain	central brain|whole brains|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012199046.1_510	0.512155405349134	central brain	central brain|neuronal cultures|whole brains
lcl|NW_012130065.1_mrna_XM_012199057.1_511	0.531058364000364	neuronal cultures	neuronal cultures|central brain|whole brains
lcl|NW_012130065.1_mrna_XM_012199068.1_513	0.178075823788896	neuronal cultures	neuronal cultures|central brain|whole brains
lcl|NW_012130065.1_mrna_XM_012199078.1_514	0.24639730282001	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012199083.1_55	0.624038454932545	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012199090.1_515	0.096305029802942	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012199101.1_516	0.453455008168645	whole brains	whole brains|central brain|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012199112.1_518	0.2023708147812	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012199123.1_519	0.377626024501191	central brain	central brain|whole brains|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012199135.1_1	0.654583064292216	whole brains	whole brains|central brain|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012199146.1_2	0.904471097818644	central brain	central brain|neuronal cultures|whole brains
lcl|NW_012130065.1_mrna_XM_012199156.1_3	0.574092082425429	neuronal cultures	neuronal cultures|central brain|whole brains
lcl|NW_012130065.1_mrna_XM_012199166.1_5	0.36159518302342	central brain	central brain|whole brains|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012199177.1_6	0.469609455043042	whole brains	whole brains|central brain|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012199188.1_11	0.454814634224404	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012199192.1_56	0.790443963758239	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012199200.1_15	0.779213371181799	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012199211.1_17	0.906210298125255	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012199221.1_23	0.790951664658087	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012199232.1_24	0.962677650703394	whole brains	whole brains|central brain|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012199243.1_34	0.622052326839176	whole brains	whole brains|central brain|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012199254.1_38	0.944921411194391	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012199264.1_39	0.950365494378992	whole brains	whole brains|neuronal cultures|central brain
lcl|NW_012130065.1_mrna_XM_012199275.1_43	0.902392453667995	whole brains	whole brains|central brain|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012199286.1_46	0.827368435209163	whole brains	whole brains|central brain|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012199293.1_48	0.879096748227252	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012199298.1_60	0.938886352289709	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012199305.1_49	0.594433393665166	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012199315.1_57	0.91849693223543	whole brains	whole brains|central brain|neuronal cultures
lcl|NW_012130065.1_mrna_XM_012199326.1_58	0.496598277009451	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012199338.1_59	0.935119881927521	neuronal cultures	neuronal cultures|whole brains|central brain
lcl|NW_012130065.1_mrna_XM_012199357.1_62	0.42051266235684	neuronal cultures	neuronal cultures|whole brains|central brain
