scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	mapping_rate
Camponotus floridanus	antennae	antennae	NA				antennae	yes	yes	no	NA	PRJNA1216272	SAMN46430772	SRX27489896	SRR32143999	SRA2062353	SRS23911787	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759786: Cflo_01_Mj2; Camponotus floridanus; RNA-Seq		Cflo_01_Mj2		GSM8759786	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	12258473	3702058846	1226364839	NA	NA	NA	NA			NA		Biology, University of Florida	SUB15042868	40849535	104421	2025-06-23 14:45:32	NA	NA	NA	NA	1	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143999/SRR32143999.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143999/SRR32143999	gs://sra-pub-zq-107/SRR32143999/SRR32143999.lite.1	69.4
Camponotus floridanus	antennae	antennae	NA				antennae	yes	yes	no	NA	PRJNA1216272	SAMN46430756	SRX27489912	SRR32143983	SRA2062353	SRS23911802	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759802: Cflo_18_Mn14; Camponotus floridanus; RNA-Seq		Cflo_18_Mn14		GSM8759802	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	14814356	4473935512	1488702524	NA	NA	NA	NA			NA		Biology, University of Florida	SUB15042868	40849535	104421	2025-06-23 14:45:33	NA	NA	NA	NA	1	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143983/SRR32143983.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143983/SRR32143983	gs://sra-pub-zq-107/SRR32143983/SRR32143983.lite.1	65.1
Camponotus floridanus	antennae	antennae	NA				antennae	yes	yes	no	NA	PRJNA1216272	SAMN46430762	SRX27489906	SRR32143989	SRA2062353	SRS23911794	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759796: Cflo_11_Mj11; Camponotus floridanus; RNA-Seq		Cflo_11_Mj11		GSM8759796	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	15270367	4611650834	1539231890	NA	NA	NA	NA			NA		Biology, University of Florida	SUB15042868	40849535	104421	2025-06-23 14:45:32	NA	NA	NA	NA	1	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143989/SRR32143989.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143989/SRR32143989	gs://sra-pub-zq-107/SRR32143989/SRR32143989.lite.1	55.6
Camponotus floridanus	antennae	antennae	NA				antennae	yes	yes	no	NA	PRJNA1216272	SAMN46430753	SRX27489915	SRR32143980	SRA2062353	SRS23911805	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759805: Cflo_21_Mj16; Camponotus floridanus; RNA-Seq		Cflo_21_Mj16		GSM8759805	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	15710638	4744612676	1569215763	NA	NA	NA	NA			NA		Biology, University of Florida	SUB15042868	40849535	104421	2025-06-23 14:45:33	NA	NA	NA	NA	1	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143980/SRR32143980.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143980/SRR32143980	gs://sra-pub-zq-107/SRR32143980/SRR32143980.lite.1	72.3
Camponotus floridanus	antennae	antennae	NA				antennae	yes	yes	no	NA	PRJNA1216272	SAMN46430758	SRX27489910	SRR32143984	SRA2062353	SRS23911801	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759800: Cflo_16_Mn13; Camponotus floridanus; RNA-Seq		Cflo_16_Mn13		GSM8759800	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	15844505	4785040510	1605935323	NA	NA	NA	NA			NA		Biology, University of Florida	SUB15042868	40849535	104421	2025-06-23 14:45:33	NA	NA	NA	NA	1	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143984/SRR32143984.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143984/SRR32143984	gs://sra-pub-zq-107/SRR32143984/SRR32143984.lite.1	64.9
Camponotus floridanus	antennae	antennae	NA				antennae	yes	yes	no	NA	PRJNA1216272	SAMN46430754	SRX27489914	SRR32143981	SRA2062353	SRS23911806	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759804: Cflo_20_Mn15; Camponotus floridanus; RNA-Seq		Cflo_20_Mn15		GSM8759804	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	16161443	4880755786	1620621415	NA	NA	NA	NA			NA		Biology, University of Florida	SUB15042868	40849535	104421	2025-06-23 14:45:33	NA	NA	NA	NA	1	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143981/SRR32143981.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143981/SRR32143981	gs://sra-pub-zq-107/SRR32143981/SRR32143981.lite.1	66.9
Camponotus floridanus	antennae	antennae	NA				antennae	yes	yes	no	NA	PRJNA1216272	SAMN46430770	SRX27489898	SRR32143997	SRA2062353	SRS23911791	SRP560227	Caste- and environment-associated differential expression of odorant receptors in pest ants	GSM8759788: Cflo_03_Mj9; Camponotus floridanus; RNA-Seq		Cflo_03_Mj9		GSM8759788	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	16227536	4900715872	1638475304	NA	NA	NA	NA			NA		Biology, University of Florida	SUB15042868	40849535	104421	2025-06-23 14:45:34	NA	NA	NA	NA	1	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR032/32143/SRR32143997/SRR32143997.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32143997/SRR32143997	gs://sra-pub-zq-107/SRR32143997/SRR32143997.lite.1	64.7
Camponotus floridanus	antennae	antennae	NA	male				yes	yes	no	NA	PRJNA286793	SAMN03770695	SRX1056748	SRR2060721	SRA272677	SRS959344	SRP059389	Antennal transcriptome profiling of two ants: Camponotus floridanus and Harpegnathos saltator	C. floridanus male antennal RNA-seq			C. floridanus male antennae		single	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	33421622	1704502722	1366952323	NA	NA	51	0	Application Read	Forward	1	Laurence J Zwiebel	Vanderbilt University	Cflo_male	22952454	104421	2015-08-26 00:00:00	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/060/SRR2060721/SRR2060721.sralite.1	s3://sra-pub-zq-6/SRR2060721/SRR2060721.sralite.1	gs://sra-pub-zq-102/SRR2060721/SRR2060721.zq.1	61.9
Camponotus floridanus	antennae	antennae	NA	female				yes	yes	no	NA	PRJNA286793	SAMN03770697	SRX1056797	SRR2060723	SRA272677	SRS959393	SRP059389	Antennal transcriptome profiling of two ants: Camponotus floridanus and Harpegnathos saltator	C. floridanus minor worker antennal RNA-seq			C. floridanus minor worker antennae		paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	33626855	3362685500	2214318302	NA	0	100	0	Application Read	Forward	1	Laurence J Zwiebel	Vanderbilt University	Cflo_male	22952454	104421	2015-08-26 00:00:00	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/060/SRR2060723/SRR2060723.sralite.1	s3://sra-pub-zq-2/SRR2060723/SRR2060723.sralite.1	gs://sra-pub-zq-102/SRR2060723/SRR2060723.zq.1	60.9
Camponotus floridanus	antennae	antennae	NA	female				yes	yes	no	NA	PRJNA286793	SAMN03770696	SRX1056795	SRR2060722	SRA272677	SRS959391	SRP059389	Antennal transcriptome profiling of two ants: Camponotus floridanus and Harpegnathos saltator	C. floridanus major worker antennal RNA-seq			C. floridanus major worker antennae		paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	47387899	4738789900	3115599193	NA	0	100	0	Application Read	Forward	1	Laurence J Zwiebel	Vanderbilt University	Cflo_male	22952454	104421	2015-08-26 00:00:00	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/060/SRR2060722/SRR2060722.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2060722/SRR2060722	gs://sra-pub-zq-103/SRR2060722/SRR2060722.zq.1	61.9
