target_id	tau	highest	order
lcl|NW_020229214.1_miscrna_XR_003122377.1_1192	0.197084311195281	central brain	central brain|head|embryo|brain|whole body|antennae
lcl|NW_020229214.1_miscrna_XR_003122378.1_221	0.743803938288553	whole body	whole body|embryo|central brain|head|antennae|brain
lcl|NW_020229214.1_miscrna_XR_003122444.1_22	0.803369371454959	antennae	antennae|head|brain|central brain|whole body|embryo
lcl|NW_020229214.1_miscrna_XR_003122477.1_337	0.440782916626065	antennae	antennae|embryo|head|central brain|whole body|brain
lcl|NW_020229214.1_miscrna_XR_003122537.1_445	0.684880032698966	brain	brain|central brain|head|antennae|whole body|embryo
lcl|NW_020229214.1_miscrna_XR_003122546.1_438	0.400064071398751	embryo	embryo|antennae|head|whole body|brain|central brain
lcl|NW_020229214.1_miscrna_XR_003122686.1_153	0.857314605982084	embryo	embryo|whole body|antennae|head|brain|central brain
lcl|NW_020229214.1_miscrna_XR_003122699.1_204	0.71640413821849	brain	brain|antennae|head|central brain|whole body
lcl|NW_020229214.1_miscrna_XR_003122700.1_205	0.382965867762883	central brain	central brain|whole body|head|brain|antennae
lcl|NW_020229214.1_miscrna_XR_003122716.1_1194	0.67938222104385	central brain	central brain|brain|whole body|head|antennae
lcl|NW_020229214.1_miscrna_XR_003122831.1_101	0.836695944661505	embryo	embryo|whole body|central brain|antennae|brain|head
lcl|NW_020229214.1_miscrna_XR_003122855.1_30	0.864403276654592	embryo	embryo|antennae|head|whole body|central brain|brain
lcl|NW_020229214.1_miscrna_XR_003122919.1_1158	0.616173780431991	head	head|whole body|antennae|brain|central brain
lcl|NW_020229214.1_miscrna_XR_003123143.1_827	0.729168186088615	head	head|antennae|whole body|brain|central brain
lcl|NW_020229214.1_miscrna_XR_003123266.1_1148	0.578609718531156	whole body	whole body|antennae|head|brain|embryo|central brain
lcl|NW_020229214.1_miscrna_XR_003123309.1_1042	0.479104721361519	brain	brain|head|antennae|central brain|whole body|embryo
lcl|NW_020229214.1_miscrna_XR_003123339.1_1150	0.611728088947549	head	head|whole body|brain|antennae|central brain
lcl|NW_020229214.1_miscrna_XR_003123588.1_424	0.505471759609912	embryo	embryo|antennae|head|whole body|brain|central brain
lcl|NW_020229214.1_miscrna_XR_003123748.1_904	0.649241463102718	central brain	central brain|brain|head|antennae|whole body
lcl|NW_020229214.1_miscrna_XR_003123752.1_916	0.853185509220052	embryo	embryo|antennae|whole body|head|brain|central brain
lcl|NW_020229214.1_miscrna_XR_003123753.1_917	0.400463710867347	central brain	central brain|brain|whole body|head|antennae|embryo
lcl|NW_020229214.1_miscrna_XR_003123781.1_974	0.580978022223198	antennae	antennae|brain|central brain|head|whole body|embryo
lcl|NW_020229214.1_miscrna_XR_889112.3_129	0.518312674020443	central brain	central brain|brain|head|antennae|embryo|whole body
lcl|NW_020229214.1_miscrna_XR_889113.2_147	0.697858908678405	brain	brain|central brain|head|antennae|whole body
lcl|NW_020229214.1_miscrna_XR_889116.3_201	0.634029744358604	head	head|central brain|brain|whole body|antennae
lcl|NW_020229214.1_miscrna_XR_889202.3_806	0.676738436692566	whole body	whole body|brain|antennae|head|central brain|embryo
lcl|NW_020229214.1_miscrna_XR_889203.2_804	0.504550166387305	head	head|antennae|whole body|brain|central brain
lcl|NW_020229214.1_miscrna_XR_889452.3_450	0.33797986885097	whole body	whole body|brain|embryo|antennae|central brain|head
lcl|NW_020229214.1_mrna_XM_011253235.3_289	0.891145811971154	antennae	antennae|whole body|head|brain|central brain|embryo
lcl|NW_020229214.1_mrna_XM_011253236.3_288	0.74746730065391	antennae	antennae|embryo|head|whole body|brain|central brain
lcl|NW_020229214.1_mrna_XM_011253237.3_287	0.306925895476511	whole body	whole body|head|antennae|brain|embryo|central brain
lcl|NW_020229214.1_mrna_XM_011253238.3_291	0.515510198248247	embryo	embryo|brain|head|whole body|central brain|antennae
lcl|NW_020229214.1_mrna_XM_011253239.3_290	0.729269092194189	embryo	embryo|head|central brain|brain|antennae|whole body
lcl|NW_020229214.1_mrna_XM_011253240.3_292	0.837491453852837	embryo	embryo|antennae|central brain|head|whole body|brain
lcl|NW_020229214.1_mrna_XM_011253241.3_296	0.944900154360246	embryo	embryo|whole body|head|antennae|brain|central brain
lcl|NW_020229214.1_mrna_XM_011253242.1_293	0.641257781745203	embryo	embryo|whole body|head|brain|antennae|central brain
lcl|NW_020229214.1_mrna_XM_011253244.3_295	0.982939957985543	embryo	embryo|whole body|head|brain|central brain
lcl|NW_020229214.1_mrna_XM_011253245.2_294	0.789447118900337	embryo	embryo|whole body|head|central brain|brain|antennae
lcl|NW_020229214.1_mrna_XM_011253246.3_305	0.796316304973172	embryo	embryo|head|whole body|antennae|central brain|brain
lcl|NW_020229214.1_mrna_XM_011253247.3_303	0.110236303324559	brain	brain|embryo|central brain|antennae|whole body|head
lcl|NW_020229214.1_mrna_XM_011253248.3_298	0.511448921635414	central brain	central brain|brain|whole body|antennae|head|embryo
lcl|NW_020229214.1_mrna_XM_011253249.3_300	0.9369187130697	embryo	embryo|whole body|brain|central brain|head|antennae
lcl|NW_020229214.1_mrna_XM_011253250.3_297	0.705301116978593	whole body	whole body|antennae|head|brain|central brain|embryo
lcl|NW_020229214.1_mrna_XM_011253252.3_306	0.650852373291852	embryo	embryo|central brain|brain|whole body|head|antennae
lcl|NW_020229214.1_mrna_XM_011253254.3_307	0.999661076058316	embryo	embryo|antennae|head|central brain|brain|whole body
lcl|NW_020229214.1_mrna_XM_011253255.3_309	0.63141199985282	embryo	embryo|brain|central brain|head|whole body|antennae
lcl|NW_020229214.1_mrna_XM_011253256.3_311	0.584276624978114	embryo	embryo|central brain|brain|whole body|head|antennae
lcl|NW_020229214.1_mrna_XM_011253257.3_310	0.494967762002564	central brain	central brain|embryo|brain|head|whole body|antennae
lcl|NW_020229214.1_mrna_XM_011253258.3_315	0.63782290872896	embryo	embryo|antennae|head|brain|whole body|central brain
lcl|NW_020229214.1_mrna_XM_011253260.3_316	0.617682748851078	embryo	embryo|whole body|head|brain|antennae|central brain
lcl|NW_020229214.1_mrna_XM_011253262.3_318	0.634968263234189	embryo	embryo|whole body|head|antennae|brain|central brain
lcl|NW_020229214.1_mrna_XM_011253263.3_324	0.385532247523787	antennae	antennae|central brain|brain|head|whole body|embryo
lcl|NW_020229214.1_mrna_XM_011253264.3_323	0.392033222056573	whole body	whole body|head|brain|central brain|antennae|embryo
lcl|NW_020229214.1_mrna_XM_011253265.3_322	0.772226645969153	embryo	embryo|brain|head|whole body|central brain|antennae
lcl|NW_020229214.1_mrna_XM_011253266.2_325	0.635557901860143	head	head|central brain|brain|embryo|antennae|whole body
lcl|NW_020229214.1_mrna_XM_011253269.3_326	0.538923915018085	head	head|central brain|embryo|brain|antennae|whole body
lcl|NW_020229214.1_mrna_XM_011253270.3_327	0.966659777388331	embryo	embryo|whole body|brain|central brain|antennae|head
lcl|NW_020229214.1_mrna_XM_011253271.3_328	0.321931132440444	central brain	central brain|embryo|brain|head|antennae|whole body
lcl|NW_020229214.1_mrna_XM_011253272.3_329	0.6592743651594	embryo	embryo|antennae|head|whole body|brain|central brain
lcl|NW_020229214.1_mrna_XM_011253274.3_330	0.339756649955589	embryo	embryo|central brain|brain|antennae|head|whole body
lcl|NW_020229214.1_mrna_XM_011253275.3_332	0.637835841762364	antennae	antennae|head|whole body|brain|central brain|embryo
lcl|NW_020229214.1_mrna_XM_011253276.3_335	0.865303403322696	embryo	embryo|whole body|head|brain|antennae|central brain
lcl|NW_020229214.1_mrna_XM_011253277.3_334	0.912520808785335	head	head|antennae|whole body|brain|central brain
lcl|NW_020229214.1_mrna_XM_011253278.3_333	0.871368334505402	head	head|whole body|antennae|brain|central brain
lcl|NW_020229214.1_mrna_XM_011253279.3_336	0.95668792231133	embryo	embryo|central brain|antennae|whole body|brain|head
lcl|NW_020229214.1_mrna_XM_011253282.3_340	0.328916039118115	antennae	antennae|head|central brain|brain|whole body|embryo
lcl|NW_020229214.1_mrna_XM_011253283.3_341	0.379480458407001	head	head|antennae|embryo|central brain|brain|whole body
lcl|NW_020229214.1_mrna_XM_011253284.3_344	0.556351344314062	antennae	antennae|embryo|whole body|central brain|head|brain
lcl|NW_020229214.1_mrna_XM_011253285.1_304	0.525691104625007	antennae	antennae|head|central brain|whole body|brain
lcl|NW_020229214.1_mrna_XM_011253766.3_260	0.657185504028867	embryo	embryo|central brain|antennae|brain|head|whole body
lcl|NW_020229214.1_mrna_XM_011253767.3_261	0.628477644490165	head	head|whole body|antennae|embryo|brain|central brain
lcl|NW_020229214.1_mrna_XM_011253769.2_273	0.795970969275403	head	head|whole body|embryo|antennae|brain|central brain
lcl|NW_020229214.1_mrna_XM_011253773.3_269	0.916911449118161	embryo	embryo|central brain|brain|whole body|antennae|head
lcl|NW_020229214.1_mrna_XM_011253774.3_271	0.928290635130519	embryo	embryo|central brain|brain|head|antennae|whole body
lcl|NW_020229214.1_mrna_XM_011253775.2_276	0.898888048394243	embryo	embryo|brain|central brain|antennae|head|whole body
lcl|NW_020229214.1_mrna_XM_011253776.3_280	0.536938625411811	embryo	embryo|central brain|head|brain|antennae|whole body
lcl|NW_020229214.1_mrna_XM_011253777.3_278	0.402449840797567	embryo	embryo|head|brain|central brain|antennae|whole body
lcl|NW_020229214.1_mrna_XM_011253778.3_279	0.3475616390931	antennae	antennae|head|brain|whole body|embryo|central brain
lcl|NW_020229214.1_mrna_XM_011255201.3_1212	0.436171472028389	head	head|antennae|brain|central brain|embryo|whole body
lcl|NW_020229214.1_mrna_XM_011255202.3_1211	0.195959859675657	antennae	antennae|brain|central brain|head|embryo|whole body
lcl|NW_020229214.1_mrna_XM_011255203.3_1210	0.560928137883403	whole body	whole body|embryo|head|antennae|brain|central brain
lcl|NW_020229214.1_mrna_XM_011255204.3_1209	0.756013512195146	head	head|whole body|antennae|brain|central brain|embryo
lcl|NW_020229214.1_mrna_XM_011255206.3_1208	0.609177601716043	antennae	antennae|head|central brain|embryo|whole body|brain
lcl|NW_020229214.1_mrna_XM_011255207.3_1207	0.641131289442121	antennae	antennae|central brain|head|brain|whole body|embryo
lcl|NW_020229214.1_mrna_XM_011255208.3_1205	0.958649342595785	embryo	embryo|whole body|antennae|central brain|brain|head
lcl|NW_020229214.1_mrna_XM_011255209.3_1206	0.622745232162352	embryo	embryo|antennae|head|brain|central brain|whole body
lcl|NW_020229214.1_mrna_XM_011255210.3_1203	0.924994270835506	embryo	embryo|head|antennae|brain|central brain|whole body
lcl|NW_020229214.1_mrna_XM_011255211.3_1195	0.912965319255668	embryo	embryo|central brain|antennae|brain|whole body|head
lcl|NW_020229214.1_mrna_XM_011255214.3_1197	0.367506962953652	antennae	antennae|central brain|brain|whole body|head|embryo
lcl|NW_020229214.1_mrna_XM_011255215.3_1198	0.825147557239119	embryo	embryo|central brain|brain|head|whole body|antennae
lcl|NW_020229214.1_mrna_XM_011255218.3_1191	0.916737242090284	embryo	embryo|central brain|antennae|whole body|head|brain
lcl|NW_020229214.1_mrna_XM_011255223.3_1182	0.747016755549473	embryo	embryo|head|antennae|central brain|brain|whole body
lcl|NW_020229214.1_mrna_XM_011255224.3_1181	0.783298941131463	embryo	embryo|head|brain|antennae|central brain|whole body
lcl|NW_020229214.1_mrna_XM_011255225.3_1180	0.966704605113725	embryo	embryo|central brain|whole body|head|brain|antennae
lcl|NW_020229214.1_mrna_XM_011255226.3_1183	0.704895945441167	embryo	embryo|head|antennae|central brain|whole body|brain
lcl|NW_020229214.1_mrna_XM_011255227.3_1179	0.863597247241141	embryo	embryo|head|brain|central brain|antennae|whole body
lcl|NW_020229214.1_mrna_XM_011255228.3_1184	0.885717460609978	embryo	embryo|antennae|central brain|head|brain|whole body
lcl|NW_020229214.1_mrna_XM_011255229.3_1178	0.798710566950772	embryo	embryo|head|antennae|central brain|brain|whole body
lcl|NW_020229214.1_mrna_XM_011255230.3_1173	0.995853640735366	antennae	antennae|head|whole body|central brain|brain|embryo
lcl|NW_020229214.1_mrna_XM_011255236.3_1168	0.767858942220316	antennae	antennae|head|embryo|whole body|brain|central brain
lcl|NW_020229214.1_mrna_XM_011255237.3_1165	0.930489140656117	antennae	antennae|head|whole body|embryo|brain|central brain
lcl|NW_020229214.1_mrna_XM_011255241.3_1163	0.53484481677016	head	head|antennae|central brain|brain|whole body|embryo
lcl|NW_020229214.1_mrna_XM_011255242.3_1164	0.23271158015489	brain	brain|head|central brain|antennae|embryo|whole body
lcl|NW_020229214.1_mrna_XM_011255243.3_1162	0.585004614433877	head	head|antennae|whole body|brain|central brain|embryo
lcl|NW_020229214.1_mrna_XM_011255244.2_1161	0.674575363804047	antennae	antennae|head|whole body|brain|central brain
lcl|NW_020229214.1_mrna_XM_011255246.3_1159	0.307831022589523	central brain	central brain|brain|head|whole body|antennae|embryo
lcl|NW_020229214.1_mrna_XM_011255250.3_1151	0.882978173566298	head	head|whole body
lcl|NW_020229214.1_mrna_XM_011255251.3_1156	0.66988235188089	brain	brain|central brain|head|whole body|antennae|embryo
lcl|NW_020229214.1_mrna_XM_011255252.3_1152	0.374707975477342	head	head|whole body|brain|central brain|antennae|embryo
lcl|NW_020229214.1_mrna_XM_011255253.3_1147	0.965322655277957	embryo	embryo|antennae|brain|head|central brain|whole body
lcl|NW_020229214.1_mrna_XM_011255254.3_1146	0.962416498839161	embryo	embryo|antennae|whole body|brain|head|central brain
lcl|NW_020229214.1_mrna_XM_011255256.3_1143	0.531213137870321	embryo	embryo|head|antennae|whole body|central brain|brain
lcl|NW_020229214.1_mrna_XM_011255257.3_1140	0.909259217243037	antennae	antennae|head|whole body|central brain|brain
lcl|NW_020229214.1_mrna_XM_011255258.3_1141	0.945521837077351	antennae	antennae|whole body|head|brain|central brain
lcl|NW_020229214.1_mrna_XM_011255259.3_1138	0.893616531372669	antennae	antennae|central brain|brain|head
lcl|NW_020229214.1_mrna_XM_011255261.3_1135	0.639046633132835	head	head|central brain|brain|whole body|antennae|embryo
lcl|NW_020229214.1_mrna_XM_011255264.3_1132	0.691670976564356	central brain	central brain|brain|head|whole body|embryo|antennae
lcl|NW_020229214.1_mrna_XM_011255265.3_1131	0.707411964975652	central brain	central brain|brain|head|whole body|antennae
lcl|NW_020229214.1_mrna_XM_011255266.3_1136	0.632556714275158	brain	brain|central brain|head|whole body|embryo|antennae
lcl|NW_020229214.1_mrna_XM_011255268.3_1134	0.80586805362768	central brain	central brain|brain|head|whole body|antennae
lcl|NW_020229214.1_mrna_XM_011255269.3_1130	0.822897939662169	embryo	embryo|whole body|head|brain|antennae|central brain
lcl|NW_020229214.1_mrna_XM_011255273.3_1128	0.257997347923163	brain	brain|antennae|central brain|whole body|head|embryo
lcl|NW_020229214.1_mrna_XM_011255274.3_1126	0.236575173114742	central brain	central brain|brain|head|antennae|embryo|whole body
lcl|NW_020229214.1_mrna_XM_011255275.3_1127	0.339106205950203	antennae	antennae|head|whole body|central brain|brain|embryo
lcl|NW_020229214.1_mrna_XM_011255276.3_1123	0.809392693625683	embryo	embryo|head|brain|central brain|antennae|whole body
lcl|NW_020229214.1_mrna_XM_011255278.3_1125	0.288057528353443	whole body	whole body|embryo|brain|central brain|antennae|head
lcl|NW_020229214.1_mrna_XM_011255279.3_1124	0.615107971997954	embryo	embryo|antennae|central brain|brain|head|whole body
lcl|NW_020229214.1_mrna_XM_011255281.3_1117	0.973423395129679	embryo	embryo|central brain|brain|antennae|head|whole body
lcl|NW_020229214.1_mrna_XM_011255286.3_1115	0.585654382623924	antennae	antennae|brain|central brain|head|whole body|embryo
lcl|NW_020229214.1_mrna_XM_011255287.3_1107	0.58611339573179	brain	brain|central brain|head|antennae|embryo|whole body
lcl|NW_020229214.1_mrna_XM_011255289.3_1110	0.847314198189434	antennae	antennae|head|whole body|embryo|brain|central brain
lcl|NW_020229214.1_mrna_XM_011255290.3_1108	0.798594206067332	antennae	antennae|whole body|brain|head|central brain
lcl|NW_020229214.1_mrna_XM_011255291.3_1112	0.270346889629732	embryo	embryo|antennae|whole body|head|brain|central brain
lcl|NW_020229214.1_mrna_XM_011255293.3_1113	0.682283839594704	antennae	antennae|embryo|central brain|head|brain|whole body
lcl|NW_020229214.1_mrna_XM_011255294.3_1103	0.920402301759834	embryo	embryo|antennae|central brain|brain|head|whole body
lcl|NW_020229214.1_mrna_XM_011255295.3_1104	0.448974482771968	central brain	central brain|brain|head|embryo|antennae|whole body
lcl|NW_020229214.1_mrna_XM_011255296.3_1105	0.692365531174054	embryo	embryo|brain|whole body|central brain|antennae|head
lcl|NW_020229214.1_mrna_XM_011255297.2_1099	0.466172067700828	brain	brain|antennae|whole body|central brain|head|embryo
lcl|NW_020229214.1_mrna_XM_011255298.3_1100	0.670552797756921	whole body	whole body|head|antennae|embryo|brain|central brain
lcl|NW_020229214.1_mrna_XM_011255299.3_1101	0.372950969857785	head	head|antennae|whole body|brain|embryo|central brain
lcl|NW_020229214.1_mrna_XM_011255300.3_1098	0.419841231664805	embryo	embryo|head|antennae|whole body|brain|central brain
lcl|NW_020229214.1_mrna_XM_011255302.3_1097	0.278780406085093	brain	brain|embryo|head|central brain|whole body|antennae
lcl|NW_020229214.1_mrna_XM_011255314.3_1094	0.695328014059276	head	head|whole body|embryo|central brain|brain|antennae
lcl|NW_020229214.1_mrna_XM_011255316.3_1093	0.451480264264549	brain	brain|head|central brain|antennae|whole body|embryo
lcl|NW_020229214.1_mrna_XM_011255317.3_1087	0.948931010349123	head	head|whole body|antennae|brain|central brain
lcl|NW_020229214.1_mrna_XM_011255319.3_1090	0.932968404265042	embryo	embryo|central brain|head|brain|antennae|whole body
