target_id	tau	highest	order
lcl|NC_091864.1_miscrna_XR_011545548.1_122	0.974392663835323	whole body	whole body|whole body sample
lcl|NC_091864.1_miscrna_XR_011545557.1_103	0.585038945413079	whole body	whole body|whole body sample
lcl|NC_091864.1_miscrna_XR_011545672.1_398	0.410437753089755	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011545696.1_1154	0.688239803347885	whole body	whole body|whole body sample
lcl|NC_091864.1_miscrna_XR_011545717.1_1162	0.751787653181234	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011545718.1_1163	0.77651879855082	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011545721.1_1172	0.859499176462505	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011545722.1_1160	0.642753217028685	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011545723.1_1161	0.510915440776367	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011545724.1_1164	0.893135435099376	whole body	whole body|whole body sample
lcl|NC_091864.1_miscrna_XR_011545728.1_1173	0.333873414771799	whole body	whole body|whole body sample
lcl|NC_091864.1_miscrna_XR_011545780.1_1640	0.753027619509239	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011545781.1_1528	0.948034642944837	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011545782.1_1533	0.476428929841949	whole body	whole body|whole body sample
lcl|NC_091864.1_miscrna_XR_011545789.1_1532	1	whole body	whole body
lcl|NC_091864.1_miscrna_XR_011545946.1_796	0.108280351954593	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011546123.1_1116	0.160452791690394	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011546166.1_1211	0.231901003671605	whole body	whole body|whole body sample
lcl|NC_091864.1_miscrna_XR_011546248.1_1346	0.0931711624828571	whole body	whole body|whole body sample
lcl|NC_091864.1_miscrna_XR_011546337.1_291	0.247375980163883	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011546378.1_72	0.516347199092251	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011546387.1_68	0.531097181123188	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011546433.1_1729	0.113773838631975	whole body	whole body|whole body sample
lcl|NC_091864.1_miscrna_XR_011546503.1_363	0.541850343967622	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011546504.1_360	0.356997126861773	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011546793.1_511	0.926033146511193	whole body	whole body|whole body sample
lcl|NC_091864.1_miscrna_XR_011547043.1_520	0.236012175326458	whole body	whole body|whole body sample
lcl|NC_091864.1_miscrna_XR_011547638.1_1073	0.894267841241049	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011547647.1_483	0.73582787959487	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011547652.1_1034	0.869289675171062	whole body sample	whole body sample|whole body
lcl|NC_091864.1_miscrna_XR_011547653.1_1035	1	whole body	whole body
lcl|NC_091864.1_miscrna_XR_011547724.1_611	0.253151231413962	whole body	whole body|whole body sample
lcl|NC_091864.1_miscrna_XR_011547760.1_976	1	whole body	whole body
lcl|NC_091864.1_miscrna_XR_011547761.1_974	1	whole body	whole body
lcl|NC_091864.1_miscrna_XR_011547762.1_975	0.888689440925339	whole body	whole body|whole body sample
lcl|NC_091864.1_mrna_XM_070654027.1_949	0.327117996384633	whole body	whole body|whole body sample
lcl|NC_091864.1_mrna_XM_070654054.1_563	0.54273159351976	whole body	whole body|whole body sample
lcl|NC_091864.1_mrna_XM_070654059.1_1618	1	whole body	whole body
lcl|NC_091864.1_mrna_XM_070654069.1_125	0.71364518398979	whole body	whole body|whole body sample
lcl|NC_091864.1_mrna_XM_070654078.1_124	0.928081259659763	whole body	whole body|whole body sample
lcl|NC_091864.1_mrna_XM_070654088.1_127	0.424551276298729	whole body	whole body|whole body sample
lcl|NC_091864.1_mrna_XM_070654096.1_126	0.945089301598834	whole body	whole body|whole body sample
lcl|NC_091864.1_mrna_XM_070654106.1_123	0.37877305766671	whole body	whole body|whole body sample
lcl|NC_091864.1_mrna_XM_070654118.1_152	0.574077732762658	whole body	whole body|whole body sample
lcl|NC_091864.1_mrna_XM_070654131.1_158	0.138212937093895	whole body	whole body|whole body sample
lcl|NC_091864.1_mrna_XM_070654137.1_159	0.533376268350302	whole body	whole body|whole body sample
lcl|NC_091864.1_mrna_XM_070654147.1_1620	0.322240772068593	whole body	whole body|whole body sample
lcl|NC_091864.1_mrna_XM_070654153.1_130	0.183968901924354	whole body sample	whole body sample|whole body
lcl|NC_091864.1_mrna_XM_070654164.1_131	0.374843665485074	whole body sample	whole body sample|whole body
