scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link
Cardiocondyla obscurior	whole body	whole body		female	18 weeks			yes	yes	no		PRJNA293450	SAMN04003056	SRX1161528	SRR2177533	SRA290417	SRS1042434	SRP062696	Transcriptomic signatures of mating and sham-mating in mature ant queens	RNAseq of Cardiocondyla obscurior virgin queens	cDNA amplification	Invertebrate sample from Cardiocondyla obscurior	Cardiocondyla obscurior queen virgin	V3	single	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina HiSeq 1000	13319828	1197632740	747491642									University of Regensburg	SUB1070341		286306	2016-01-01 00:00:00							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/177/SRR2177533/SRR2177533.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2177533/SRR2177533	gs://sra-pub-zq-102/SRR2177533/SRR2177533.zq.1
Cardiocondyla obscurior	whole body	whole body		female	18 weeks			yes	yes	no		PRJNA293450	SAMN04003045	SRX1161535	SRR2177540	SRA290417	SRS1042442	SRP062696	Transcriptomic signatures of mating and sham-mating in mature ant queens	RNAseq of Cardiocondyla obscurior queens mated with fertile male	cDNA amplification	Invertebrate sample from Cardiocondyla obscurior	Cardiocondyla obscurior queen mated with fertile male	M8	single	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina HiSeq 1000	16144756	1404432604	897437989									University of Regensburg	SUB1070341		286306	2016-01-01 00:00:00							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/177/SRR2177540/SRR2177540.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2177540/SRR2177540	gs://sra-pub-zq-104/SRR2177540/SRR2177540.zq.1
Cardiocondyla obscurior	whole body	whole body		female	28 days			yes	yes	no		PRJNA284224	SAMN03702524	SRX1034103	SRR2033895	SRA269063	SRS941616	SRP058496	Mating with an allopatric male triggers immune response and decreases longevity of ant queens	RNAseq of Cardiocondyla obscurior queens mated with sympatric male	cDNA amplification		Cardiocondyla obscurior queen mated with sympatric male	BB17	single	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina HiSeq 1000	17205230	1531885204	974229846									University of Regensburg	SUB949254		286306	2015-05-26 01:45:05	Alexandra Schrempf						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/033/SRR2033895/SRR2033895.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2033895/SRR2033895	gs://sra-pub-zq-102/SRR2033895/SRR2033895.noqual.1
Cardiocondyla obscurior	whole body	whole body		female	28 days			yes	yes	no		PRJNA284224	SAMN03702523	SRX1034102	SRR2033894	SRA269063	SRS941615	SRP058496	Mating with an allopatric male triggers immune response and decreases longevity of ant queens	RNAseq of Cardiocondyla obscurior queens mated with sympatric male	cDNA amplification		Cardiocondyla obscurior queen mated with sympatric male	BB16	single	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina HiSeq 1000	17817897	1601158931	994695268									University of Regensburg	SUB949254		286306	2015-05-26 01:45:05	Alexandra Schrempf						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/033/SRR2033894/SRR2033894.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2033894/SRR2033894	gs://sra-pub-zq-103/SRR2033894/SRR2033894.zq.1
Cardiocondyla obscurior	whole body	whole body		female	28 days			yes	yes	no		PRJNA284224	SAMN03702520	SRX1034112	SRR2033903	SRA269063	SRS941625	SRP058496	Mating with an allopatric male triggers immune response and decreases longevity of ant queens	RNAseq of Cardiocondyla obscurior queens mated with sympatric male	cDNA amplification		Cardiocondyla obscurior queen mated with sympatric male	BB1	single	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina HiSeq 1000	18222118	1613281191	1020559276									University of Regensburg	SUB949254		286306	2015-05-26 01:45:05	Alexandra Schrempf						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/033/SRR2033903/SRR2033903.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2033903/SRR2033903	gs://sra-pub-zq-102/SRR2033903/SRR2033903.noqual.1
Cardiocondyla obscurior	whole body	whole body		female	28 days			yes	yes	no		PRJNA284224	SAMN03702443	SRX1034101	SRR2033893	SRA269063	SRS941614	SRP058496	Mating with an allopatric male triggers immune response and decreases longevity of ant queens	RNAseq of Cardiocondyla obscurior queens mated with allopatric male	cDNA amplification		Cardiocondyla obscurior queen mated with allopatric male	BJ4	single	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina HiSeq 1000	18658017	1629117027	1040288072									University of Regensburg	SUB949254		286306	2015-05-26 01:45:05	Alexandra Schrempf						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/033/SRR2033893/SRR2033893.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2033893/SRR2033893	gs://sra-pub-zq-103/SRR2033893/SRR2033893.zq.1
Cardiocondyla obscurior	whole body	whole body		female	28 days			yes	yes	no		PRJNA284224	SAMN03702526	SRX1034105	SRR2033897	SRA269063	SRS941617	SRP058496	Mating with an allopatric male triggers immune response and decreases longevity of ant queens	RNAseq of Cardiocondyla obscurior queens mated with sympatric male	cDNA amplification		Cardiocondyla obscurior queen mated with sympatric male	BB54	single	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina HiSeq 1000	18630020	1669704372	1053245090									University of Regensburg	SUB949254		286306	2015-05-26 01:45:05	Alexandra Schrempf						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/033/SRR2033897/SRR2033897.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2033897/SRR2033897	gs://sra-pub-zq-102/SRR2033897/SRR2033897.noqual.1
Cardiocondyla obscurior	whole body	whole body		female	24 weeks			yes	yes	no		PRJNA309926	SAMN04447916	SRX1567496	SRR3156040	SRA351673	SRS1281619	SRP069794	Transcriptomic response to injury in ant queens	Queen injured	cDNA amplification	Queen injured		qws_4	single	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina HiSeq 1000	25230058	1818237497	1177501469								Evolution, Genetics and Behavior	University of Regensburg	SUB1322182		286306	2017-01-01 00:00:00							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/156/SRR3156040.sralite.1	s3://sra-pub-zq-6/SRR3156040/SRR3156040.sralite.1	gs://sra-pub-zq-102/SRR3156040/SRR3156040.zq.1
Cardiocondyla obscurior	whole body	whole body		female	18 weeks			yes	yes	no		PRJNA293450	SAMN04003058	SRX1161530	SRR2177535	SRA290417	SRS1042436	SRP062696	Transcriptomic signatures of mating and sham-mating in mature ant queens	RNAseq of Cardiocondyla obscurior virgin queens	cDNA amplification	Invertebrate sample from Cardiocondyla obscurior	Cardiocondyla obscurior queen virgin	V8	single	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina HiSeq 1000	21134925	1825111500	1167530848									University of Regensburg	SUB1070341		286306	2016-01-01 00:00:00							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/177/SRR2177535/SRR2177535.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2177535/SRR2177535	gs://sra-pub-zq-102/SRR2177535/SRR2177535.zq.1
Cardiocondyla obscurior	whole body	whole body		female	18 weeks			yes	yes	no		PRJNA293450	SAMN04003054	SRX1161526	SRR2177531	SRA290417	SRS1042432	SRP062696	Transcriptomic signatures of mating and sham-mating in mature ant queens	RNAseq of Cardiocondyla obscurior virgin queens	cDNA amplification	Invertebrate sample from Cardiocondyla obscurior	Cardiocondyla obscurior queen virgin	V11	single	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina HiSeq 1000	21100659	1832609378	1164775607									University of Regensburg	SUB1070341		286306	2016-01-01 00:00:00							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/177/SRR2177531/SRR2177531.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2177531/SRR2177531	gs://sra-pub-zq-103/SRR2177531/SRR2177531.zq.1
