target_id	length	eff_length	est_counts	tpm
lcl|NW_014554127.1_mrna_XM_014615869.1_1	437	215.167	183	48.204
lcl|NW_014554147.1_mrna_XM_014628260.1_2	1007	784.929	15.2545	1.10148
lcl|NW_014554147.1_mrna_XM_014611672.1_3	447	225.101	0	0
lcl|NW_014554147.1_mrna_XM_014633262.1_4	488	266.029	0	0
lcl|NW_014554155.1_mrna_XM_014612903.1_5	354	133.038	25	10.6505
lcl|NW_014554159.1_mrna_XM_014620784.1_6	3610	3387.93	114.567	1.9166
lcl|NW_014554159.1_mrna_XM_014626622.1_7	3359	3136.93	400.569	7.23737
lcl|NW_014554159.1_mrna_XM_014622431.1_8	3890	3667.93	20.4366	0.315788
lcl|NW_014554159.1_mrna_XM_014628261.1_9	3646	3423.93	198.629	3.28796
lcl|NW_014554159.1_mrna_XM_014619961.1_10	4249	4026.93	0	0
lcl|NW_014554159.1_mrna_XM_014629911.1_11	4159	3936.93	644.933	9.28464
lcl|NW_014554159.1_mrna_XM_014624170.1_12	4191	3968.93	6.72737	0.0960682
lcl|NW_014554159.1_mrna_XM_014621605.1_13	4187	3964.93	60.8982	0.870516
lcl|NW_014554159.1_mrna_XM_014625805.1_14	4175	3952.93	6.83297	0.0979712
lcl|NW_014554159.1_mrna_XM_014624957.1_15	4155	3932.93	62.1577	0.895749
lcl|NW_014554159.1_mrna_XM_014627449.1_16	3982	3759.93	0	0
lcl|NW_014554159.1_mrna_XM_014623295.1_17	3759	3536.93	0	0
lcl|NW_014554159.1_mrna_XM_014629082.1_18	3515	3292.93	11.2634	0.193862
lcl|NW_014554159.1_mrna_XM_014631466.1_19	2934	2711.93	151.973	3.17612
lcl|NW_014554159.1_mrna_XM_014630719.1_20	3044	2821.93	124.012	2.49073
lcl|NW_014554159.1_mrna_XM_014632456.1_21	2454	2231.93	603	15.3124
lcl|NW_014554159.1_ncrna_XR_001375076.1_22	1298	1075.93	747	39.35
lcl|NW_014554159.1_mrna_XM_014617097.1_23	2304	2081.93	299.395	8.15054
lcl|NW_014554159.1_mrna_XM_014617937.1_24	3260	3037.93	128.302	2.39366
lcl|NW_014554159.1_mrna_XM_014618736.1_25	2237	2014.93	706.303	19.8673
lcl|NW_014554159.1_mrna_XM_014614177.1_26	573	350.971	11855.5	1914.51
lcl|NW_014554159.1_mrna_XM_014615012.1_27	596	373.971	4264.98	646.379
lcl|NW_014554159.1_mrna_XM_014615870.1_28	675	452.929	150.473	18.8293
lcl|NW_014554159.1_mrna_XM_014632870.1_29	1268	1045.93	45.2539	2.45223
lcl|NW_014554159.1_mrna_XM_014632963.1_30	1209	986.929	37.1609	2.13406
lcl|NW_014554159.1_mrna_XM_014632785.1_31	1247	1024.93	252.585	13.9676
lcl|NW_014554159.1_mrna_XM_014633175.1_32	623	400.971	363.854	51.4306
lcl|NW_014554159.1_mrna_XM_014633090.1_33	744	521.929	1852.15	201.127
lcl|NW_014554159.1_mrna_XM_014632655.1_34	8872	8649.93	603.987	3.95752
