scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	isolate	host	isolation_source	collection_date	geo_loc_name	biosamplemodel	breed	replicate	lat_lon	ecotype	dev_stage	nest_#	sample_month	colony	pooled_individual	caste	altitude	collected_by	depth	env_biome	host_tissue_sampled	identified_by	specimen_voucher	temp	biological_replicate	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Linepithema humile	whole body	whole body						yes	yes	no		PRJNA1038699	SAMN40966791	SRX24860686	SRR29345304	SRA1845553	SRS21570709	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_48h_dip_35		lhum_48h_dip_35	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	2160319	652416338	258757351								Ecology and Evolution	University of Lausanne	SUB14353536	38820161.0	83485	2024-06-25 10:49:31							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345304/SRR29345304.lite.1	s3://sra-pub-zq-2/SRR29345304/SRR29345304.lite.1	gs://sra-pub-zq-100/SRR29345304/SRR29345304.lite.1	lhum_48h_dip_35	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body						yes	yes	no		PRJNA1038699	SAMN40966779	SRX24860890	SRR29345101	SRA1845553	SRS21570913	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_24h_hap_20		lhum_24h_hap_20	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	2277347	687758794	270117755								Ecology and Evolution	University of Lausanne	SUB14353536	38820161.0	83485	2024-06-25 10:49:42							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345101/SRR29345101.lite.1	s3://sra-pub-zq-2/SRR29345101/SRR29345101.lite.1	gs://sra-pub-zq-100/SRR29345101/SRR29345101.lite.1	lhum_24h_hap_20	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body						yes	yes	no		PRJNA1038699	SAMN40966803	SRX24860699	SRR29345291	SRA1845553	SRS21570722	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_60h_hap_50		lhum_60h_hap_50	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	3729255	1126235010	455258465								Ecology and Evolution	University of Lausanne	SUB14353536	38820161.0	83485	2024-06-25 10:49:31							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345291/SRR29345291.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR29345291/SRR29345291	gs://sra-pub-zq-100/SRR29345291/SRR29345291.lite.1	lhum_60h_hap_50	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body						yes	yes	no		PRJNA1038699	SAMN40966796	SRX24860692	SRR29345298	SRA1845553	SRS21570715	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_48h_hap_40		lhum_48h_hap_40	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	4058935	1225798370	481792397								Ecology and Evolution	University of Lausanne	SUB14353536	38820161.0	83485	2024-06-25 10:49:31							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345298/SRR29345298.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR29345298/SRR29345298	gs://sra-pub-zq-100/SRR29345298/SRR29345298.lite.1	lhum_48h_hap_40	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body						yes	yes	no		PRJNA1038699	SAMN40966788	SRX24860683	SRR29345307	SRA1845553	SRS21570706	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_48h_dip_31		lhum_48h_dip_31	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	4164850	1257784700	494974137								Ecology and Evolution	University of Lausanne	SUB14353536	38820161.0	83485	2024-06-25 10:49:30							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345307/SRR29345307.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR29345307/SRR29345307	gs://sra-pub-zq-100/SRR29345307/SRR29345307.lite.1	lhum_48h_dip_31	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body						yes	yes	no		PRJNA1038699	SAMN40966787	SRX24860682	SRR29345308	SRA1845553	SRS21570705	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_36h_hap_34		lhum_36h_hap_34	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	4237800	1279815600	511884790								Ecology and Evolution	University of Lausanne	SUB14353536	38820161.0	83485	2024-06-25 10:49:30							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345308/SRR29345308.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR29345308/SRR29345308	gs://sra-pub-zq-100/SRR29345308/SRR29345308.lite.1	lhum_36h_hap_34	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body						yes	yes	no		PRJNA1038699	SAMN40966793	SRX24860688	SRR29345302	SRA1845553	SRS21570711	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_48h_hap_37		lhum_48h_hap_37	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	4413278	1332809956	539960228								Ecology and Evolution	University of Lausanne	SUB14353536	38820161.0	83485	2024-06-25 10:49:31							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345302/SRR29345302.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR29345302/SRR29345302	gs://sra-pub-zq-100/SRR29345302/SRR29345302.lite.1	lhum_48h_hap_37	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body						yes	yes	no		PRJNA1038699	SAMN40966792	SRX24860687	SRR29345303	SRA1845553	SRS21570710	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_48h_hap_36		lhum_48h_hap_36	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	4688082	1415800764	555483174								Ecology and Evolution	University of Lausanne	SUB14353536	38820161.0	83485	2024-06-25 10:49:31							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345303/SRR29345303.lite.1	s3://sra-pub-zq-2/SRR29345303/SRR29345303.lite.1	gs://sra-pub-zq-100/SRR29345303/SRR29345303.lite.1	lhum_48h_hap_36	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body						yes	yes	no		PRJNA1038699	SAMN40966805	SRX24860702	SRR29345288	SRA1845553	SRS21570725	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_72h_dip_52		lhum_72h_dip_52	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	4752124	1435141448	565071058								Ecology and Evolution	University of Lausanne	SUB14353536	38820161.0	83485	2024-06-25 10:49:33							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345288/SRR29345288.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR29345288/SRR29345288	gs://sra-pub-zq-100/SRR29345288/SRR29345288.lite.1	lhum_72h_dip_52	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body						yes	yes	no		PRJNA1038699	SAMN40966769	SRX24860879	SRR29345112	SRA1845553	SRS21570901	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_12h_hap_7		lhum_12h_hap_7	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	4982507	1504717114	610428408								Ecology and Evolution	University of Lausanne	SUB14353536	38820161.0	83485	2024-06-25 10:49:43							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345112/SRR29345112.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR29345112/SRR29345112	gs://sra-pub-zq-100/SRR29345112/SRR29345112.lite.1	lhum_12h_hap_7	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
