scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link
Megachile rotundata	brain	Brain		female				yes	yes	no		PRJNA1019664	SAMN37487993	SRX21846107	SRR26132663	SRA1717190	SRS18943639	SRP462368	Gene evolution across male corbiculate bees	MROT_Female_Brain_3	Bee samples for comparative genomics	MROT_Female_Brain_3		MROT_Female_Brain_3	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2500	89015781	26704734300	8417504001								Purdue University	SUB13855330		143995	2023-09-21 12:16:57	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR026/26132/SRR26132663/SRR26132663.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26132663/SRR26132663	gs://sra-pub-zq-109/SRR26132663/SRR26132663.lite.1
Megachile rotundata	brain	Brain		female				yes	yes	no		PRJNA1019664	SAMN37487992	SRX21846106	SRR26132664	SRA1717190	SRS18943638	SRP462368	Gene evolution across male corbiculate bees	MROT_Female_Brain_2	Bee samples for comparative genomics	MROT_Female_Brain_2		MROT_Female_Brain_2	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2500	81881465	24564439500	7769601153								Purdue University	SUB13855330		143995	2023-09-21 12:16:57	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR026/26132/SRR26132664/SRR26132664.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26132664/SRR26132664	gs://sra-pub-zq-109/SRR26132664/SRR26132664.lite.1
Megachile rotundata	brain	Brain		female				yes	yes	no		PRJNA1019664	SAMN37487991	SRX21846105	SRR26132665	SRA1717190	SRS18943637	SRP462368	Gene evolution across male corbiculate bees	MROT_Female_Brain_1	Bee samples for comparative genomics	MROT_Female_Brain_1		MROT_Female_Brain_1	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2500	86004428	25801328400	8134022936								Purdue University	SUB13855330		143995	2023-09-21 12:16:57	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR026/26132/SRR26132665/SRR26132665.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26132665/SRR26132665	gs://sra-pub-zq-109/SRR26132665/SRR26132665.lite.1
Megachile rotundata	brain	Brain		male				yes	yes	no		PRJNA1019664	SAMN37487972	SRX21846084	SRR26132686	SRA1717190	SRS18943614	SRP462368	Gene evolution across male corbiculate bees	MROT_Male_Brain_3	Bee samples for comparative genomics	MROT_Male_Brain_3		MROT_Male_Brain_3	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2500	71937728	21581318400	7168694118								Purdue University	SUB13855330		143995	2023-09-21 12:16:56	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR026/26132/SRR26132686/SRR26132686.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26132686/SRR26132686	gs://sra-pub-zq-109/SRR26132686/SRR26132686.lite.1
Megachile rotundata	brain	Brain		male				yes	yes	no		PRJNA1019664	SAMN37487971	SRX21846083	SRR26132687	SRA1717190	SRS18943615	SRP462368	Gene evolution across male corbiculate bees	MROT_Male_Brain_2	Bee samples for comparative genomics	MROT_Male_Brain_2		MROT_Male_Brain_2	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2500	72304267	21691280100	7156783701								Purdue University	SUB13855330		143995	2023-09-21 12:10:22	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR026/26132/SRR26132687/SRR26132687.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26132687/SRR26132687	gs://sra-pub-zq-109/SRR26132687/SRR26132687.lite.1
Megachile rotundata	brain	Brain		male				yes	yes	no		PRJNA1019664	SAMN37487970	SRX21846082	SRR26132688	SRA1717190	SRS18943616	SRP462368	Gene evolution across male corbiculate bees	MROT_Male_Brain_1	Bee samples for comparative genomics	MROT_Male_Brain_1		MROT_Male_Brain_1	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2500	66018601	19805580300	6637427468								Purdue University	SUB13855330		143995	2023-09-21 12:16:56	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR026/26132/SRR26132688/SRR26132688.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26132688/SRR26132688	gs://sra-pub-zq-109/SRR26132688/SRR26132688.lite.1
Megachile rotundata	gonads	Gonads		female				yes	yes	no		PRJNA1019664	SAMN37487969	SRX21846080	SRR26132690	SRA1717190	SRS18943612	SRP462368	Gene evolution across male corbiculate bees	MROT_Female_Gonads_3	Bee samples for comparative genomics	MROT_Female_Gonads_3		MROT_Female_Gonads_3	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2500	90877091	27263127300	8541950541								Purdue University	SUB13855330		143995	2023-09-21 12:48:51	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR026/26132/SRR26132690/SRR26132690.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26132690/SRR26132690	gs://sra-pub-zq-109/SRR26132690/SRR26132690.lite.1
Megachile rotundata	gonads	Gonads		female				yes	yes	no		PRJNA1019664	SAMN37487968	SRX21846079	SRR26132691	SRA1717190	SRS18943611	SRP462368	Gene evolution across male corbiculate bees	MROT_Female_Gonads_2	Bee samples for comparative genomics	MROT_Female_Gonads_2		MROT_Female_Gonads_2	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2500	96474496	28942348800	9104407853								Purdue University	SUB13855330		143995	2023-09-21 12:48:51	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR026/26132/SRR26132691/SRR26132691.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26132691/SRR26132691	gs://sra-pub-zq-109/SRR26132691/SRR26132691.lite.1
Megachile rotundata	gonads	Gonads		female				yes	yes	no		PRJNA1019664	SAMN37487967	SRX21846078	SRR26132692	SRA1717190	SRS18943608	SRP462368	Gene evolution across male corbiculate bees	MROT_Female_Gonads_1	Bee samples for comparative genomics	MROT_Female_Gonads_1		MROT_Female_Gonads_1	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2500	60352654	18105796200	5710751220								Purdue University	SUB13855330		143995	2023-09-21 12:16:56	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR026/26132/SRR26132692/SRR26132692.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26132692/SRR26132692	gs://sra-pub-zq-109/SRR26132692/SRR26132692.lite.1
Megachile rotundata	gonads	Gonads		male				yes	yes	no		PRJNA1019664	SAMN37487966	SRX21846077	SRR26132693	SRA1717190	SRS18943609	SRP462368	Gene evolution across male corbiculate bees	MROT_Male_Gonads_3	Bee samples for comparative genomics	MROT_Male_Gonads_3		MROT_Male_Gonads_3	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2500	72761266	21828379800	7260837738								Purdue University	SUB13855330		143995	2023-09-21 12:16:56	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR026/26132/SRR26132693/SRR26132693.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26132693/SRR26132693	gs://sra-pub-zq-109/SRR26132693/SRR26132693.lite.1
