target_id	tau	highest	order
lcl|NW_021693877.1_miscrna_XR_003819188.1_540	NA	whole body	whole body
lcl|NW_021693877.1_miscrna_XR_003819197.1_549	NA	whole body	whole body
lcl|NW_021693877.1_miscrna_XR_003819198.1_548	NA	whole body	whole body
lcl|NW_021693877.1_miscrna_XR_003819226.1_610	NA	whole body	whole body
lcl|NW_021693877.1_miscrna_XR_003819227.1_609	NA	whole body	whole body
lcl|NW_021693877.1_miscrna_XR_003819260.1_652	NA	whole body	whole body
lcl|NW_021693877.1_miscrna_XR_003819269.1_655	NA	whole body	whole body
lcl|NW_021693877.1_miscrna_XR_003819293.1_672	NA	whole body	whole body
lcl|NW_021693877.1_miscrna_XR_003819294.1_669	NA	whole body	whole body
lcl|NW_021693877.1_miscrna_XR_003819295.1_673	NA	whole body	whole body
lcl|NW_021693877.1_miscrna_XR_003819297.1_670	NA	whole body	whole body
lcl|NW_021693877.1_miscrna_XR_003819298.1_671	NA	whole body	whole body
lcl|NW_021693877.1_miscrna_XR_003822618.1_287	NA	whole body	whole body
lcl|NW_021693877.1_miscrna_XR_003822619.1_288	NA	whole body	whole body
lcl|NW_021693877.1_miscrna_XR_003822674.1_335	NA	whole body	whole body
lcl|NW_021693877.1_miscrna_XR_003822675.1_336	NA	whole body	whole body
lcl|NW_021693877.1_miscrna_XR_003822678.1_338	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029298888.1_331	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029298893.1_351	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029298900.1_355	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029298904.1_354	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029298912.1_352	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029298918.1_356	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029298923.1_357	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029298932.1_358	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029298941.1_330	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029298944.1_359	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029298952.1_362	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029298964.1_360	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029298973.1_361	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029298985.1_363	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029298995.1_364	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029299004.1_366	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029299007.1_365	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029299016.1_371	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029299025.1_372	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029299036.1_373	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029299041.1_332	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029299044.1_368	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029299053.1_369	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029299061.1_367	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029299066.1_370	NA	whole body	whole body
lcl|NW_021693877.1_mrna_XM_029299073.1_375	NA	whole body	whole body
