scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	replicate	isolate	host	isolation_source	collection_date	geo_loc_name	collected_by	biosamplemodel	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original	tissue_normalized	tissue_original
Nylanderia fulva	whole body	whole_body						yes	yes	no		PRJNA517949	SAMN10871207	SRX5332029	SRR8528628	SRA843937	SRS4326374	SRP183533	Nylanderia fulva isolate:TAMU-Nful-2015 Genome sequencing and assembly	RNA-Seq of tawny crazy ant workers under Spodoptera exigua diet rep4	PolyA mRNA was fragmented and reverse-transcribed to cDNA for sequencing. The samples were sequenced (75-base-pair, paired-end sequencing) on 8 sequencing lanes.			TAMU-Nfulva-RNA-B4_W1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	8006740	1201011000	442894473								Department of Entomology	Texas A&M University	SUB5106126		613905	2019-05-13 11:49:24	Andrew Davitt						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/528/SRR8528628.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8528628/SRR8528628	gs://sra-pub-zq-103/SRR8528628/SRR8528628.zq.1	RNA-Seq of tawny crazy ant workers under Spodoptera exigua diet rep4	missing	missing	missing	2017-04-02	USA: Texas City, TX	Andrew Davitt	Invertebrate	2759	33208	6656	50557	7399	36668	710235	613905	Nylanderia fulva	whole_body	whole_body
Nylanderia fulva	whole body	whole_body						yes	yes	no		PRJNA517949	SAMN10871221	SRX5332010	SRR8528647	SRA843937	SRS4326355	SRP183533	Nylanderia fulva isolate:TAMU-Nful-2015 Genome sequencing and assembly	RNA-Seq of tawny crazy ant workers without diet rep3	PolyA mRNA was fragmented and reverse-transcribed to cDNA for sequencing. The samples were sequenced (75-base-pair, paired-end sequencing) on 8 sequencing lanes.			TAMU-Nfulva-RNA-N3_W1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	11922231	1788334650	674278256								Department of Entomology	Texas A&M University	SUB5106126		613905	2019-05-13 11:49:24	Andrew Davitt						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR008/528/SRR8528647.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8528647/SRR8528647	gs://sra-pub-zq-103/SRR8528647/SRR8528647.zq.1	RNA-Seq of tawny crazy ant workers without diet rep3	missing	missing	missing	2017-04-02	USA: Texas City, TX	Andrew Davitt	Invertebrate	2759	33208	6656	50557	7399	36668	710235	613905	Nylanderia fulva	whole_body	whole_body
Nylanderia fulva	whole body	whole_body						yes	yes	no		PRJNA517949	SAMN10871223	SRX5332015	SRR8528642	SRA843937	SRS4326360	SRP183533	Nylanderia fulva isolate:TAMU-Nful-2015 Genome sequencing and assembly	RNA-Seq of tawny crazy ant workers without diet rep4	PolyA mRNA was fragmented and reverse-transcribed to cDNA for sequencing. The samples were sequenced (75-base-pair, paired-end sequencing) on 8 sequencing lanes.			TAMU-Nfulva-RNA-N4_W1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	15030977	2254646550	848542168								Department of Entomology	Texas A&M University	SUB5106126		613905	2019-05-13 11:49:24	Andrew Davitt						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR008/528/SRR8528642.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8528642/SRR8528642	gs://sra-pub-zq-106/SRR8528642/SRR8528642.zq.1	RNA-Seq of tawny crazy ant workers without diet rep4	missing	missing	missing	2017-04-02	USA: Texas City, TX	Andrew Davitt	Invertebrate	2759	33208	6656	50557	7399	36668	710235	613905	Nylanderia fulva	whole_body	whole_body
Nylanderia fulva	whole body	whole_body						yes	yes	no		PRJNA517949	SAMN10871199	SRX5331997	SRR8528660	SRA843937	SRS4326342	SRP183533	Nylanderia fulva isolate:TAMU-Nful-2015 Genome sequencing and assembly	RNA-Seq of tawny crazy ant workers under artificial diet rep4	PolyA mRNA was fragmented and reverse-transcribed to cDNA for sequencing. The samples were sequenced (75-base-pair, paired-end sequencing) on 8 sequencing lanes.			TAMU-Nfulva-RNA-A4_W1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	21738610	3260791500	1208159681								Department of Entomology	Texas A&M University	SUB5106126		613905	2019-05-13 11:49:24	Andrew Davitt						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/528/SRR8528660.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8528660/SRR8528660	gs://sra-pub-zq-103/SRR8528660/SRR8528660.zq.1	RNA-Seq of tawny crazy ant workers under artificial diet rep4	missing	missing	missing	2017-04-02	USA: Texas City, TX	Andrew Davitt	Invertebrate	2759	33208	6656	50557	7399	36668	710235	613905	Nylanderia fulva	whole_body	whole_body
Nylanderia fulva	whole body	whole_body						yes	yes	no		PRJNA517949	SAMN10871226	SRX5332018	SRR8528639	SRA843937	SRS4326363	SRP183533	Nylanderia fulva isolate:TAMU-Nful-2015 Genome sequencing and assembly	RNA-Seq of tawny crazy ant queens under Tenebrio molitor diet rep2	PolyA mRNA was fragmented and reverse-transcribed to cDNA for sequencing. The samples were sequenced (75-base-pair, paired-end sequencing) on 8 sequencing lanes.			TAMU-Nfulva-RNA-T2_Q	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	21881046	3282156900	1214838736								Department of Entomology	Texas A&M University	SUB5106126		613905	2019-05-13 11:49:24	Andrew Davitt						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/528/SRR8528639.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8528639/SRR8528639	gs://sra-pub-zq-106/SRR8528639/SRR8528639.zq.1	RNA-Seq of tawny crazy ant queens under Tenebrio molitor diet rep2	missing	missing	missing	2017-04-02	USA: Texas City, TX	Andrew Davitt	Invertebrate	2759	33208	6656	50557	7399	36668	710235	613905	Nylanderia fulva	whole_body	whole_body
Nylanderia fulva	whole body	whole_body						yes	yes	no		PRJNA517949	SAMN10871230	SRX5332012	SRR8528645	SRA843937	SRS4326357	SRP183533	Nylanderia fulva isolate:TAMU-Nful-2015 Genome sequencing and assembly	RNA-Seq of tawny crazy ant queens under Tenebrio molitor diet rep4	PolyA mRNA was fragmented and reverse-transcribed to cDNA for sequencing. The samples were sequenced (75-base-pair, paired-end sequencing) on 8 sequencing lanes.			TAMU-Nfulva-RNA-T4_Q	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	22218485	3332772750	1203330232								Department of Entomology	Texas A&M University	SUB5106126		613905	2019-05-13 11:49:24	Andrew Davitt						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/528/SRR8528645.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8528645/SRR8528645	gs://sra-pub-zq-106/SRR8528645/SRR8528645.zq.1	RNA-Seq of tawny crazy ant queens under Tenebrio molitor diet rep4	missing	missing	missing	2017-04-02	USA: Texas City, TX	Andrew Davitt	Invertebrate	2759	33208	6656	50557	7399	36668	710235	613905	Nylanderia fulva	whole_body	whole_body
Nylanderia fulva	whole body	whole_body						yes	yes	no		PRJNA517949	SAMN10871196	SRX5331994	SRR8528663	SRA843937	SRS4326339	SRP183533	Nylanderia fulva isolate:TAMU-Nful-2015 Genome sequencing and assembly	RNA-Seq of tawny crazy ant queens under artificial diet rep3	PolyA mRNA was fragmented and reverse-transcribed to cDNA for sequencing. The samples were sequenced (75-base-pair, paired-end sequencing) on 8 sequencing lanes.			TAMU-Nfulva-RNA-A3_Q	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	22544050	3381607500	1254961310								Department of Entomology	Texas A&M University	SUB5106126		613905	2019-05-13 11:49:24	Andrew Davitt						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR008/528/SRR8528663.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8528663/SRR8528663	gs://sra-pub-zq-103/SRR8528663/SRR8528663.zq.1	RNA-Seq of tawny crazy ant queens under artificial diet rep3	missing	missing	missing	2017-04-02	USA: Texas City, TX	Andrew Davitt	Invertebrate	2759	33208	6656	50557	7399	36668	710235	613905	Nylanderia fulva	whole_body	whole_body
Nylanderia fulva	whole body	whole_body						yes	yes	no		PRJNA517949	SAMN10871219	SRX5332002	SRR8528655	SRA843937	SRS4326347	SRP183533	Nylanderia fulva isolate:TAMU-Nful-2015 Genome sequencing and assembly	RNA-Seq of tawny crazy ant workers without diet rep2	PolyA mRNA was fragmented and reverse-transcribed to cDNA for sequencing. The samples were sequenced (75-base-pair, paired-end sequencing) on 8 sequencing lanes.			TAMU-Nfulva-RNA-N2_W1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	23361472	3504220800	1323192732								Department of Entomology	Texas A&M University	SUB5106126		613905	2019-05-13 11:49:24	Andrew Davitt						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/528/SRR8528655.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8528655/SRR8528655	gs://sra-pub-zq-106/SRR8528655/SRR8528655.zq.1	RNA-Seq of tawny crazy ant workers without diet rep2	missing	missing	missing	2017-04-02	USA: Texas City, TX	Andrew Davitt	Invertebrate	2759	33208	6656	50557	7399	36668	710235	613905	Nylanderia fulva	whole_body	whole_body
Nylanderia fulva	whole body	whole_body						yes	yes	no		PRJNA517949	SAMN10871202	SRX5332024	SRR8528633	SRA843937	SRS4326368	SRP183533	Nylanderia fulva isolate:TAMU-Nful-2015 Genome sequencing and assembly	RNA-Seq of tawny crazy ant queens under Spodoptera exigua diet rep2	PolyA mRNA was fragmented and reverse-transcribed to cDNA for sequencing. The samples were sequenced (75-base-pair, paired-end sequencing) on 8 sequencing lanes.			TAMU-Nfulva-RNA-B2_Q	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	23402615	3510392250	1259550217								Department of Entomology	Texas A&M University	SUB5106126		613905	2019-05-13 11:49:24	Andrew Davitt						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/528/SRR8528633.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8528633/SRR8528633	gs://sra-pub-zq-106/SRR8528633/SRR8528633.zq.1	RNA-Seq of tawny crazy ant queens under Spodoptera exigua diet rep2	missing	missing	missing	2017-04-02	USA: Texas City, TX	Andrew Davitt	Invertebrate	2759	33208	6656	50557	7399	36668	710235	613905	Nylanderia fulva	whole_body	whole_body
Nylanderia fulva	whole body	whole_body						yes	yes	no		PRJNA517949	SAMN10871194	SRX5332032	SRR8528625	SRA843937	SRS4326377	SRP183533	Nylanderia fulva isolate:TAMU-Nful-2015 Genome sequencing and assembly	RNA-Seq of tawny crazy ant queens under artificial diet rep2	PolyA mRNA was fragmented and reverse-transcribed to cDNA for sequencing. The samples were sequenced (75-base-pair, paired-end sequencing) on 8 sequencing lanes.			TAMU-Nfulva-RNA-A2_Q	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	24156477	3623471550	1326848059								Department of Entomology	Texas A&M University	SUB5106126		613905	2019-05-13 11:49:25	Andrew Davitt						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/528/SRR8528625.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8528625/SRR8528625	gs://sra-pub-zq-103/SRR8528625/SRR8528625.zq.1	RNA-Seq of tawny crazy ant queens under artificial diet rep2	missing	missing	missing	2017-04-02	USA: Texas City, TX	Andrew Davitt	Invertebrate	2759	33208	6656	50557	7399	36668	710235	613905	Nylanderia fulva	whole_body	whole_body
