scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link
Ooceraea biroi	whole body	Whole Body		male				yes	yes	no		PRJNA1075055	SAMN39900034	SRX23584850	SRR27927750	SRA1800295	SRS20429832	SRP489117	Genetic mapping of sex determination in the clonal raider ant	RNA sequencing of a Male Pupa 3	Total RNA was isolated using trizol and purified via isopropanol precipitation, libraries were prepared using Stranded polyA RNA-Seq library prep	RNA sequencing of a Male Pupa 3		47	paired	RNA-Seq	TRANSCRIPTOMIC	unspecified	Illumina NovaSeq 6000	50624748	15288673896	5623293041								Laboratory of Social Evolution and Behavior	The Rockefeller University	SUB14210516		2015173	2025-04-14 00:17:08							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR027/27927/SRR27927750/SRR27927750.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27927750/SRR27927750	gs://sra-pub-zq-107/SRR27927750/SRR27927750.lite.1
Ooceraea biroi	whole body	Whole Body		male				yes	yes	no		PRJNA1075055	SAMN39900032	SRX23584848	SRR27927752	SRA1800295	SRS20429830	SRP489117	Genetic mapping of sex determination in the clonal raider ant	RNA sequencing of a Male Pupa 1	Total RNA was isolated using trizol and purified via isopropanol precipitation, libraries were prepared using Stranded polyA RNA-Seq library prep	RNA sequencing of a Male Pupa 1		45	paired	RNA-Seq	TRANSCRIPTOMIC	unspecified	Illumina NovaSeq 6000	61406977	18544907054	6762692547								Laboratory of Social Evolution and Behavior	The Rockefeller University	SUB14210516		2015173	2025-04-14 00:32:18							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR027/27927/SRR27927752/SRR27927752.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27927752/SRR27927752	gs://sra-pub-zq-107/SRR27927752/SRR27927752.lite.1
Ooceraea biroi	whole body	Whole Body		female				yes	yes	no		PRJNA1075055	SAMN39900031	SRX23584847	SRR27927753	SRA1800295	SRS20429828	SRP489117	Genetic mapping of sex determination in the clonal raider ant	RNA sequencing of a Female Pupa 3	Total RNA was isolated using trizol and purified via isopropanol precipitation, libraries were prepared using Stranded polyA RNA-Seq library prep	RNA sequencing of a Female Pupa 3		44	paired	RNA-Seq	TRANSCRIPTOMIC	unspecified	Illumina NovaSeq 6000	65464604	19770310408	7169249318								Laboratory of Social Evolution and Behavior	The Rockefeller University	SUB14210516		2015173	2025-04-14 00:17:08							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR027/27927/SRR27927753/SRR27927753.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27927753/SRR27927753	gs://sra-pub-zq-107/SRR27927753/SRR27927753.lite.1
Ooceraea biroi	whole body	Whole Body		female				yes	yes	no		PRJNA1075055	SAMN39900030	SRX23584846	SRR27927754	SRA1800295	SRS20429825	SRP489117	Genetic mapping of sex determination in the clonal raider ant	RNA sequencing of a Female Pupa 2	Total RNA was isolated using trizol and purified via isopropanol precipitation, libraries were prepared using Stranded polyA RNA-Seq library prep	RNA sequencing of a Female Pupa 2		43	paired	RNA-Seq	TRANSCRIPTOMIC	unspecified	Illumina NovaSeq 6000	53836782	16258708164	6073307931								Laboratory of Social Evolution and Behavior	The Rockefeller University	SUB14210516		2015173	2025-04-14 00:32:18							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR027/27927/SRR27927754/SRR27927754.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27927754/SRR27927754	gs://sra-pub-zq-107/SRR27927754/SRR27927754.lite.1
Ooceraea biroi	whole body	Whole Body		female				yes	yes	no		PRJNA1075055	SAMN39900029	SRX23584845	SRR27927755	SRA1800295	SRS20429826	SRP489117	Genetic mapping of sex determination in the clonal raider ant	RNA sequencing of a Female Pupa 1	Total RNA was isolated using trizol and purified via isopropanol precipitation, libraries were prepared using Stranded polyA RNA-Seq library prep	RNA sequencing of a Female Pupa 1		42	paired	RNA-Seq	TRANSCRIPTOMIC	unspecified	Illumina NovaSeq 6000	66374402	20045069404	7835177733								Laboratory of Social Evolution and Behavior	The Rockefeller University	SUB14210516		2015173	2025-04-14 00:17:08							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR027/27927/SRR27927755/SRR27927755.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27927755/SRR27927755	gs://sra-pub-zq-107/SRR27927755/SRR27927755.lite.1
Ooceraea biroi	whole individual brain	Whole individual brain	B		8 days	Social environment B	Whole individual brain	yes	yes	no		PRJNA864824	SAMN30086084	SRX16756962	SRR20736469	SRA1466765	SRS14384037	SRP389154	A complete absence of indirect genetic effects on brain gene expression in a highly social context	GSM6424647: A37; Ooceraea biroi; RNA-Seq		A37		GSM6424647	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	19834435	2994999685	1371003168									University of Lausanne	SUB11886120	36070191.0	2015173	2022-08-29 14:36:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR020/20736/SRR20736469/SRR20736469.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR20736469/SRR20736469	gs://sra-pub-zq-102/SRR20736469/SRR20736469.lite.1
Ooceraea biroi	whole individual brain	Whole individual brain	B		8 days	Social environment B	Whole individual brain	yes	yes	no		PRJNA864824	SAMN30086085	SRX16756961	SRR20736470	SRA1466765	SRS14384035	SRP389154	A complete absence of indirect genetic effects on brain gene expression in a highly social context	GSM6424646: A33; Ooceraea biroi; RNA-Seq		A33		GSM6424646	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	20992489	3169865839	1367119840									University of Lausanne	SUB11886120	36070191.0	2015173	2022-08-29 14:36:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR020/20736/SRR20736470/SRR20736470.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR20736470/SRR20736470	gs://sra-pub-zq-102/SRR20736470/SRR20736470.lite.1
Ooceraea biroi	whole individual brain	Whole individual brain	B		8 days	Social environment B	Whole individual brain	yes	yes	no		PRJNA864824	SAMN30086086	SRX16756960	SRR20736471	SRA1466765	SRS14384036	SRP389154	A complete absence of indirect genetic effects on brain gene expression in a highly social context	GSM6424645: A32; Ooceraea biroi; RNA-Seq		A32		GSM6424645	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	20560016	3104562416	1238777454									University of Lausanne	SUB11886120	36070191.0	2015173	2022-08-29 14:36:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR020/20736/SRR20736471/SRR20736471.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR20736471/SRR20736471	gs://sra-pub-zq-103/SRR20736471/SRR20736471.lite.1
Ooceraea biroi	whole individual brain	Whole individual brain	B		8 days	Social environment B	Whole individual brain	yes	yes	no		PRJNA864824	SAMN30086087	SRX16756959	SRR20736472	SRA1466765	SRS14384034	SRP389154	A complete absence of indirect genetic effects on brain gene expression in a highly social context	GSM6424644: A28; Ooceraea biroi; RNA-Seq		A28		GSM6424644	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	22715886	3430098786	1527186918									University of Lausanne	SUB11886120	36070191.0	2015173	2022-08-29 14:36:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR020/20736/SRR20736472/SRR20736472.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR20736472/SRR20736472	gs://sra-pub-zq-102/SRR20736472/SRR20736472.lite.1
Ooceraea biroi	whole individual brain	Whole individual brain	B		8 days	Social environment B	Whole individual brain	yes	yes	no		PRJNA864824	SAMN30086089	SRX16756957	SRR20736474	SRA1466765	SRS14384032	SRP389154	A complete absence of indirect genetic effects on brain gene expression in a highly social context	GSM6424642: A25; Ooceraea biroi; RNA-Seq		A25		GSM6424642	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	22305321	3368103471	1456141310									University of Lausanne	SUB11886120	36070191.0	2015173	2022-08-29 14:36:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR020/20736/SRR20736474/SRR20736474.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR20736474/SRR20736474	gs://sra-pub-zq-102/SRR20736474/SRR20736474.lite.1
