scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	mapping_rate
Pogonomyrmex barbatus	whole cleanly-dissected brains	Whole cleanly-dissected brains	NA	female	NA	NA	NA	yes	yes	no	NA	PRJNA277638	SAMN03397535	SRX952010	SRR1817189	SRA244079	SRS872180	SRP055984	Pogonomyrmex barbatus Transcriptome or Gene expression	Whole brain transcriptome of Pogonomyrmex barbatus foragers: Sample Pbar_brain_6.3	Three worker brains were dissected in cold RNAlater, and pooled in the same RNA extraction. A cDNA library was made from the total RNA extractions, and mRNA was enriched for using poly-A pulldown. Illumina pair-end libraries were constructed. Each sample is pooled 3 brains. There are 3 replicate samples (1-3) from each of 6 colones (1-6). Samples are named colony#_replicate#. So for example, Sample 3_1 is replicate #1 from colony #3. Thank you for your careful storage and analysis of this data	Whole brain transcriptome of Pogonomyrmex barbatus foragers	Brains were dissected under microscope, cold, in RNA-Later. Each sample is 3 pooled brains.	Pbar_brain_6.3	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2500	6841010	1026151500	586122049	NA	NA	NA	NA	NA	NA	NA	NA	Stanford University	Daniel Ari Friedman	NA	144034	2015-03-13 10:19:46	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/817/SRR1817189/SRR1817189.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1817189/SRR1817189	gs://sra-pub-zq-107/SRR1817189/SRR1817189.noqual.1	62.7
Pogonomyrmex barbatus	whole cleanly-dissected brains	Whole cleanly-dissected brains	NA	female	NA	NA	NA	yes	yes	no	NA	PRJNA277638	SAMN03397531	SRX952006	SRR1817185	SRA244079	SRS872179	SRP055984	Pogonomyrmex barbatus Transcriptome or Gene expression	Whole brain transcriptome of Pogonomyrmex barbatus foragers: Sample Pbar_brain_5.2	Three worker brains were dissected in cold RNAlater, and pooled in the same RNA extraction. A cDNA library was made from the total RNA extractions, and mRNA was enriched for using poly-A pulldown. Illumina pair-end libraries were constructed. Each sample is pooled 3 brains. There are 3 replicate samples (1-3) from each of 6 colones (1-6). Samples are named colony#_replicate#. So for example, Sample 3_1 is replicate #1 from colony #3. Thank you for your careful storage and analysis of this data	Whole brain transcriptome of Pogonomyrmex barbatus foragers	Brains were dissected under microscope, cold, in RNA-Later. Each sample is 3 pooled brains.	Pbar_brain_5.2	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2500	8196270	1229440500	706122965	NA	NA	NA	NA	NA	NA	NA	NA	Stanford University	Daniel Ari Friedman	NA	144034	2015-03-13 10:19:46	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/817/SRR1817185/SRR1817185.sralite.1	s3://sra-pub-zq-2/SRR1817185/SRR1817185.sralite.1	gs://sra-pub-zq-104/SRR1817185/SRR1817185.zq.1	70
Pogonomyrmex barbatus	whole cleanly-dissected brains	Whole cleanly-dissected brains	NA	female	NA	NA	NA	yes	yes	no	NA	PRJNA277638	SAMN03397522	SRX951997	SRR1817175	SRA244079	SRS872192	SRP055984	Pogonomyrmex barbatus Transcriptome or Gene expression	Whole brain transcriptome of Pogonomyrmex barbatus foragers: Sample Pbar_brain_2.2	Three worker brains were dissected in cold RNAlater, and pooled in the same RNA extraction. A cDNA library was made from the total RNA extractions, and mRNA was enriched for using poly-A pulldown. Illumina pair-end libraries were constructed. Each sample is pooled 3 brains. There are 3 replicate samples (1-3) from each of 6 colones (1-6). Samples are named colony#_replicate#. So for example, Sample 3_1 is replicate #1 from colony #3. Thank you for your careful storage and analysis of this data	Whole brain transcriptome of Pogonomyrmex barbatus foragers	Brains were dissected under microscope, cold, in RNA-Later. Each sample is 3 pooled brains.	Pbar_brain_2.2	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2500	8310415	1246562250	720898057	NA	NA	NA	NA	NA	NA	NA	NA	Stanford University	Daniel Ari Friedman	NA	144034	2015-03-13 10:19:46	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/817/SRR1817175/SRR1817175.sralite.1	s3://sra-pub-zq-8/SRR1817175/SRR1817175.sralite.1	gs://sra-pub-zq-104/SRR1817175/SRR1817175.noqual.1	69.2
Pogonomyrmex barbatus	whole cleanly-dissected brains	Whole cleanly-dissected brains	NA	female	NA	NA	NA	yes	yes	no	NA	PRJNA277638	SAMN03397525	SRX952000	SRR1817178	SRA244079	SRS872190	SRP055984	Pogonomyrmex barbatus Transcriptome or Gene expression	Whole brain transcriptome of Pogonomyrmex barbatus foragers: Sample Pbar_brain_3.2	Three worker brains were dissected in cold RNAlater, and pooled in the same RNA extraction. A cDNA library was made from the total RNA extractions, and mRNA was enriched for using poly-A pulldown. Illumina pair-end libraries were constructed. Each sample is pooled 3 brains. There are 3 replicate samples (1-3) from each of 6 colones (1-6). Samples are named colony#_replicate#. So for example, Sample 3_1 is replicate #1 from colony #3. Thank you for your careful storage and analysis of this data	Whole brain transcriptome of Pogonomyrmex barbatus foragers	Brains were dissected under microscope, cold, in RNA-Later. Each sample is 3 pooled brains.	Pbar_brain_3.2	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2500	8437066	1265559900	726990534	NA	NA	NA	NA	NA	NA	NA	NA	Stanford University	Daniel Ari Friedman	NA	144034	2015-03-13 10:19:46	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/817/SRR1817178/SRR1817178.sralite.1	s3://sra-pub-zq-8/SRR1817178/SRR1817178.sralite.1	gs://sra-pub-zq-107/SRR1817178/SRR1817178.zq.1	68
Pogonomyrmex barbatus	whole cleanly-dissected brains	Whole cleanly-dissected brains	NA	female	NA	NA	NA	yes	yes	no	NA	PRJNA277638	SAMN03397527	SRX952002	SRR1817180	SRA244079	SRS872187	SRP055984	Pogonomyrmex barbatus Transcriptome or Gene expression	Whole brain transcriptome of Pogonomyrmex barbatus foragers: Sample Pbar_brain_4.1	Three worker brains were dissected in cold RNAlater, and pooled in the same RNA extraction. A cDNA library was made from the total RNA extractions, and mRNA was enriched for using poly-A pulldown. Illumina pair-end libraries were constructed. Each sample is pooled 3 brains. There are 3 replicate samples (1-3) from each of 6 colones (1-6). Samples are named colony#_replicate#. So for example, Sample 3_1 is replicate #1 from colony #3. Thank you for your careful storage and analysis of this data	Whole brain transcriptome of Pogonomyrmex barbatus foragers	Brains were dissected under microscope, cold, in RNA-Later. Each sample is 3 pooled brains.	Pbar_brain_4.1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2500	8800214	1320032100	761409541	NA	NA	NA	NA	NA	NA	NA	NA	Stanford University	Daniel Ari Friedman	NA	144034	2015-03-13 10:19:46	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/817/SRR1817180/SRR1817180.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1817180/SRR1817180	gs://sra-pub-zq-102/SRR1817180/SRR1817180.zq.1	69.3
Pogonomyrmex barbatus	whole cleanly-dissected brains	Whole cleanly-dissected brains	NA	female	NA	NA	NA	yes	yes	no	NA	PRJNA277638	SAMN03397518	SRX951993	SRR1910415	SRA244079	SRS872195	SRP055984	Pogonomyrmex barbatus Transcriptome or Gene expression	Whole brain transcriptome of Pogonomyrmex barbatus foragers: Sample Pbar_brain_1.1	Three worker brains were dissected in cold RNAlater, and pooled in the same RNA extraction. A cDNA library was made from the total RNA extractions, and mRNA was enriched for using poly-A pulldown. Illumina pair-end libraries were constructed. Each sample is pooled 3 brains. There are 3 replicate samples (1-3) from each of 6 colones (1-6). Samples are named colony#_replicate#. So for example, Sample 3_1 is replicate #1 from colony #3. Thank you for your careful storage and analysis of this data	Whole brain transcriptome of Pogonomyrmex barbatus foragers	Brains were dissected under microscope, cold, in RNA-Later. Each sample is 3 pooled brains.	Pbar_brain_1.1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2500	8895231	1334284650	739262368	NA	NA	NA	NA	NA	NA	NA	NA	Stanford University	Daniel Ari Friedman	NA	144034	2015-03-13 10:19:46	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/910/SRR1910415/SRR1910415.sralite.1	s3://sra-pub-zq-7/SRR1910415/SRR1910415.sralite.1	gs://sra-pub-zq-104/SRR1910415/SRR1910415.zq.1	62.1
Pogonomyrmex barbatus	whole cleanly-dissected brains	Whole cleanly-dissected brains	NA	female	NA	NA	NA	yes	yes	no	NA	PRJNA277638	SAMN03397534	SRX952009	SRR1817188	SRA244079	SRS872181	SRP055984	Pogonomyrmex barbatus Transcriptome or Gene expression	Whole brain transcriptome of Pogonomyrmex barbatus foragers: Sample Pbar_brain_6.2	Three worker brains were dissected in cold RNAlater, and pooled in the same RNA extraction. A cDNA library was made from the total RNA extractions, and mRNA was enriched for using poly-A pulldown. Illumina pair-end libraries were constructed. Each sample is pooled 3 brains. There are 3 replicate samples (1-3) from each of 6 colones (1-6). Samples are named colony#_replicate#. So for example, Sample 3_1 is replicate #1 from colony #3. Thank you for your careful storage and analysis of this data	Whole brain transcriptome of Pogonomyrmex barbatus foragers	Brains were dissected under microscope, cold, in RNA-Later. Each sample is 3 pooled brains.	Pbar_brain_6.2	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2500	9311437	1396715550	804771796	NA	NA	NA	NA	NA	NA	NA	NA	Stanford University	Daniel Ari Friedman	NA	144034	2015-03-13 10:19:46	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/817/SRR1817188/SRR1817188.sralite.1	s3://sra-pub-zq-8/SRR1817188/SRR1817188.sralite.1	gs://sra-pub-zq-107/SRR1817188/SRR1817188.noqual.1	64.4
Pogonomyrmex barbatus	whole cleanly-dissected brains	Whole cleanly-dissected brains	NA	female	NA	NA	NA	yes	yes	no	NA	PRJNA277638	SAMN03397533	SRX952008	SRR1817187	SRA244079	SRS872182	SRP055984	Pogonomyrmex barbatus Transcriptome or Gene expression	Whole brain transcriptome of Pogonomyrmex barbatus foragers: Sample Pbar_brain_6.1	Three worker brains were dissected in cold RNAlater, and pooled in the same RNA extraction. A cDNA library was made from the total RNA extractions, and mRNA was enriched for using poly-A pulldown. Illumina pair-end libraries were constructed. Each sample is pooled 3 brains. There are 3 replicate samples (1-3) from each of 6 colones (1-6). Samples are named colony#_replicate#. So for example, Sample 3_1 is replicate #1 from colony #3. Thank you for your careful storage and analysis of this data	Whole brain transcriptome of Pogonomyrmex barbatus foragers	Brains were dissected under microscope, cold, in RNA-Later. Each sample is 3 pooled brains.	Pbar_brain_6.1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2500	9468608	1420291200	816913435	NA	NA	NA	NA	NA	NA	NA	NA	Stanford University	Daniel Ari Friedman	NA	144034	2015-03-13 10:19:46	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/817/SRR1817187/SRR1817187.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1817187/SRR1817187	gs://sra-pub-zq-102/SRR1817187/SRR1817187.noqual.1	65.3
Pogonomyrmex barbatus	whole cleanly-dissected brains	Whole cleanly-dissected brains	NA	female	NA	NA	NA	yes	yes	no	NA	PRJNA277638	SAMN03397532	SRX952007	SRR1817186	SRA244079	SRS872183	SRP055984	Pogonomyrmex barbatus Transcriptome or Gene expression	Whole brain transcriptome of Pogonomyrmex barbatus foragers: Sample Pbar_brain_5.3	Three worker brains were dissected in cold RNAlater, and pooled in the same RNA extraction. A cDNA library was made from the total RNA extractions, and mRNA was enriched for using poly-A pulldown. Illumina pair-end libraries were constructed. Each sample is pooled 3 brains. There are 3 replicate samples (1-3) from each of 6 colones (1-6). Samples are named colony#_replicate#. So for example, Sample 3_1 is replicate #1 from colony #3. Thank you for your careful storage and analysis of this data	Whole brain transcriptome of Pogonomyrmex barbatus foragers	Brains were dissected under microscope, cold, in RNA-Later. Each sample is 3 pooled brains.	Pbar_brain_5.3	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2500	9855991	1478398650	850445916	NA	NA	NA	NA	NA	NA	NA	NA	Stanford University	Daniel Ari Friedman	NA	144034	2015-03-13 10:19:46	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/817/SRR1817186/SRR1817186.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1817186/SRR1817186	gs://sra-pub-zq-103/SRR1817186/SRR1817186.zq.1	64.6
Pogonomyrmex barbatus	whole cleanly-dissected brains	Whole cleanly-dissected brains	NA	female	NA	NA	NA	yes	yes	no	NA	PRJNA277638	SAMN03397530	SRX952005	SRR1817183	SRA244079	SRS872184	SRP055984	Pogonomyrmex barbatus Transcriptome or Gene expression	Whole brain transcriptome of Pogonomyrmex barbatus foragers: Sample Pbar_brain_5.1	Three worker brains were dissected in cold RNAlater, and pooled in the same RNA extraction. A cDNA library was made from the total RNA extractions, and mRNA was enriched for using poly-A pulldown. Illumina pair-end libraries were constructed. Each sample is pooled 3 brains. There are 3 replicate samples (1-3) from each of 6 colones (1-6). Samples are named colony#_replicate#. So for example, Sample 3_1 is replicate #1 from colony #3. Thank you for your careful storage and analysis of this data	Whole brain transcriptome of Pogonomyrmex barbatus foragers	Brains were dissected under microscope, cold, in RNA-Later. Each sample is 3 pooled brains.	Pbar_brain_5.1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2500	9969548	1495432200	866080267	NA	NA	NA	NA	NA	NA	NA	NA	Stanford University	Daniel Ari Friedman	NA	144034	2015-03-13 10:19:46	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/817/SRR1817183/SRR1817183.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1817183/SRR1817183	gs://sra-pub-zq-103/SRR1817183/SRR1817183.zq.1	71.9
