scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	caste	genotype/variation	social_status	strain	arrayexpress-celltype	arrayexpress-developmentalstage	arrayexpress-genotype	arrayexpress-growthcondition	arrayexpress-organismpart	arrayexpress-phenotype	arrayexpress-sex	arrayexpress-species	ena-first-public	ena-last-update	external_id	insdc_center_name	insdc_first_public	insdc_last_update	insdc_status	sample_name	insdc_center_alias	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Polistes canadensis	whole brain	whole brain					Whole brain			no		PRJNA671205	SAMN16532955	SRX9350986	SRR12885169	SRA1147222	SRS7574382	SRP288364	Genetic toolkit for sociality predicts castes across the spectrum of social complexity in wasps	GSM4851963: Polistes_worker_3; Polistes canadensis; RNA-Seq		Polistes_worker_3			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	21660398	4260977849	2795828261								GEO	GEO: GSE159973	36828829	91411	2021-01-31 19:33:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12885/SRR12885169/SRR12885169.lite.1	s3://sra-pub-zq-4/SRR12885169/SRR12885169.lite.1	gs://sra-pub-zq-101/SRR12885169/SRR12885169.lite.1	Worker																					2759	33208	6656	50557	7399	7438	7456	91411	Polistes canadensis
Polistes canadensis	whole brain	whole brain					Whole brain			no		PRJNA671205	SAMN16532970	SRX9350985	SRR12885168	SRA1147222	SRS7574381	SRP288364	Genetic toolkit for sociality predicts castes across the spectrum of social complexity in wasps	GSM4851962: Polistes_worker_2; Polistes canadensis; RNA-Seq		Polistes_worker_2			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	24922698	4869767428	3241850660								GEO	GEO: GSE159973	36828829	91411	2021-01-31 19:33:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR012/12885/SRR12885168/SRR12885168.lite.1	s3://sra-pub-zq-3/SRR12885168/SRR12885168.lite.1	gs://sra-pub-zq-109/SRR12885168/SRR12885168.lite.1	Worker																					2759	33208	6656	50557	7399	7438	7456	91411	Polistes canadensis
Polistes canadensis	whole brain	whole brain					Whole brain			no		PRJNA671205	SAMN16532971	SRX9350984	SRR12885167	SRA1147222	SRS7574380	SRP288364	Genetic toolkit for sociality predicts castes across the spectrum of social complexity in wasps	GSM4851961: Polistes_worker_1; Polistes canadensis; RNA-Seq		Polistes_worker_1			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	24599066	4800116284	3203793925								GEO	GEO: GSE159973	36828829	91411	2021-01-31 19:33:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12885/SRR12885167/SRR12885167.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12885167/SRR12885167	gs://sra-pub-zq-101/SRR12885167/SRR12885167.lite.1	Worker																					2759	33208	6656	50557	7399	7438	7456	91411	Polistes canadensis
Polistes canadensis	whole brain	whole brain					Whole brain			no		PRJNA671205	SAMN16532973	SRX9350983	SRR12885166	SRA1147222	SRS7574379	SRP288364	Genetic toolkit for sociality predicts castes across the spectrum of social complexity in wasps	GSM4851960: Polistes_queen_3; Polistes canadensis; RNA-Seq		Polistes_queen_3			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	22620222	4445941465	2925144965								GEO	GEO: GSE159973	36828829	91411	2021-01-31 19:33:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12885/SRR12885166/SRR12885166.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12885166/SRR12885166	gs://sra-pub-zq-101/SRR12885166/SRR12885166.lite.1	Queen																					2759	33208	6656	50557	7399	7438	7456	91411	Polistes canadensis
Polistes canadensis	whole brain	whole brain					Whole brain			no		PRJNA671205	SAMN16532974	SRX9350982	SRR12885165	SRA1147222	SRS7574378	SRP288364	Genetic toolkit for sociality predicts castes across the spectrum of social complexity in wasps	GSM4851959: Polistes_queen_2; Polistes canadensis; RNA-Seq		Polistes_queen_2			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	54602368	10785593516	3775222066								GEO	GEO: GSE159973	36828829	91411	2021-01-31 19:33:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12885/SRR12885165/SRR12885165.lite.1	s3://sra-pub-zq-4/SRR12885165/SRR12885165.lite.1	gs://sra-pub-zq-101/SRR12885165/SRR12885165.lite.1	Queen																					2759	33208	6656	50557	7399	7438	7456	91411	Polistes canadensis
Polistes canadensis	whole brain	whole brain					Whole brain			no		PRJNA671205	SAMN16532976	SRX9350981	SRR12885164	SRA1147222	SRS7574377	SRP288364	Genetic toolkit for sociality predicts castes across the spectrum of social complexity in wasps	GSM4851958: Polistes_queen_1; Polistes canadensis; RNA-Seq		Polistes_queen_1			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	24557891	4799645220	3200201663								GEO	GEO: GSE159973	36828829	91411	2021-01-31 19:33:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR012/12885/SRR12885164/SRR12885164.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12885164/SRR12885164	gs://sra-pub-zq-107/SRR12885164/SRR12885164.lite.1	Queen																					2759	33208	6656	50557	7399	7438	7456	91411	Polistes canadensis
Polistes canadensis	brain	Brain					Brain			no		PRJNA603571	SAMN13938025	SRX7644457	SRR10981780	SRA1033683	SRS6074313	SRP245645	Specialisation and plasticity in a primitive social insect (RNA-seq)	GSM4287651: P99_RNAseq; Polistes canadensis; RNA-Seq		P99_RNAseq			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	6994834	1398966800	961737123								GEO	GEO: GSE144408	36044898	91411	2021-06-17 14:56:19	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10981/SRR10981780/SRR10981780.lite.1	s3://sra-pub-zq-6/SRR10981780/SRR10981780.lite.1	gs://sra-pub-zq-105/SRR10981780/SRR10981780.lite.1																						2759	33208	6656	50557	7399	7438	7456	91411	Polistes canadensis
Polistes canadensis	brain	Brain					Brain			no		PRJNA603571	SAMN13938101	SRX7644456	SRR10981779	SRA1033683	SRS6074312	SRP245645	Specialisation and plasticity in a primitive social insect (RNA-seq)	GSM4287650: P98_RNAseq; Polistes canadensis; RNA-Seq		P98_RNAseq			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	11323107	2264621400	1541315630								GEO	GEO: GSE144408	36044898	91411	2021-06-17 14:56:19	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10981/SRR10981779/SRR10981779.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10981779/SRR10981779	gs://sra-pub-zq-105/SRR10981779/SRR10981779.lite.1																						2759	33208	6656	50557	7399	7438	7456	91411	Polistes canadensis
Polistes canadensis	brain	Brain					Brain			no		PRJNA603571	SAMN13938024	SRX7644455	SRR10981778	SRA1033683	SRS6074311	SRP245645	Specialisation and plasticity in a primitive social insect (RNA-seq)	GSM4287649: P212_RNAseq; Polistes canadensis; RNA-Seq		P212_RNAseq			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	7869554	1573910800	1086956396								GEO	GEO: GSE144408	36044898	91411	2021-06-17 14:56:19	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10981/SRR10981778/SRR10981778.lite.1	s3://sra-pub-zq-6/SRR10981778/SRR10981778.lite.1	gs://sra-pub-zq-105/SRR10981778/SRR10981778.lite.1																						2759	33208	6656	50557	7399	7438	7456	91411	Polistes canadensis
Polistes canadensis	brain	Brain					Brain			no		PRJNA603571	SAMN13938102	SRX7644454	SRR10981777	SRA1033683	SRS6074310	SRP245645	Specialisation and plasticity in a primitive social insect (RNA-seq)	GSM4287648: P211_RNAseq; Polistes canadensis; RNA-Seq		P211_RNAseq			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	5687112	1137422400	784221108								GEO	GEO: GSE144408	36044898	91411	2021-06-17 14:56:19	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10981/SRR10981777/SRR10981777.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10981777/SRR10981777	gs://sra-pub-zq-105/SRR10981777/SRR10981777.lite.1																						2759	33208	6656	50557	7399	7438	7456	91411	Polistes canadensis
