scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	tissue_normalized	tissue_original
Solenopsis invicta	brain	brain		female			Virgin queen, brain	no	no	low_nspots		PRJNA422376	SAMN08177035	SRX3470831	SRR6375987	SRA638841	SRS2757520	SRP126736	Fire ant alate virgin and de-alate mated queen brain transcriptomes	GSM2888863: Virgin queen 2; Solenopsis invicta; RNA-Seq		Virgin queen 2			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	3322832	415354000	168051157									GEO	GEO: GSE108063	29721300.0	13686	2018-05-10 15:58:09							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/375/SRR6375987.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6375987/SRR6375987	gs://sra-pub-zq-106/SRR6375987/SRR6375987.zq.1	brain	brain
Solenopsis invicta	brain	brain		female			Virgin queen, brain	no	no	low_nspots		PRJNA422376	SAMN08177036	SRX3470830	SRR6375983	SRA638841	SRS2757521	SRP126736	Fire ant alate virgin and de-alate mated queen brain transcriptomes	GSM2888862: Virgin queen 1; Solenopsis invicta; RNA-Seq		Virgin queen 1			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	3357858	419732250	169680752									GEO	GEO: GSE108063	29721300.0	13686	2018-05-10 15:58:09							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/375/SRR6375983.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6375983/SRR6375983	gs://sra-pub-zq-106/SRR6375983/SRR6375983.zq.1	brain	brain
Solenopsis invicta	brain	brain		female			Virgin queen, brain	no	no	low_nspots		PRJNA422376	SAMN08177034	SRX3470832	SRR6375991	SRA638841	SRS2757516	SRP126736	Fire ant alate virgin and de-alate mated queen brain transcriptomes	GSM2888864: Virgin queen 3; Solenopsis invicta; RNA-Seq		Virgin queen 3			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	3651275	456409375	187726134									GEO	GEO: GSE108063	29721300.0	13686	2018-05-10 15:58:09							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/375/SRR6375991.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6375991/SRR6375991	gs://sra-pub-zq-106/SRR6375991/SRR6375991.zq.1	brain	brain
Solenopsis invicta	brain	brain		female			Virgin queen, brain	no	no	low_nspots		PRJNA422376	SAMN08177033	SRX3470833	SRR6375995	SRA638841	SRS2757517	SRP126736	Fire ant alate virgin and de-alate mated queen brain transcriptomes	GSM2888865: Virgin queen 4; Solenopsis invicta; RNA-Seq		Virgin queen 4			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	3851373	481421625	195905939									GEO	GEO: GSE108063	29721300.0	13686	2018-05-10 15:58:09							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/375/SRR6375995.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6375995/SRR6375995	gs://sra-pub-zq-106/SRR6375995/SRR6375995.zq.1	brain	brain
Solenopsis invicta	brain	brain		female			Mated queen, brain	no	no	low_nspots		PRJNA422376	SAMN08177031	SRX3470835	SRR6376003	SRA638841	SRS2757529	SRP126736	Fire ant alate virgin and de-alate mated queen brain transcriptomes	GSM2888867: Mated queen 2; Solenopsis invicta; RNA-Seq		Mated queen 2			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	3925621	490702625	203924740									GEO	GEO: GSE108063	29721300.0	13686	2018-05-10 15:58:10							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/376/SRR6376003.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6376003/SRR6376003	gs://sra-pub-zq-107/SRR6376003/SRR6376003.zq.1	brain	brain
Solenopsis invicta	brain	brain		female			Mated queen, brain	no	no	low_nspots		PRJNA422376	SAMN08177029	SRX3470837	SRR6376011	SRA638841	SRS2757526	SRP126736	Fire ant alate virgin and de-alate mated queen brain transcriptomes	GSM2888869: Mated queen 4; Solenopsis invicta; RNA-Seq		Mated queen 4			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	4056558	507069750	209144437									GEO	GEO: GSE108063	29721300.0	13686	2018-05-10 15:58:10							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/376/SRR6376011.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6376011/SRR6376011	gs://sra-pub-zq-107/SRR6376011/SRR6376011.zq.1	brain	brain
Solenopsis invicta	brain	brain		female			Mated queen, brain	no	no	low_nspots		PRJNA422376	SAMN08177032	SRX3470834	SRR6375999	SRA638841	SRS2757523	SRP126736	Fire ant alate virgin and de-alate mated queen brain transcriptomes	GSM2888866: Mated queen 1; Solenopsis invicta; RNA-Seq		Mated queen 1			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	4297201	537150125	224486404									GEO	GEO: GSE108063	29721300.0	13686	2018-05-10 15:58:09							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/375/SRR6375999.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6375999/SRR6375999	gs://sra-pub-zq-107/SRR6375999/SRR6375999.zq.1	brain	brain
Solenopsis invicta	brain	brain		female			Mated queen, brain	no	no	low_nspots		PRJNA422376	SAMN08177030	SRX3470836	SRR6376007	SRA638841	SRS2757522	SRP126736	Fire ant alate virgin and de-alate mated queen brain transcriptomes	GSM2888868: Mated queen 3; Solenopsis invicta; RNA-Seq		Mated queen 3			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	4506935	563366875	233619394									GEO	GEO: GSE108063	29721300.0	13686	2018-05-10 15:58:10							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/376/SRR6376007.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6376007/SRR6376007	gs://sra-pub-zq-105/SRR6376007/SRR6376007.zq.1	brain	brain
Solenopsis invicta	ovary	ovary		female				no	no	low_nspots		PRJNA448384	SAMN08832020	SRX3872336	SRR6926144	SRA679534	SRS3113849	SRP136925	Fire ant germline transcriptome	RNA-seq of Solenopsis invicta: 10 pairs of SB/SB virgin queen ovaries	We purified total RNA from 10 pairs of monogyne (SB/SB) ovaries with the Illustra RNAspin Mini Kit (GE Healthcare Life Sciences).		Mix 10 pairs of virgin queen ovaries, seven days after the first egg was laid. Social chromosome genotype was SB/SB.	ST-EG02_TGACCA_L007	paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina Genome Analyzer	3387278	650357376	394730474								Biodiversity Research Center	Academia Sinica	SUB3861712		13686	2019-05-01 00:30:51							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/926/SRR6926144.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6926144/SRR6926144	gs://sra-pub-zq-107/SRR6926144/SRR6926144.zq.1	ovary	ovary
Solenopsis invicta	ovary	ovary		female				no	no	low_nspots		PRJNA448384	SAMN08832019	SRX3872334	SRR6926146	SRA679534	SRS3113848	SRP136925	Fire ant germline transcriptome	RNA-seq of Solenopsis invicta: 11 pairs of SB/Sb virgin queen ovaries	We purified total RNA from 11 pairs of polygyne (SB/Sb) ovaries with the Illustra RNAspin Mini Kit (GE Healthcare Life Sciences).		Mix 11 pairs of virgin queen ovaries, seven days after the first egg was laid. Social chromosome genotype was SB/Sb.	ST_EG01_CGATGT_L007	paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina Genome Analyzer	3672470	705114240	429731151								Biodiversity Research Center	Academia Sinica	SUB3861712		13686	2019-05-01 00:30:51							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/926/SRR6926146.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6926146/SRR6926146	gs://sra-pub-zq-106/SRR6926146/SRR6926146.zq.1	ovary	ovary
