scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	isolate	isolation_source	collection_date	geo_loc_name	time	biosamplemodel	breed	replicate	host	altitude	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	specimen_voucher	temp	cell_type	individual_id	strain	cultivar	ecotype	echotype	social_form	sequence_id	caste	colony_organization_type	colony_name	pooled_individuals	colony	developmental_stage	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Solenopsis invicta	whole body	whole body				Metarhizium anisopliae infection				no		PRJNA1416076	SAMN54956724	SRX31980193	SRR37032829	SRA2324574	SRS27922851	SRP670167	Transcriptome analysis of Solenopsis invicta infected by Metarhizium anisopliae at different time points	24-421-1	RNA-Seq library			24-421-1	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	25162555	7548766500	3315514952								School of Life Sciences	Chongqing University	SUB15965994		13686	2026-01-29 07:13:03							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37032/SRR37032829/SRR37032829.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR37032829/SRR37032829	gs://sra-pub-zq-100/SRR37032829/SRR37032829.lite.1	Wild-type24-421-1	soil	2025	China: Chongqing	24h	Invertebrate																												2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	whole body	whole body				Control				no		PRJNA1416076	SAMN54956723	SRX31980192	SRR37032830	SRA2324574	SRS27922850	SRP670167	Transcriptome analysis of Solenopsis invicta infected by Metarhizium anisopliae at different time points	24-CK-3	RNA-Seq library			24-CK-3	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	21236970	6371091000	2791139664								School of Life Sciences	Chongqing University	SUB15965994		13686	2026-01-29 07:13:02							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37032/SRR37032830/SRR37032830.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR37032830/SRR37032830	gs://sra-pub-zq-100/SRR37032830/SRR37032830.lite.1	Wild-type24-CK-3	soil	2025	China: Chongqing	12h	Invertebrate																												2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	whole body	whole body				Control				no		PRJNA1416076	SAMN54956722	SRX31980191	SRR37032831	SRA2324574	SRS27922849	SRP670167	Transcriptome analysis of Solenopsis invicta infected by Metarhizium anisopliae at different time points	24-CK-2	RNA-Seq library			24-CK-2	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	28738067	8621420100	3791352322								School of Life Sciences	Chongqing University	SUB15965994		13686	2026-01-29 07:17:52							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37032/SRR37032831/SRR37032831.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR37032831/SRR37032831	gs://sra-pub-zq-100/SRR37032831/SRR37032831.lite.1	Wild-type24-CK-2	soil	2025	China: Chongqing	12h	Invertebrate																												2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	whole body	whole body				Control				no		PRJNA1416076	SAMN54956721	SRX31980190	SRR37032832	SRA2324574	SRS27922848	SRP670167	Transcriptome analysis of Solenopsis invicta infected by Metarhizium anisopliae at different time points	24-CK-1	RNA-Seq library			24-CK-1	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	23398169	7019450700	3089162359								School of Life Sciences	Chongqing University	SUB15965994		13686	2026-01-29 07:13:03							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37032/SRR37032832/SRR37032832.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR37032832/SRR37032832	gs://sra-pub-zq-100/SRR37032832/SRR37032832.lite.1	Wild-type24-CK-1	soil	2025	China: Chongqing	12h	Invertebrate																												2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	whole body	whole body				Metarhizium anisopliae infection				no		PRJNA1416076	SAMN54956720	SRX31980189	SRR37032833	SRA2324574	SRS27922847	SRP670167	Transcriptome analysis of Solenopsis invicta infected by Metarhizium anisopliae at different time points	12-421-3	RNA-Seq library			12-421-3	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	39774927	11932478100	5231262531								School of Life Sciences	Chongqing University	SUB15965994		13686	2026-01-29 07:17:52							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37032/SRR37032833/SRR37032833.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR37032833/SRR37032833	gs://sra-pub-zq-100/SRR37032833/SRR37032833.lite.1	Wild-type12-421-3	soil	2025	China: Chongqing	24h	Invertebrate																												2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	whole body	whole body				Metarhizium anisopliae infection				no		PRJNA1416076	SAMN54956719	SRX31980188	SRR37032834	SRA2324574	SRS27922846	SRP670167	Transcriptome analysis of Solenopsis invicta infected by Metarhizium anisopliae at different time points	12-421-2	RNA-Seq library			12-421-2	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	22888684	6866605200	3020859337								School of Life Sciences	Chongqing University	SUB15965994		13686	2026-01-29 07:17:52							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37032/SRR37032834/SRR37032834.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR37032834/SRR37032834	gs://sra-pub-zq-100/SRR37032834/SRR37032834.lite.1	Wild-type12-421-2	soil	2025	China: Chongqing	24h	Invertebrate																												2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	whole body	whole body				Metarhizium anisopliae infection				no		PRJNA1416076	SAMN54956718	SRX31980187	SRR37032835	SRA2324574	SRS27922845	SRP670167	Transcriptome analysis of Solenopsis invicta infected by Metarhizium anisopliae at different time points	12-421-1	RNA-Seq library			12-421-1	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	26797431	8039229300	3546813719								School of Life Sciences	Chongqing University	SUB15965994		13686	2026-01-29 07:17:52							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37032/SRR37032835/SRR37032835.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR37032835/SRR37032835	gs://sra-pub-zq-100/SRR37032835/SRR37032835.lite.1	Wild-type12-421-1	soil	2025	China: Chongqing	24h	Invertebrate																												2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	whole body	whole body				Control				no		PRJNA1416076	SAMN54956717	SRX31980186	SRR37032836	SRA2324574	SRS27922844	SRP670167	Transcriptome analysis of Solenopsis invicta infected by Metarhizium anisopliae at different time points	12-CK-3	RNA-Seq library			12-CK-3	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	32040742	9612222600	4234303402								School of Life Sciences	Chongqing University	SUB15965994		13686	2026-01-29 07:26:04							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37032/SRR37032836/SRR37032836.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR37032836/SRR37032836	gs://sra-pub-zq-100/SRR37032836/SRR37032836.lite.1	Wild-type12-CK-3	soil	2025	China: Chongqing	12h	Invertebrate																												2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	whole body	whole body				Metarhizium anisopliae infection				no		PRJNA1416076	SAMN54956726	SRX31980185	SRR37032837	SRA2324574	SRS27922843	SRP670167	Transcriptome analysis of Solenopsis invicta infected by Metarhizium anisopliae at different time points	24-421-3	RNA-Seq library			24-421-3	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	33288634	9986590200	4403718663								School of Life Sciences	Chongqing University	SUB15965994		13686	2026-01-29 07:20:43							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37032/SRR37032837/SRR37032837.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR37032837/SRR37032837	gs://sra-pub-zq-100/SRR37032837/SRR37032837.lite.1	Wild-type24-421-3	soil	2025	China: Chongqing	24h	Invertebrate																												2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	whole body	whole body				Metarhizium anisopliae infection				no		PRJNA1416076	SAMN54956725	SRX31980184	SRR37032838	SRA2324574	SRS27922842	SRP670167	Transcriptome analysis of Solenopsis invicta infected by Metarhizium anisopliae at different time points	24-421-2	RNA-Seq library			24-421-2	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	23253699	6976109700	3069726604								School of Life Sciences	Chongqing University	SUB15965994		13686	2026-01-29 07:17:52							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37032/SRR37032838/SRR37032838.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR37032838/SRR37032838	gs://sra-pub-zq-100/SRR37032838/SRR37032838.lite.1	Wild-type24-421-2	soil	2025	China: Chongqing	24h	Invertebrate																												2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
