target_id	length	eff_length	est_counts	tpm
lcl|NC_052664.1_mrna_XM_011174403.3_1	1632	1433	0	0
lcl|NC_052664.1_ncrna_XR_005576014.1_2	2422	2223	14.3474	3.95951
lcl|NC_052664.1_mrna_XM_039455859.1_3	2231	2032	3.74425	1.13045
lcl|NC_052664.1_mrna_XM_039455852.1_4	3668	3469	9.80916e-09	1.73475e-09
lcl|NC_052664.1_mrna_XM_039455850.1_5	3651	3452	2.47724e-06	4.40256e-07
lcl|NC_052664.1_mrna_XM_039455857.1_6	3601	3402	33.7941	6.09419
lcl|NC_052664.1_mrna_XM_039455813.1_7	1505	1306	0	0
lcl|NC_052664.1_ncrna_XR_005576018.1_8	258	59.1108	2	20.7574
lcl|NC_052664.1_mrna_XM_039455819.1_9	2627	2428	62.1951	15.7151
lcl|NC_052664.1_mrna_XM_039455797.1_10	1689	1490	24.1477	9.94255
lcl|NC_052664.1_mrna_XM_039455795.1_11	1695	1496	0.261601	0.107279
lcl|NC_052664.1_mrna_XM_011164094.3_12	2847	2648	62.1798	14.4059
lcl|NC_052664.1_ncrna_XR_005576019.1_13	1451	1252	24	11.7602
lcl|NC_052664.1_mrna_XM_039455840.1_14	1196	997	0	0
lcl|NC_052664.1_mrna_XM_026141784.2_15	927	728	9	7.58438
lcl|NC_052664.1_mrna_XM_039455828.1_16	2681	2482	24	5.93223
lcl|NC_052664.1_ncrna_XR_005576016.1_17	1204	1005	4.5582	2.78251
lcl|NC_052664.1_mrna_XM_011172946.3_18	1320	1121	1	0.547272
lcl|NC_052664.1_mrna_XM_039453021.1_19	3090	2891	9	1.90987
lcl|NC_052664.1_mrna_XM_039455798.1_20	1720	1521	0	0
lcl|NC_052664.1_mrna_XM_039453027.1_21	354	155	0	0
lcl|NC_052664.1_mrna_XM_039453175.1_22	611	412	2	2.97812
lcl|NC_052664.1_mrna_XM_039453033.1_23	694	495	12	14.8725
lcl|NC_052664.1_mrna_XM_039448716.1_24	2677	2478	1.59	0.393644
lcl|NC_052664.1_mrna_XM_039448709.1_25	3064	2865	0	0
lcl|NC_052664.1_mrna_XM_039448726.1_26	2547	2348	0	0
lcl|NC_052664.1_mrna_XM_039448733.1_27	2115	1916	12.2189	3.91243
lcl|NC_052664.1_mrna_XM_039448696.1_28	3269	3070	0	0
lcl|NC_052664.1_mrna_XM_039448689.1_29	2980	2781	0	0
lcl|NC_052664.1_mrna_XM_039453962.1_30	1353	1154	7	3.72135
lcl|NC_052664.1_mrna_XM_039451964.1_31	1863	1664	7.65549	2.82246
lcl|NC_052664.1_mrna_XM_039453094.1_32	537	338	0	0
lcl|NC_052664.1_mrna_XM_011174199.3_33	1090	891	0	0
lcl|NC_052664.1_mrna_XM_039450104.1_34	1266	1067	0	0
lcl|NC_052664.1_mrna_XM_039450100.1_35	1327	1128	52.1937	28.3869
lcl|NC_052664.1_miscrna_XR_005574663.1_36	1316	1117	125.747	69.0645
lcl|NC_052664.1_mrna_XM_039448665.1_37	1277	1078	14.7705	8.40594
lcl|NC_052664.1_mrna_XM_039448666.1_38	1196	997	0	0
lcl|NC_052664.1_mrna_XM_039448668.1_39	1198	999	22.6502	13.9096
lcl|NC_052664.1_mrna_XM_039446419.1_40	1502	1303	0	0
lcl|NC_052664.1_mrna_XM_039446423.1_41	1409	1210	4	2.02807
lcl|NC_052664.1_mrna_XM_039446410.1_42	1634	1435	0	0
lcl|NC_052664.1_mrna_XM_039446426.1_43	921	722	0	0
lcl|NC_052664.1_mrna_XM_039453945.1_44	2150	1951	8	2.5156
lcl|NC_052664.1_mrna_XM_039448497.1_45	3042	2843	0	0
lcl|NC_052664.1_mrna_XM_039450125.1_46	2739	2540	5.49791	1.32792
lcl|NC_052664.1_mrna_XM_011165589.3_47	2134	1935	1.86572	0.591526
lcl|NC_052664.1_mrna_XM_039452417.1_48	3614	3415	0	0
lcl|NC_052664.1_mrna_XM_039452412.1_49	3574	3375	75.0558	13.6433
lcl|NC_052664.1_mrna_XM_039452466.1_50	967	768	3.39666	2.71331
lcl|NC_052664.1_mrna_XM_039452458.1_51	1446	1247	2.60334	1.28078
lcl|NC_052664.1_mrna_XM_039452415.1_52	3554	3355	25.2563	4.61833
lcl|NC_052664.1_mrna_XM_039453313.1_53	5463	5264	20.1026	2.34285
lcl|NC_052664.1_mrna_XM_026137695.2_54	1463	1264	0	0
lcl|NC_052664.1_miscrna_XR_005575336.1_55	2146	1947	2.67078	0.841553
lcl|NC_052664.1_mrna_XM_026137696.2_56	1417	1218	7.32922	3.69164
lcl|NC_052664.1_mrna_XM_039452421.1_57	3024	2825	0	0
lcl|NC_052664.1_mrna_XM_039453383.1_58	2053	1854	0	0
lcl|NC_052664.1_ncrna_XR_005575344.1_59	728	529	0	0
lcl|NC_052664.1_mrna_XM_039452452.1_60	773	574	0	0
lcl|NC_052664.1_mrna_XM_039452442.1_61	2697	2498	22	5.40305
lcl|NC_052664.1_mrna_XM_039452439.1_62	2360	2161	13	3.6906
lcl|NC_052664.1_ncrna_XR_005575339.1_63	3025	2826	28	6.07848
lcl|NC_052664.1_mrna_XM_026140391.2_64	12303	12104	781.38	39.6043
lcl|NC_052664.1_mrna_XM_039453625.1_65	4145	3946	224.697	34.9341
lcl|NC_052664.1_mrna_XM_039453620.1_66	10354	10155	0	0
lcl|NC_052664.1_mrna_XM_039453571.1_67	2001	1802	61.6941	21.0038
lcl|NC_052664.1_mrna_XM_039447282.1_68	1801	1602	57.9153	22.1789
lcl|NC_052664.1_mrna_XM_039447292.1_69	1642	1443	32.0847	13.6408
lcl|NC_052664.1_mrna_XM_039447296.1_70	1528	1329	0	0
lcl|NC_052664.1_mrna_XM_039447287.1_71	1780	1581	0	0
lcl|NC_052664.1_mrna_XM_039448347.1_72	1306	1107	0	0
lcl|NC_052664.1_mrna_XM_039448308.1_73	1304	1105	0	0
lcl|NC_052664.1_mrna_XM_039448307.1_74	1475	1276	84.3343	40.5473
lcl|NC_052664.1_mrna_XM_039448336.1_75	1475	1276	84.3343	40.5473
lcl|NC_052664.1_mrna_XM_039448312.1_76	1381	1182	0	0
lcl|NC_052664.1_mrna_XM_039448350.1_77	1381	1182	0	0
lcl|NC_052664.1_mrna_XM_039448342.1_78	1380	1181	0	0
lcl|NC_052664.1_mrna_XM_039448319.1_79	1298	1099	0	0
lcl|NC_052664.1_mrna_XM_039448326.1_80	1478	1279	24.6024	11.8009
lcl|NC_052664.1_mrna_XM_039448314.1_81	1325	1126	0	0
lcl|NC_052664.1_mrna_XM_039448334.1_82	1391	1192	0	0
lcl|NC_052664.1_mrna_XM_039448315.1_83	1309	1110	6.80683	3.7621
lcl|NC_052664.1_mrna_XM_039448299.1_84	1600	1401	230.648	101
lcl|NC_052664.1_mrna_XM_011169660.3_85	1772	1573	212.681	82.9486
lcl|NC_052664.1_mrna_XM_011169661.3_86	1778	1579	39.3681	15.2958
lcl|NC_052664.1_mrna_XM_039446681.1_87	1730	1531	8.5745	3.43592
lcl|NC_052664.1_mrna_XM_039446684.1_88	1591	1392	8.37627	3.69165
lcl|NC_052664.1_ncrna_XR_003269271.2_89	811	612	6.74708	6.76353
lcl|NC_052664.1_mrna_XM_026139485.2_90	1611	1412	46.9438	20.3964
lcl|NC_052664.1_mrna_XM_039454648.1_91	1453	1254	15.3091	7.48964
lcl|NC_052664.1_mrna_XM_039454664.1_92	1944	1745	177.74	62.4882
lcl|NC_052664.1_mrna_XM_039454660.1_93	1963	1764	365.26	127.032
lcl|NC_052664.1_ncrna_XR_005575778.1_94	3692	3493	128.416	22.5544
lcl|NC_052664.1_mrna_XM_039448131.1_95	2397	2198	54.1962	15.1269
lcl|NC_052664.1_mrna_XM_039448129.1_96	2475	2276	94.7443	25.5382
lcl|NC_052664.1_mrna_XM_039448127.1_97	2245	2046	0	0
lcl|NC_052664.1_mrna_XM_026141321.2_98	2212	2013	14.0596	4.28486
lcl|NC_052664.1_mrna_XM_039447836.1_99	2039	1840	126.194	42.0757
lcl|NC_052664.1_mrna_XM_039447850.1_100	1728	1529	0	0
lcl|NC_052664.1_mrna_XM_039447839.1_101	2036	1837	0.00630222	0.00210471
lcl|NC_052664.1_mrna_XM_039447857.1_102	1725	1526	0	0
lcl|NC_052664.1_mrna_XM_039447863.1_103	1628	1429	0.503992	0.216371
lcl|NC_052664.1_mrna_XM_026130813.2_104	1344	1145	32.4067	17.3635
lcl|NC_052664.1_mrna_XM_039447868.1_105	1345	1146	30.7473	16.4601
lcl|NC_052664.1_mrna_XM_039453233.1_106	1837	1638	0	0
lcl|NC_052664.1_mrna_XM_039453237.1_107	1837	1638	0	0
lcl|NC_052664.1_mrna_XM_039447343.1_108	6600	6401	5	0.479216
lcl|NC_052664.1_mrna_XM_039453750.1_109	237	39.4185	0	0
lcl|NC_052664.1_mrna_XM_039447429.1_110	3355	3156	19.338	3.7591
lcl|NC_052664.1_mrna_XM_039447425.1_111	6541	6342	281.65	27.2453
lcl|NC_052664.1_mrna_XM_039447428.1_112	1772	1573	48.3646	18.8629
lcl|NC_052664.1_ncrna_XR_003269473.2_113	701	502	21	25.664
lcl|NC_052664.1_ncrna_XR_005574428.1_114	1248	1049	0	0
lcl|NC_052664.1_ncrna_XR_005574427.1_115	1304	1105	0	0
lcl|NC_052664.1_ncrna_XR_005574430.1_116	1248	1049	0	0
lcl|NC_052664.1_ncrna_XR_005574429.1_117	1131	932	24.9413	16.4177
lcl|NC_052664.1_mrna_XM_039447357.1_118	9032	8833	344.127	23.9012
lcl|NC_052664.1_mrna_XM_039447352.1_119	9097	8898	0.0154773	0.00106712
lcl|NC_052664.1_mrna_XM_039447354.1_120	9066	8867	207.77	14.3752
lcl|NC_052664.1_mrna_XM_039447452.1_121	586	387	72	114.138
lcl|NC_052664.1_mrna_XM_011167394.3_122	1526	1327	207	95.6992
lcl|NC_052664.1_mrna_XM_039447361.1_123	5566	5367	0	0
lcl|NC_052664.1_mrna_XM_026139306.2_124	5188	4989	617.814	75.9719
lcl|NC_052664.1_mrna_XM_039447400.1_125	5347	5148	2.59931e-05	3.09762e-06
lcl|NC_052664.1_mrna_XM_039447368.1_126	5506	5307	7.86722e-05	9.09455e-06
lcl|NC_052664.1_mrna_XM_039447410.1_127	3755	3556	117.312	20.239
lcl|NC_052664.1_mrna_XM_039447364.1_128	5549	5350	0	0
lcl|NC_052664.1_mrna_XM_039447404.1_129	5922	5723	189.776	20.3435
lcl|NC_052664.1_mrna_XM_039447389.1_130	6138	5939	0	0
lcl|NC_052664.1_mrna_XM_039447396.1_131	6078	5879	37.5724	3.92079
lcl|NC_052664.1_mrna_XM_039447391.1_132	5951	5752	17.3536	1.85088
lcl|NC_052664.1_mrna_XM_039447373.1_133	6140	5941	0	0
lcl|NC_052664.1_mrna_XM_039447394.1_134	6080	5881	401.858	41.9208
lcl|NC_052664.1_mrna_XM_039447381.1_135	5997	5798	41.4138	4.38203
lcl|NC_052664.1_mrna_XM_039447380.1_136	6120	5921	106.733	11.0589
lcl|NC_052664.1_mrna_XM_039447387.1_137	5977	5778	9.22942	0.979954
lcl|NC_052664.1_mrna_XM_039447376.1_138	6096	5897	83.0733	8.6425
lcl|NC_052664.1_mrna_XM_039447382.1_139	5953	5754	27.8535	2.96974
lcl|NC_052664.1_mrna_XM_011176999.2_140	1235	1036	139.75	82.7565
lcl|NC_052664.1_mrna_XM_011176998.3_141	1305	1106	30.0018	16.6418
lcl|NC_052664.1_mrna_XM_039447526.1_142	1176	977	23.1562	14.5405
lcl|NC_052664.1_mrna_XM_011176997.3_143	1214	1015	14.0917	8.51737
lcl|NC_052664.1_mrna_XM_026139304.2_144	331	132	0	0
lcl|NC_052664.1_mrna_XM_039450990.1_145	1508	1309	13.0044	6.09479
lcl|NC_052664.1_mrna_XM_039450998.1_146	1477	1278	0	0
lcl|NC_052664.1_mrna_XM_039450983.1_147	1577	1378	21.8686	9.73599
lcl|NC_052664.1_ncrna_XR_005575088.1_148	317	118	0.666667	3.46606
lcl|NC_052664.1_miscrna_XR_005575060.1_149	2384	2185	0	0
lcl|NC_052664.1_miscrna_XR_005575065.1_150	2153	1954	0	0
lcl|NC_052664.1_miscrna_XR_005575064.1_151	2042	1843	0	0
lcl|NC_052664.1_mrna_XM_039450752.1_152	3656	3457	68.6039	12.1747
lcl|NC_052664.1_mrna_XM_039450803.1_153	3653	3454	5.18164e-07	9.20351e-08
lcl|NC_052664.1_mrna_XM_039450828.1_154	3641	3442	185.933	33.1401
lcl|NC_052664.1_mrna_XM_039450868.1_155	3638	3439	0	0
lcl|NC_052664.1_mrna_XM_039450770.1_156	3647	3448	47.7362	8.49356
lcl|NC_052664.1_mrna_XM_011166287.3_157	2439	2240	291.986	79.9693
lcl|NC_052664.1_mrna_XM_039451029.1_158	2525	2326	10.6565	2.81071
