target_id	tau	highest	order
lcl|NW_020209796.1_mrna_XM_025011582.1_1	0.941826196143032	whole body sample	whole body sample|gaster|whole body|head
lcl|NW_020209797.1_mrna_XM_025012671.1_2	0.563923376571957	gaster	gaster|mesosoma|head|whole body|whole body sample
lcl|NW_020209801.1_mrna_XM_025015618.1_5	NA	NA	NA
lcl|NW_020209801.1_ncrna_XR_003040582.1_7	NA	NA	NA
lcl|NW_020209801.1_ncrna_XR_003040606.1_8	0.939816342391538	whole body sample	whole body sample|gaster|whole body|head|mesosoma
lcl|NW_020209801.1_ncrna_XR_003040640.1_9	0.989190125275183	whole body	whole body|gaster
lcl|NW_020209801.1_ncrna_XR_003040673.1_6	1	head	head
lcl|NW_020209801.1_ncrna_XR_003040951.1_4	0.946885458561815	whole body sample	whole body sample|mesosoma|gaster
lcl|NW_020209801.1_ncrna_XR_003041028.1_3	0.990153963755507	whole body sample	whole body sample|gaster|mesosoma
lcl|NW_020209806.1_mrna_XM_025020343.1_10	0.705209120431395	whole body sample	whole body sample|whole body|mesosoma|gaster|head
lcl|NW_020209807.1_mrna_XM_025021459.1_11	0.81387159772266	head	head|whole body|mesosoma|gaster
lcl|NW_020209810.1_mrna_XM_025022564.1_12	0.441820059940548	head	head|gaster|mesosoma|whole body
lcl|NW_020209810.1_mrna_XM_025023621.1_13	0.871110119052103	whole body sample	whole body sample|whole body|gaster|mesosoma|head
lcl|NW_020209820.1_mrna_XM_025029130.1_14	0.975796021365072	whole body sample	whole body sample|whole body|mesosoma
lcl|NW_020209821.1_mrna_XM_025030990.1_18	0.501002460163482	whole body sample	whole body sample|whole body|head|mesosoma|gaster
lcl|NW_020209821.1_mrna_XM_025031752.1_17	0.658944148353754	head	head|gaster|whole body|whole body sample|mesosoma
lcl|NW_020209821.1_mrna_XM_025032483.1_16	0.941782574028854	whole body sample	whole body sample|whole body|mesosoma|gaster|head
