target_id	tau	highest	order
lcl|NW_027249063.1_miscrna_XR_011718889.1_158	0.411181387385298	fat body	fat body|brain|whole body sample|abdomen
lcl|NW_027249063.1_miscrna_XR_011719125.1_183	0.472867798251467	abdomen	abdomen|whole body sample|fat body|brain
lcl|NW_027249063.1_miscrna_XR_011719883.1_244	0.926658441343964	fat body	fat body|brain|whole body sample
lcl|NW_027249063.1_miscrna_XR_011719898.1_245	0.900272979866935	abdomen	abdomen|whole body sample|brain
lcl|NW_027249063.1_miscrna_XR_011720256.1_272	0.911176339036295	brain	brain|abdomen
lcl|NW_027249063.1_miscrna_XR_011720264.1_270	0.856359348622691	fat body	fat body|whole body sample|brain|abdomen
lcl|NW_027249063.1_miscrna_XR_011720270.1_271	0.893204166408267	brain	brain|abdomen
lcl|NW_027249063.1_miscrna_XR_011721096.1_324	0.937322147467253	abdomen	abdomen|whole body sample|fat body
lcl|NW_027249063.1_miscrna_XR_011721104.1_323	0.684185345268954	brain	brain|abdomen|fat body
lcl|NW_027249063.1_miscrna_XR_011721164.1_313	0.753476871579832	fat body	fat body|abdomen|whole body sample|brain
lcl|NW_027249063.1_miscrna_XR_011721165.1_312	0.82935291909227	abdomen	abdomen|whole body sample|brain
lcl|NW_027249063.1_miscrna_XR_011721172.1_311	0.92639074917628	brain	brain|abdomen
lcl|NW_027249063.1_miscrna_XR_011721182.1_310	0.788208756605206	fat body	fat body|whole body sample|abdomen|brain
lcl|NW_027249063.1_miscrna_XR_011721188.1_307	0.956342625683735	brain	brain|abdomen
lcl|NW_027249063.1_miscrna_XR_011721210.1_308	0.996371647813917	brain	brain|abdomen
lcl|NW_027249063.1_miscrna_XR_011721230.1_309	0.97891227296505	fat body	fat body|brain|abdomen
lcl|NW_027249063.1_mrna_XM_071697023.1_425	0.475678039788722	brain	brain|fat body|whole body sample|abdomen
lcl|NW_027249063.1_mrna_XM_071697033.1_423	0.638001440485171	whole body sample	whole body sample|fat body|brain|abdomen
lcl|NW_027249063.1_mrna_XM_071697045.1_422	0.796413593079735	brain	brain|fat body|whole body sample
lcl|NW_027249063.1_mrna_XM_071697051.1_421	0.70983149242051	abdomen	abdomen|whole body sample|fat body
lcl|NW_027249063.1_mrna_XM_071697063.1_420	0.536516550921336	fat body	fat body|whole body sample|abdomen|brain
lcl|NW_027249063.1_mrna_XM_071697076.1_428	0.47118456276455	fat body	fat body|whole body sample|abdomen|brain
lcl|NW_027249063.1_mrna_XM_071697088.1_429	0.677570772903203	fat body	fat body|whole body sample|abdomen|brain
lcl|NW_027249063.1_mrna_XM_071697094.1_430	0.514348204506577	whole body sample	whole body sample|abdomen|brain
lcl|NW_027249063.1_mrna_XM_071697109.1_437	1	abdomen	abdomen
lcl|NW_027249063.1_mrna_XM_071697118.1_436	0.886634067798006	fat body	fat body|whole body sample|brain|abdomen
lcl|NW_027249063.1_mrna_XM_071697128.1_443	0.879031712586015	whole body sample	whole body sample|brain|abdomen
lcl|NW_027249063.1_mrna_XM_071697137.1_440	0.930883216447975	abdomen	abdomen|brain
lcl|NW_027249063.1_mrna_XM_071697146.1_439	0.470830901802517	brain	brain|fat body|whole body sample|abdomen
lcl|NW_027249063.1_mrna_XM_071697156.1_435	0.672672655821096	fat body	fat body|abdomen|whole body sample|brain
lcl|NW_027249063.1_mrna_XM_071697167.1_438	0.430149739416723	fat body	fat body|brain|whole body sample|abdomen
lcl|NW_027249063.1_mrna_XM_071697175.1_444	0.966362683221266	brain	brain|whole body sample|abdomen|fat body
lcl|NW_027249063.1_mrna_XM_071697185.1_442	0.268600108901044	abdomen	abdomen|whole body sample|fat body|brain
lcl|NW_027249063.1_mrna_XM_071697193.1_2	0.781787201213687	abdomen	abdomen|whole body sample|fat body|brain
lcl|NW_027249063.1_mrna_XM_071697194.1_441	0.88606704333632	abdomen	abdomen|whole body sample
lcl|NW_027249063.1_mrna_XM_071697204.1_445	0.654805284819242	fat body	fat body|abdomen|whole body sample|brain
lcl|NW_027249063.1_mrna_XM_071697217.1_446	0.609261515120672	abdomen	abdomen|whole body sample|fat body|brain
lcl|NW_027249063.1_mrna_XM_071697227.1_447	0.558280780059823	abdomen	abdomen|brain|whole body sample|fat body
lcl|NW_027249063.1_mrna_XM_071697233.1_433	0.561252232640957	fat body	fat body|abdomen|brain|whole body sample
lcl|NW_027249063.1_mrna_XM_071697241.1_432	0.773250048544096	whole body sample	whole body sample|brain|abdomen
lcl|NW_027249063.1_mrna_XM_071697248.1_431	0.826353160343368	fat body	fat body|whole body sample|abdomen|brain
lcl|NW_027249063.1_mrna_XM_071697263.1_434	0.672347526152956	fat body	fat body|brain|whole body sample|abdomen
lcl|NW_027249063.1_mrna_XM_071697275.1_1	0.670341454482225	abdomen	abdomen|whole body sample|brain
lcl|NW_027249063.1_mrna_XM_071697276.1_456	0.787812310989965	fat body	fat body|brain|whole body sample|abdomen
lcl|NW_027249063.1_mrna_XM_071697285.1_457	0.660590462721812	fat body	fat body|whole body sample|abdomen|brain
lcl|NW_027249063.1_mrna_XM_071697294.1_458	0.804791437917586	fat body	fat body|brain|whole body sample|abdomen
lcl|NW_027249063.1_mrna_XM_071697307.1_451	0.447616486271427	abdomen	abdomen|whole body sample|fat body|brain
lcl|NW_027249063.1_mrna_XM_071697319.1_461	0.675847015527935	fat body	fat body|whole body sample|brain|abdomen
lcl|NW_027249063.1_mrna_XM_071697330.1_464	0.770780248128252	brain	brain|whole body sample|abdomen
lcl|NW_027249063.1_mrna_XM_071697339.1_463	0.768265949528776	fat body	fat body|abdomen|brain|whole body sample
lcl|NW_027249063.1_mrna_XM_071697348.1_462	0.643215691617248	fat body	fat body|whole body sample|brain|abdomen
lcl|NW_027249063.1_mrna_XM_071697357.1_3	0.831539254866411	brain	brain|fat body|abdomen|whole body sample
lcl|NW_027249063.1_mrna_XM_071697358.1_453	0.592608011952624	fat body	fat body|whole body sample|brain|abdomen
lcl|NW_027249063.1_mrna_XM_071697363.1_455	0.980871894232839	abdomen	abdomen|brain|fat body|whole body sample
lcl|NW_027249063.1_mrna_XM_071697368.1_452	0.414886386191017	abdomen	abdomen|fat body|whole body sample|brain
lcl|NW_027249063.1_mrna_XM_071697375.1_454	0.27385029516715	fat body	fat body|brain|whole body sample|abdomen
lcl|NW_027249063.1_mrna_XM_071697388.1_460	0.638094997248517	fat body	fat body|whole body sample|abdomen|brain
lcl|NW_027249063.1_mrna_XM_071697398.1_465	0.481578220098076	abdomen	abdomen|brain|fat body|whole body sample
lcl|NW_027249063.1_mrna_XM_071697408.1_466	0.493328290405464	fat body	fat body|abdomen|whole body sample|brain
