target_id	tau	highest	order
lcl|NW_011954026.1_mrna_XM_012028248.1_1	NA	unknown	unknown
lcl|NW_011954036.1_mrna_XM_012002909.1_2	NA	unknown	unknown
lcl|NW_011954036.1_mrna_XM_012003644.1_3	NA	unknown	unknown
lcl|NW_011954052.1_mrna_XM_012005389.1_4	NA	unknown	unknown
lcl|NW_011954063.1_mrna_XM_012006526.1_5	NA	unknown	unknown
lcl|NW_011954082.1_mrna_XM_012007674.1_6	NA	unknown	unknown
lcl|NW_011954084.1_mrna_XM_012008864.1_7	NA	unknown	unknown
lcl|NW_011954107.1_mrna_XM_012010075.1_8	NA	unknown	unknown
lcl|NW_011954118.1_mrna_XM_012011282.1_9	NA	unknown	unknown
lcl|NW_011954120.1_mrna_XM_012012517.1_10	NA	unknown	unknown
lcl|NW_011954131.1_mrna_XM_012013738.1_11	NA	unknown	unknown
lcl|NW_011954192.1_mrna_XM_012018576.1_12	NA	unknown	unknown
lcl|NW_011954197.1_mrna_XM_012019800.1_13	NA	unknown	unknown
lcl|NW_011954220.1_ncrna_XR_001009308.1_14	NA	unknown	unknown
lcl|NW_011954222.1_mrna_XM_012021819.1_15	NA	unknown	unknown
lcl|NW_011954247.1_mrna_XM_012023023.1_16	NA	unknown	unknown
lcl|NW_011954260.1_mrna_XM_012024218.1_17	NA	unknown	unknown
lcl|NW_011954295.1_mrna_XM_012025436.1_18	NA	unknown	unknown
lcl|NW_011954311.1_mrna_XM_012028223.1_19	NA	unknown	unknown
lcl|NW_011954318.1_mrna_XM_012028373.1_20	NA	unknown	unknown
lcl|NW_011954328.1_mrna_XM_012028445.1_21	NA	unknown	unknown
lcl|NW_011954336.1_mrna_XM_012028513.1_22	NA	unknown	unknown
lcl|NW_011954336.1_trna_23	NA	unknown	unknown
lcl|NW_011954369.1_mrna_XM_012002800.1_24	NA	unknown	unknown
lcl|NW_011954376.1_mrna_XM_012002865.1_25	NA	unknown	unknown
lcl|NW_011954388.1_mrna_XM_012002933.1_26	NA	unknown	unknown
lcl|NW_011954402.1_mrna_XM_012003010.1_27	NA	unknown	unknown
