target_id	length	eff_length	est_counts	tpm
lcl|NC_037638.1_mrna_XM_623972.6_1	1447	1248	126.563	13.9148
lcl|NC_037638.1_miscrna_XR_001705491.2_2	835	636	3.46286	0.747072
lcl|NC_037638.1_miscrna_XR_001705490.2_3	1068	869	51.9745	8.20645
lcl|NC_037638.1_mrna_XM_006557405.3_4	4225	4026	1509.49	51.4448
lcl|NC_037638.1_mrna_XM_006557404.3_5	4189	3990	1254.54	43.1418
lcl|NC_037638.1_mrna_XM_623949.6_6	4183	3984	115.49	3.97749
lcl|NC_037638.1_mrna_XM_006557406.3_7	4099	3900	194.476	6.84205
lcl|NC_037638.1_mrna_XM_026446303.1_8	4256	4057	1569	53.0643
lcl|NC_037638.1_mrna_XM_026439913.1_9	1745	1546	2838.8	251.947
lcl|NC_037638.1_mrna_NM_001242554.1_10	1848	1649	1742.2	144.965
lcl|NC_037638.1_mrna_XM_016917677.1_11	1156	957	690.704	99.0296
lcl|NC_037638.1_mrna_XM_016917679.2_12	811	612	262.296	58.8064
lcl|NC_037638.1_mrna_XM_016917662.2_13	2088	1889	479.262	34.8118
lcl|NC_037638.1_mrna_XM_026440071.1_14	1866	1667	0	0
lcl|NC_037638.1_mrna_XM_016917667.2_15	1817	1618	0	0
lcl|NC_037638.1_mrna_XM_006557400.3_16	1761	1562	1280.74	112.503
lcl|NC_037638.1_mrna_XM_016917672.2_17	1767	1568	0	0
lcl|NC_037638.1_mrna_XM_394142.7_18	2330	2131	639	41.1436
lcl|NC_037638.1_mrna_XM_392111.7_19	1595	1396	871	85.6086
lcl|NC_037638.1_mrna_XM_016910851.2_20	2736	2537	177.566	9.60336
lcl|NC_037638.1_mrna_XM_016910856.2_21	1635	1436	301.827	28.8395
lcl|NC_037638.1_ncrna_XR_001702207.2_22	1102	903	30	4.55846
lcl|NC_037638.1_mrna_XM_026443867.1_23	370	171	48.5469	38.9538
lcl|NC_037638.1_mrna_XM_006557392.2_24	5269	5070	3182.92	86.1395
lcl|NC_037638.1_ncrna_XR_001702201.2_25	709	510	1	0.269039
lcl|NC_037638.1_mrna_XM_026443863.1_26	1346	1147	293	35.0501
lcl|NC_037638.1_mrna_XM_006557389.3_27	2131	1932	611.136	43.4025
lcl|NC_037638.1_mrna_XM_026443894.1_28	2080	1881	0.0832073	0.00606956
lcl|NC_037638.1_mrna_XM_394141.4_29	2319	2120	89.4002	5.78612
lcl|NC_037638.1_mrna_XM_006557388.1_30	2262	2063	48.381	3.21781
lcl|NC_037638.1_mrna_XM_006557391.3_31	2797	2598	41.8247	2.20891
lcl|NC_037638.1_mrna_XM_392109.6_32	2378	2179	518.201	32.6306
lcl|NC_037638.1_mrna_XM_016910832.2_33	2705	2506	1962.97	107.478
lcl|NC_037638.1_mrna_XM_006557387.3_34	519	320	263.066	112.798
lcl|NC_037638.1_mrna_XM_394140.7_35	670	471	102.934	29.9862
lcl|NC_037638.1_mrna_XM_026446104.1_36	7543	7344	348	6.50177
lcl|NC_037638.1_mrna_XM_016910793.2_37	3212	3013	61.3577	2.79418
lcl|NC_037638.1_mrna_XM_006557376.3_38	3214	3015	1.72874	0.0786731
lcl|NC_037638.1_mrna_XM_016910803.2_39	2843	2644	0	0
lcl|NC_037638.1_mrna_XM_006557380.3_40	3009	2810	42.195	2.06034
lcl|NC_037638.1_mrna_XM_006557381.3_41	2940	2741	247.523	12.3906
lcl|NC_037638.1_mrna_XM_001122271.5_42	3144	2945	12.9469	0.603205
lcl|NC_037638.1_mrna_XM_006557386.3_43	2769	2570	37.8038	2.0183
lcl|NC_037638.1_mrna_XM_006557383.3_44	3106	2907	87.0888	4.11057
lcl|NC_037638.1_mrna_XM_006557382.3_45	4454	4255	63.4678	2.04663
lcl|NC_037638.1_mrna_XM_006557384.3_46	4248	4049	191.09	6.47553
lcl|NC_037638.1_mrna_XM_006557379.3_47	2870	2671	1.05381e-06	5.41342e-08
lcl|NC_037638.1_mrna_XM_006557385.3_48	3942	3743	12.1078	0.443844
lcl|NC_037638.1_mrna_XM_016910810.2_49	2647	2448	368.715	20.6664
lcl|NC_037638.1_precursorrna_NR_031523.1_50	84	3.8053	0	0
lcl|NC_037638.1_ncrna_51	23	2.74792	0	0
lcl|NC_037638.1_precursorrna_NR_031522.1_52	89	3.93736	0	0
lcl|NC_037638.1_precursorrna_NR_127369.1_53	78	3.65937	0	0
lcl|NC_037638.1_ncrna_54	23	2.74792	0	0
lcl|NC_037638.1_ncrna_55	24	2.75981	0	0
lcl|NC_037638.1_precursorrna_NR_034307.1_56	79	3.6828	0	0
lcl|NC_037638.1_ncrna_57	23	2.74792	0	0
lcl|NC_037638.1_precursorrna_NR_034285.1_58	100	4.26726	0	0
lcl|NC_037638.1_ncrna_59	21	2.72438	0	0
lcl|NC_037638.1_precursorrna_NR_034287.1_60	100	4.26726	0	0
lcl|NC_037638.1_ncrna_61	23	2.74792	0	0
lcl|NC_037638.1_precursorrna_NR_034296.1_62	100	4.26726	0	0
lcl|NC_037638.1_ncrna_63	19	2.70091	0	0
lcl|NC_037638.1_miscrna_XR_003305810.1_64	2794	2595	393.783	20.8211
lcl|NC_037638.1_mrna_XM_026444102.1_65	2208	2009	145.22	9.91818
lcl|NC_037638.1_mrna_XM_394248.6_66	2212	2013	0.99719	0.0679703
lcl|NC_037638.1_mrna_XM_026446225.1_67	14474	14275	3.59481e-08	3.45529e-10
lcl|NC_037638.1_mrna_XM_026446229.1_68	14423	14224	46.4251	0.447833
lcl|NC_037638.1_mrna_XM_026446228.1_69	14444	14245	9.79852e-08	9.43806e-10
lcl|NC_037638.1_mrna_XM_026446230.1_70	14417	14218	5.68076e-07	5.48217e-09
lcl|NC_037638.1_mrna_XM_026446227.1_71	14453	14254	103.397	0.995302
lcl|NC_037638.1_mrna_XM_026446232.1_72	14407	14208	90.5253	0.874222
lcl|NC_037638.1_mrna_XM_026446234.1_73	14356	14157	140.879	1.3654
lcl|NC_037638.1_mrna_XM_026446237.1_74	14266	14067	441.515	4.30654
lcl|NC_037638.1_mrna_XM_026446226.1_75	14458	14259	0.00846517	8.14576e-05
lcl|NC_037638.1_mrna_XM_026446233.1_76	14395	14196	1707.75	16.506
lcl|NC_037638.1_mrna_XM_026446235.1_77	14316	14117	0.00654427	6.36068e-05
lcl|NC_037638.1_mrna_XM_026446236.1_78	14300	14101	1568.58	15.2631
lcl|NC_037638.1_mrna_XM_026446231.1_79	14089	13890	195.914	1.9353
lcl|NC_037638.1_mrna_XM_026446241.1_80	4544	4345	57.1492	1.8047
lcl|NC_037638.1_mrna_XM_026446239.1_81	4421	4222	1629.69	52.9629
lcl|NC_037638.1_mrna_XM_016910677.2_82	4544	4345	0.0119974	0.000378863
lcl|NC_037638.1_mrna_XM_026446240.1_83	4606	4407	223.492	6.95831
lcl|NC_037638.1_mrna_XM_026446242.1_84	6159	5960	93.6565	2.15614
lcl|NC_037638.1_mrna_XM_001120565.5_85	1474	1275	9.89559	1.06492
lcl|NC_037638.1_mrna_XM_003249064.4_86	4011	3812	833.774	30.011
lcl|NC_037638.1_mrna_XM_016918148.2_87	4332	4133	0	0
lcl|NC_037638.1_mrna_XM_016918144.2_88	5550	5351	0	0
lcl|NC_037638.1_mrna_XM_006557369.3_89	5530	5331	144.059	3.7078
lcl|NC_037638.1_mrna_XM_016918147.2_90	4942	4743	1717.2	49.6767
