target_id	length	eff_length	est_counts	tpm
lcl|NW_027249063.1_mrna_XM_071697275.1_1	7870	7696.45	5242.5	87.1276
lcl|NW_027249063.1_mrna_XM_071697193.1_2	7815	7641.45	1514.2	25.3464
lcl|NW_027249063.1_mrna_XM_071697357.1_3	2795	2621.45	500.302	24.4118
lcl|NW_027249063.1_mrna_XM_071697562.1_4	10503	10329.5	335.054	4.14902
lcl|NW_027249063.1_mrna_XM_071697643.1_5	4415	4241.45	18.4446	0.55624
lcl|NW_027249063.1_mrna_XM_071697479.1_6	4269	4095.45	629.978	19.6758
lcl|NW_027249063.1_mrna_XM_071699511.1_7	12060	11886.5	916.082	9.85803
lcl|NW_027249063.1_mrna_XM_071699664.1_8	12057	11883.5	1810.43	19.4871
lcl|NW_027249063.1_mrna_XM_071699750.1_9	11922	11748.5	3356.65	36.5455
lcl|NW_027249063.1_mrna_XM_071699908.1_10	11919	11745.5	6645.46	72.3709
lcl|NW_027249063.1_mrna_XM_071699586.1_11	12060	11886.5	479.294	5.15772
lcl|NW_027249063.1_mrna_XM_071699826.1_12	11922	11748.5	1558.3	16.9659
lcl|NW_027249063.1_mrna_XM_071700514.1_13	10532	10358.5	0.0420996	0.000519866
lcl|NW_027249063.1_mrna_XM_071700434.1_14	11320	11146.5	341.717	3.92138
lcl|NW_027249063.1_mrna_XM_071700343.1_15	11401	11227.5	95.757	1.09093
lcl|NW_027249063.1_mrna_XM_071700199.1_16	11632	11458.5	1338	14.9361
lcl|NW_027249063.1_mrna_XM_071700595.1_17	11669	11495.5	108.998	1.21283
lcl|NW_027249063.1_mrna_XM_071700037.1_18	11713	11539.5	135.589	1.50296
lcl|NW_027249063.1_mrna_XM_071700266.1_19	11729	11555.5	429.791	4.7575
lcl|NW_027249063.1_mrna_XM_071700111.1_20	11750	11576.5	579.647	6.40466
lcl|NW_027249063.1_mrna_XM_071700663.1_21	9839	9665.45	1439.46	19.0496
lcl|NW_027249063.1_ncrna_XR_011717619.1_22	2069	1895.45	17	1.14721
lcl|NW_027249063.1_ncrna_XR_011717258.1_23	671	497.452	2.04993	0.527104
lcl|NW_027249063.1_ncrna_XR_011717267.1_24	3753	3579.45	20.6184	0.736794
lcl|NW_027249063.1_ncrna_XR_011717271.1_25	3220	3046.45	0	0
lcl|NW_027249063.1_ncrna_XR_011717260.1_26	2539	2365.45	32.3317	1.74833
lcl|NW_027249063.1_mrna_XM_071698993.1_27	2786	2612.45	57.1974	2.8005
lcl|NW_027249063.1_mrna_XM_071699080.1_28	2752	2578.45	18.283	0.906977
lcl|NW_027249063.1_mrna_XM_071697960.1_29	6608	6434.45	4707	93.5709
