target_id	length	eff_length	est_counts	tpm
lcl|NW_012130065.1_mrna_XM_012199135.1_1	1360	1167.28	1587	105.879
lcl|NW_012130065.1_mrna_XM_012199146.1_2	861	668.276	52	6.05976
lcl|NW_012130065.1_mrna_XM_012199156.1_3	984	791.276	67	6.59409
lcl|NW_012130065.1_mrna_XM_012202086.1_4	273	106.773	1871	1364.64
lcl|NW_012130065.1_mrna_XM_012199166.1_5	46023	45830.3	29205	49.6264
lcl|NW_012130065.1_mrna_XM_012199177.1_6	726	533.561	38	5.54635
lcl|NW_012130065.1_mrna_XM_012207451.1_7	2295	2102.28	1206	44.6751
lcl|NW_012130065.1_mrna_XM_012208508.1_8	3087	2894.28	2613	70.3084
lcl|NW_012130065.1_mrna_XM_012198906.1_9	1767	1574.28	646	31.9565
lcl|NW_012130065.1_mrna_XM_012199964.1_10	1056	863.276	2420.71	218.374
lcl|NW_012130065.1_mrna_XM_012199188.1_11	1773	1580.28	70	3.44963
lcl|NW_012130065.1_mrna_XM_012201021.1_12	5064	4871.28	612	9.784
lcl|NW_012130065.1_ncrna_XR_001046497.1_13	436	248.474	24	7.52209
lcl|NW_012130065.1_mrna_XM_012202778.1_14	1666	1473.28	120	6.34315
lcl|NW_012130065.1_mrna_XM_012199200.1_15	882	689.276	342	38.6403
lcl|NW_012130065.1_mrna_XM_012203805.1_16	1893	1700.28	76	3.48098
lcl|NW_012130065.1_mrna_XM_012199211.1_17	1428	1235.28	438	27.6133
lcl|NW_012130065.1_mrna_XM_012204861.1_18	703	510.769	13	1.9821
lcl|NW_012130065.1_mrna_XM_012205891.1_19	1950	1757.28	204	9.04062
lcl|NW_012130065.1_mrna_XM_012206883.1_20	747	554.452	420	58.992
lcl|NW_012130065.1_mrna_XM_012206991.1_21	840	647.276	1894	227.876
lcl|NW_012130065.1_mrna_XM_012207098.1_22	4506	4313.28	167	3.01521
lcl|NW_012130065.1_mrna_XM_012199221.1_23	2793	2600.28	4	0.119798
lcl|NW_012130065.1_mrna_XM_012199232.1_24	12558	12365.3	6441	40.5655
lcl|NW_012130065.1_mrna_XM_012207198.1_25	469	279.807	1461	406.63
lcl|NW_012130065.1_mrna_XM_012207303.1_26	717	524.666	1724	255.895
lcl|NW_012130065.1_mrna_XM_012207413.1_27	1671	1478.28	780	41.091
lcl|NW_012130065.1_mrna_XM_012207517.1_28	5028	4835.28	2222	35.7874
lcl|NW_012130065.1_mrna_XM_012207620.1_29	3102	2909.28	326	8.72651
lcl|NW_012130065.1_mrna_XM_012207729.1_30	2082	1889.28	666	27.4528
lcl|NW_012130065.1_mrna_XM_012207837.1_31	4494	4301.28	876	15.8604
lcl|NW_012130065.1_mrna_XM_012207944.1_32	1329	1136.28	2548	174.632
lcl|NW_012130065.1_mrna_XM_012208052.1_33	3054	2861.28	1213	33.0148
