target_id	length	eff_length	est_counts	tpm
lcl|NW_022639451.1_mrna_XM_032829744.1_1	3290	3064.95	1531.04	62.811
lcl|NW_022639451.1_mrna_XM_032834012.1_2	4343	4117.95	177	5.40461
lcl|NW_022639451.1_ncrna_XR_004377396.1_3	162	36.111	6	20.8922
lcl|NW_022639451.1_mrna_XM_032818704.1_4	4490	4264.95	5.83835	0.172127
lcl|NW_022639451.1_mrna_XM_032818779.1_5	4485	4259.95	24.3378	0.71837
lcl|NW_022639451.1_mrna_XM_032818638.1_6	4717	4491.95	136.171	3.81173
lcl|NW_022639451.1_mrna_XM_032818853.1_7	4465	4239.95	0	0
lcl|NW_022639451.1_mrna_XM_032818464.1_8	5077	4851.95	0.00665739	0.000172528
lcl|NW_022639451.1_mrna_XM_032818547.1_9	5037	4811.95	94.0795	2.45836
lcl|NW_022639451.1_mrna_XM_032818934.1_10	4816	4590.95	0	0
lcl|NW_022639451.1_mrna_XM_032819225.1_11	1430	1204.95	44.4214	4.63547
lcl|NW_022639451.1_mrna_XM_032819151.1_12	1413	1187.95	77.3344	8.1855
lcl|NW_022639451.1_mrna_XM_032819064.1_13	504	289.988	524.433	227.395
lcl|NW_022639451.1_mrna_XM_032823534.1_14	4906	4680.95	1391.68	37.3833
lcl|NW_022639451.1_mrna_XM_032823662.1_15	4641	4415.95	707.592	20.148
lcl|NW_022639451.1_mrna_XM_032823612.1_16	4650	4424.95	69.4866	1.97453
lcl|NW_022639451.1_mrna_XM_032823898.1_17	4578	4352.95	343.809	9.93128
lcl|NW_022639451.1_mrna_XM_032823752.1_18	4632	4406.95	6.13282	0.174982
lcl|NW_022639451.1_mrna_XM_032823839.1_19	4605	4379.95	0	0
lcl|NW_022639451.1_mrna_XM_032824060.1_20	4533	4307.95	432.541	12.6249
lcl|NW_022639451.1_mrna_XM_032823978.1_21	2943	2717.95	102.756	4.75378
lcl|NW_022639451.1_mrna_XM_032824179.1_22	1302	1076.95	256.377	29.9333
lcl|NW_022639451.1_mrna_XM_032807572.1_23	3632	3406.95	41.9798	1.54934
lcl|NW_022639451.1_mrna_XM_032807563.1_24	3649	3423.95	267.253	9.81448
lcl|NW_022639451.1_mrna_XM_032807530.1_25	1941	1715.95	6.10421	0.447297
lcl|NW_022639451.1_mrna_XM_032807540.1_26	1927	1701.95	751.49	55.5198
lcl|NW_022639451.1_mrna_XM_032807551.1_27	9417	9191.95	5832.62	79.7863
lcl|NW_022639451.1_mrna_XM_032835621.1_28	8415	8189.95	5103.8	78.3582
lcl|NW_022639451.1_mrna_XM_032835613.1_29	9397	9171.95	649.925	8.90993
lcl|NW_022639451.1_mrna_XM_032835603.1_30	9415	9189.95	68.3513	0.935204
lcl|NW_022639451.1_mrna_XM_032835594.1_31	9424	9198.95	66.925	0.914792
lcl|NW_022639451.1_mrna_XM_032835681.1_32	4578	4352.95	106.185	3.06725
lcl|NW_022639451.1_mrna_XM_032835690.1_33	4552	4326.95	105.789	3.0742
lcl|NW_022639451.1_miscrna_XR_004380091.1_34	4834	4608.95	59.0256	1.61031
lcl|NW_022639451.1_mrna_XM_032835671.1_35	4805	4579.95	0.000477881	1.31199e-05
lcl|NW_022639451.1_mrna_XM_032835702.1_36	3804	3578.95	0	0
lcl|NW_022639451.1_mrna_XM_032835638.1_37	2403	2177.95	49.0694	2.83292
lcl|NW_022639451.1_mrna_XM_032835648.1_38	3577	3351.95	40.4422	1.51708
lcl|NW_022639451.1_mrna_XM_032835631.1_39	3087	2861.95	4.41774	0.194093
lcl|NW_022639451.1_mrna_XM_032835659.1_40	2748	2522.95	11.0706	0.551738
lcl|NW_022639451.1_mrna_XM_032835712.1_41	907	682.233	2532	466.663
lcl|NW_022639451.1_mrna_XM_032835130.1_42	1202	976.954	573.444	73.8055
lcl|NW_022639451.1_mrna_XM_032807327.1_43	2226	2000.95	287	18.035
lcl|NW_022639451.1_mrna_XM_032807349.1_44	2737	2511.95	60.7691	3.04189
lcl|NW_022639451.1_mrna_XM_032807341.1_45	3137	2911.95	42.2309	1.82355
lcl|NW_022639451.1_mrna_XM_032807369.1_46	1303	1077.95	37.8384	4.41372
lcl|NW_022639451.1_mrna_XM_032807377.1_47	1228	1002.95	153.162	19.2018
lcl|NW_022639451.1_mrna_XM_032807359.1_48	3814	3588.95	1096	38.3986
lcl|NW_022639451.1_mrna_XM_032835155.1_49	996	770.954	2	0.326192
lcl|NW_022639451.1_mrna_XM_032833292.1_50	4702	4476.95	73.4931	2.06413
lcl|NW_022639451.1_mrna_XM_032833362.1_51	1164	938.954	6.58626	0.881996
lcl|NW_022639451.1_mrna_XM_032822876.1_52	3173	2947.95	100.156	4.27197
lcl|NW_022639451.1_mrna_XM_032823310.1_53	4863	4637.95	101	2.73821
lcl|NW_022639451.1_mrna_XM_032823096.1_54	2717	2491.95	264.758	13.3592
lcl|NW_022639451.1_mrna_XM_032823180.1_55	3960	3734.95	247.396	8.32876
lcl|NW_022639451.1_mrna_XM_032823009.1_56	4040	3814.95	0	0
lcl|NW_022639451.1_ncrna_XR_004378854.1_57	665	442.971	50	14.1928
lcl|NW_022639451.1_mrna_XM_032818125.1_58	4857	4631.95	48	1.30301
lcl|NW_022639451.1_mrna_XM_032817052.1_59	20403	20178	262.571	1.63622
lcl|NW_022639451.1_mrna_XM_032817137.1_60	20253	20028	79.9626	0.502022
lcl|NW_022639451.1_mrna_XM_032817993.1_61	2285	2059.95	0	0
lcl|NW_022639451.1_mrna_XM_032817911.1_62	2482	2256.95	12	0.668545
