target_id	length	eff_length	est_counts	tpm
lcl|NC_091864.1_mrna_XM_070666376.1_1	2733	2534	157.955	11.4482
lcl|NC_091864.1_mrna_XM_070666423.1_2	2217	2018	428.381	38.987
lcl|NC_091864.1_ncrna_XR_011546055.1_3	552	353	9.61252	5.00119
lcl|NC_091864.1_ncrna_XR_011546415.1_4	1699	1500	146.834	17.9782
lcl|NC_091864.1_ncrna_XR_011546412.1_5	1481	1282	0	0
lcl|NC_091864.1_ncrna_XR_011546413.1_6	723	524	9.03545	3.16687
lcl|NC_091864.1_mrna_XM_070663611.1_7	1542	1343	221.095	30.2354
lcl|NC_091864.1_mrna_XM_070663607.1_8	1531	1332	3472.72	478.826
lcl|NC_091864.1_mrna_XM_070666432.1_9	2920	2721	196	13.2294
lcl|NC_091864.1_mrna_XM_070663715.1_10	568	369	1613	802.822
lcl|NC_091864.1_mrna_XM_070663553.1_11	1308	1109	74.1146	12.2739
lcl|NC_091864.1_mrna_XM_070663538.1_12	1296	1097	17.8854	2.99436
lcl|NC_091864.1_mrna_XM_070663543.1_13	1275	1076	0	0
lcl|NC_091864.1_mrna_XM_070663334.1_14	2739	2540	624.113	45.1275
lcl|NC_091864.1_mrna_XM_070663316.1_15	3019	2820	672.411	43.7922
lcl|NC_091864.1_mrna_XM_070663324.1_16	2943	2744	706.476	47.2851
lcl|NC_091864.1_mrna_XM_070663688.1_17	669	470	2595	1014.03
lcl|NC_091864.1_mrna_XM_070663526.1_18	2509	2310	1183	94.0555
lcl|NC_091864.1_mrna_XM_070663622.1_19	2187	1988	33	3.04866
lcl|NC_091864.1_mrna_XM_070663158.1_20	7625	7426	351.892	8.70294
lcl|NC_091864.1_mrna_XM_070663345.1_21	2548	2349	96	7.50584
lcl|NC_091864.1_mrna_XM_070663566.1_22	1883	1684	170.114	18.5528
lcl|NC_091864.1_mrna_XM_070663199.1_23	4138	3939	871.982	40.6568
lcl|NC_091864.1_mrna_XM_070663189.1_24	4182	3983	3823.89	176.322
lcl|NC_091864.1_mrna_XM_070663458.1_25	1768	1569	85.1379	9.96578
lcl|NC_091864.1_mrna_XM_070663449.1_26	1959	1760	207.596	21.6629
lcl|NC_091864.1_mrna_XM_070663467.1_27	2144	1945	112.468	10.6199
lcl|NC_091864.1_mrna_XM_070663636.1_28	830	631	149	43.3679
lcl|NC_091864.1_mrna_XM_070663474.1_29	2624	2425	751	56.8774
lcl|NC_091864.1_mrna_XM_070663629.1_30	1116	917	310	62.0874
lcl|NC_091864.1_mrna_XM_070663144.1_31	20129	19930	523	4.81954
lcl|NC_091864.1_mrna_XM_070663666.1_32	1248	1049	40.5019	7.09106
lcl|NC_091864.1_ncrna_XR_011546416.1_33	4771	4572	8.58223	0.344751
lcl|NC_091864.1_ncrna_XR_011546418.1_34	4703	4504	10.3666	0.422716
lcl|NC_091864.1_ncrna_XR_011546417.1_35	4686	4487	58.0512	2.37611
lcl|NC_091864.1_mrna_XM_070663245.1_36	3512	3313	45.7462	2.53597
lcl|NC_091864.1_mrna_XM_070663229.1_37	3575	3376	97.6404	5.31176
lcl|NC_091864.1_mrna_XM_070663237.1_38	3518	3319	4.31384	0.238709
lcl|NC_091864.1_mrna_XM_070663221.1_39	3581	3382	9.62185	0.522512
lcl|NC_091864.1_mrna_XM_070663212.1_40	3643	3444	264.129	14.0852
lcl|NC_091864.1_mrna_XM_070663250.1_41	4017	3818	25.5491	1.229
lcl|NC_091864.1_ncrna_XR_011546422.1_42	1088	889	0	0
lcl|NC_091864.1_ncrna_XR_011546420.1_43	881	682	16.2696	4.38131
lcl|NC_091864.1_mrna_XM_070663389.1_44	5143	4944	1712.74	63.6245
lcl|NC_091864.1_mrna_XM_070663398.1_45	5304	5105	28.1723	1.01353
lcl|NC_091864.1_ncrna_XR_011546423.1_46	1130	931	9.81898	1.93699
lcl|NC_091864.1_mrna_XM_070663651.1_47	6631	6432	51.4928	1.47032
lcl|NC_091864.1_mrna_XM_070663655.1_48	6452	6253	97.5072	2.86391
lcl|NC_091864.1_mrna_XM_070663299.1_49	3336	3137	44.2847	2.59269
lcl|NC_091864.1_mrna_XM_070663274.1_50	3489	3290	2.31318e-05	1.29129e-06
lcl|NC_091864.1_mrna_XM_070663264.1_51	3485	3286	11.8857	0.664308
lcl|NC_091864.1_mrna_XM_070663283.1_52	3441	3242	165.186	9.35773
lcl|NC_091864.1_mrna_XM_070663304.1_53	3322	3123	565.116	33.2336
lcl|NC_091864.1_mrna_XM_070663293.1_54	3364	3165	88.2893	5.12325
lcl|NC_091864.1_mrna_XM_070663646.1_55	837	638	400	115.146
lcl|NC_091864.1_mrna_XM_070663579.1_56	1488	1289	15.834	2.25605
lcl|NC_091864.1_mrna_XM_070663589.1_57	1450	1251	1095.17	160.781
lcl|NC_091864.1_mrna_XM_070663643.1_58	798	599	710	217.692
lcl|NC_091864.1_mrna_XM_070663617.1_59	4087	3888	9.03447	0.426764
lcl|NC_091864.1_mrna_XM_070663167.1_60	7484	7285	41	1.03363
lcl|NC_091864.1_ncrna_XR_011546426.1_61	204	18.2087	0	0
lcl|NC_091864.1_ncrna_XR_011546424.1_62	1074	875	3.1421	0.659513
lcl|NC_091864.1_mrna_XM_070663505.1_63	5968	5769	53.7275	1.71044
lcl|NC_091864.1_mrna_XM_070663514.1_64	5976	5777	49.7787	1.58253
lcl|NC_091864.1_mrna_XM_070663496.1_65	6088	5889	2.05229	0.0640041
lcl|NC_091864.1_mrna_XM_070674819.1_66	1997	1798	99	10.1125
lcl|NC_091864.1_mrna_XM_070663175.1_67	5820	5621	571.088	18.6595
lcl|NC_091864.1_miscrna_XR_011546387.1_68	1833	1634	0	0
lcl|NC_091864.1_mrna_XM_070663421.1_69	1958	1759	417.912	43.6346
lcl|NC_091864.1_mrna_XM_070663366.1_70	2373	2174	32.3415	2.73219
lcl|NC_091864.1_mrna_XM_070663359.1_71	2968	2769	0	0
lcl|NC_091864.1_miscrna_XR_011546378.1_72	2863	2664	34.1917	2.35721
lcl|NC_091864.1_mrna_XM_070663376.1_73	2635	2436	338.467	25.5182
lcl|NC_091864.1_mrna_XM_070663701.1_74	722	523	97	34.0629
lcl|NC_091864.1_mrna_XM_070663678.1_75	1173	974	1503	283.407
lcl|NC_091864.1_mrna_XM_070663436.1_76	3574	3375	245	13.3323
lcl|NC_091864.1_mrna_XM_070663484.1_77	1562	1363	1953	263.159
lcl|NC_091864.1_mrna_XM_070663411.1_78	2514	2315	73	5.79139
lcl|NC_091864.1_mrna_XM_070663598.1_79	1493	1294	29	4.116
lcl|NC_091864.1_ncrna_XR_011546419.1_80	1225	1026	22.2435	3.98169
lcl|NC_091864.1_mrna_XM_070665679.1_81	2746	2547	22	1.58637
lcl|NC_091864.1_mrna_XM_070665650.1_82	1935	1736	0	0
lcl|NC_091864.1_mrna_XM_070665643.1_83	2539	2340	166.037	13.0317
lcl|NC_091864.1_mrna_XM_070665714.1_84	1421	1222	9.30228	1.39807
lcl|NC_091864.1_mrna_XM_070665721.1_85	1573	1374	9.69772	1.29627
lcl|NC_091864.1_mrna_XM_070665726.1_86	1258	1059	14	2.42797
lcl|NC_091864.1_mrna_XM_070665620.1_87	2612	2413	1510.96	115.003
lcl|NC_091864.1_mrna_XM_070665630.1_88	2589	2390	1728.04	132.79
lcl|NC_091864.1_mrna_XM_070665691.1_89	1444	1245	61.3647	9.05234
lcl|NC_091864.1_mrna_XM_070666443.1_90	1029	830	25.773	5.70293
lcl|NC_091864.1_mrna_XM_070665699.1_91	2561	2362	43.7562	3.40229
lcl|NC_091864.1_mrna_XM_070665707.1_92	2514	2315	0.106029	0.00841176
lcl|NC_091864.1_mrna_XM_070665608.1_93	3083	2884	587	37.3813
lcl|NC_091864.1_mrna_XM_070665661.1_94	1024	825	421.592	93.8533
lcl|NC_091864.1_mrna_XM_070665667.1_95	1165	966	86.7774	16.4984
lcl|NC_091864.1_mrna_XM_070654463.1_96	1471	1272	265	38.2622
lcl|NC_091864.1_mrna_XM_070654616.1_97	1595	1396	7	0.920924
lcl|NC_091864.1_mrna_XM_070654488.1_98	6061	5862	278.019	8.71044
lcl|NC_091864.1_mrna_XM_070654506.1_99	1567	1368	7.81731	1.0495
lcl|NC_091864.1_mrna_XM_070654496.1_100	6009	5810	516.164	16.3163
lcl|NC_091864.1_mrna_XM_070654525.1_101	1334	1135	146.411	23.6913
lcl|NC_091864.1_mrna_XM_070654518.1_102	1282	1083	108.589	18.4149
lcl|NC_091864.1_miscrna_XR_011545557.1_103	2009	1810	38.5406	3.91067
lcl|NC_091864.1_mrna_XM_070654666.1_104	1560	1361	39.4594	5.3248
lcl|NC_091864.1_mrna_XM_070654370.1_105	2301	2102	64	5.59189
lcl|NC_091864.1_mrna_XM_070654339.1_106	2590	2391	40.7917	3.13331
lcl|NC_091864.1_mrna_XM_070654345.1_107	3547	3348	48.2083	2.64453
lcl|NC_091864.1_mrna_XM_070654539.1_108	3928	3729	177	8.7175
lcl|NC_091864.1_mrna_XM_070654552.1_109	1404	1205	299	45.5717
lcl|NC_091864.1_mrna_XM_070654229.1_110	12590	12391	3.31397e-05	4.91194e-07
lcl|NC_091864.1_mrna_XM_070654254.1_111	12548	12349	113.128	1.68249
lcl|NC_091864.1_mrna_XM_070654221.1_112	12650	12451	0.00593633	8.75639e-05
lcl|NC_091864.1_mrna_XM_070654245.1_113	12551	12352	58.4351	0.868856
lcl|NC_091864.1_mrna_XM_070654265.1_114	12509	12310	59.9021	0.893708
lcl|NC_091864.1_mrna_XM_070654195.1_115	12686	12487	42.4191	0.6239
lcl|NC_091864.1_mrna_XM_070654211.1_116	12653	12454	25.2199	0.371917
lcl|NC_091864.1_mrna_XM_070654203.1_117	12677	12478	0	0
lcl|NC_091864.1_mrna_XM_070654237.1_118	12578	12379	83.1086	1.23302
lcl|NC_091864.1_mrna_XM_070654178.1_119	12555	12356	0	0
lcl|NC_091864.1_mrna_XM_070654184.1_120	8607	8408	449.929	9.82794
lcl|NC_091864.1_mrna_XM_070654576.1_121	4661	4462	21.9058	0.901658
lcl|NC_091864.1_miscrna_XR_011545548.1_122	329	130	8.48736	11.9906
lcl|NC_091864.1_mrna_XM_070654106.1_123	12871	12672	1521.59	22.0528
lcl|NC_091864.1_mrna_XM_070654078.1_124	12851	12652	70.8016	1.02777
lcl|NC_091864.1_mrna_XM_070654069.1_125	13217	13018	104.047	1.4679
lcl|NC_091864.1_mrna_XM_070654096.1_126	13260	13061	1.40688	0.019783
lcl|NC_091864.1_mrna_XM_070654088.1_127	13332	13133	0.0399855	0.000559177
lcl|NC_091864.1_mrna_XM_070654639.1_128	5171	4972	77.1586	2.85013
lcl|NC_091864.1_mrna_XM_070654335.1_129	2681	2482	217	16.0572
lcl|NC_091864.1_mrna_XM_070654153.1_130	4933	4734	2566.86	99.5829
lcl|NC_091864.1_mrna_XM_070654164.1_131	5360	5161	130.143	4.63124
lcl|NC_091864.1_ncrna_XR_011545558.1_132	1625	1426	11	1.41672
lcl|NC_091864.1_mrna_XM_070654288.1_133	2534	2335	1423	111.926
lcl|NC_091864.1_mrna_XM_070654278.1_134	2987	2788	2465	162.381
lcl|NC_091864.1_mrna_XM_070654382.1_135	2995	2796	9.94053e-09	6.52956e-10
lcl|NC_091864.1_mrna_XM_070654390.1_136	2949	2750	25.0754	1.67466
lcl|NC_091864.1_ncrna_XR_011546693.1_137	217	24.7239	0	0
lcl|NC_091864.1_mrna_XM_070654439.1_138	3188	2989	318.075	19.5441
lcl|NC_091864.1_mrna_XM_070654449.1_139	3321	3122	21.9246	1.28976
lcl|NC_091864.1_mrna_XM_070654295.1_140	3696	3497	1077.89	56.6095
lcl|NC_091864.1_mrna_XM_070654297.1_141	3640	3441	2726.11	145.502
lcl|NC_091864.1_mrna_XM_070654476.1_142	1734	1535	2075	248.268
lcl|NC_091864.1_mrna_XM_070654594.1_143	989	790	153.11	35.5948
lcl|NC_091864.1_mrna_XM_070654605.1_144	973	774	0	0
lcl|NC_091864.1_mrna_XM_070654599.1_145	1021	822	23.9859	5.35915
lcl|NC_091864.1_mrna_XM_070654563.1_146	1916	1717	1433	153.281
lcl|NC_091864.1_ncrna_XR_011545559.1_147	2263	2064	41.3333	3.67791
lcl|NC_091864.1_mrna_XM_070654357.1_148	2662	2463	98.6667	7.35728
lcl|NC_091864.1_mrna_XM_070654684.1_149	1572	1373	21	2.80905
