target_id	length	eff_length	est_counts	tpm
lcl|NW_011623728.1_mrna_XM_011054566.1_1	196	35.0096	0	0
lcl|NW_011624586.1_ncrna_XR_846910.1_2	136	43.6042	0	0
lcl|NW_011624727.1_mrna_XM_011069933.1_3	258	21.9707	3.77772	11.4113
lcl|NW_011624860.1_mrna_XM_011050785.1_4	273	27.1921	6.15739	15.028
lcl|NW_011624872.1_mrna_XM_011051941.1_5	258	21.9707	0	0
lcl|NW_011625353.1_mrna_XM_011053060.1_6	325	66.125	1.75182	1.75822
lcl|NW_011625419.1_mrna_XM_011054215.1_7	240	23.3493	0	0
lcl|NW_011625430.1_mrna_XM_011055343.1_8	235	26.3481	0	0
lcl|NW_011625696.1_mrna_XM_011057713.1_9	445	185.6	0	0
lcl|NW_011625781.1_mrna_XM_011058873.1_10	237	25.0075	3.6716	9.74393
lcl|NW_011625949.1_mrna_XM_011062367.1_11	580	320.552	73.617	15.2415
lcl|NW_011625970.1_mrna_XM_011063536.1_12	490	230.581	2	0.575646
lcl|NW_011626003.1_mrna_XM_011064707.1_13	529	269.581	7.26385	1.78824
lcl|NW_011626056.1_mrna_XM_011065862.1_14	582	322.552	0	0
lcl|NW_011626079.1_ncrna_XR_846969.1_15	299	42.6382	14.1244	21.9846
lcl|NW_011626117.1_ncrna_XR_847052.1_16	669	409.552	85.4264	13.843
lcl|NW_011626120.1_mrna_XM_011068524.1_17	666	406.552	0	0
lcl|NW_011626159.1_mrna_XM_011069491.1_18	1083	823.552	18.5174	1.49224
lcl|NW_011626164.1_mrna_XM_011069602.1_19	600	340.552	8	1.55903
lcl|NW_011626168.1_ncrna_XR_847172.1_20	207	36.683	62.7177	113.468
lcl|NW_011626187.1_mrna_XM_011069818.1_21	639	379.552	1	0.174855
lcl|NW_011626194.1_mrna_XM_011069934.1_22	517	257.581	4.21231	1.08531
lcl|NW_011626205.1_mrna_XM_011070057.1_23	351	91.794	12	8.67592
lcl|NW_011626208.1_mrna_XM_011070177.1_24	808	548.552	9.02756	1.0922
lcl|NW_011626220.1_mrna_XM_011070389.1_25	914	654.552	28.5674	2.89651
lcl|NW_011626221.1_mrna_XM_011070500.1_26	1164	904.552	136.73	10.0318
lcl|NW_011626222.1_mrna_XM_011070601.1_27	825	565.552	641.009	75.2213
lcl|NW_011626239.1_mrna_XM_011070709.1_28	386	126.695	35.9289	18.8206
lcl|NW_011626243.1_mrna_XM_011070824.1_29	925	665.552	60.4327	6.02614
