target_id	length	eff_length	est_counts	tpm
lcl|NW_011623728.1_mrna_XM_011054566.1_1	196	12.9471	1	25.5817
lcl|NW_011624586.1_ncrna_XR_846910.1_2	136	71.66	0	0
lcl|NW_011624727.1_mrna_XM_011069933.1_3	258	60.7138	0	0
lcl|NW_011624860.1_mrna_XM_011050785.1_4	273	75.6816	0	0
lcl|NW_011624872.1_mrna_XM_011051941.1_5	258	60.7138	0	0
lcl|NW_011625353.1_mrna_XM_011053060.1_6	325	127.586	0.699213	1.81513
lcl|NW_011625419.1_mrna_XM_011054215.1_7	240	42.7697	0	0
lcl|NW_011625430.1_mrna_XM_011055343.1_8	235	37.7934	21	184.037
lcl|NW_011625696.1_mrna_XM_011057713.1_9	445	247.399	9.18409	12.2953
lcl|NW_011625781.1_mrna_XM_011058873.1_10	237	39.7819	0	0
lcl|NW_011625949.1_mrna_XM_011062367.1_11	580	382.28	4579.23	3967.45
lcl|NW_011625970.1_mrna_XM_011063536.1_12	490	292.346	0	0
lcl|NW_011626003.1_mrna_XM_011064707.1_13	529	331.314	0	0
lcl|NW_011626056.1_mrna_XM_011065862.1_14	582	384.28	0.319441	0.275324
lcl|NW_011626079.1_ncrna_XR_846969.1_15	299	101.61	1	3.2596
lcl|NW_011626117.1_ncrna_XR_847052.1_16	669	471.28	30.5283	21.4548
lcl|NW_011626120.1_mrna_XM_011068524.1_17	666	468.28	1.07109	0.757567
lcl|NW_011626159.1_mrna_XM_011069491.1_18	1083	884.935	70.1902	26.2704
lcl|NW_011626164.1_mrna_XM_011069602.1_19	600	402.28	0	0
lcl|NW_011626168.1_ncrna_XR_847172.1_20	207	15.2994	0	0
lcl|NW_011626187.1_mrna_XM_011069818.1_21	639	441.28	6	4.50337
lcl|NW_011626194.1_mrna_XM_011069934.1_22	517	319.346	2.04027	2.11605
lcl|NW_011626205.1_mrna_XM_011070057.1_23	351	153.53	7	15.101
lcl|NW_011626208.1_mrna_XM_011070177.1_24	808	610.123	0	0
lcl|NW_011626220.1_mrna_XM_011070389.1_25	914	715.935	3.228	1.49335
lcl|NW_011626221.1_mrna_XM_011070500.1_26	1164	965.935	0	0
lcl|NW_011626222.1_mrna_XM_011070601.1_27	825	627.061	0	0
lcl|NW_011626239.1_mrna_XM_011070709.1_28	386	188.53	0	0
lcl|NW_011626243.1_mrna_XM_011070824.1_29	925	726.935	4.47608	2.0394
