target_id	length	eff_length	est_counts	tpm
lcl|NW_011623728.1_mrna_XM_011054566.1_1	196	44.9773	0	0
lcl|NW_011624586.1_ncrna_XR_846910.1_2	136	27.3269	0	0
lcl|NW_011624727.1_mrna_XM_011069933.1_3	258	92.4832	1.54096	10.7081
lcl|NW_011624860.1_mrna_XM_011050785.1_4	273	105.659	0	0
lcl|NW_011624872.1_mrna_XM_011051941.1_5	258	92.4832	0	0
lcl|NW_011625353.1_mrna_XM_011053060.1_6	325	154.213	0	0
lcl|NW_011625419.1_mrna_XM_011054215.1_7	240	77.2186	0	0
lcl|NW_011625430.1_mrna_XM_011055343.1_8	235	73.0439	0	0
lcl|NW_011625696.1_mrna_XM_011057713.1_9	445	272.492	1.92051	4.52945
lcl|NW_011625781.1_mrna_XM_011058873.1_10	237	74.7114	0	0
lcl|NW_011625949.1_mrna_XM_011062367.1_11	580	407.218	3022.79	4770.5
lcl|NW_011625970.1_mrna_XM_011063536.1_12	490	317.344	0	0
lcl|NW_011626003.1_mrna_XM_011064707.1_13	529	356.275	0	0
lcl|NW_011626056.1_mrna_XM_011065862.1_14	582	409.218	0	0
lcl|NW_011626079.1_ncrna_XR_846969.1_15	299	129.628	0	0
lcl|NW_011626117.1_ncrna_XR_847052.1_16	669	496.152	10.5152	13.6202
lcl|NW_011626120.1_mrna_XM_011068524.1_17	666	493.152	1	1.30317
lcl|NW_011626159.1_mrna_XM_011069491.1_18	1083	909.676	6.55217	4.62893
lcl|NW_011626164.1_mrna_XM_011069602.1_19	600	427.197	0	0
lcl|NW_011626168.1_ncrna_XR_847172.1_20	207	52.2038	0.309758	3.81331
lcl|NW_011626187.1_mrna_XM_011069818.1_21	639	466.152	1	1.37865
lcl|NW_011626194.1_mrna_XM_011069934.1_22	517	344.293	0	0
lcl|NW_011626205.1_mrna_XM_011070057.1_23	351	179.41	9	32.2386
lcl|NW_011626208.1_mrna_XM_011070177.1_24	808	634.981	0	0
lcl|NW_011626220.1_mrna_XM_011070389.1_25	914	740.715	4.08181	3.54147
lcl|NW_011626221.1_mrna_XM_011070500.1_26	1164	990.676	4.63447	3.00642
lcl|NW_011626222.1_mrna_XM_011070601.1_27	825	651.916	0	0
lcl|NW_011626239.1_mrna_XM_011070709.1_28	386	213.928	0	0
lcl|NW_011626243.1_mrna_XM_011070824.1_29	925	751.715	1.99711	1.70738
lcl|NW_011626245.1_mrna_XM_011070931.1_30	919	745.715	0	0
lcl|NW_011626261.1_mrna_XM_011050786.1_31	1362	1188.68	0	0
lcl|NW_011626283.1_ncrna_XR_845642.1_32	1004	830.676	0	0
lcl|NW_011626283.1_ncrna_XR_845635.1_33	983	809.676	0	0
lcl|NW_011626283.1_ncrna_XR_845637.1_34	968	794.676	0	0
lcl|NW_011626283.1_ncrna_XR_845649.1_35	960	786.676	0	0
lcl|NW_011626283.1_ncrna_XR_845664.1_36	747	574.071	0	0
lcl|NW_011626290.1_mrna_XM_011051118.1_37	627	454.152	30	42.4524
lcl|NW_011626291.1_mrna_XM_011051238.1_38	1896	1722.68	0	0
lcl|NW_011626294.1_mrna_XM_011051359.1_39	426	253.61	0	0
lcl|NW_011626302.1_mrna_XM_011051468.1_40	780	607.012	0	0
lcl|NW_011626310.1_mrna_XM_011051602.1_41	1184	1010.68	0	0
lcl|NW_011626321.1_ncrna_XR_845717.1_42	603	430.197	0	0
lcl|NW_011626324.1_mrna_XM_011051790.1_43	729	556.099	0	0
lcl|NW_011626327.1_mrna_XM_011051905.1_44	760	587.071	9.47639	10.3737
lcl|NW_011626331.1_mrna_XM_011052023.1_45	1504	1330.68	36	17.3865
lcl|NW_011626337.1_mrna_XM_011052198.1_46	582	409.218	102.547	161.046
lcl|NW_011626337.1_mrna_XM_011052136.1_47	668	495.152	53.4532	69.3773
