target_id	length	eff_length	est_counts	tpm
lcl|NC_090128.1_mrna_XM_067348397.1_1	5970	5806.17	0	0
lcl|NC_090128.1_mrna_XM_067348396.1_2	7026	6862.17	1	0.023426
lcl|NC_090128.1_ncrna_XR_010888234.1_3	2607	2443.17	0	0
lcl|NC_090128.1_ncrna_XR_010888235.1_4	1022	858.168	0	0
lcl|NC_090128.1_ncrna_XR_010888233.1_5	1963	1799.17	0	0
lcl|NC_090128.1_mrna_XM_067348399.1_6	1495	1331.17	1.692	0.204327
lcl|NC_090128.1_mrna_XM_067348398.1_7	2268	2104.17	0.808004	0.0617296
lcl|NC_090128.1_mrna_XM_067355196.1_8	2268	2104.17	0.808004	0.0617296
lcl|NC_090128.1_mrna_XM_067355201.1_9	1495	1331.17	1.692	0.204327
lcl|NC_090128.1_mrna_XM_012370630.2_10	1270	1106.17	266	38.6563
lcl|NC_090128.1_mrna_XM_012371063.2_11	6368	6204.17	867	22.4644
lcl|NC_090128.1_mrna_XM_012370791.2_12	3723	3559.17	0	0
lcl|NC_090128.1_mrna_XM_067347531.1_13	3621	3457.17	1372.51	63.8198
lcl|NC_090128.1_mrna_XM_012370792.2_14	3684	3520.17	0	0
lcl|NC_090128.1_mrna_XM_067347532.1_15	3540	3376.17	13.6562	0.650229
lcl|NC_090128.1_mrna_XM_012370793.2_16	3651	3487.17	0	0
lcl|NC_090128.1_mrna_XM_012370795.2_17	3612	3448.17	1171.67	54.623
lcl|NC_090128.1_mrna_XM_012370796.2_18	1951	1787.17	12.1672	1.09442
lcl|NC_090128.1_ncrna_XR_010887959.1_19	1907	1743.17	218.158	20.1183
lcl|NC_090128.1_mrna_XM_067347530.1_20	2927	2763.17	213.708	12.4329
lcl|NC_090128.1_mrna_XM_012370789.2_21	3333	3169.17	29.4458	1.49362
lcl|NC_090128.1_mrna_XM_012370788.2_22	3369	3205.17	419.103	21.0199
lcl|NC_090128.1_mrna_XM_012370790.2_23	2946	2782.17	144.431	8.34521
lcl|NC_090128.1_mrna_XM_067347529.1_24	2938	2774.17	334.312	19.3722
lcl|NC_090128.1_mrna_XM_012370797.2_25	4829	4665.17	605.902	20.8783
lcl|NC_090128.1_mrna_XM_012370798.2_26	4263	4099.17	1684.62	66.0641
lcl|NC_090128.1_mrna_XM_012371161.2_27	2407	2243.17	528	37.8384
lcl|NC_090128.1_mrna_XM_012370613.2_28	2441	2277.17	709	50.0508
lcl|NC_090128.1_mrna_XM_012371188.2_29	1010	846.168	1489.56	282.984
lcl|NC_090128.1_mrna_XM_012371189.2_30	2005	1841.17	92.4403	8.07101
lcl|NC_090128.1_mrna_XM_012371154.2_31	3544	3380.17	571	27.1555
lcl|NC_090128.1_mrna_XM_012371146.2_32	6114	5950.17	2449	66.1637
lcl|NC_090128.1_mrna_XM_067348262.1_33	6104	5940.17	0	0
