target_id	length	eff_length	est_counts	tpm
lcl|NC_050467.1_mrna_XM_012665896.3_1	1282	1083	14	7.07729
lcl|NC_050467.1_mrna_XM_028192329.2_2	2395	2196	0	0
lcl|NC_050467.1_mrna_XM_012665895.3_3	2392	2193	81	20.2215
lcl|NC_050467.1_mrna_XM_012665894.3_4	2398	2199	0	0
lcl|NC_050467.1_mrna_XM_036292642.1_5	1897	1698	0	0
lcl|NC_050467.1_miscrna_XR_003626137.2_6	1699	1500	0	0
lcl|NC_050467.1_miscrna_XR_003626138.2_7	1581	1382	16	6.33839
lcl|NC_050467.1_mrna_XM_012665900.2_8	1939	1740	60.9734	19.1849
lcl|NC_050467.1_mrna_XM_012665897.3_9	2478	2279	22.0266	5.29139
lcl|NC_050467.1_mrna_XM_028192106.2_10	2556	2357	0	0
lcl|NC_050467.1_mrna_XM_012665874.3_11	1710	1511	0	0
lcl|NC_050467.1_mrna_XM_012665875.3_12	1610	1411	0	0
lcl|NC_050467.1_mrna_XM_012665904.3_13	615	416	396.579	521.92
lcl|NC_050467.1_mrna_XM_028192297.2_14	579	380	37.421	53.9136
lcl|NC_050467.1_ncrna_XR_004964791.1_15	189	13.1915	0	0
lcl|NC_050467.1_mrna_XM_012665902.3_16	2205	2006	0	0
lcl|NC_050467.1_mrna_XM_012665903.3_17	1904	1705	46	14.7707
lcl|NC_050467.1_mrna_XM_012665883.3_18	1850	1651	23	7.6269
lcl|NC_050467.1_mrna_XM_012665884.3_19	2073	1874	2	0.584289
lcl|NC_050467.1_mrna_XM_036292681.1_20	1611	1412	0	0
lcl|NC_050467.1_mrna_XM_036292687.1_21	1825	1626	0	0
lcl|NC_050467.1_mrna_XM_012665885.3_22	1787	1588	0	0
lcl|NC_050467.1_mrna_XM_036292760.1_23	597	398	2.7438	3.77431
lcl|NC_050467.1_mrna_XM_012665892.3_24	665	466	7.22957	8.49364
lcl|NC_050467.1_mrna_XM_036292759.1_25	1181	982	76.1655	42.4633
lcl|NC_050467.1_mrna_XM_012665893.3_26	1058	859	107.861	68.7447
lcl|NC_050467.1_mrna_XM_012665886.3_27	2316	2117	1.9999	0.517196
lcl|NC_050467.1_mrna_XM_012665887.2_28	2336	2137	9.65108e-05	2.47251e-05
lcl|NC_050467.1_mrna_XM_012665882.3_29	1955	1756	0	0
