target_id	length	eff_length	est_counts	tpm
lcl|NC_092358.1_mrna_XM_071769953.1_1	648	480.66	14	34.7028
lcl|NC_092358.1_mrna_XM_071769941.1_2	2603	2435.6	13	6.35933
lcl|NC_092358.1_mrna_XM_071769889.1_3	3015	2847.6	27.1232	11.3485
lcl|NC_092358.1_mrna_XM_071769880.1_4	3016	2848.6	26.8768	11.2414
lcl|NC_092358.1_mrna_XM_071769927.1_5	1736	1568.6	27	20.5081
lcl|NC_092358.1_mrna_XM_071769965.1_6	457	290.354	37	151.827
lcl|NC_092358.1_mrna_XM_071769904.1_7	4631	4463.6	0	0
lcl|NC_092358.1_mrna_XM_071769902.1_8	4504	4336.6	0	0
lcl|NC_092358.1_mrna_XM_071769914.1_9	3763	3595.6	10	3.31362
lcl|NC_092358.1_mrna_XM_071769495.1_10	9073	8905.6	57.4849	7.69069
lcl|NC_092358.1_mrna_XM_071769486.1_11	9160	8992.6	111.515	14.7748
lcl|NC_092358.1_ncrna_XR_011730769.1_12	1034	866.603	1	1.37485
lcl|NC_092358.1_mrna_XM_071779881.1_13	2665	2497.6	106	50.5658
lcl|NC_092358.1_mrna_XM_071779840.1_14	2611	2443.6	130	63.3851
lcl|NC_092358.1_mrna_XM_071779852.1_15	3584	3416.6	4.11115	1.43365
lcl|NC_092358.1_mrna_XM_071779869.1_16	1849	1681.6	3.65764	2.59151
lcl|NC_092358.1_mrna_XM_071779860.1_17	3288	3120.6	14.2312	5.43348
lcl|NC_092358.1_mrna_XM_071779915.1_18	2525	2357.6	0	0
lcl|NC_092358.1_mrna_XM_071779905.1_19	2645	2477.6	7	3.36621
lcl|NC_092358.1_mrna_XM_071780019.1_20	1515	1347.6	4	3.53649
lcl|NC_092358.1_mrna_XM_071779973.1_21	2779	2611.6	1.00974	0.460659
lcl|NC_092358.1_mrna_XM_071769830.1_22	4264	4096.6	0	0
lcl|NC_092358.1_mrna_XM_071769820.1_23	4278	4110.6	98	28.405
lcl|NC_092358.1_mrna_XM_071769844.1_24	1821	1653.6	27	19.4539
lcl|NC_092358.1_mrna_XM_071769869.1_25	1633	1465.6	36.9779	30.0608
lcl|NC_092358.1_mrna_XM_071769859.1_26	1451	1283.6	76.0221	70.5641
lcl|NC_092358.1_mrna_XM_071779255.1_27	1074	906.603	0	0
lcl|NC_092358.1_mrna_XM_071779244.1_28	2901	2733.6	1	0.435852
lcl|NC_092358.1_mrna_XM_071779232.1_29	3578	3410.6	0	0
lcl|NC_092358.1_mrna_XM_071785940.1_30	3468	3300.6	0	0
lcl|NC_092358.1_miscrna_XR_011731316.1_31	2879	2711.6	0	0
lcl|NC_092358.1_mrna_XM_071773911.1_32	3635	3467.6	3	1.03078
lcl|NC_092358.1_mrna_XM_071773927.1_33	2704	2536.6	38	17.8487
lcl|NC_092358.1_mrna_XM_071779974.1_34	1877	1709.6	49	34.1488
lcl|NC_092358.1_mrna_XM_071779930.1_35	1546	1378.6	0	0
lcl|NC_092358.1_mrna_XM_071779947.1_36	1574	1406.6	27.5744	23.3566
lcl|NC_092358.1_mrna_XM_071779956.1_37	1476	1308.6	18.868	17.1788
lcl|NC_092358.1_mrna_XM_071779939.1_38	1592	1424.6	3.76056	3.14509
lcl|NC_092358.1_mrna_XM_071779965.1_39	1286	1118.6	2.79696	2.9791
lcl|NC_092358.1_mrna_XM_071779893.1_40	1856	1688.6	22	15.5228
lcl|NC_092358.1_mrna_XM_071779996.1_41	1240	1072.6	102	113.302
lcl|NC_092358.1_mrna_XM_071780030.1_42	1236	1068.6	31	34.5637
lcl|NC_092358.1_mrna_XM_071779981.1_43	1407	1239.6	136.763	131.45
lcl|NC_092358.1_mrna_XM_071780036.1_44	884	716.603	9.80397	16.3004
lcl|NC_092358.1_mrna_XM_071780006.1_45	2929	2761.6	150.196	64.7995
lcl|NC_092358.1_mrna_XM_071778958.1_46	1655	1487.6	12.9384	10.3626
lcl|NC_092358.1_mrna_XM_071779057.1_47	787	619.603	17	32.6896
lcl|NC_092358.1_mrna_XM_071778952.1_48	1645	1477.6	4.87224	3.92867
lcl|NC_092358.1_miscrna_XR_011732161.1_49	2411	2243.6	0	0
lcl|NC_092358.1_miscrna_XR_011732163.1_50	2315	2147.6	0	0
lcl|NC_092358.1_miscrna_XR_011732162.1_51	2342	2174.6	10.3318	5.66071
lcl|NC_092358.1_miscrna_XR_011732164.1_52	2381	2213.6	0	0
lcl|NC_092358.1_miscrna_XR_011732160.1_53	2483	2315.6	0	0
lcl|NC_092358.1_mrna_XM_071778936.1_54	2265	2097.6	10.8576	6.16716
lcl|NC_092358.1_mrna_XM_071779044.1_55	893	725.603	46	75.5325
lcl|NC_092358.1_mrna_XM_071778726.1_56	14787	14619.6	70.0352	5.70763
lcl|NC_092358.1_mrna_XM_071778717.1_57	14829	14661.6	4.28384	0.348118
lcl|NC_092358.1_mrna_XM_071778803.1_58	14392	14224.6	58.5434	4.90357
lcl|NC_092358.1_mrna_XM_071778794.1_59	14395	14227.6	173.525	14.5313
lcl|NC_092358.1_mrna_XM_071778748.1_60	14590	14422.6	32.7068	2.7019
lcl|NC_092358.1_mrna_XM_071778768.1_61	14584	14416.6	37.4784	3.09737
lcl|NC_092358.1_mrna_XM_071778784.1_62	14578	14410.6	174.82	14.4538
lcl|NC_092358.1_mrna_XM_071778758.1_63	14587	14419.6	0.938771	0.0775678
lcl|NC_092358.1_mrna_XM_071778776.1_64	14584	14416.6	1.97634e-08	1.63333e-09
lcl|NC_092358.1_mrna_XM_071778709.1_65	14593	14425.6	0	0
lcl|NC_092358.1_mrna_XM_071778737.1_66	14587	14419.6	0	0
lcl|NC_092358.1_mrna_XM_071778879.1_67	2532	2364.6	0	0
lcl|NC_092358.1_mrna_XM_071778871.1_68	2538	2370.6	89	44.7307
lcl|NC_092358.1_mrna_XM_071779071.1_69	1430	1262.6	98	92.4771
lcl|NC_092358.1_mrna_XM_071779030.1_70	819	651.603	3	5.48546
lcl|NC_092358.1_mrna_XM_071778964.1_71	1505	1337.6	30	26.722
lcl|NC_092358.1_mrna_XM_071779008.1_72	1937	1769.6	6	4.03971
lcl|NC_092358.1_mrna_XM_071778891.1_73	2019	1851.6	36	23.1648
lcl|NC_092358.1_mrna_XM_071778859.1_74	3123	2955.6	164	66.1108
lcl|NC_092358.1_mrna_XM_071778845.1_75	4754	4586.6	267.772	69.5583
lcl|NC_092358.1_mrna_XM_071778838.1_76	4751	4583.6	413.465	107.475
lcl|NC_092358.1_mrna_XM_071778898.1_77	2700	2532.6	33.4804	15.7506
lcl|NC_092358.1_mrna_XM_071778981.1_78	5257	5089.6	1.3093e-07	3.065e-08
lcl|NC_092358.1_mrna_XM_071778969.1_79	5447	5279.6	85.2019	19.2275
lcl|NC_092358.1_mrna_XM_071778977.1_80	5437	5269.6	209.709	47.4147
lcl|NC_092358.1_mrna_XM_071778974.1_81	5437	5269.6	119.834	27.0941
lcl|NC_092358.1_mrna_XM_071778848.1_82	3831	3663.6	44.256	14.3926
lcl|NC_092358.1_mrna_XM_071778995.1_83	1349	1181.6	0.0267684	0.0269914
lcl|NC_092358.1_mrna_XM_071778989.1_84	1401	1233.6	0	0
lcl|NC_092358.1_mrna_XM_071779000.1_85	1349	1181.6	0.0267684	0.0269914
lcl|NC_092358.1_mrna_XM_071778984.1_86	1479	1311.6	9.94646	9.03527
lcl|NC_092358.1_mrna_XM_071778817.1_87	5722	5554.6	196	42.0415
lcl|NC_092358.1_mrna_XM_071778827.1_88	5691	5523.6	2.3484e-07	5.06553e-08
lcl|NC_092358.1_mrna_XM_071779019.1_89	954	786.603	1029	1558.6
lcl|NC_092358.1_mrna_XM_071778916.1_90	2675	2507.6	1.03475e-07	4.91646e-08
lcl|NC_092358.1_mrna_XM_071778907.1_91	3605	3437.6	404	140.023
lcl|NC_092358.1_mrna_XM_071779093.1_92	3014	2846.6	13.963	5.84424
lcl|NC_092358.1_mrna_XM_071779085.1_93	2873	2705.6	43.037	18.9519
lcl|NC_092358.1_mrna_XM_071773954.1_94	2108	1940.6	44	27.0141
lcl|NC_092358.1_mrna_XM_071773492.1_95	6941	6773.6	0	0
lcl|NC_092358.1_mrna_XM_071773484.1_96	7018	6850.6	86	14.957
lcl|NC_092358.1_mrna_XM_071773537.1_97	3266	3098.6	0	0
lcl|NC_092358.1_mrna_XM_071773546.1_98	2603	2435.6	27	13.2078
lcl|NC_092358.1_mrna_XM_071773802.1_99	1472	1304.6	81	73.9744
lcl|NC_092358.1_mrna_XM_071773789.1_100	1734	1566.6	63	47.9133
lcl|NC_092358.1_mrna_XM_071773761.1_101	1540	1372.6	60	52.0812
lcl|NC_092358.1_mrna_XM_071773677.1_102	7028	6860.6	93.4002	16.2203
lcl|NC_092358.1_mrna_XM_071773683.1_103	6608	6440.6	16.5998	3.0708
lcl|NC_092358.1_mrna_XM_071773728.1_104	2106	1938.6	127	78.053
lcl|NC_092358.1_mrna_XM_071773891.1_105	642	474.66	0	0
lcl|NC_092358.1_mrna_XM_071773826.1_106	3504	3336.6	2	0.714168
lcl|NC_092358.1_mrna_XM_071773456.1_107	9610	9442.6	113	14.2581
lcl|NC_092358.1_mrna_XM_071773717.1_108	2310	2142.6	60	33.3645
lcl|NC_092358.1_mrna_XM_071773664.1_109	3921	3753.6	59	18.7274
lcl|NC_092358.1_mrna_XM_071773815.1_110	884	716.603	51	84.7942
lcl|NC_092358.1_mrna_XM_071773725.1_111	1841	1673.6	32	22.781
lcl|NC_092358.1_mrna_XM_071773563.1_112	2564	2396.6	79.999	39.7707
lcl|NC_092358.1_mrna_XM_071773557.1_113	2592	2424.6	0.000976569	0.000479885
lcl|NC_092358.1_mrna_XM_071773573.1_114	2419	2251.6	4.79498e-06	2.53729e-06
lcl|NC_092358.1_mrna_XM_071773705.1_115	1630	1462.6	8	6.51686
lcl|NC_092358.1_mrna_XM_071773774.1_116	845	677.603	16	28.1332
lcl|NC_092358.1_mrna_XM_071773838.1_117	674	506.66	828.261	1947.71
lcl|NC_092358.1_mrna_XM_071773849.1_118	673	505.66	111.739	263.282
lcl|NC_092358.1_mrna_XM_071773859.1_119	2702	2534.6	116	54.5284
lcl|NC_092358.1_mrna_XM_071773870.1_120	2633	2465.6	0	0
lcl|NC_092358.1_mrna_XM_071773502.1_121	3728	3560.6	10.4424	3.49423
lcl|NC_092358.1_mrna_XM_071773523.1_122	3662	3494.6	84.4852	28.8043
lcl|NC_092358.1_mrna_XM_071773512.1_123	3667	3499.6	195.072	66.4128
lcl|NC_092358.1_mrna_XM_071773587.1_124	2509	2341.6	134.037	68.2004
lcl|NC_092358.1_mrna_XM_071773601.1_125	2214	2046.6	68.3505	39.7908
lcl|NC_092358.1_mrna_XM_071773593.1_126	2271	2103.6	50.6687	28.6979
lcl|NC_092358.1_ncrna_XR_011731313.1_127	2203	2035.6	3	1.75591
lcl|NC_092358.1_mrna_XM_071773475.1_128	6961	6793.6	93.6473	16.4237
lcl|NC_092358.1_mrna_XM_071773464.1_129	7003	6835.6	119.353	20.8032
lcl|NC_092358.1_mrna_XM_071773694.1_130	1363	1195.6	17	16.9409
lcl|NC_092358.1_mrna_XM_071773621.1_131	4377	4209.6	86.5426	24.4942
lcl|NC_092358.1_mrna_XM_071773611.1_132	4488	4320.6	157.593	43.4577
lcl|NC_092358.1_mrna_XM_071773654.1_133	3017	2849.6	25.782	10.7797
lcl|NC_092358.1_mrna_XM_071773629.1_134	3128	2960.6	52.3971	21.0864
lcl|NC_092358.1_miscrna_XR_011731268.1_135	2787	2619.6	0	0
