target_id	length	eff_length	est_counts	tpm
lcl|NW_027509230.1_mrna_XM_077404863.1_1	1641	1472.68	5038	252.24
lcl|NW_027509230.1_mrna_XM_077404920.1_2	806	637.675	2312	267.332
lcl|NW_027509230.1_mrna_XM_077404899.1_3	1264	1095.68	1195.97	80.4827
lcl|NW_027509230.1_mrna_XM_077404908.1_4	1249	1080.68	4697.03	320.473
lcl|NW_027509230.1_mrna_XM_077404874.1_5	2105	1936.68	379.669	14.4548
lcl|NW_027509230.1_mrna_XM_077404884.1_6	1762	1593.68	576.331	26.6646
lcl|NW_027509230.1_mrna_XM_077404830.1_7	2326	2157.68	917	31.3362
lcl|NW_027509230.1_mrna_XM_077404848.1_8	2805	2636.68	290.083	8.11202
lcl|NW_027509230.1_mrna_XM_077404844.1_9	3074	2905.68	712.917	18.0907
lcl|NW_027509230.1_mrna_XM_077404929.1_10	2013	1844.68	5574.99	222.837
lcl|NW_027509230.1_mrna_XM_077404937.1_11	2205	2036.68	588.009	21.2875
lcl|NW_027509230.1_mrna_XM_077426576.1_12	1908	1739.68	95.1929	4.03459
lcl|NW_027509230.1_mrna_XM_077426584.1_13	1830	1661.68	47.0386	2.08724
lcl|NW_027509230.1_mrna_XM_077426631.1_14	1316	1147.68	0	0
lcl|NW_027509230.1_mrna_XM_077426634.1_15	1260	1091.68	15.1896	1.02593
lcl|NW_027509230.1_mrna_XM_077426626.1_16	1322	1153.68	112.205	7.17121
lcl|NW_027509230.1_mrna_XM_077426560.1_17	1890	1721.68	386.034	16.5324
lcl|NW_027509230.1_mrna_XM_077426552.1_18	1890	1721.68	50.3902	2.15803
lcl|NW_027509230.1_mrna_XM_077426542.1_19	1812	1643.68	0	0
lcl|NW_027509230.1_mrna_XM_077426593.1_20	1689	1520.68	205.451	9.96174
lcl|NW_027509230.1_mrna_XM_077426567.1_21	1812	1643.68	138.499	6.21287
lcl|NW_027509230.1_mrna_XM_077426645.1_22	1120	951.675	24	1.85945
lcl|NW_027509230.1_mrna_XM_077426458.1_23	5026	4857.68	1679.25	25.4889
lcl|NW_027509230.1_mrna_XM_077426469.1_24	5024	4855.68	0.402478	0.00611161
lcl|NW_027509230.1_mrna_XM_077426449.1_25	5404	5235.68	244.883	3.44864
lcl|NW_027509230.1_mrna_XM_077426463.1_26	5425	5256.68	98.5212	1.38192
lcl|NW_027509230.1_mrna_XM_077426601.1_27	1632	1463.68	860.912	43.3688
lcl|NW_027509230.1_mrna_XM_077426617.1_28	1626	1457.68	38.2558	1.93509
lcl|NW_027509230.1_mrna_XM_077426621.1_29	1676	1507.68	204.073	9.98023
lcl|NW_027509230.1_mrna_XM_077426612.1_30	1806	1637.68	0	0
lcl|NW_027509230.1_mrna_XM_077426608.1_31	1789	1620.68	146.759	6.67686
lcl|NW_027509230.1_mrna_XM_077426519.1_32	4111	3942.68	404.139	7.55793
lcl|NW_027509230.1_mrna_XM_077426512.1_33	3713	3544.68	21.3885	0.444904
lcl|NW_027509230.1_ncrna_XR_013260285.1_34	2700	2531.68	70.5018	2.05331
lcl|NW_027509230.1_mrna_XM_077426430.1_35	4783	4614.68	712.971	11.3918
lcl|NW_027509230.1_mrna_XM_077426507.1_36	3403	3234.68	1162.96	26.5091
lcl|NW_027509230.1_mrna_XM_077426437.1_37	4416	4247.68	4212.55	73.1235
lcl|NW_027509230.1_mrna_XM_077426441.1_38	3598	3429.68	395.492	8.50251
lcl|NW_027509230.1_mrna_XM_077426533.1_39	2179	2010.68	1287	47.1954
lcl|NW_027509230.1_mrna_XM_077426486.1_40	6744	6575.68	396.212	4.44273
lcl|NW_027509230.1_mrna_XM_077426498.1_41	7050	6881.68	16.5354	0.177167
lcl|NW_027509230.1_mrna_XM_077426495.1_42	4871	4702.68	63.0891	0.989174
lcl|NW_027509230.1_mrna_XM_077426479.1_43	7424	7255.68	7.96307e-08	8.09218e-10
lcl|NW_027509230.1_mrna_XM_077426492.1_44	6598	6429.68	69.1634	0.793141
lcl|NW_027509230.1_mrna_XM_077426696.1_45	996	827.675	0	0
lcl|NW_027509230.1_mrna_XM_077426692.1_46	1043	874.675	4	0.337191
lcl|NW_027509230.1_mrna_XM_077426660.1_47	3371	3202.68	19.1538	0.440966
lcl|NW_027509230.1_mrna_XM_077426666.1_48	3362	3193.68	0	0
lcl|NW_027509230.1_mrna_XM_077426668.1_49	3266	3097.68	49.7952	1.18526
lcl|NW_027509230.1_mrna_XM_077426675.1_50	3253	3084.68	22.051	0.527086
lcl|NW_027509230.1_ncrna_XR_013260288.1_51	2955	2786.68	0	0
lcl|NW_027509230.1_ncrna_XR_013260286.1_52	2785	2616.68	37.2698	1.0502
lcl|NW_027509230.1_ncrna_XR_013260287.1_53	380	212.899	2.29115	0.793495
lcl|NW_027509230.1_mrna_XM_077426685.1_54	1209	1040.68	291.596	20.66
lcl|NW_027509230.1_mrna_XM_077405259.1_55	1901	1732.68	17048.3	725.484
lcl|NW_027509230.1_mrna_XM_077405360.1_56	1131	962.675	1215	93.0592
lcl|NW_027509230.1_mrna_XM_077404973.1_57	16876	16707.7	1197.28	5.28374
lcl|NW_027509230.1_mrna_XM_077404949.1_58	16233	16064.7	203.032	0.931872
lcl|NW_027509230.1_miscrna_XR_013256777.1_59	16193	16024.7	0.00081749	3.76146e-06
lcl|NW_027509230.1_miscrna_XR_013256778.1_60	16185	16016.7	0.0014287	6.57704e-06
lcl|NW_027509230.1_miscrna_XR_013256776.1_61	16179	16010.7	0.00217201	1.00027e-05
lcl|NW_027509230.1_miscrna_XR_013256782.1_62	16175	16006.7	0.00287198	1.32295e-05
lcl|NW_027509230.1_miscrna_XR_013256783.1_63	16169	16000.7	7.59823e-05	3.50136e-07
lcl|NW_027509230.1_mrna_XM_077404982.1_64	16191	16022.7	109.577	0.504251
lcl|NW_027509230.1_mrna_XM_077405276.1_65	7702	7533.68	187.371	1.83383
lcl|NW_027509230.1_mrna_XM_077405282.1_66	7754	7585.68	511.524	4.97204
lcl|NW_027509230.1_mrna_XM_077405292.1_67	7487	7318.68	0.00586526	5.90905e-05
lcl|NW_027509230.1_mrna_XM_077405271.1_68	7491	7322.68	114.084	1.14873
lcl|NW_027509230.1_mrna_XM_077405231.1_69	2807	2638.68	49.0601	1.3709
lcl|NW_027509230.1_mrna_XM_077405389.1_70	633	464.675	510.576	81.0165
lcl|NW_027509230.1_mrna_XM_077405208.1_71	2285	2116.68	98.8571	3.44363
lcl|NW_027509230.1_mrna_XM_077405201.1_72	2429	2260.68	132.567	4.32375
lcl|NW_027509230.1_mrna_XM_077405052.1_73	13154	12985.7	42.7453	0.24271
lcl|NW_027509230.1_mrna_XM_077405002.1_74	13271	13102.7	151.732	0.853847
lcl|NW_027509230.1_mrna_XM_077405044.1_75	13160	12991.7	25.5033	0.144742
lcl|NW_027509230.1_mrna_XM_077404994.1_76	13277	13108.7	90.9469	0.511555
lcl|NW_027509230.1_mrna_XM_077405063.1_77	10632	10463.7	3.49323	0.0246153
lcl|NW_027509230.1_mrna_XM_077405056.1_78	10560	10391.7	0	0
lcl|NW_027509230.1_mrna_XM_077405077.1_79	10566	10397.7	0	0
lcl|NW_027509230.1_mrna_XM_077405012.1_80	10416	10247.7	0	0
lcl|NW_027509230.1_mrna_XM_077405023.1_81	10618	10449.7	1.93948	0.013685
lcl|NW_027509230.1_mrna_XM_077405033.1_82	10609	10440.7	5.08214	0.0358907
lcl|NW_027509230.1_mrna_XM_077405072.1_83	10582	10413.7	0	0
lcl|NW_027509230.1_mrna_XM_077405246.1_84	3794	3625.68	1039	21.1295
lcl|NW_027509230.1_mrna_XM_077405316.1_85	1798	1629.68	2993.92	135.457
lcl|NW_027509230.1_mrna_XM_077405329.1_86	1744	1575.68	1395.93	65.3219
lcl|NW_027509230.1_mrna_XM_077405334.1_87	1727	1558.68	611.043	28.9054
lcl|NW_027509230.1_mrna_XM_077405326.1_88	1750	1581.68	752.116	35.0615
lcl|NW_027509230.1_mrna_XM_077405411.1_89	1748	1579.68	44.1691	2.06164
lcl|NW_027509230.1_mrna_XM_077405402.1_90	1910	1741.68	727.08	30.7807
lcl|NW_027509230.1_mrna_XM_077405420.1_91	1765	1596.68	69.7505	3.22102
lcl|NW_027509230.1_mrna_XM_077405223.1_92	2603	2434.68	1390.94	42.1241
lcl|NW_027509230.1_miscrna_XR_013256829.1_93	1876	1707.68	1275.35	55.0666
lcl|NW_027509230.1_mrna_XM_077405378.1_94	2133	1964.68	456.83	17.1446
lcl|NW_027509230.1_mrna_XM_077405168.1_95	7393	7224.68	267.131	2.72627
lcl|NW_027509230.1_mrna_XM_077405189.1_96	7231	7062.68	64.5733	0.674135
lcl|NW_027509230.1_mrna_XM_077405179.1_97	7699	7530.68	112.58	1.10228
