target_id	length	eff_length	est_counts	tpm
lcl|NW_020229871.1_mrna_XM_011156896.3_1	1769	1589.12	13.7587	0.982075
lcl|NW_020229871.1_mrna_XM_025303518.1_2	1859	1679.12	26	1.75637
lcl|NW_020229871.1_mrna_XM_025299048.1_3	835	655.159	70359.1	12181.5
lcl|NW_020229871.1_mrna_XM_011157002.3_4	2283	2103.12	76.8833	4.14661
lcl|NW_020229871.1_mrna_XM_011156920.3_5	2477	2297.12	25	1.23447
lcl|NW_020229871.1_mrna_XM_025307883.1_6	5126	4946.12	174.325	3.99779
lcl|NW_020229871.1_mrna_XM_019840142.2_7	4183	4003.12	7.67533	0.217483
lcl|NW_020229871.1_mrna_XM_011156943.2_8	2461	2281.12	170081	8457.32
lcl|NW_020229871.1_mrna_XM_025298067.1_9	2063	1883.12	736.818	44.3821
lcl|NW_020229871.1_mrna_XM_025296757.1_10	2093	1913.12	3	0.177871
lcl|NW_020229871.1_mrna_XM_025300174.1_11	682	502.159	0	0
lcl|NW_020229871.1_mrna_XM_025297558.1_12	2119	1939.12	0	0
lcl|NW_020229871.1_mrna_XM_011138851.3_13	786	606.159	5	0.935642
lcl|NW_020229871.1_mrna_XM_011137401.3_14	1332	1152.12	121.925	12.0039
lcl|NW_020229871.1_mrna_XM_011137400.3_15	1641	1461.12	499.075	38.744
lcl|NW_020229871.1_mrna_XM_011137402.3_16	1375	1195.12	0	0
lcl|NW_020229871.1_mrna_XM_025296882.1_17	825	645.159	0	0
lcl|NW_020229871.1_mrna_XM_025301973.1_18	2459	2279.12	299.225	14.8921
lcl|NW_020229871.1_ncrna_XR_003113753.1_19	526	346.475	48.5182	15.884
lcl|NW_020229871.1_mrna_XM_025303331.1_20	1067	887.125	1468.83	187.807
lcl|NW_020229871.1_mrna_XM_025303684.1_21	634	454.207	159.351	39.7948
lcl|NW_020229871.1_mrna_XM_025302809.1_22	1309	1129.12	0	0
lcl|NW_020229871.1_mrna_XM_011145717.3_23	1373	1193.12	304	28.9011
lcl|NW_020229871.1_ncrna_XR_003113905.1_24	401	223.479	140.817	71.4734
lcl|NW_020229871.1_ncrna_XR_003113876.1_25	372	195.711	95.1832	55.1659
lcl|NW_020229871.1_mrna_XM_025304532.1_26	3232	3052.12	3350	124.5
lcl|NW_020229871.1_mrna_XM_025307217.1_27	3378	3198.12	15.4479	0.5479
lcl|NW_020229871.1_mrna_XM_025305517.1_28	3412	3232.12	0	0
lcl|NW_020229871.1_mrna_XM_025307834.1_29	3360	3180.12	0	0
lcl|NW_020229871.1_mrna_XM_025305844.1_30	3385	3205.12	0	0
lcl|NW_020229871.1_mrna_XM_025307858.1_31	3334	3154.12	193.876	6.97223
lcl|NW_020229871.1_mrna_XM_025307976.1_32	3283	3103.12	158.786	5.80415
lcl|NW_020229871.1_mrna_XM_025307927.1_33	3285	3105.12	6.28188e-08	2.29476e-09
lcl|NW_020229871.1_mrna_XM_025308012.1_34	3234	3054.12	1736.93	64.5093
lcl|NW_020229871.1_mrna_XM_025306869.1_35	3323	3143.12	0	0
lcl|NW_020229871.1_mrna_XM_025307884.1_36	3272	3092.12	67.4055	2.47266
lcl|NW_020229871.1_mrna_XM_025306198.1_37	3345	3165.12	0	0
lcl|NW_020229871.1_mrna_XM_025306533.1_38	3324	3144.12	41.5547	1.49916
lcl|NW_020229871.1_mrna_XM_025307573.1_39	3292	3112.12	0	0
