target_id	length	eff_length	est_counts	tpm
lcl|NW_011954026.1_mrna_XM_012028248.1_1	723	322.994	327	51.499
lcl|NW_011954036.1_mrna_XM_012002909.1_2	432	109.382	0	0
lcl|NW_011954036.1_mrna_XM_012003644.1_3	366	79.1323	0	0
lcl|NW_011954052.1_mrna_XM_012005389.1_4	746	343.137	4	0.592978
lcl|NW_011954063.1_mrna_XM_012006526.1_5	547	183.288	291.955	81.0264
lcl|NW_011954082.1_mrna_XM_012007674.1_6	608	228.95	48	10.6647
lcl|NW_011954084.1_mrna_XM_012008864.1_7	603	225.098	2	0.451963
lcl|NW_011954107.1_mrna_XM_012010075.1_8	979	564.067	85	7.66537
lcl|NW_011954118.1_mrna_XM_012011282.1_9	552	186.817	1	0.272288
lcl|NW_011954120.1_mrna_XM_012012517.1_10	648	260.649	0	0
lcl|NW_011954131.1_mrna_XM_012013738.1_11	562	194.206	659	172.61
lcl|NW_011954192.1_mrna_XM_012018576.1_12	963	548.233	2	0.185571
lcl|NW_011954197.1_mrna_XM_012019800.1_13	789	382.005	3	0.399482
lcl|NW_011954220.1_ncrna_XR_001009308.1_14	358	76.524	180.69	120.111
lcl|NW_011954222.1_mrna_XM_012021819.1_15	558	191.213	0	0
lcl|NW_011954247.1_mrna_XM_012023023.1_16	429	107.733	0.5	0.236084
lcl|NW_011954260.1_mrna_XM_012024218.1_17	588	213.384	5	1.19193
lcl|NW_011954295.1_mrna_XM_012025436.1_18	908	494.904	0	0
lcl|NW_011954311.1_mrna_XM_012028223.1_19	649	261.338	0	0
lcl|NW_011954318.1_mrna_XM_012028373.1_20	363	77.9077	3	1.95878
lcl|NW_011954328.1_mrna_XM_012028445.1_21	669	277.891	29.7734	5.45003
lcl|NW_011954336.1_mrna_XM_012028513.1_22	715	316.29	131	21.0684
lcl|NW_011954336.1_trna_23	73	21.3889	0	0
lcl|NW_011954369.1_mrna_XM_012002800.1_24	524	166.835	0	0
lcl|NW_011954376.1_mrna_XM_012002865.1_25	625	242.231	482	101.219
lcl|NW_011954388.1_mrna_XM_012002933.1_26	669	277.891	0	0
lcl|NW_011954402.1_mrna_XM_012003010.1_27	1024	608.723	0	0
lcl|NW_011954415.1_mrna_XM_012003088.1_28	952	537.559	3.67195	0.347468
lcl|NW_011954453.1_mrna_XM_012003170.1_29	995	579.781	0	0
lcl|NW_011954458.1_mrna_XM_012003239.1_30	637	251.74	0	0
lcl|NW_011954469.1_mrna_XM_012003373.1_31	787	380.16	0	0
lcl|NW_011954491.1_mrna_XM_012003527.1_32	792	384.849	0	0
lcl|NW_011954536.1_mrna_XM_012003816.1_33	639	253.271	3.85734	0.774724
lcl|NW_011954536.1_mrna_XM_012003872.1_34	633	248.45	28.5864	5.85282
lcl|NW_011954536.1_mrna_XM_012003921.1_35	617	235.979	7.40705	1.59668
lcl|NW_011954536.1_mrna_XM_012003972.1_36	597	220.532	12.1492	2.80234
lcl|NW_011954553.1_mrna_XM_012004113.1_37	574	203.179	19	4.75685
lcl|NW_011954555.1_mrna_XM_012004196.1_38	964	549.178	1.59996	0.148198
lcl|NW_011954577.1_mrna_XM_012004287.1_39	885	472.491	0	0
lcl|NW_011954578.1_mrna_XM_012004362.1_40	765	360.009	0	0
lcl|NW_011954582.1_mrna_XM_012004440.1_41	485	140.512	0	0
lcl|NW_011954583.1_mrna_XM_012004540.1_42	712	313.782	40.9562	6.63953
lcl|NW_011954629.1_mrna_XM_012004896.1_43	688	293.081	1044	181.2
lcl|NW_011954642.1_mrna_XM_012004999.1_44	659	269.505	0	0
lcl|NW_011954688.1_mrna_XM_012005097.1_45	405	95.3598	564.037	300.876
lcl|NW_011954694.1_mrna_XM_012005205.1_46	921	507.453	0	0
lcl|NW_011954701.1_mrna_XM_012005319.1_47	967	552.123	2	0.184263
lcl|NW_011954703.1_mrna_XM_012005430.1_48	780	373.621	25.489	3.47029
lcl|NW_011954703.1_mrna_XM_012005508.1_49	800	392.218	5.51452	0.715197
lcl|NW_011954718.1_mrna_XM_012005623.1_50	715	316.29	0	0
lcl|NW_011954723.1_mrna_XM_012005839.1_51	651	262.998	401.699	77.6952
lcl|NW_011954723.1_miscrna_XR_001008659.1_52	422	103.978	186.301	91.1419
lcl|NW_011954736.1_mrna_XM_012006108.1_53	948	533.773	297	28.3038
lcl|NW_011954750.1_mrna_XM_012006333.1_54	469	130.601	3.43054	1.33617
lcl|NW_011954766.1_mrna_XM_012006447.1_55	603	225.098	3	0.677945
lcl|NW_011954769.1_mrna_XM_012006563.1_56	929	515.35	2.46811	0.243617
lcl|NW_011954777.1_mrna_XM_012006690.1_57	482	138.754	7	2.56624
lcl|NW_011954780.1_mrna_XM_012006793.1_58	870	458.005	24	2.66555
lcl|NW_011954781.1_mrna_XM_012006900.1_59	582	209.007	0	0
lcl|NW_011954787.1_mrna_XM_012007003.1_60	960	545.343	0	0
lcl|NW_011954810.1_mrna_XM_012007241.1_61	950	535.613	5	0.474859
lcl|NW_011954813.1_mrna_XM_012007360.1_62	705	307.756	0	0
lcl|NW_011954817.1_mrna_XM_012007486.1_63	1071	655.723	9	0.69818
lcl|NW_011954852.1_mrna_XM_012007598.1_64	883	470.538	1	0.108106
lcl|NW_011954871.1_mrna_XM_012007709.1_65	661	271.301	1	0.187497
lcl|NW_011954877.1_mrna_XM_012007834.1_66	885	472.491	0	0
lcl|NW_011954884.1_mrna_XM_012007949.1_67	921	507.453	10	1.00242
lcl|NW_011954915.1_trna_68	75	22.2368	0	0
lcl|NW_011954915.1_trna_69	73	21.3889	0	0
lcl|NW_011954920.1_mrna_XM_012008350.1_70	719	319.495	276	43.9431
lcl|NW_011954922.1_mrna_XM_012008462.1_71	762	357.45	0	0
lcl|NW_011954927.1_mrna_XM_012008585.1_72	839	429.06	3.1469	0.373087
lcl|NW_011954928.1_mrna_XM_012008699.1_73	477	135.576	0	0
lcl|NW_011954931.1_mrna_XM_012008820.1_74	688	293.081	2.13241	0.370109
lcl|NW_011954962.1_mrna_XM_012009184.1_75	447	117.831	4	1.72681
lcl|NW_011954967.1_mrna_XM_012009313.1_76	898	485.248	13.8726	1.45425
lcl|NW_011954970.1_mrna_XM_012009430.1_77	761	356.523	0	0
lcl|NW_011954972.1_mrna_XM_012009551.1_78	853	442.181	0	0
lcl|NW_011954976.1_mrna_XM_012009671.1_79	906	493.003	0	0
lcl|NW_011954987.1_mrna_XM_012010158.1_80	976	561.123	1.88392	0.170784
