target_id	length	eff_length	est_counts	tpm
lcl|NW_012020990.1_mrna_XM_011689755.1_1	352	238.728	0	0
lcl|NW_012021460.1_mrna_XM_011701521.1_2	370	256.307	0	0
lcl|NW_012021576.1_trna_3	73	15.928	0	0
lcl|NW_012021799.1_mrna_XM_011685984.1_4	390	276.025	0	0
lcl|NW_012022190.1_mrna_XM_011688230.1_5	274	163.402	0	0
lcl|NW_012022290.1_mrna_XM_011689353.1_6	213	107.414	0.132801	0.302948
lcl|NW_012022940.1_trna_7	72	15.627	0	0
lcl|NW_012022951.1_trna_8	74	16.2593	0	0
lcl|NW_012026031.1_ncrna_XR_974594.1_9	223	116.164	3.96863	8.37134
lcl|NW_012026224.1_mrna_XM_011693981.1_10	363	249.396	1.84601	1.81372
lcl|NW_012026564.1_ncrna_XR_974945.1_11	140	50.6753	0	0
lcl|NW_012026650.1_mrna_XM_011697195.1_12	300	188.035	15.1248	19.7094
lcl|NW_012026773.1_mrna_XM_011698374.1_13	867	751.295	1	0.326148
lcl|NW_012026774.1_mrna_XM_011686616.1_14	819	703.405	0	0
lcl|NW_012026774.1_mrna_XM_011686641.1_15	5280	5164.25	0	0
lcl|NW_012026774.1_mrna_XM_011686653.1_16	1359	1243.25	0	0
lcl|NW_012026774.1_mrna_XM_011686664.1_17	2181	2065.25	1	0.118646
lcl|NW_012026774.1_mrna_XM_011686676.1_18	405	290.841	1	0.8425
lcl|NW_012026774.1_mrna_XM_011686686.1_19	426	311.525	0	0
lcl|NW_012026774.1_mrna_XM_011686700.1_20	1281	1165.25	0	0
lcl|NW_012026774.1_mrna_XM_011686713.1_21	927	811.295	0	0
lcl|NW_012026774.1_mrna_XM_011686750.1_22	783	667.405	0	0
lcl|NW_012026774.1_mrna_XM_011686764.1_23	921	805.295	0	0
lcl|NW_012026774.1_ncrna_XR_975175.1_24	372	258.281	51.2312	48.6034
lcl|NW_012026774.1_mrna_XM_011700363.1_25	671	555.433	0	0
lcl|NW_012026774.1_mrna_XM_011701149.1_26	625	509.511	0	0
lcl|NW_012026774.1_mrna_XM_011686783.1_27	408	293.812	0	0
lcl|NW_012026774.1_mrna_XM_011703063.1_28	414	299.708	0	0
lcl|NW_012026774.1_mrna_XM_011702290.1_29	382	268.189	0	0
lcl|NW_012026774.1_mrna_XM_011705435.1_30	1226	1110.25	1	0.2207
lcl|NW_012026774.1_mrna_XM_011707250.1_31	6926	6810.25	0	0
lcl|NW_012026774.1_mrna_XM_011706597.1_32	7123	7007.25	172	6.01459
lcl|NW_012026774.1_mrna_XM_011708785.1_33	1077	961.253	104.53	26.6459
lcl|NW_012026774.1_mrna_XM_011708169.1_34	992	876.253	7.46954	2.08876
lcl|NW_012026774.1_mrna_XM_011709019.1_35	2840	2724.25	39	3.50786
lcl|NW_012026774.1_mrna_XM_011709322.1_36	4553	4437.25	91	5.02519
lcl|NW_012026774.1_mrna_XM_011709216.1_37	3579	3463.25	1	0.0707523
lcl|NW_012026774.1_mrna_XM_011709136.1_38	3665	3549.25	0	0
lcl|NW_012026774.1_mrna_XM_011709616.1_39	2137	2021.25	35.3302	4.28303
lcl|NW_012026774.1_mrna_XM_011709457.1_40	2208	2092.25	203.109	23.787
lcl|NW_012026774.1_mrna_XM_011709538.1_41	2024	1908.25	53.5609	6.8776
lcl|NW_012026774.1_mrna_XM_011709704.1_42	2628	2512.25	483	47.1095
lcl|NW_012026774.1_mrna_XM_011709788.1_43	2653	2537.25	0	0
lcl|NW_012026774.1_mrna_XM_011709912.1_44	2261	2145.25	197.172	22.5212
