target_id	length	eff_length	est_counts	tpm
lcl|NW_012130065.1_mrna_XM_012199135.1_1	1360	1194.4	123	46.7981
lcl|NW_012130065.1_mrna_XM_012199146.1_2	861	695.396	1	0.653491
lcl|NW_012130065.1_mrna_XM_012199156.1_3	984	818.396	16	8.8844
lcl|NW_012130065.1_mrna_XM_012202086.1_4	273	119.619	95	360.906
lcl|NW_012130065.1_mrna_XM_012199166.1_5	46023	45857.4	21837	216.399
lcl|NW_012130065.1_mrna_XM_012199177.1_6	726	560.396	5	4.05459
lcl|NW_012130065.1_mrna_XM_012207451.1_7	2295	2129.4	138	29.4506
lcl|NW_012130065.1_mrna_XM_012208508.1_8	3087	2921.4	680	105.777
lcl|NW_012130065.1_mrna_XM_012198906.1_9	1767	1601.4	91	25.8235
lcl|NW_012130065.1_mrna_XM_012199964.1_10	1056	890.396	1076.11	549.219
lcl|NW_012130065.1_mrna_XM_012199188.1_11	1773	1607.4	6	1.69629
lcl|NW_012130065.1_mrna_XM_012201021.1_12	5064	4898.4	47	4.36029
lcl|NW_012130065.1_ncrna_XR_001046497.1_13	436	272.102	49	81.8344
lcl|NW_012130065.1_mrna_XM_012202778.1_14	1666	1500.4	43	13.0237
lcl|NW_012130065.1_mrna_XM_012199200.1_15	882	716.396	63	39.9631
lcl|NW_012130065.1_mrna_XM_012203805.1_16	1893	1727.4	1	0.263075
lcl|NW_012130065.1_mrna_XM_012199211.1_17	1428	1262.4	33	11.8793
lcl|NW_012130065.1_mrna_XM_012204861.1_18	703	537.396	2	1.69125
lcl|NW_012130065.1_mrna_XM_012205891.1_19	1950	1784.4	51	12.9883
lcl|NW_012130065.1_mrna_XM_012206883.1_20	747	581.396	104	81.2892
lcl|NW_012130065.1_mrna_XM_012206991.1_21	840	674.396	386	260.102
lcl|NW_012130065.1_mrna_XM_012207098.1_22	4506	4340.4	6	0.628194
lcl|NW_012130065.1_mrna_XM_012199221.1_23	2793	2627.4	1	0.17296
lcl|NW_012130065.1_mrna_XM_012199232.1_24	12558	12392.4	278	10.1944
lcl|NW_012130065.1_mrna_XM_012207198.1_25	469	304.351	157	234.421
