target_id	length	eff_length	est_counts	tpm
lcl|NC_039506.1_mrna_XM_026971221.1_1	3913	3714	10.1181	0.2666
lcl|NC_039506.1_mrna_XM_011354154.3_2	1297	1098	0	0
lcl|NC_039506.1_ncrna_XR_003406694.1_3	4490	4291	2.33419	0.0532326
lcl|NC_039506.1_mrna_XM_011354161.3_4	4707	4508	1368.11	29.6988
lcl|NC_039506.1_mrna_XM_011354162.3_5	4590	4391	55.7515	1.24249
lcl|NC_039506.1_mrna_XM_026968533.1_6	4686	4487	382.223	8.33608
lcl|NC_039506.1_mrna_XM_011354164.3_7	4588	4389	114.356	2.54973
lcl|NC_039506.1_mrna_XM_011354165.2_8	4926	4727	161.588	3.34522
lcl|NC_039506.1_mrna_XM_011354158.3_9	4929	4730	0	0
lcl|NC_039506.1_mrna_XM_011354166.3_10	4922	4723	2053.97	42.5576
lcl|NC_039506.1_mrna_XM_011354163.2_11	4587	4388	1.34796e-07	3.00616e-09
lcl|NC_039506.1_mrna_XM_026973782.1_12	12403	12204	4320.77	34.6465
lcl|NC_039506.1_mrna_XM_011354174.2_13	4116	3917	110.503	2.76073
lcl|NC_039506.1_mrna_XM_026973763.1_14	9147	8948	65.1816	0.712853
lcl|NC_039506.1_mrna_XM_026973771.1_15	9060	8861	45.8205	0.506032
lcl|NC_039506.1_mrna_XM_026973765.1_16	9123	8924	7.26105	0.0796234
lcl|NC_039506.1_mrna_XM_026973768.1_17	9101	8902	85.0388	0.934826
lcl|NC_039506.1_mrna_XM_026973777.1_18	8673	8474	0	0
lcl|NC_039506.1_mrna_XM_026973780.1_19	8620	8421	0	0
lcl|NC_039506.1_mrna_XM_026973774.1_20	9111	8912	120.428	1.32237
lcl|NC_039506.1_ncrna_XR_895553.2_21	3034	2835	0	0
lcl|NC_039506.1_mrna_XM_026970744.1_22	1949	1750	0	0
lcl|NC_039506.1_mrna_XM_011354181.3_23	1507	1308	0	0
lcl|NC_039506.1_mrna_XM_026968252.1_24	3265	3066	267.746	8.5458
lcl|NC_039506.1_mrna_XM_026968256.1_25	2657	2458	259.497	10.3312
lcl|NC_039506.1_mrna_XM_026968264.1_26	4020	3821	9.1756	0.234995
lcl|NC_039506.1_miscrna_XR_002194000.2_27	3234	3035	68.1499	2.19739
lcl|NC_039506.1_mrna_XM_011354184.3_28	3123	2924	2.87645	0.0962678
lcl|NC_039506.1_mrna_XM_011354183.3_29	5285	5086	4.30648	0.0828604
lcl|NC_039506.1_mrna_XM_026974529.1_30	6316	6117	22.8112	0.364931
lcl|NC_039506.1_mrna_XM_026974535.1_31	5430	5231	13.1234	0.245506
lcl|NC_039506.1_mrna_XM_026974539.1_32	7231	7032	5.42852	0.0755446
lcl|NC_039506.1_mrna_XM_026970669.1_33	6742	6543	119.398	1.78576
lcl|NC_039506.1_mrna_XM_011349642.3_34	3838	3639	2177	58.5433
lcl|NC_039506.1_mrna_XM_011349644.3_35	5174	4975	885	17.4081
lcl|NC_039506.1_mrna_XM_026974544.1_36	3465	3266	12	0.359556
lcl|NC_039506.1_mrna_XM_020033661.2_37	3785	3586	2	0.0545784
lcl|NC_039506.1_mrna_XM_020033649.2_38	3235	3036	0	0
lcl|NC_039506.1_mrna_XM_020033648.2_39	2076	1877	0	0
lcl|NC_039506.1_miscrna_XR_895067.3_40	6229	6030	0	0
lcl|NC_039506.1_mrna_XM_026970897.1_41	2219	2020	62.6089	3.03309
lcl|NC_039506.1_mrna_XM_026970587.1_42	2241	2042	240.679	11.5341
