target_id	length	eff_length	est_counts	tpm
lcl|NW_020229214.1_mrna_XM_011261799.3_1	1127	939.223	12.8813	1.66028
lcl|NW_020229214.1_mrna_XM_011261798.3_2	1230	1042.22	10.1187	1.17531
lcl|NW_020229214.1_mrna_XM_011261796.2_3	1747	1559.22	2593	201.318
lcl|NW_020229214.1_mrna_XM_011261795.3_4	3846	3658.22	861.084	28.4947
lcl|NW_020229214.1_mrna_XM_011261794.3_5	1891	1703.22	68	4.8331
lcl|NW_020229214.1_mrna_XM_011261792.3_6	2008	1820.22	1177.12	78.2864
lcl|NW_020229214.1_mrna_XM_025407179.1_7	1959	1771.22	25.876	1.76853
lcl|NW_020229214.1_mrna_XM_020028237.2_8	10876	10688.2	4.3605e-08	4.93878e-10
lcl|NW_020229214.1_mrna_XM_011261791.3_9	10740	10552.2	291	3.3384
lcl|NW_020229214.1_mrna_XM_025407110.1_10	13866	13678.2	9.4128	0.0833063
lcl|NW_020229214.1_mrna_XM_011261790.3_11	13872	13684.2	91.5833	0.810187
lcl|NW_020229214.1_mrna_XM_011261788.3_12	13881	13693.2	641.739	5.67338
lcl|NW_020229214.1_mrna_XM_011261789.3_13	13878	13690.2	597.79	5.286
lcl|NW_020229214.1_mrna_XM_011261786.3_14	13887	13699.2	18.2127	0.160941
lcl|NW_020229214.1_mrna_XM_011261787.3_15	14702	14514.2	584.262	4.87307
lcl|NW_020229214.1_mrna_XM_011261783.2_16	2333	2145.22	307.235	17.3375
lcl|NW_020229214.1_mrna_XM_011261785.2_17	1836	1648.22	29.7651	2.18615
lcl|NW_020229214.1_mrna_XM_025408472.1_18	1451	1263.22	2.14092	0.205168
lcl|NW_020229214.1_mrna_XM_025407408.1_19	4370	4182.22	316	9.14679
lcl|NW_020229214.1_mrna_XM_011261778.3_20	875	687.223	6	1.05692
lcl|NW_020229214.1_mrna_XM_011261777.3_21	2858	2670.22	425.459	19.2885
lcl|NW_020229214.1_miscrna_XR_003122444.1_22	810	622.223	69.5195	13.5254
lcl|NW_020229214.1_mrna_XM_011261776.3_23	409	224.891	885.022	476.4
lcl|NW_020229214.1_mrna_XM_025406635.1_24	843	655.223	46.9115	8.6672
lcl|NW_020229214.1_trna_25	74	25.3333	0	0
lcl|NW_020229214.1_mrna_XM_011261637.3_26	2348	2160.22	2	0.112078
lcl|NW_020229214.1_mrna_XM_011261631.3_27	2478	2290.22	7.81896	0.413295
lcl|NW_020229214.1_mrna_XM_011261634.3_28	2265	2077.22	24.2728	1.41457
lcl|NW_020229214.1_mrna_XM_020028187.2_29	2480	2292.22	2.90828	0.153592
lcl|NW_020229214.1_miscrna_XR_003122855.1_30	6451	6263.22	836	16.1584
lcl|NW_020229214.1_mrna_XM_011261624.3_31	4772	4584.22	0	0
lcl|NW_020229214.1_mrna_XM_011261627.3_32	4644	4456.22	8	0.217326
lcl|NW_020229214.1_mrna_XM_011261621.3_33	4897	4709.22	0	0
lcl|NW_020229214.1_mrna_XM_011261629.3_34	4876	4688.22	0	0
lcl|NW_020229214.1_mrna_XM_011261628.3_35	4891	4703.22	0	0
lcl|NW_020229214.1_mrna_XM_011261630.3_36	4870	4682.22	0	0
lcl|NW_020229214.1_mrna_XM_025406758.1_37	4880	4692.22	0	0
lcl|NW_020229214.1_mrna_XM_011261626.3_38	4769	4581.22	0	0
lcl|NW_020229214.1_mrna_XM_011261622.3_39	4574	4386.22	0	0
lcl|NW_020229214.1_mrna_XM_011261625.3_40	4580	4392.22	0	0
lcl|NW_020229214.1_mrna_XM_025406779.1_41	4549	4361.22	0	0
lcl|NW_020229214.1_mrna_XM_011261616.3_42	1090	902.223	376	50.4502
lcl|NW_020229214.1_mrna_XM_011261619.3_43	2152	1964.22	134	8.25853
lcl|NW_020229214.1_mrna_XM_011261618.3_44	2248	2060.22	0	0
lcl|NW_020229214.1_mrna_XM_011261614.3_45	2765	2577.22	211.464	9.93286
lcl|NW_020229214.1_mrna_XM_011261615.3_46	2649	2461.22	0	0
lcl|NW_020229214.1_mrna_XM_011261613.3_47	2570	2382.22	71.5355	3.6352
lcl|NW_020229214.1_mrna_XM_020028186.2_48	1438	1250.22	3	0.290484
lcl|NW_020229214.1_ncrna_XR_003122453.1_49	769	581.223	118.101	24.598
lcl|NW_020229214.1_mrna_XM_011261609.3_50	5914	5726.22	348.417	7.3658
lcl|NW_020229214.1_mrna_XM_011261612.3_51	3771	3583.22	0	0
lcl|NW_020229214.1_mrna_XM_011261611.3_52	4145	3957.22	9.48182	0.290061
lcl|NW_020229214.1_mrna_XM_020028185.2_53	4248	4060.22	0	0
lcl|NW_020229214.1_mrna_XM_011261608.2_54	1044	856.223	713	100.807
lcl|NW_020229214.1_mrna_XM_011261605.3_55	1944	1756.22	256.89	17.7075
lcl|NW_020229214.1_mrna_XM_011261607.3_56	1893	1705.22	111.339	7.90412
lcl|NW_020229214.1_mrna_XM_011261603.3_57	1811	1623.22	0	0
lcl|NW_020229214.1_mrna_XM_025407563.1_58	1793	1605.22	566.771	42.7426
lcl|NW_020229214.1_mrna_XM_025405966.1_59	2623	2435.22	0	0
lcl|NW_020229214.1_mrna_XM_025405964.1_60	1961	1773.22	1.02977	0.0703016
lcl|NW_020229214.1_mrna_XM_011256408.2_61	720	532.223	327	74.3777
lcl|NW_020229214.1_mrna_XM_011256414.3_62	3950	3762.22	95.5145	3.07336
lcl|NW_020229214.1_mrna_XM_011256410.3_63	2288	2100.22	51	2.93964
lcl|NW_020229214.1_mrna_XM_011256409.3_64	748	560.223	217	46.8908
lcl|NW_020229214.1_mrna_XM_011256415.3_65	1013	825.223	339	49.7298
lcl|NW_020229214.1_mrna_XM_011256416.3_66	1362	1174.22	93	9.58785
lcl|NW_020229214.1_mrna_XM_011256417.3_67	1349	1161.22	0	0
lcl|NW_020229214.1_mrna_XM_025408048.1_68	1327	1139.22	3	0.318787
lcl|NW_020229214.1_mrna_XM_025408428.1_69	636	448.271	0	0
lcl|NW_020229214.1_mrna_XM_025407554.1_70	447	261.065	10	4.63703
lcl|NW_020229214.1_mrna_XM_025406115.1_71	2476	2288.22	3680.93	194.737
lcl|NW_020229214.1_mrna_XM_025406134.1_72	2459	2271.22	79.186	4.22063
lcl|NW_020229214.1_mrna_XM_025406216.1_73	2484	2296.22	0	0
lcl|NW_020229214.1_mrna_XM_025406179.1_74	2493	2305.22	31.8872	1.67453
lcl|NW_020229214.1_mrna_XM_011256422.3_75	2459	2271.22	3626.33	193.284
lcl|NW_020229214.1_mrna_XM_011256420.3_76	2675	2487.22	149.694	7.28582
lcl|NW_020229214.1_mrna_XM_011256421.3_77	2572	2384.22	3818.98	193.905
lcl|NW_020229214.1_mrna_XM_025406357.1_78	1842	1654.22	17.9997	1.31722
lcl|NW_020229214.1_mrna_XM_025406330.1_79	1989	1801.22	7.00032	0.470478
lcl|NW_020229214.1_mrna_XM_025407569.1_80	5250	5062.22	249	5.95452
lcl|NW_020229214.1_ncrna_XR_003122718.1_81	380	197.354	568	348.41
lcl|NW_020229214.1_mrna_XM_011256424.3_82	3574	3386.22	4871.07	174.14
lcl|NW_020229214.1_trna_83	84	22.8545	0.333333	1.76561
lcl|NW_020229214.1_mrna_XM_020027284.2_84	1509	1321.22	31.2499	2.86326
lcl|NW_020229214.1_mrna_XM_025408431.1_85	1510	1322.22	0	0
lcl|NW_020229214.1_mrna_XM_020027283.2_86	1425	1237.22	43.7501	4.28075
lcl|NW_020229214.1_mrna_XM_011256435.3_87	2805	2617.22	472	21.8318
lcl|NW_020229214.1_mrna_XM_020027287.2_88	2225	2037.22	0	0
lcl|NW_020229214.1_mrna_XM_011256431.3_89	1808	1620.22	52.6797	3.93602
lcl|NW_020229214.1_mrna_XM_011256430.3_90	1880	1692.22	0	0
lcl|NW_020229214.1_mrna_XM_011256433.3_91	1992	1804.22	437.618	29.3626
lcl|NW_020229214.1_mrna_XM_011256432.3_92	1944	1756.22	649.568	44.7748
lcl|NW_020229214.1_mrna_XM_011256434.3_93	1781	1593.22	947.134	71.9653
lcl|NW_020229214.1_mrna_XM_011256429.3_94	1746	1558.22	340	26.4142
lcl|NW_020229214.1_trna_95	84	22.8545	0.333333	1.76561
lcl|NW_020229214.1_mrna_XM_011256436.3_96	2488	2300.22	334.869	17.6235
lcl|NW_020229214.1_mrna_XM_011256437.3_97	2272	2084.22	273.131	15.8641
lcl|NW_020229214.1_mrna_XM_025408083.1_98	1775	1587.22	500	38.1347
lcl|NW_020229214.1_mrna_XM_011256438.3_99	1513	1325.22	6022	550.099
lcl|NW_020229214.1_mrna_XM_025408661.1_100	2473	2285.22	481.512	25.5075
lcl|NW_020229214.1_miscrna_XR_003122831.1_101	3129	2941.22	0	0
lcl|NW_020229214.1_mrna_XM_020027288.2_102	3995	3807.22	0	0
lcl|NW_020229214.1_mrna_XM_011256442.3_103	1545	1357.22	0	0
lcl|NW_020229214.1_mrna_XM_011256443.2_104	1031	843.223	3.11283	0.446891
lcl|NW_020229214.1_mrna_XM_025408689.1_105	921	733.223	11.8872	1.9626
lcl|NW_020229214.1_mrna_XM_011256440.3_106	2944	2756.22	73	3.20625
lcl|NW_020229214.1_mrna_XM_025408675.1_107	1087	899.223	0	0
lcl|NW_020229214.1_ncrna_XR_003122838.1_108	441	255.248	4.0559	1.92359
lcl|NW_020229214.1_mrna_XM_025408668.1_109	1088	900.223	188.076	25.2913
lcl|NW_020229214.1_mrna_XM_025408672.1_110	1049	861.223	273.261	38.4106
lcl|NW_020229214.1_mrna_XM_025408677.1_111	1018	830.223	32.2671	4.70493
lcl|NW_020229214.1_mrna_XM_025408674.1_112	1157	969.223	5.88372	0.734881
lcl|NW_020229214.1_mrna_XM_020027290.2_113	1271	1083.22	639	71.4121
lcl|NW_020229214.1_mrna_XM_025408561.1_114	1809	1621.22	10	0.7467
lcl|NW_020229214.1_mrna_XM_025406808.1_115	1869	1681.22	2228.56	160.468
