target_id	length	eff_length	est_counts	tpm
lcl|NW_021841238.1_ncrna_XR_003883978.1_1	153	60.4545	9	31.3807
lcl|NW_021842021.1_ncrna_XR_003884679.1_2	155	60.2881	0	0
lcl|NW_021843227.1_ncrna_XR_003885393.1_3	228	34.2447	41	252.371
lcl|NW_021843312.1_mrna_XM_029824456.1_4	240	38.5774	0	0
lcl|NW_021843397.1_mrna_XM_029803110.1_5	303	74.3528	12.7285	36.0853
lcl|NW_021843460.1_ncrna_XR_003883817.1_6	248	42.0188	114	571.887
lcl|NW_021843947.1_trna_7	71	37.1268	1	5.67757
lcl|NW_021843947.1_trna_8	82	40.7384	0	0
lcl|NW_021843982.1_ncrna_XR_003883979.1_9	247	41.5906	8.66808	43.9316
lcl|NW_021844174.1_mrna_XM_029808643.1_10	390	138.2	1	1.52525
lcl|NW_021844190.1_mrna_XM_029809806.1_11	350	107.25	4.76212	9.35954
lcl|NW_021844211.1_mrna_XM_029810961.1_12	396	142.852	18.8962	27.8828
lcl|NW_021844244.1_mrna_XM_029812179.1_13	396	142.852	20	29.5116
lcl|NW_021844328.1_trna_14	73	37.8571	1	5.56803
lcl|NW_021844626.1_ncrna_XR_003884656.1_15	324	88.2696	37.3451	89.1809
lcl|NW_021844637.1_ncrna_XR_003884725.1_16	185	45.5275	11	50.9294
lcl|NW_021844662.1_mrna_XM_029815746.1_17	404	149.267	3	4.2365
lcl|NW_021844959.1_mrna_XM_029816937.1_18	290	65.8466	22.6673	72.563
lcl|NW_021844986.1_ncrna_XR_003884992.1_19	199	35.7535	0	0
lcl|NW_021845024.1_mrna_XM_029818774.1_20	448	187.074	14.2739	16.0835
lcl|NW_021845120.1_mrna_XM_029819919.1_21	480	215.682	100	97.7315
lcl|NW_021845155.1_mrna_XM_029821122.1_22	489	224.025	17.8537	16.799
lcl|NW_021845200.1_mrna_XM_029822268.1_23	427	168.864	29	36.2002
lcl|NW_021845211.1_mrna_XM_029823451.1_24	495	229.563	51.6199	47.3985
lcl|NW_021845213.1_mrna_XM_029823958.1_25	360	114.761	59	108.369
lcl|NW_021845222.1_ncrna_XR_003885579.1_26	394	141.411	0	0
lcl|NW_021845243.1_mrna_XM_029824137.1_27	327	90.3877	0	0
lcl|NW_021845290.1_mrna_XM_029824253.1_28	504	238.105	3	2.65585
lcl|NW_021845314.1_ncrna_XR_003885609.1_29	373	124.915	22.6028	38.1415
lcl|NW_021845333.1_ncrna_XR_003885619.1_30	319	84.8598	57	141.587
lcl|NW_021845542.1_mrna_XM_029824618.1_31	543	276.401	0	0
lcl|NW_021845595.1_mrna_XM_029824741.1_32	373	124.915	8	13.4998
lcl|NW_021845631.1_mrna_XM_029824854.1_33	369	121.698	63	109.12
lcl|NW_021845655.1_ncrna_XR_003885639.1_34	284	62.2425	310	1049.84
lcl|NW_021845742.1_mrna_XM_029825022.1_35	567	300.302	21	14.7404
lcl|NW_021845867.1_mrna_XM_029802759.1_36	591	324.282	1	0.650021
lcl|NW_021845901.1_mrna_XM_029802886.1_37	387	135.856	7	10.861
lcl|NW_021845921.1_mrna_XM_029803003.1_38	474	210.191	1.604	1.60857
lcl|NW_021846090.1_mrna_XM_029803307.1_39	509	242.974	18	15.6157
lcl|NW_021846164.1_mrna_XM_029803436.1_40	353	109.525	15.5758	29.9769
lcl|NW_021846265.1_mrna_XM_029803649.1_41	447	186.19	205	232.085
lcl|NW_021846298.1_mrna_XM_029803765.1_42	412	156.096	53	71.5706
lcl|NW_021846301.1_ncrna_XR_003883777.1_43	334	95.321	59	130.471
lcl|NW_021846302.1_mrna_XM_029803977.1_44	663	396.074	5.25564	2.79704
lcl|NW_021846343.1_mrna_XM_029804086.1_45	539	272.42	0	0
lcl|NW_021846358.1_mrna_XM_029804196.1_46	532	265.583	77	61.1139
lcl|NW_021846362.1_mrna_XM_029804290.1_47	345	103.583	10	20.3498
lcl|NW_021846425.1_mrna_XM_029804409.1_48	441	180.878	2.35323	2.7424
lcl|NW_021846442.1_mrna_XM_029804527.1_49	321	86.1609	3	7.3394
lcl|NW_021846461.1_trna_50	84	41.3427	0	0
lcl|NW_021846464.1_mrna_XM_029804725.1_51	469	205.718	10	10.2465
lcl|NW_021846489.1_mrna_XM_029804841.1_52	593	326.26	4	2.58432
lcl|NW_021846504.1_ncrna_XR_003883888.1_53	420	162.835	0	0
lcl|NW_021846505.1_mrna_XM_029805040.1_54	503	237.121	17.0448	15.1521
lcl|NW_021846552.1_mrna_XM_029805175.1_55	579	312.282	2	1.35
lcl|NW_021846554.1_mrna_XM_029805310.1_56	411	155.262	2	2.71527
lcl|NW_021846567.1_mrna_XM_029805431.1_57	338	98.2445	0	0
lcl|NW_021846584.1_mrna_XM_029805553.1_58	468	204.803	77	79.251
lcl|NW_021846608.1_mrna_XM_029805687.1_59	513	246.825	1993	1702.03
lcl|NW_021846643.1_mrna_XM_029805916.1_60	503	237.121	10	8.88956
lcl|NW_021846652.1_mrna_XM_029806051.1_61	702	435.017	41.2544	19.99
lcl|NW_021846678.1_mrna_XM_029806163.1_62	508	242.007	44.519	38.7764
lcl|NW_021846750.1_mrna_XM_029806413.1_63	545	278.401	141	106.757
lcl|NW_021846754.1_mrna_XM_029806537.1_64	560	293.362	1.8649	1.33999
lcl|NW_021846804.1_mrna_XM_029806672.1_65	465	202.137	2	2.08561
lcl|NW_021846818.1_mrna_XM_029806783.1_66	402	147.716	12.1205	17.2958
lcl|NW_021846824.1_mrna_XM_029806903.1_67	578	311.282	95	64.3309
lcl|NW_021846835.1_mrna_XM_029807011.1_68	550	283.401	33.7801	25.1251
lcl|NW_021846855.1_mrna_XM_029807135.1_69	591	324.282	2	1.30004
lcl|NW_021846858.1_mrna_XM_029807250.1_70	588	321.282	5	3.28045
lcl|NW_021846874.1_mrna_XM_029807368.1_71	638	371.1	78	44.3051
lcl|NW_021846881.1_mrna_XM_029807482.1_72	659	392.074	16	8.60204
lcl|NW_021846899.1_mrna_XM_029807593.1_73	612	345.124	7	4.27536
lcl|NW_021846916.1_ncrna_XR_003884085.1_74	680	413.074	131	66.8487
lcl|NW_021846966.1_mrna_XM_029807788.1_75	559	292.362	7.27941	5.24837
lcl|NW_021846967.1_mrna_XM_029807916.1_76	540	273.42	57	43.9435
lcl|NW_021847017.1_mrna_XM_029808171.1_77	538	271.42	14.1969	11.0256
lcl|NW_021847070.1_mrna_XM_029808278.1_78	606	339.147	125	77.6912
lcl|NW_021847099.1_ncrna_XR_003884143.1_79	451	189.656	84	93.3604
lcl|NW_021847124.1_mrna_XM_029808485.1_80	607	340.147	94	58.2521
lcl|NW_021847139.1_mrna_XM_029808602.1_81	843	576.017	25.8673	9.46596
lcl|NW_021847144.1_mrna_XM_029808724.1_82	584	317.282	5.08877	3.38078
lcl|NW_021847147.1_mrna_XM_029808843.1_83	852	585.017	39	14.0522
lcl|NW_021847191.1_ncrna_XR_003884197.1_84	569	302.302	119.473	83.3063
lcl|NW_021847194.1_ncrna_XR_003884201.1_85	225	33.5043	28	176.16
lcl|NW_021847216.1_mrna_XM_029809117.1_86	759	492.017	59.8699	25.6494
lcl|NW_021847220.1_mrna_XM_029809236.1_87	547	280.401	172.475	129.657
lcl|NW_021847220.1_mrna_XM_029809315.1_88	517	250.791	23.5249	19.7727
lcl|NW_021847239.1_mrna_XM_029809440.1_89	548	281.401	14	10.487
lcl|NW_021847246.1_mrna_XM_029809558.1_90	570	303.282	19	13.2056
lcl|NW_021847278.1_mrna_XM_029809661.1_91	679	412.074	3	1.5346
lcl|NW_021847286.1_mrna_XM_029809768.1_92	441	180.878	30	34.9612
lcl|NW_021847299.1_mrna_XM_029809890.1_93	876	609.017	3.07031	1.06268
lcl|NW_021847323.1_mrna_XM_029809990.1_94	749	482.017	48.3166	21.1292
lcl|NW_021847323.1_mrna_XM_029810067.1_95	729	462.017	146.683	66.9225
lcl|NW_021847325.1_mrna_XM_029810194.1_96	916	648.976	29.4944	9.5799
lcl|NW_021847333.1_mrna_XM_029810302.1_97	437	177.49	121	143.702
lcl|NW_021847346.1_ncrna_XR_003884337.1_98	713	446.017	5	2.36302
lcl|NW_021847359.1_mrna_XM_029810488.1_99	409	153.638	5	6.85996
lcl|NW_021847402.1_ncrna_XR_003884354.1_100	549	282.401	0	0
lcl|NW_021847418.1_ncrna_XR_003884370.1_101	654	387.074	2	1.08914
lcl|NW_021847427.1_mrna_XM_029810882.1_102	752	485.017	110	47.8063
lcl|NW_021847494.1_mrna_XM_029811126.1_103	984	716.884	3	0.882109
lcl|NW_021847504.1_mrna_XM_029811243.1_104	579	312.282	4	2.7
lcl|NW_021847510.1_mrna_XM_029811366.1_105	678	411.074	1236	633.794
lcl|NW_021847520.1_mrna_XM_029811496.1_106	547	280.401	76	57.1325
lcl|NW_021847537.1_mrna_XM_029811740.1_107	624	357.1	82	48.4032
lcl|NW_021847538.1_mrna_XM_029811849.1_108	1005	737.884	5.89017	1.68263
lcl|NW_021847545.1_mrna_XM_029811975.1_109	458	195.806	0	0
lcl|NW_021847557.1_mrna_XM_029812096.1_110	654	387.074	136	74.0618
lcl|NW_021847559.1_mrna_XM_029812223.1_111	918	650.976	3	0.971417
lcl|NW_021847561.1_mrna_XM_029812352.1_112	707	440.017	75	35.9287
lcl|NW_021847580.1_mrna_XM_029812604.1_113	917	649.976	10	3.24304
lcl|NW_021847585.1_mrna_XM_029812728.1_114	798	531.017	106	42.0772
lcl|NW_021847614.1_mrna_XM_029812967.1_115	733	466.017	116	52.4693
lcl|NW_021847624.1_mrna_XM_029813083.1_116	544	277.401	128	97.2638
lcl|NW_021847632.1_mrna_XM_029813221.1_117	714	447.017	4	1.88619
lcl|NW_021847642.1_mrna_XM_029813346.1_118	1062	794.884	2	0.530367
lcl|NW_021847646.1_mrna_XM_029813466.1_119	888	620.976	100.428	34.0901
lcl|NW_021847651.1_mrna_XM_029813579.1_120	1065	797.884	3	0.792559
lcl|NW_021847655.1_ncrna_XR_003884615.1_121	328	91.0605	4	9.25933
lcl|NW_021847667.1_mrna_XM_029813783.1_122	802	535.017	71.3273	28.102
lcl|NW_021847667.1_ncrna_XR_003884629.1_123	591	324.282	87.4987	56.876
lcl|NW_021847669.1_mrna_XM_029813973.1_124	955	687.93	6	1.83847
lcl|NW_021847672.1_mrna_XM_029814087.1_125	654	387.074	0	0
lcl|NW_021847698.1_mrna_XM_029814301.1_126	1077	809.884	5.04347	1.31267
lcl|NW_021847699.1_mrna_XM_029814421.1_127	884	616.976	1	0.34165
lcl|NW_021847706.1_mrna_XM_029814657.1_128	394	141.411	13	19.378
lcl|NW_021847709.1_mrna_XM_029814790.1_129	954	686.93	16	4.90972
lcl|NW_021847713.1_mrna_XM_029814904.1_130	594	327.26	73	47.0197
lcl|NW_021847718.1_mrna_XM_029815110.1_131	362	116.289	679	1230.78
lcl|NW_021847724.1_mrna_XM_029815230.1_132	886	618.976	40	13.6218
lcl|NW_021847727.1_mrna_XM_029815352.1_133	1015	747.884	5	1.40924
lcl|NW_021847729.1_mrna_XM_029815588.1_134	799	532.017	334.705	132.613
lcl|NW_021847737.1_mrna_XM_029815706.1_135	411	155.262	0	0
lcl|NW_021847745.1_mrna_XM_029815823.1_136	546	279.401	87	65.6358
lcl|NW_021847757.1_mrna_XM_029815952.1_137	489	224.025	56	52.6916
lcl|NW_021847764.1_mrna_XM_029816072.1_138	813	546.017	1	0.38605
lcl|NW_021847767.1_trna_139	72	37.1096	0	0
lcl|NW_021847770.1_mrna_XM_029816381.1_140	513	246.825	319	272.427
lcl|NW_021847774.1_mrna_XM_029816506.1_141	1154	886.884	7	1.66372
lcl|NW_021847798.1_mrna_XM_029816732.1_142	701	434.017	47	22.8266
lcl|NW_021847800.1_mrna_XM_029816864.1_143	612	345.124	0	0
lcl|NW_021847806.1_mrna_XM_029816977.1_144	1083	815.884	8	2.06686
lcl|NW_021847814.1_mrna_XM_029817085.1_145	736	469.017	28	12.584
lcl|NW_021847821.1_mrna_XM_029817189.1_146	1071	803.884	23	6.03093
lcl|NW_021847844.1_mrna_XM_029817394.1_147	612	345.124	45	27.4845
lcl|NW_021847847.1_miscrna_XR_003884957.1_148	658	391.074	0	0
lcl|NW_021847847.1_mrna_XM_029817514.1_149	833	566.017	0	0
lcl|NW_021847847.1_miscrna_XR_003884952.1_150	885	617.976	6.97288	2.37843
lcl|NW_021847856.1_mrna_XM_029817702.1_151	375	126.413	3	5.00239
lcl|NW_021847857.1_mrna_XM_029817788.1_152	817	550.017	2	0.766484
lcl|NW_021847863.1_mrna_XM_029817903.1_153	765	498.017	1.25105	0.529517
lcl|NW_021847883.1_mrna_XM_029818107.1_154	705	438.017	3	1.44371
lcl|NW_021847885.1_mrna_XM_029818225.1_155	686	419.046	72	36.2177
lcl|NW_021847886.1_mrna_XM_029818325.1_156	333	94.5945	81	180.496
lcl|NW_021847888.1_mrna_XM_029818446.1_157	666	399.074	140	73.9476
lcl|NW_021847891.1_mrna_XM_029818574.1_158	488	223.04	0	0
lcl|NW_021847916.1_mrna_XM_029819046.1_159	929	661.976	4	1.2737
lcl|NW_021847920.1_mrna_XM_029819174.1_160	343	102.078	26	53.6898
lcl|NW_021847922.1_mrna_XM_029819289.1_161	784	517.017	64	26.093
lcl|NW_021847924.1_mrna_XM_029819386.1_162	1003	735.884	614	175.877
lcl|NW_021847930.1_mrna_XM_029819500.1_163	990	722.884	4	1.16638
lcl|NW_021847931.1_mrna_XM_029819618.1_164	963	695.884	0	0
lcl|NW_021847946.1_mrna_XM_029819842.1_165	731	464.017	67	30.4362
lcl|NW_021847955.1_ncrna_XR_003885183.1_166	363	117.029	16	28.8188
lcl|NW_021847959.1_mrna_XM_029820044.1_167	632	365.1	1	0.577349
lcl|NW_021847961.1_mrna_XM_029820137.1_168	444	183.498	0	0
lcl|NW_021847967.1_mrna_XM_029820270.1_169	890	622.976	106	35.8661
lcl|NW_021847969.1_mrna_XM_029820400.1_170	925	657.976	317	101.554
lcl|NW_021847970.1_ncrna_XR_003885233.1_171	1030	762.884	173	47.8011
lcl|NW_021847983.1_mrna_XM_029820617.1_172	447	186.19	60	67.9272
lcl|NW_021847984.1_mrna_XM_029820739.1_173	801	534.017	0	0
lcl|NW_021847992.1_ncrna_XR_003885263.1_174	380	130.177	2	3.23852
lcl|NW_021847997.1_mrna_XM_029821265.1_175	886	618.976	13	4.4271
lcl|NW_021848001.1_mrna_XM_029821364.1_176	579	312.282	26	17.55
lcl|NW_021848004.1_mrna_XM_029821474.1_177	967	699.884	274	82.5229
lcl|NW_021848018.1_mrna_XM_029821591.1_178	726	459.017	105	48.2181
lcl|NW_021848036.1_mrna_XM_029821714.1_179	842	575.017	9	3.29922
lcl|NW_021848050.1_mrna_XM_029821839.1_180	484	219.401	17	16.3328
lcl|NW_021848060.1_mrna_XM_029821953.1_181	913	645.976	3	0.978936
lcl|NW_021848066.1_mrna_XM_029822309.1_182	940	672.976	718	224.892
lcl|NW_021848069.1_mrna_XM_029822436.1_183	850	583.017	58	20.9699
lcl|NW_021848074.1_mrna_XM_029822563.1_184	725	458.017	20	9.20445
lcl|NW_021848075.1_mrna_XM_029822679.1_185	408	152.737	6	8.28052
lcl|NW_021848081.1_mrna_XM_029822784.1_186	1297	1029.88	626	128.126
lcl|NW_021848084.1_mrna_XM_029822900.1_187	963	695.884	96	29.0793
lcl|NW_021848095.1_mrna_XM_029823006.1_188	1436	1168.88	6	1.08201
lcl|NW_021848116.1_mrna_XM_029823242.1_189	893	625.976	578	194.634
lcl|NW_021848127.1_mrna_XM_029823490.1_190	1302	1034.88	7	1.42579
lcl|NW_021848129.1_ncrna_XR_003885511.1_191	834	567.017	427	158.738
lcl|NW_021848171.1_ncrna_XR_003885553.1_192	646	379.074	13	7.22884
lcl|NW_021848173.1_mrna_XM_029823862.1_193	1497	1229.88	2.66296	0.456405
lcl|NW_021848177.1_mrna_XM_029823899.1_194	1101	833.884	2	0.505562
lcl|NW_021848188.1_mrna_XM_029823909.1_195	1266	998.884	8642.75	1823.84
lcl|NW_021848190.1_mrna_XM_029823919.1_196	831	564.017	8	2.98983
lcl|NW_021848208.1_mrna_XM_029823931.1_197	333	94.5945	2	4.4567
lcl|NW_021848217.1_mrna_XM_029823944.1_198	1112	844.884	298	74.348
lcl|NW_021848220.1_mrna_XM_029823967.1_199	616	349.124	5	3.01884
lcl|NW_021848231.1_mrna_XM_029824005.1_200	707	440.017	13	6.22764
lcl|NW_021848242.1_mrna_XM_029824015.1_201	946	678.93	1	0.310473
lcl|NW_021848247.1_mrna_XM_029824033.1_202	1831	1563.88	210	28.3051
