target_id	length	eff_length	est_counts	tpm
lcl|NC_050467.1_mrna_XM_012665896.3_1	1282	1083	504	66.4492
lcl|NC_050467.1_mrna_XM_028192329.2_2	2395	2196	533.95	34.7181
lcl|NC_050467.1_mrna_XM_012665895.3_3	2392	2193	3342.13	217.607
lcl|NC_050467.1_mrna_XM_012665894.3_4	2398	2199	0.78505	0.0509753
lcl|NC_050467.1_mrna_XM_036292642.1_5	1897	1698	114.135	9.59772
lcl|NC_050467.1_miscrna_XR_003626137.2_6	1699	1500	78.0277	7.42754
lcl|NC_050467.1_miscrna_XR_003626138.2_7	1581	1382	38.6124	3.98939
lcl|NC_050467.1_mrna_XM_012665900.2_8	1939	1740	510.405	41.8845
lcl|NC_050467.1_mrna_XM_012665897.3_9	2478	2279	254.187	15.9256
lcl|NC_050467.1_mrna_XM_028192106.2_10	2556	2357	35.7677	2.1668
lcl|NC_050467.1_mrna_XM_012665874.3_11	1710	1511	30.22	2.85573
lcl|NC_050467.1_mrna_XM_012665875.3_12	1610	1411	38.78	3.92436
lcl|NC_050467.1_mrna_XM_012665904.3_13	615	416	721.649	247.697
lcl|NC_050467.1_mrna_XM_028192297.2_14	579	380	356.351	133.9
lcl|NC_050467.1_ncrna_XR_004964791.1_15	189	13.1915	0	0
lcl|NC_050467.1_mrna_XM_012665902.3_16	2205	2006	0	0
lcl|NC_050467.1_mrna_XM_012665903.3_17	1904	1705	15	1.25619
lcl|NC_050467.1_mrna_XM_012665883.3_18	1850	1651	701	60.626
lcl|NC_050467.1_mrna_XM_012665884.3_19	2073	1874	90.3087	6.88094
lcl|NC_050467.1_mrna_XM_036292681.1_20	1611	1412	184.891	18.6969
lcl|NC_050467.1_mrna_XM_036292687.1_21	1825	1626	0	0
lcl|NC_050467.1_mrna_XM_012665885.3_22	1787	1588	4.79998	0.431595
lcl|NC_050467.1_mrna_XM_036292760.1_23	597	398	72.9914	26.1864
lcl|NC_050467.1_mrna_XM_012665892.3_24	665	466	311.85	95.5538
lcl|NC_050467.1_mrna_XM_036292759.1_25	1181	982	293.677	42.7018
lcl|NC_050467.1_mrna_XM_012665893.3_26	1058	859	259.482	43.1322
lcl|NC_050467.1_mrna_XM_012665886.3_27	2316	2117	412	27.7884
lcl|NC_050467.1_mrna_XM_012665887.2_28	2336	2137	0	0
lcl|NC_050467.1_mrna_XM_012665882.3_29	1955	1756	18.976	1.543
lcl|NC_050467.1_mrna_XM_012665881.3_30	2044	1845	1.58667	0.122794
lcl|NC_050467.1_mrna_XM_028192296.2_31	2013	1814	0	0
lcl|NC_050467.1_mrna_XM_036292650.1_32	1958	1759	30.6093	2.48471
lcl|NC_050467.1_mrna_XM_012665888.3_33	1341	1142	1832.73	229.15
lcl|NC_050467.1_mrna_XM_012665890.3_34	1483	1284	103.242	11.481
lcl|NC_050467.1_mrna_XM_012665889.3_35	1489	1290	185.121	20.4906
lcl|NC_050467.1_mrna_XM_012665891.3_36	1343	1144	388.738	48.5198
lcl|NC_050467.1_mrna_XM_012665876.2_37	7942	7743	0.0199348	0.000367613
lcl|NC_050467.1_mrna_XM_012665879.2_38	7877	7678	0.411432	0.00765135
lcl|NC_050467.1_mrna_XM_012665877.2_39	7921	7722	592.593	10.9576
lcl|NC_050467.1_mrna_XM_012665878.2_40	7900	7701	462.975	8.58418
lcl|NC_050467.1_mrna_XM_028192060.2_41	2518	2319	719	44.2707
lcl|NC_050467.1_ncrna_XR_004963521.1_42	1438	1239	0	0
lcl|NC_050467.1_ncrna_XR_004963522.1_43	1380	1181	0.902309	0.109092
lcl|NC_050467.1_ncrna_XR_004963520.1_44	2506	2307	4.09769	0.253618
lcl|NC_050467.1_mrna_XM_012683871.3_45	10412	10213	1181.25	16.5149
lcl|NC_050467.1_mrna_XM_036287692.1_46	5913	5714	1.86354	0.0465679
lcl|NC_050467.1_mrna_XM_036287687.1_47	5787	5588	0	0
lcl|NC_050467.1_miscrna_XR_004963514.1_48	5854	5655	0	0
lcl|NC_050467.1_mrna_XM_036287683.1_49	14510	14311	21.7178	0.216688
lcl|NC_050467.1_mrna_XM_036287682.1_50	14508	14309	0	0
lcl|NC_050467.1_mrna_XM_012683875.3_51	14572	14373	0.530744	0.00527261
lcl|NC_050467.1_mrna_XM_012683876.3_52	14517	14318	56.6157	0.564602
lcl|NC_050467.1_mrna_XM_036287724.1_53	14186	13987	23.4505	0.239395
lcl|NC_050467.1_mrna_XM_036287735.1_54	13259	13060	0	0
lcl|NC_050467.1_mrna_XM_036287732.1_55	14484	14285	28.8393	0.288265
lcl|NC_050467.1_mrna_XM_028192071.2_56	9478	9279	444.787	6.84446
lcl|NC_050467.1_mrna_XM_036287713.1_57	9470	9271	47.9722	0.73884
lcl|NC_050467.1_mrna_XM_036287753.1_58	6018	5819	1.63418e-08	4.00995e-10
lcl|NC_050467.1_mrna_XM_036287749.1_59	6101	5902	280	6.77402
lcl|NC_050467.1_mrna_XM_036294710.1_60	2645	2446	2.05155	0.11976
lcl|NC_050467.1_mrna_XM_012674607.3_61	4853	4654	57	1.74878
lcl|NC_050467.1_ncrna_XR_004963314.1_62	19267	19068	24.4362	0.182985
lcl|NC_050467.1_mrna_XM_012669117.3_63	737	538	778	206.483
lcl|NC_050467.1_ncrna_XR_004963312.1_64	2522	2323	2.50569	0.154016
lcl|NC_050467.1_ncrna_XR_004963311.1_65	2930	2731	7.60385	0.397557
lcl|NC_050467.1_ncrna_XR_003626153.2_66	1146	947	1.38056	0.208158
lcl|NC_050467.1_ncrna_XR_004963310.1_67	1702	1503	13.1795	1.25207
lcl|NC_050467.1_mrna_XM_012669953.2_68	7054	6855	748.943	15.6002
lcl|NC_050467.1_mrna_XM_012669951.3_69	7076	6877	0.000149881	3.11196e-06
lcl|NC_050467.1_mrna_XM_012669952.3_70	7067	6868	376.913	7.83608
lcl|NC_050467.1_miscrna_XR_001138577.3_71	5079	4880	0	0
lcl|NC_050467.1_miscrna_XR_001138578.3_72	5020	4821	40.1439	1.18897
lcl|NC_050467.1_mrna_XM_012669950.3_73	2167	1968	465	33.7377
lcl|NC_050467.1_mrna_XM_012669948.2_74	6867	6668	740.105	15.8484
lcl|NC_050467.1_mrna_XM_012669949.2_75	6858	6659	224.628	4.81662
lcl|NC_050467.1_mrna_XM_012669946.2_76	6894	6695	518.232	11.0525
lcl|NC_050467.1_mrna_XM_012669947.2_77	6876	6677	494.035	10.5649
lcl|NC_050467.1_mrna_XM_012669945.3_78	2102	1903	197	14.7814
