target_id	length	eff_length	est_counts	tpm
lcl|NC_037638.1_mrna_XM_623972.6_1	1447	1248	12.5284	4.87714
lcl|NC_037638.1_miscrna_XR_001705491.2_2	835	636	6.1734	4.71577
lcl|NC_037638.1_miscrna_XR_001705490.2_3	1068	869	7.29824	4.08022
lcl|NC_037638.1_mrna_XM_006557405.3_4	4225	4026	19.278	2.32634
lcl|NC_037638.1_mrna_XM_006557404.3_5	4189	3990	493.711	60.1154
lcl|NC_037638.1_mrna_XM_623949.6_6	4183	3984	8.36802e-06	1.02044e-06
lcl|NC_037638.1_mrna_XM_006557406.3_7	4099	3900	124.011	15.4483
lcl|NC_037638.1_mrna_XM_026446303.1_8	4256	4057	36	4.31105
lcl|NC_037638.1_mrna_XM_026439913.1_9	1745	1546	13.9806	4.39341
lcl|NC_037638.1_mrna_NM_001242554.1_10	1848	1649	32.0194	9.43362
lcl|NC_037638.1_mrna_XM_016917677.1_11	1156	957	29	14.7222
lcl|NC_037638.1_mrna_XM_016917679.2_12	811	612	0	0
lcl|NC_037638.1_mrna_XM_016917662.2_13	2088	1889	10.7506	2.76496
lcl|NC_037638.1_mrna_XM_026440071.1_14	1866	1667	0	0
lcl|NC_037638.1_mrna_XM_016917667.2_15	1817	1618	0	0
lcl|NC_037638.1_mrna_XM_006557400.3_16	1761	1562	2.92382	0.9094
lcl|NC_037638.1_mrna_XM_016917672.2_17	1767	1568	151.326	46.8869
lcl|NC_037638.1_mrna_XM_394142.7_18	2330	2131	7	1.59588
lcl|NC_037638.1_mrna_XM_392111.7_19	1595	1396	162	56.3787
lcl|NC_037638.1_mrna_XM_016910851.2_20	2736	2537	25.347	4.8539
lcl|NC_037638.1_mrna_XM_016910856.2_21	1635	1436	269.653	91.2297
lcl|NC_037638.1_ncrna_XR_001702207.2_22	1102	903	5	2.6901
lcl|NC_037638.1_mrna_XM_026443867.1_23	370	171	23	65.3457
lcl|NC_037638.1_mrna_XM_006557392.2_24	5269	5070	148	14.1821
lcl|NC_037638.1_ncrna_XR_001702201.2_25	709	510	0	0
lcl|NC_037638.1_mrna_XM_026443863.1_26	1346	1147	41	17.3662
lcl|NC_037638.1_mrna_XM_006557389.3_27	2131	1932	0	0
lcl|NC_037638.1_mrna_XM_026443894.1_28	2080	1881	19	4.90739
lcl|NC_037638.1_mrna_XM_394141.4_29	2319	2120	0	0
lcl|NC_037638.1_mrna_XM_006557388.1_30	2262	2063	0	0
lcl|NC_037638.1_mrna_XM_006557391.3_31	2797	2598	0	0
lcl|NC_037638.1_mrna_XM_392109.6_32	2378	2179	319.018	71.1286
lcl|NC_037638.1_mrna_XM_016910832.2_33	2705	2506	45.9817	8.91434
lcl|NC_037638.1_mrna_XM_006557387.3_34	519	320	2	3.03645
lcl|NC_037638.1_mrna_XM_394140.7_35	670	471	0	0
lcl|NC_037638.1_mrna_XM_026446104.1_36	7543	7344	21	1.38922
lcl|NC_037638.1_mrna_XM_016910793.2_37	3212	3013	0	0
lcl|NC_037638.1_mrna_XM_006557376.3_38	3214	3015	0	0
