target_id	length	eff_length	est_counts	tpm
lcl|NW_020209796.1_mrna_XM_025011582.1_1	1485	1286	1	0.512641
lcl|NW_020209797.1_mrna_XM_025012671.1_2	1573	1374	2	0.959616
lcl|NW_020209801.1_ncrna_XR_003041028.1_3	366	167	0	0
lcl|NW_020209801.1_ncrna_XR_003040951.1_4	747	548	0	0
lcl|NW_020209801.1_mrna_XM_025015618.1_5	822	623	0	0
lcl|NW_020209801.1_ncrna_XR_003040673.1_6	1205	1006	0	0
lcl|NW_020209801.1_ncrna_XR_003040582.1_7	1233	1034	0	0
lcl|NW_020209801.1_ncrna_XR_003040606.1_8	1229	1030	0	0
lcl|NW_020209801.1_ncrna_XR_003040640.1_9	1098	899	0	0
lcl|NW_020209806.1_mrna_XM_025020343.1_10	1562	1363	8	3.86944
lcl|NW_020209807.1_mrna_XM_025021459.1_11	615	416	0	0
lcl|NW_020209810.1_mrna_XM_025022564.1_12	501	302	1	2.18297
lcl|NW_020209810.1_mrna_XM_025023621.1_13	511	312	23	48.599
lcl|NW_020209820.1_mrna_XM_025029130.1_14	900	701	0	0
lcl|NW_020209821.1_mrna_XM_025033198.1_15	3099	2900	3.79172	0.861972
lcl|NW_020209821.1_mrna_XM_025032483.1_16	3103	2904	0.880855	0.199969
lcl|NW_020209821.1_mrna_XM_025031752.1_17	3089	2890	147.062	33.5473
lcl|NW_020209821.1_mrna_XM_025030990.1_18	3577	3378	62.2793	12.1545
lcl|NW_020209821.1_ncrna_XR_003041835.1_19	1220	1021	66	42.616
lcl|NW_020209823.1_mrna_XM_025034310.1_20	987	788	0	0
lcl|NW_020209825.1_mrna_XM_025035378.1_21	528	329	0	0
lcl|NW_020209827.1_mrna_XM_025036414.1_22	1200	1001	0.166667	0.109766
lcl|NW_020209829.1_mrna_XM_025012454.1_23	3080	2881	3.67804	0.841642
lcl|NW_020209829.1_mrna_XM_025012326.1_24	3040	2841	0	0
lcl|NW_020209829.1_mrna_XM_025012384.1_25	2813	2614	7.20985	1.81834
lcl|NW_020209829.1_mrna_XM_025012259.1_26	2661	2462	20.2422	5.42031
lcl|NW_020209829.1_mrna_XM_025012143.1_27	2634	2435	0	0
lcl|NW_020209829.1_mrna_XM_025011989.1_28	2784	2585	103	26.2682
lcl|NW_020209829.1_mrna_XM_025012065.1_29	2505	2306	0	0
lcl|NW_020209829.1_mrna_XM_025038310.1_30	1305	1106	94	56.0308
lcl|NW_020209829.1_mrna_XM_025037533.1_31	1987	1788	5	1.84356
lcl|NW_020209829.1_mrna_XM_025038194.1_32	1889	1690	210.516	82.1208
lcl|NW_020209829.1_mrna_XM_025037928.1_33	1994	1795	79.0138	29.0197
lcl|NW_020209829.1_mrna_XM_025038133.1_34	2178	1979	19.1987	6.39557
lcl|NW_020209829.1_mrna_XM_025038070.1_35	2283	2084	0.27129	0.0858203
lcl|NW_020209829.1_mrna_XM_025037989.1_36	2312	2113	1.19549e-07	3.72993e-08
lcl|NW_020209829.1_mrna_XM_025011224.1_37	1169	970	2	1.35929
lcl|NW_020209829.1_mrna_XM_025038417.1_38	1184	985	1.75117e-07	1.17205e-07
lcl|NW_020209829.1_mrna_XM_025011865.1_39	2782	2583	53	13.5271
lcl|NW_020209829.1_mrna_XM_025012560.1_40	619	420	0	0
lcl|NW_020209829.1_mrna_XM_025011583.1_41	1696	1497	42	18.4962
lcl|NW_020209829.1_mrna_XM_025011475.1_42	2063	1864	0	0
lcl|NW_020209829.1_mrna_XM_025011764.1_43	3986	3787	74	12.8822
lcl|NW_020209829.1_mrna_XM_025011699.1_44	3994	3795	0	0
lcl|NW_020209830.1_mrna_XM_025012672.1_45	2001	1802	66	24.1459
lcl|NW_020209831.1_mrna_XM_025012798.1_46	1015	816	0	0
lcl|NW_020209833.1_mrna_XM_025012884.1_47	1187	988	10	6.67264
lcl|NW_020209834.1_mrna_XM_025012998.1_48	757	558	13	15.359
lcl|NW_020209840.1_mrna_XM_025015700.1_49	2925	2726	97.4266	23.5617
