target_id	length	eff_length	est_counts	tpm
lcl|NW_021693877.1_mrna_XM_029319748.1_1	2545	2340.26	1041.89	25.797
lcl|NW_021693877.1_mrna_XM_029323017.1_2	2402	2197.26	0	0
lcl|NW_021693877.1_mrna_XM_029299196.1_3	2466	2261.26	38.1122	0.976622
lcl|NW_021693877.1_mrna_XM_029304827.1_4	7386	7181.26	4762	38.4239
lcl|NW_021693877.1_mrna_XM_029300280.1_5	1428	1223.26	520	24.6318
lcl|NW_021693877.1_mrna_XM_029305463.1_6	496	296.043	615	120.374
lcl|NW_021693877.1_mrna_XM_029305354.1_7	1451	1246.26	3270.98	152.083
lcl|NW_021693877.1_mrna_XM_029305283.1_8	891	686.263	4	0.33774
lcl|NW_021693877.1_mrna_XM_029304936.1_9	7324	7119.26	265.138	2.15799
lcl|NW_021693877.1_mrna_XM_029305101.1_10	7284	7079.26	95.7875	0.784033
lcl|NW_021693877.1_mrna_XM_029305018.1_11	7293	7088.26	1464.79	11.9743
lcl|NW_021693877.1_mrna_XM_029305186.1_12	7254	7049.26	1734.28	14.2557
lcl|NW_021693877.1_mrna_XM_029305577.1_13	1856	1651.26	4588	160.998
lcl|NW_021693877.1_ncrna_XR_003820047.1_14	1791	1586.26	13	0.474877
lcl|NW_021693877.1_ncrna_XR_003820030.1_15	593	389.991	12.2457	1.81946
lcl|NW_021693877.1_ncrna_XR_003820035.1_16	717	512.519	6.63991	0.750699
lcl|NW_021693877.1_ncrna_XR_003820039.1_17	1029	824.263	12	0.843585
lcl|NW_021693877.1_mrna_XM_029305931.1_18	10342	10137.3	2067	11.815
lcl|NW_021693877.1_mrna_XM_029301360.1_19	1646	1441.26	950	38.1939
lcl|NW_021693877.1_mrna_XM_029306054.1_20	7944	7739.26	455	3.40663
lcl|NW_021693877.1_mrna_XM_029306226.1_21	4978	4773.26	188.271	2.2855
lcl|NW_021693877.1_mrna_XM_029306173.1_22	4909	4704.26	179.981	2.21691
lcl|NW_021693877.1_mrna_XM_029306298.1_23	5267	5062.26	515	5.89489
lcl|NW_021693877.1_mrna_XM_029306467.1_24	1219	1014.26	1570	89.6938
lcl|NW_021693877.1_mrna_XM_029306383.1_25	3814	3609.26	944	15.1554
lcl|NW_021693877.1_mrna_XM_029306561.1_26	1354	1149.26	885	44.6208
lcl|NW_021693877.1_mrna_XM_029306744.1_27	1067	862.263	1181.05	79.3675
lcl|NW_021693877.1_mrna_XM_029306805.1_28	1242	1037.26	257.049	14.3596
lcl|NW_021693877.1_mrna_XM_029306661.1_29	1320	1115.26	1742.9	90.5541
lcl|NW_021693877.1_ncrna_XR_003820256.1_30	5890	5685.26	483.774	4.93066
lcl|NW_021693877.1_mrna_XM_029306894.1_31	1444	1239.26	162	7.57469
lcl|NW_021693877.1_mrna_XM_029307064.1_32	2815	2610.26	336	7.45879
lcl|NW_021693877.1_mrna_XM_029307131.1_33	3380	3175.26	6094	111.208
lcl|NW_021693877.1_mrna_XM_029307695.1_34	1506	1301.26	195	8.68326
lcl|NW_021693877.1_mrna_XM_029307507.1_35	1627	1422.26	300	12.2223
lcl|NW_021693877.1_mrna_XM_029307588.1_36	1610	1405.26	1023	42.1824
lcl|NW_021693877.1_mrna_XM_029307809.1_37	970	765.263	1330	100.706
lcl|NW_021693877.1_mrna_XM_029307416.1_38	2197	1992.26	2170.51	63.1289
lcl|NW_021693877.1_mrna_XM_029307343.1_39	2206	2001.26	144.492	4.18364
lcl|NW_021693877.1_mrna_XM_029307219.1_40	1557	1352.26	10080	431.929
lcl|NW_021693877.1_mrna_XM_029307890.1_41	7509	7304.26	2353.4	18.6695
lcl|NW_021693877.1_mrna_XM_029307943.1_42	6145	5940.26	1251.6	12.2088
lcl|NW_021693877.1_mrna_XM_029308068.1_43	1813	1608.26	1114	40.1367
lcl|NW_021693877.1_mrna_XM_029309506.1_44	1125	920.263	2614.06	164.595
lcl|NW_021693877.1_mrna_XM_029309203.1_45	2861	2656.26	264.859	5.77773
lcl|NW_021693877.1_mrna_XM_029308577.1_46	2601	2396.26	102.425	2.47677
lcl|NW_021693877.1_mrna_XM_029308756.1_47	3273	3068.26	50.2291	0.948585
