target_id	length	eff_length	est_counts	tpm
lcl|NC_037638.1_mrna_XM_623972.6_1	1447	1248	33.0612	5.80066
lcl|NC_037638.1_miscrna_XR_001705491.2_2	835	636	37.2973	12.8409
lcl|NC_037638.1_miscrna_XR_001705490.2_3	1068	869	4.64152	1.16954
lcl|NC_037638.1_mrna_XM_006557405.3_4	4225	4026	441.858	24.0316
lcl|NC_037638.1_mrna_XM_006557404.3_5	4189	3990	1267.97	69.5843
lcl|NC_037638.1_mrna_XM_623949.6_6	4183	3984	115.637	6.35552
lcl|NC_037638.1_mrna_XM_006557406.3_7	4099	3900	104.532	5.86892
lcl|NC_037638.1_mrna_XM_026446303.1_8	4256	4057	184	9.93086
lcl|NC_037638.1_mrna_XM_026439913.1_9	1745	1546	266.891	37.8006
lcl|NC_037638.1_mrna_NM_001242554.1_10	1848	1649	255.109	33.875
lcl|NC_037638.1_mrna_XM_016917677.1_11	1156	957	269.07	61.564
lcl|NC_037638.1_mrna_XM_016917679.2_12	811	612	127.93	45.7717
lcl|NC_037638.1_mrna_XM_016917662.2_13	2088	1889	92.2412	10.6922
lcl|NC_037638.1_mrna_XM_026440071.1_14	1866	1667	0	0
lcl|NC_037638.1_mrna_XM_016917667.2_15	1817	1618	0	0
lcl|NC_037638.1_mrna_XM_006557400.3_16	1761	1562	459.759	64.45
lcl|NC_037638.1_mrna_XM_016917672.2_17	1767	1568	0	0
lcl|NC_037638.1_mrna_XM_394142.7_18	2330	2131	211	21.6807
lcl|NC_037638.1_mrna_XM_392111.7_19	1595	1396	484	75.9161
lcl|NC_037638.1_mrna_XM_016910851.2_20	2736	2537	119.837	10.343
lcl|NC_037638.1_mrna_XM_016910856.2_21	1635	1436	162.169	24.728
lcl|NC_037638.1_ncrna_XR_001702207.2_22	1102	903	11	2.66734
lcl|NC_037638.1_mrna_XM_026443867.1_23	370	171	57.8616	74.0915
lcl|NC_037638.1_mrna_XM_006557392.2_24	5269	5070	1265.43	54.6517
lcl|NC_037638.1_ncrna_XR_001702201.2_25	709	510	13	5.58145
lcl|NC_037638.1_mrna_XM_026443863.1_26	1346	1147	93	17.7539
lcl|NC_037638.1_mrna_XM_006557389.3_27	2131	1932	141.253	16.009
lcl|NC_037638.1_mrna_XM_026443894.1_28	2080	1881	177.471	20.6591
lcl|NC_037638.1_mrna_XM_394141.4_29	2319	2120	11.2766	1.16471
lcl|NC_037638.1_mrna_XM_006557388.1_30	2262	2063	0	0
lcl|NC_037638.1_mrna_XM_006557391.3_31	2797	2598	46.1332	3.8882
lcl|NC_037638.1_mrna_XM_392109.6_32	2378	2179	146.345	14.706
lcl|NC_037638.1_mrna_XM_016910832.2_33	2705	2506	961.522	84.0141
lcl|NC_037638.1_mrna_XM_006557387.3_34	519	320	113.881	77.9246
lcl|NC_037638.1_mrna_XM_394140.7_35	670	471	3.11921	1.4501
lcl|NC_037638.1_mrna_XM_026446104.1_36	7543	7344	145	4.32324
lcl|NC_037638.1_mrna_XM_016910793.2_37	3212	3013	127.322	9.25292
lcl|NC_037638.1_mrna_XM_006557376.3_38	3214	3015	3.12785e-06	2.2716e-07
lcl|NC_037638.1_mrna_XM_016910803.2_39	2843	2644	0	0
lcl|NC_037638.1_mrna_XM_006557380.3_40	3009	2810	100.228	7.81012
lcl|NC_037638.1_mrna_XM_006557381.3_41	2940	2741	77.5975	6.19887
lcl|NC_037638.1_mrna_XM_001122271.5_42	3144	2945	2.39902e-06	1.7837e-07
lcl|NC_037638.1_mrna_XM_006557386.3_43	2769	2570	0	0
lcl|NC_037638.1_mrna_XM_006557383.3_44	3106	2907	101.3	7.63025
lcl|NC_037638.1_mrna_XM_006557382.3_45	4454	4255	57.1416	2.94054
lcl|NC_037638.1_mrna_XM_006557384.3_46	4248	4049	233.776	12.6423
lcl|NC_037638.1_mrna_XM_006557379.3_47	2870	2671	127.83	10.4793
lcl|NC_037638.1_mrna_XM_006557385.3_48	3942	3743	68.5699	4.01133
lcl|NC_037638.1_mrna_XM_016910810.2_49	2647	2448	1808.31	161.746
lcl|NC_037638.1_precursorrna_NR_031523.1_50	84	3.8053	0	0
lcl|NC_037638.1_ncrna_51	23	2.74792	0	0
lcl|NC_037638.1_precursorrna_NR_031522.1_52	89	3.93736	0	0
lcl|NC_037638.1_precursorrna_NR_127369.1_53	78	3.65937	0	0
lcl|NC_037638.1_ncrna_54	23	2.74792	0	0
lcl|NC_037638.1_ncrna_55	24	2.75981	0	0
lcl|NC_037638.1_precursorrna_NR_034307.1_56	79	3.6828	0	0
lcl|NC_037638.1_ncrna_57	23	2.74792	0	0
lcl|NC_037638.1_precursorrna_NR_034285.1_58	100	4.26726	1	51.3128
lcl|NC_037638.1_ncrna_59	21	2.72438	0	0
lcl|NC_037638.1_precursorrna_NR_034287.1_60	100	4.26726	3	153.938
lcl|NC_037638.1_ncrna_61	23	2.74792	0	0
