target_id	length	eff_length	est_counts	tpm
lcl|NC_037638.1_mrna_XM_623972.6_1	1447	1219.86	11.9594	1.09584
lcl|NC_037638.1_miscrna_XR_001705491.2_2	835	607.86	2.95913	0.544135
lcl|NC_037638.1_miscrna_XR_001705490.2_3	1068	840.86	0	0
lcl|NC_037638.1_mrna_XM_006557405.3_4	4225	3997.86	11.3862	0.318346
lcl|NC_037638.1_mrna_XM_006557404.3_5	4189	3961.86	140.253	3.95694
lcl|NC_037638.1_mrna_XM_623949.6_6	4183	3955.86	68.5038	1.93562
lcl|NC_037638.1_mrna_XM_006557406.3_7	4099	3871.86	5.01942	0.144904
lcl|NC_037638.1_mrna_XM_026446303.1_8	4256	4028.86	2	0.0554873
lcl|NC_037638.1_mrna_XM_026439913.1_9	1745	1517.86	6.69535	0.493046
lcl|NC_037638.1_mrna_NM_001242554.1_10	1848	1620.86	23.3047	1.6071
lcl|NC_037638.1_mrna_XM_016917677.1_11	1156	928.86	37.7551	4.54329
lcl|NC_037638.1_mrna_XM_016917679.2_12	811	583.86	0	0
lcl|NC_037638.1_mrna_XM_016917662.2_13	2088	1860.86	6.2888	0.377746
lcl|NC_037638.1_mrna_XM_026440071.1_14	1866	1638.86	0	0
lcl|NC_037638.1_mrna_XM_016917667.2_15	1817	1589.86	0	0
lcl|NC_037638.1_mrna_XM_006557400.3_16	1761	1533.86	38.2054	2.7841
lcl|NC_037638.1_mrna_XM_016917672.2_17	1767	1539.86	20.7507	1.50625
lcl|NC_037638.1_mrna_XM_394142.7_18	2330	2102.86	51	2.71085
lcl|NC_037638.1_mrna_XM_392111.7_19	1595	1367.86	17	1.38916
lcl|NC_037638.1_mrna_XM_016910851.2_20	2736	2508.86	71.7215	3.19535
lcl|NC_037638.1_mrna_XM_016910856.2_21	1635	1407.86	0	0
lcl|NC_037638.1_ncrna_XR_001702207.2_22	1102	874.86	0	0
lcl|NC_037638.1_mrna_XM_026443867.1_23	370	161.406	1.93804	1.34211
lcl|NC_037638.1_mrna_XM_006557392.2_24	5269	5041.86	11.0023	0.243915
lcl|NC_037638.1_ncrna_XR_001702201.2_25	709	482.169	0	0
lcl|NC_037638.1_mrna_XM_026443863.1_26	1346	1118.86	2	0.199802
lcl|NC_037638.1_mrna_XM_006557389.3_27	2131	1903.86	23.4567	1.37714
lcl|NC_037638.1_mrna_XM_026443894.1_28	2080	1852.86	5.82594e-07	3.51455e-08
lcl|NC_037638.1_mrna_XM_394141.4_29	2319	2091.86	15.5433	0.830534
lcl|NC_037638.1_mrna_XM_006557388.1_30	2262	2034.86	0	0
lcl|NC_037638.1_mrna_XM_006557391.3_31	2797	2569.86	1.58146e-07	6.8785e-09
lcl|NC_037638.1_mrna_XM_392109.6_32	2378	2150.86	121.309	6.30413
lcl|NC_037638.1_mrna_XM_016910832.2_33	2705	2477.86	71.6914	3.23397
lcl|NC_037638.1_mrna_XM_006557387.3_34	519	296.7	0	0
lcl|NC_037638.1_mrna_XM_394140.7_35	670	443.494	8	2.01627
lcl|NC_037638.1_mrna_XM_026446104.1_36	7543	7315.86	25	0.381962
lcl|NC_037638.1_mrna_XM_016910793.2_37	3212	2984.86	25.0219	0.937007
lcl|NC_037638.1_mrna_XM_006557376.3_38	3214	2986.86	0.000527144	1.9727e-05
lcl|NC_037638.1_mrna_XM_016910803.2_39	2843	2615.86	0	0
lcl|NC_037638.1_mrna_XM_006557380.3_40	3009	2781.86	94.0125	3.77743
lcl|NC_037638.1_mrna_XM_006557381.3_41	2940	2712.86	0	0
lcl|NC_037638.1_mrna_XM_001122271.5_42	3144	2916.86	0	0
lcl|NC_037638.1_mrna_XM_006557386.3_43	2769	2541.86	0	0
lcl|NC_037638.1_mrna_XM_006557383.3_44	3106	2878.86	16.4157	0.63736
lcl|NC_037638.1_mrna_XM_006557382.3_45	4454	4226.86	6.1648e-07	1.63022e-08
lcl|NC_037638.1_mrna_XM_006557384.3_46	4248	4020.86	155.281	4.31663
lcl|NC_037638.1_mrna_XM_006557379.3_47	2870	2642.86	0	0
lcl|NC_037638.1_mrna_XM_006557385.3_48	3942	3714.86	38.1409	1.14761
lcl|NC_037638.1_mrna_XM_016910810.2_49	2647	2419.86	0	0
lcl|NC_037638.1_precursorrna_NR_031523.1_50	84	37.5714	0	0
lcl|NC_037638.1_ncrna_51	23	6.45833	0	0
lcl|NC_037638.1_precursorrna_NR_031522.1_52	89	37.3672	0	0
lcl|NC_037638.1_precursorrna_NR_127369.1_53	78	36.6866	0	0
lcl|NC_037638.1_ncrna_54	23	6.45833	0	0
lcl|NC_037638.1_ncrna_55	24	6.74074	0	0
lcl|NC_037638.1_precursorrna_NR_034307.1_56	79	36.8832	0	0
lcl|NC_037638.1_ncrna_57	23	6.45833	0	0
lcl|NC_037638.1_precursorrna_NR_034285.1_58	100	34.1208	0	0
lcl|NC_037638.1_ncrna_59	21	6.11111	0	0
lcl|NC_037638.1_precursorrna_NR_034287.1_60	100	34.1208	1	3.27587
lcl|NC_037638.1_ncrna_61	23	6.45833	0	0
lcl|NC_037638.1_precursorrna_NR_034296.1_62	100	34.1208	0	0
lcl|NC_037638.1_ncrna_63	19	5.06667	0	0
lcl|NC_037638.1_miscrna_XR_003305810.1_64	2794	2566.86	0	0
lcl|NC_037638.1_mrna_XM_026444102.1_65	2208	1980.86	0	0
lcl|NC_037638.1_mrna_XM_394248.6_66	2212	1984.86	15	0.844709
lcl|NC_037638.1_mrna_XM_026446225.1_67	14474	14246.9	0.000154435	1.21164e-06
lcl|NC_037638.1_mrna_XM_026446229.1_68	14423	14195.9	1.26238e-05	9.93976e-08
lcl|NC_037638.1_mrna_XM_026446228.1_69	14444	14216.9	105.047	0.825894
lcl|NC_037638.1_mrna_XM_026446230.1_70	14417	14189.9	0.00810774	6.38657e-05
lcl|NC_037638.1_mrna_XM_026446227.1_71	14453	14225.9	0.000663262	5.21138e-06
lcl|NC_037638.1_mrna_XM_026446232.1_72	14407	14179.9	0.00199026	1.56886e-05
lcl|NC_037638.1_mrna_XM_026446234.1_73	14356	14128.9	0.000163307	1.29195e-06
lcl|NC_037638.1_mrna_XM_026446237.1_74	14266	14038.9	0.0901532	0.000717786
lcl|NC_037638.1_mrna_XM_026446226.1_75	14458	14230.9	0.000468706	3.68142e-06
lcl|NC_037638.1_mrna_XM_026446233.1_76	14395	14167.9	395.16	3.11756
lcl|NC_037638.1_mrna_XM_026446235.1_77	14316	14088.9	1.15198	0.00913936
lcl|NC_037638.1_mrna_XM_026446236.1_78	14300	14072.9	3.54006	0.0281173
lcl|NC_037638.1_mrna_XM_026446231.1_79	14089	13861.9	1.22499e-07	9.87771e-10
lcl|NC_037638.1_mrna_XM_026446241.1_80	4544	4316.86	0	0
lcl|NC_037638.1_mrna_XM_026446239.1_81	4421	4193.86	0	0
lcl|NC_037638.1_mrna_XM_016910677.2_82	4544	4316.86	17.2031	0.445434
lcl|NC_037638.1_mrna_XM_026446240.1_83	4606	4378.86	1.30866e-05	3.3405e-07
lcl|NC_037638.1_mrna_XM_026446242.1_84	6159	5931.86	8.79694	0.165763
lcl|NC_037638.1_mrna_XM_001120565.5_85	1474	1246.86	4	0.358582
lcl|NC_037638.1_mrna_XM_003249064.4_86	4011	3783.86	16	0.47264
lcl|NC_037638.1_mrna_XM_016918148.2_87	4332	4104.86	33.5308	0.913044
lcl|NC_037638.1_mrna_XM_016918144.2_88	5550	5322.86	0	0
lcl|NC_037638.1_mrna_XM_006557369.3_89	5530	5302.86	17.1243	0.360952
lcl|NC_037638.1_mrna_XM_016918147.2_90	4942	4714.86	16.1997	0.384047
lcl|NC_037638.1_mrna_XM_016910683.2_91	2164	1936.86	2	0.115419
lcl|NC_037638.1_precursorrna_NR_039462.1_92	88	38.0888	0	0
lcl|NC_037638.1_ncrna_93	23	6.45833	0	0
lcl|NC_037638.1_mrna_XM_006557372.3_94	4161	3933.86	2.44366	0.0694332
lcl|NC_037638.1_mrna_XM_006557374.3_95	1791	1563.86	0	0
lcl|NC_037638.1_mrna_XM_026441502.1_96	7798	7570.86	16.2888	0.240486
lcl|NC_037638.1_miscrna_XR_001706010.2_97	1263	1035.86	5.14618	0.555303
lcl|NC_037638.1_miscrna_XR_001706008.2_98	1507	1279.86	1.29619	0.113201
lcl|NC_037638.1_miscrna_XR_003304966.1_99	147	29.4245	0.853818	3.24341
lcl|NC_037638.1_ncrna_XR_001706027.2_100	1089	861.86	2	0.259382
lcl|NC_037638.1_mrna_XM_394245.6_101	3465	3237.86	325	11.2194
lcl|NC_037638.1_mrna_XM_016916693.2_102	3014	2786.86	0	0
lcl|NC_037638.1_mrna_NM_001141964.1_103	2233	2005.86	334.616	18.6463
lcl|NC_037638.1_ncrna_XR_003306183.1_104	556	332.437	0	0
lcl|NC_037638.1_mrna_XM_003249062.4_105	937	709.86	0	0
lcl|NC_037638.1_miscrna_XR_407471.3_106	2799	2571.86	34.6891	1.50762
lcl|NC_037638.1_mrna_XM_001122476.5_107	2689	2461.86	91.8555	4.1705
lcl|NC_037638.1_miscrna_XR_407453.3_108	4147	3919.86	0	0
lcl|NC_037638.1_mrna_NM_001204751.1_109	3811	3583.86	82	2.55746
lcl|NC_037638.1_precursorrna_NR_039460.1_110	135	29.1284	1	3.83733
lcl|NC_037638.1_ncrna_111	21	6.11111	0	0
lcl|NC_037638.1_mrna_XM_006557359.3_112	1532	1304.86	40.5838	3.47644
lcl|NC_037638.1_mrna_XM_016914916.2_113	1416	1188.86	38.3644	3.60698
lcl|NC_037638.1_mrna_XM_006557358.3_114	1684	1456.86	11.0517	0.847926
lcl|NC_037638.1_mrna_XM_001122509.5_115	1231	1003.86	18	2.00422
lcl|NC_037638.1_mrna_XM_006557357.3_116	2665	2437.86	37.27	1.70882
lcl|NC_037638.1_mrna_XM_016917835.2_117	2757	2529.86	0	0
lcl|NC_037638.1_mrna_XM_026441961.1_118	2429	2201.86	2.05356	0.104247
lcl|NC_037638.1_mrna_XM_016917834.2_119	2623	2395.86	5.67643	0.264825
lcl|NC_037638.1_ncrna_XR_001706436.2_120	443	225.46	0	0
lcl|NC_037638.1_mrna_XM_006557355.2_121	2938	2710.86	15.7123	0.647856
lcl|NC_037638.1_mrna_XM_006557354.2_122	3327	3099.86	9.68462	0.34921
lcl|NC_037638.1_mrna_XM_026446332.1_123	3374	3146.86	11.6031	0.412138
lcl|NC_037638.1_mrna_XM_026446257.1_124	3403	3175.86	28.9157	1.0177
lcl|NC_037638.1_trna_125	73	34.096	5.96503	19.5549
lcl|NC_037638.1_mrna_XM_026446333.1_126	719	492.12	0	0
lcl|NC_037638.1_mrna_XM_026446258.1_127	5004	4776.86	52.0843	1.21874
lcl|NC_037638.1_mrna_XM_006557352.3_128	1408	1180.86	8.21944	0.778019
lcl|NC_037638.1_mrna_XM_624067.5_129	977	749.86	8.78056	1.30884
lcl|NC_037638.1_trna_130	72	33.9098	0	0
lcl|NC_037638.1_mrna_XM_026439854.1_131	2528	2300.86	10	0.485798
lcl|NC_037638.1_ncrna_XR_407459.3_132	3012	2784.86	0	0
lcl|NC_037638.1_ncrna_XR_003306169.1_133	4581	4353.86	5	0.128363
lcl|NC_037638.1_mrna_XM_006557350.3_134	1999	1771.86	85.1319	5.37043
lcl|NC_037638.1_mrna_XM_006557351.3_135	1907	1679.86	4.8681	0.323916
lcl|NC_037638.1_mrna_XM_016917789.2_136	1986	1758.86	0	0
lcl|NC_037638.1_mrna_XM_016917790.2_137	1963	1735.86	0	0
lcl|NC_037638.1_ncrna_XR_407457.3_138	3630	3402.86	9	0.295627
lcl|NC_037638.1_mrna_XM_016917650.2_139	2375	2147.86	0	0
lcl|NC_037638.1_precursorrna_NR_039432.1_140	107	32.1318	0	0
lcl|NC_037638.1_ncrna_141	22	6.2381	0	0
lcl|NC_037638.1_precursorrna_NR_039430.1_142	119	31.2987	0	0
lcl|NC_037638.1_ncrna_143	21	6.11111	0	0
lcl|NC_037638.1_ncrna_XR_003304627.1_144	1328	1100.86	0	0
lcl|NC_037638.1_ncrna_XR_407455.3_145	1189	961.86	1.0104	0.117416
lcl|NC_037638.1_mrna_XM_026440446.1_146	2657	2429.86	1	0.0460007
lcl|NC_037638.1_ncrna_XR_003304626.1_147	3248	3020.86	1	0.0370012
lcl|NC_037638.1_ncrna_XR_003306182.1_148	5977	5749.86	0	0
lcl|NC_037638.1_ncrna_XR_003306485.1_149	4414	4186.86	0	0
lcl|NC_037638.1_ncrna_XR_003306483.1_150	5848	5620.86	0	0
lcl|NC_037638.1_mrna_XM_026446031.1_151	3268	3040.86	4	0.147031
lcl|NC_037638.1_ncrna_XR_407902.3_152	899	671.86	0	0
lcl|NC_037638.1_ncrna_XR_003306479.1_153	6141	5913.86	0	0
lcl|NC_037638.1_ncrna_XR_407901.3_154	4784	4556.86	12	0.294348
lcl|NC_037638.1_ncrna_XR_003306482.1_155	5907	5679.86	0	0
