target_id	length	eff_length	est_counts	tpm
lcl|NC_092358.1_mrna_XM_071769953.1_1	648	517.743	37	53.9945
lcl|NC_092358.1_mrna_XM_071769941.1_2	2603	2472.74	8	2.4444
lcl|NC_092358.1_mrna_XM_071769889.1_3	3015	2884.74	0	0
lcl|NC_092358.1_mrna_XM_071769880.1_4	3016	2885.74	109	28.5385
lcl|NC_092358.1_mrna_XM_071769927.1_5	1736	1605.74	41	19.2917
lcl|NC_092358.1_mrna_XM_071769965.1_6	457	326.743	82	189.614
lcl|NC_092358.1_mrna_XM_071769904.1_7	4631	4500.74	0	0
lcl|NC_092358.1_mrna_XM_071769902.1_8	4504	4373.74	0	0
lcl|NC_092358.1_mrna_XM_071769914.1_9	3763	3632.74	9	1.87184
lcl|NC_092358.1_mrna_XM_071769495.1_10	9073	8942.74	82.1624	6.94167
lcl|NC_092358.1_mrna_XM_071769486.1_11	9160	9029.74	304.838	25.5067
lcl|NC_092358.1_ncrna_XR_011730769.1_12	1034	903.743	2	1.67204
lcl|NC_092358.1_mrna_XM_071779881.1_13	2665	2534.74	207	61.7018
lcl|NC_092358.1_mrna_XM_071779840.1_14	2611	2480.74	261	79.4914
lcl|NC_092358.1_mrna_XM_071779852.1_15	3584	3453.74	1.24943	0.273328
lcl|NC_092358.1_mrna_XM_071779869.1_16	1849	1718.74	5.18508	2.27933
lcl|NC_092358.1_mrna_XM_071779860.1_17	3288	3157.74	33.5655	8.03115
lcl|NC_092358.1_mrna_XM_071779915.1_18	2525	2394.74	8.00204	2.52466
lcl|NC_092358.1_mrna_XM_071779905.1_19	2645	2514.74	5.99796	1.80207
lcl|NC_092358.1_mrna_XM_071780019.1_20	1515	1384.74	7	3.81936
lcl|NC_092358.1_mrna_XM_071779973.1_21	2779	2648.74	2.39111	0.682057
lcl|NC_092358.1_mrna_XM_071769830.1_22	4264	4133.74	0	0
lcl|NC_092358.1_mrna_XM_071769820.1_23	4278	4147.74	139	25.3201
lcl|NC_092358.1_mrna_XM_071769844.1_24	1821	1690.74	43	19.2155
lcl|NC_092358.1_mrna_XM_071769869.1_25	1633	1502.74	16.1933	8.14167
lcl|NC_092358.1_mrna_XM_071769859.1_26	1451	1320.74	69.8067	39.9338
lcl|NC_092358.1_mrna_XM_071779255.1_27	1074	943.743	1	0.800586
lcl|NC_092358.1_mrna_XM_071779244.1_28	2901	2770.74	2	0.545375
lcl|NC_092358.1_mrna_XM_071779232.1_29	3578	3447.74	1	0.219143
lcl|NC_092358.1_mrna_XM_071785940.1_30	3468	3337.74	0	0
lcl|NC_092358.1_miscrna_XR_011731316.1_31	2879	2748.74	0	0
lcl|NC_092358.1_mrna_XM_071773911.1_32	3635	3504.74	7	1.50905
lcl|NC_092358.1_mrna_XM_071773927.1_33	2704	2573.74	72.9084	21.403
lcl|NC_092358.1_mrna_XM_071779974.1_34	1877	1746.74	99	42.8221
lcl|NC_092358.1_mrna_XM_071779930.1_35	1546	1415.74	0	0
lcl|NC_092358.1_mrna_XM_071779947.1_36	1574	1443.74	46.0388	24.0933
lcl|NC_092358.1_mrna_XM_071779956.1_37	1476	1345.74	47.5905	26.719
lcl|NC_092358.1_mrna_XM_071779939.1_38	1592	1461.74	5.10772	2.64008
lcl|NC_092358.1_mrna_XM_071779965.1_39	1286	1155.74	17.263	11.2854
lcl|NC_092358.1_mrna_XM_071779893.1_40	1856	1725.74	51	22.3283
lcl|NC_092358.1_mrna_XM_071779996.1_41	1240	1109.74	170	115.741
lcl|NC_092358.1_mrna_XM_071780030.1_42	1236	1105.74	69	47.1473
lcl|NC_092358.1_mrna_XM_071779981.1_43	1407	1276.74	198.05	117.202
lcl|NC_092358.1_mrna_XM_071780036.1_44	884	753.743	3.6856	3.69443
lcl|NC_092358.1_mrna_XM_071780006.1_45	2929	2798.74	205.882	55.5799
lcl|NC_092358.1_mrna_XM_071778958.1_46	1655	1524.74	27.8047	13.7779
lcl|NC_092358.1_mrna_XM_071779057.1_47	787	656.743	62	71.3277
lcl|NC_092358.1_mrna_XM_071778952.1_48	1645	1514.74	6.56985	3.27701
lcl|NC_092358.1_miscrna_XR_011732161.1_49	2411	2280.74	0	0
lcl|NC_092358.1_miscrna_XR_011732163.1_50	2315	2184.74	0	0
lcl|NC_092358.1_miscrna_XR_011732162.1_51	2342	2211.74	5.73415	1.95883
lcl|NC_092358.1_miscrna_XR_011732164.1_52	2381	2250.74	0	0
lcl|NC_092358.1_miscrna_XR_011732160.1_53	2483	2352.74	50.0547	16.0743
lcl|NC_092358.1_mrna_XM_071778936.1_54	2265	2134.74	0	0
lcl|NC_092358.1_mrna_XM_071779044.1_55	893	762.743	100	99.0566
