target_id	length	eff_length	est_counts	tpm
lcl|NW_011929473.1_mrna_XM_011634713.1_1	783	604.365	122.411	43.4614
lcl|NW_011929482.1_mrna_XM_011646357.1_2	1119	940.365	1.16464	0.265752
lcl|NW_011929497.1_mrna_XM_011649341.1_3	1086	907.365	30.3291	7.1723
lcl|NW_011929513.1_mrna_XM_011633627.2_4	748	569.422	0	0
lcl|NW_011929517.1_mrna_XM_025217460.1_5	644	465.474	8	3.68787
lcl|NW_011929523.1_mrna_XM_011635853.2_6	724	545.422	9.6348	3.79045
lcl|NW_011929530.1_mrna_XM_011637008.2_7	996	817.365	143.292	37.6174
lcl|NW_011929530.1_mrna_XM_011637757.2_8	956	777.365	40.9348	11.2992
lcl|NW_011929530.1_mrna_XM_011641609.2_9	684	505.474	162.886	69.1457
lcl|NW_011929530.1_mrna_XM_011640833.2_10	748	569.422	141.114	53.1762
lcl|NW_011929530.1_mrna_XM_011642815.2_11	2651	2472.36	555.372	48.2006
lcl|NW_011929530.1_miscrna_XR_003096651.1_12	4043	3864.36	313.628	17.4148
lcl|NW_011929536.1_mrna_XM_025218838.1_13	486	307.721	1.47221	1.02658
lcl|NW_011929542.1_mrna_XM_025219045.1_14	444	265.952	0	0
lcl|NW_011929543.1_mrna_XM_011647147.1_15	664	485.474	0	0
lcl|NW_011929551.1_mrna_XM_011648975.1_16	558	379.516	1	0.565394
lcl|NW_011929557.1_mrna_XM_011649299.1_17	705	526.422	168	68.4788
lcl|NW_011929558.1_mrna_XM_011649416.2_18	870	691.365	13	4.03475
lcl|NW_011929562.1_mrna_XM_025219960.1_19	528	349.627	0	0
lcl|NW_011929567.1_trna_20	72	15.5714	2	27.5602
lcl|NW_011929572.1_mrna_XM_011649734.1_21	576	397.516	0	0
lcl|NW_011929577.1_mrna_XM_011649952.1_22	786	607.365	11.8259	4.17797
lcl|NW_011929582.1_mrna_XM_011650066.2_23	4369	4190.36	1276	65.3401
lcl|NW_011929583.1_mrna_XM_011631418.1_24	534	355.627	0	0
lcl|NW_011929588.1_mrna_XM_011631531.1_25	525	346.627	1	0.61904
lcl|NW_011929595.1_mrna_XM_011631632.1_26	401	223.502	2	1.92012
lcl|NW_011929620.1_ncrna_XR_967272.1_27	809	630.365	7.99997	2.72319
lcl|NW_011929620.1_ncrna_XR_967278.1_28	735	556.422	3.31236e-05	1.27736e-05
lcl|NW_011929620.1_ncrna_XR_967269.2_29	887	708.365	0	0
lcl|NW_011929620.1_mrna_XM_011632200.1_30	3794	3615.36	235.4	13.9713
lcl|NW_011929620.1_miscrna_XR_003096507.1_31	169	32.8204	0	0
lcl|NW_011929623.1_mrna_XM_011632347.1_32	963	784.365	17.1371	4.68813
lcl|NW_011929624.1_mrna_XM_011632863.1_33	429	251.055	6	5.12818
lcl|NW_011929640.1_mrna_XM_011633082.1_34	456	277.898	2	1.54428
lcl|NW_011929649.1_mrna_XM_011633189.1_35	486	307.721	132.322	92.2693
lcl|NW_011929653.1_ncrna_XR_967405.1_36	1098	919.365	388.694	90.7196
lcl|NW_011929653.1_ncrna_XR_003096554.1_37	193	46.5822	143.627	661.602
lcl|NW_011929657.1_mrna_XM_025217310.1_38	459	280.898	0	0
lcl|NW_011929660.1_mrna_XM_011633467.1_39	507	328.627	0	0
