target_id	length	eff_length	est_counts	tpm
lcl|NW_021841238.1_ncrna_XR_003883978.1_1	153	47.0429	24.7082	124.187
lcl|NW_021842021.1_ncrna_XR_003884679.1_2	155	47.6492	2.56737	12.7397
lcl|NW_021843227.1_ncrna_XR_003885393.1_3	228	75.464	64	200.525
lcl|NW_021843312.1_mrna_XM_029824456.1_4	240	80.2234	0	0
lcl|NW_021843397.1_mrna_XM_029803110.1_5	303	110.527	0	0
lcl|NW_021843460.1_ncrna_XR_003883817.1_6	248	83.1943	159	451.888
lcl|NW_021843947.1_trna_7	71	15.2238	1	15.5312
lcl|NW_021843947.1_trna_8	82	19.8846	1	11.8908
lcl|NW_021843982.1_ncrna_XR_003883979.1_9	247	82.9493	0	0
lcl|NW_021844174.1_mrna_XM_029808643.1_10	390	159.713	0	0
lcl|NW_021844190.1_mrna_XM_029809806.1_11	350	135.514	0	0
lcl|NW_021844211.1_mrna_XM_029810961.1_12	396	163.692	0	0
lcl|NW_021844244.1_mrna_XM_029812179.1_13	396	163.692	64	92.4444
lcl|NW_021844328.1_trna_14	73	16.0583	0	0
lcl|NW_021844626.1_ncrna_XR_003884656.1_15	324	121.39	12.8425	25.0147
lcl|NW_021844637.1_ncrna_XR_003884725.1_16	185	59.5784	19	75.4037
lcl|NW_021844662.1_mrna_XM_029815746.1_17	404	168.639	0	0
lcl|NW_021844959.1_mrna_XM_029816937.1_18	290	103.607	0	0
lcl|NW_021844986.1_ncrna_XR_003884992.1_19	199	64.0459	0	0
lcl|NW_021845024.1_mrna_XM_029818774.1_20	448	199.878	8.35003	9.87759
lcl|NW_021845120.1_mrna_XM_029819919.1_21	480	223.652	0	0
lcl|NW_021845155.1_mrna_XM_029821122.1_22	489	230.802	41.3175	42.3274
lcl|NW_021845200.1_mrna_XM_029822268.1_23	427	184.45	96	123.061
lcl|NW_021845211.1_mrna_XM_029823451.1_24	495	235.708	4	4.01248
lcl|NW_021845213.1_mrna_XM_029823958.1_25	360	141.077	19	31.8438
lcl|NW_021845222.1_ncrna_XR_003885579.1_26	394	162.511	0	0
lcl|NW_021845243.1_mrna_XM_029824137.1_27	327	122.773	1.88773	3.6355
lcl|NW_021845290.1_mrna_XM_029824253.1_28	504	242.453	0	0
lcl|NW_021845314.1_ncrna_XR_003885609.1_29	373	148.622	51.9091	82.5823
lcl|NW_021845333.1_ncrna_XR_003885619.1_30	319	118.684	31	61.7584
lcl|NW_021845542.1_mrna_XM_029824618.1_31	543	273.887	5.01285	4.32754
lcl|NW_021845595.1_mrna_XM_029824741.1_32	373	148.622	2	3.1818
lcl|NW_021845631.1_mrna_XM_029824854.1_33	369	146.384	68	109.835
lcl|NW_021845655.1_ncrna_XR_003885639.1_34	284	100.361	257	605.474
lcl|NW_021845742.1_mrna_XM_029825022.1_35	567	294.388	75	60.2378
lcl|NW_021845867.1_mrna_XM_029802759.1_36	591	316.117	1	0.747963
lcl|NW_021845901.1_mrna_XM_029802886.1_37	387	157.642	84	125.99
lcl|NW_021845921.1_mrna_XM_029803003.1_38	474	219.173	0	0
lcl|NW_021846090.1_mrna_XM_029803307.1_39	509	246.505	0	0
lcl|NW_021846164.1_mrna_XM_029803436.1_40	353	137.038	4.77472	8.23824
lcl|NW_021846265.1_mrna_XM_029803649.1_41	447	199.176	568	674.279
lcl|NW_021846298.1_mrna_XM_029803765.1_42	412	174.107	66	89.6304
lcl|NW_021846301.1_ncrna_XR_003883777.1_43	334	126.806	22	41.0213
lcl|NW_021846302.1_mrna_XM_029803977.1_44	663	381.842	0	0
lcl|NW_021846343.1_mrna_XM_029804086.1_45	539	270.544	0	0
lcl|NW_021846358.1_mrna_XM_029804196.1_46	532	264.559	117	104.566
lcl|NW_021846362.1_mrna_XM_029804290.1_47	345	132.574	0	0
lcl|NW_021846425.1_mrna_XM_029804409.1_48	441	194.49	1.7386	2.11363
lcl|NW_021846442.1_mrna_XM_029804527.1_49	321	119.802	4	7.89447
lcl|NW_021846461.1_trna_50	84	20.6433	3	34.3612
lcl|NW_021846464.1_mrna_XM_029804725.1_51	469	215.434	6	6.58514
lcl|NW_021846489.1_mrna_XM_029804841.1_52	593	317.954	9	6.69277
lcl|NW_021846504.1_ncrna_XR_003883888.1_53	420	179.762	2.76969	3.64301
lcl|NW_021846505.1_mrna_XM_029805040.1_54	503	241.663	10.6899	10.459
lcl|NW_021846552.1_mrna_XM_029805175.1_55	579	305.239	2	1.54924
lcl|NW_021846554.1_mrna_XM_029805310.1_56	411	173.444	0	0
lcl|NW_021846567.1_mrna_XM_029805431.1_57	338	128.894	0	0
lcl|NW_021846584.1_mrna_XM_029805553.1_58	468	214.626	240	264.397
lcl|NW_021846608.1_mrna_XM_029805687.1_59	513	249.521	86	81.4928
lcl|NW_021846643.1_mrna_XM_029805916.1_60	503	241.663	57	55.769
lcl|NW_021846652.1_mrna_XM_029806051.1_61	702	418.644	36.4624	20.5934
lcl|NW_021846678.1_mrna_XM_029806163.1_62	508	245.717	36.8111	35.4219
lcl|NW_021846750.1_mrna_XM_029806413.1_63	545	275.599	113	96.9457
lcl|NW_021846754.1_mrna_XM_029806537.1_64	560	288.354	6.54742	5.36874
lcl|NW_021846804.1_mrna_XM_029806672.1_65	465	212.224	1	1.11412
lcl|NW_021846818.1_mrna_XM_029806783.1_66	402	167.323	11.6293	16.4334
lcl|NW_021846824.1_mrna_XM_029806903.1_67	578	304.365	161	125.072
lcl|NW_021846835.1_mrna_XM_029807011.1_68	550	280.104	13.447	11.351
lcl|NW_021846855.1_mrna_XM_029807135.1_69	591	316.117	0	0
lcl|NW_021846858.1_mrna_XM_029807250.1_70	588	313.505	87	65.6149
lcl|NW_021846874.1_mrna_XM_029807368.1_71	638	359.056	27	17.7799
lcl|NW_021846881.1_mrna_XM_029807482.1_72	659	378.188	7	4.37641
