target_id	length	eff_length	est_counts	tpm
lcl|NC_132970.1_mrna_XM_072887680.1_1	1182	1024.49	272.926	27.0946
lcl|NC_132970.1_mrna_XM_072887670.1_2	1223	1065.49	506.074	48.3069
lcl|NC_132970.1_mrna_XM_072895265.1_3	1413	1255.49	2070.24	167.708
lcl|NC_132970.1_mrna_XM_072895275.1_4	1349	1191.49	56.756	4.8447
lcl|NC_132970.1_mrna_XM_072887505.1_5	1033	875.493	45	5.22765
lcl|NC_132970.1_mrna_XM_072887492.1_6	3460	3302.49	449	13.8277
lcl|NC_132970.1_mrna_XM_072897480.1_7	4463	4305.49	33	0.779538
lcl|NC_132970.1_mrna_XM_072894942.1_8	2484	2326.49	15	0.655746
lcl|NC_132970.1_mrna_XM_072892420.1_9	2621	2463.49	87.4416	3.61005
lcl|NC_132970.1_mrna_XM_072888496.1_10	2292	2134.49	56.7252	2.70289
lcl|NC_132970.1_mrna_XM_072888485.1_11	2298	2140.49	0.100013	0.00475215
lcl|NC_132970.1_mrna_XM_072888506.1_12	2277	2119.49	172.376	8.27164
lcl|NC_132970.1_mrna_XM_072888540.1_13	2168	2010.49	0	0
lcl|NC_132970.1_mrna_XM_072888522.1_14	2175	2017.49	33.0473	1.66598
lcl|NC_132970.1_mrna_XM_072888513.1_15	2239	2081.49	109.481	5.34944
lcl|NC_132970.1_mrna_XM_072888532.1_16	2408	2250.49	44.6992	2.02008
lcl|NC_132970.1_mrna_XM_072888550.1_17	2106	1948.49	13.5715	0.708394
lcl|NC_132970.1_mrna_XM_072888562.1_18	2970	2812.49	31.4559	1.13751
lcl|NC_132970.1_mrna_XM_072894528.1_19	1669	1511.49	4	0.269154
lcl|NC_132970.1_mrna_XM_072897466.1_20	1429	1271.49	1	0.0799894
lcl|NC_132970.1_mrna_XM_072887802.1_21	4814	4656.49	702.455	15.3429
lcl|NC_132970.1_miscrna_XR_012046288.1_22	4673	4515.49	180.545	4.06655
lcl|NC_132970.1_mrna_XM_072895815.1_23	2053	1895.49	0	0
lcl|NC_132970.1_mrna_XM_072896118.1_24	1906	1748.49	0.560713	0.0326155
lcl|NC_132970.1_mrna_XM_072896036.1_25	2050	1892.49	0	0
lcl|NC_132970.1_mrna_XM_072896207.1_26	1903	1745.49	5.40978	0.315216
lcl|NC_132970.1_mrna_XM_072895879.1_27	2382	2224.49	12.1037	0.553393
lcl|NC_132970.1_mrna_XM_072895949.1_28	2141	1983.49	2.92581	0.150024
lcl|NC_132970.1_mrna_XM_072896474.1_29	5065	4907.49	1982.22	41.0807
lcl|NC_132970.1_mrna_XM_072895611.1_30	3932	3774.49	961.181	25.8996
lcl|NC_132970.1_mrna_XM_072895693.1_31	3918	3760.49	147.819	3.9979
lcl|NC_132970.1_mrna_XM_072896339.1_32	752	594.648	1073	183.521
lcl|NC_132970.1_mrna_XM_072896649.1_33	2612	2454.49	755.728	31.3148
lcl|NC_132970.1_mrna_XM_072890983.1_34	4387	4229.49	223.867	5.3833
lcl|NC_132970.1_mrna_XM_072890988.1_35	3858	3700.49	540.35	14.8512
lcl|NC_132970.1_mrna_XM_072892851.1_36	1420	1262.49	2722	219.283
lcl|NC_132970.1_mrna_XM_072902673.1_37	8811	8653.49	9.91404	0.116521
lcl|NC_132970.1_mrna_XM_072902665.1_38	8702	8544.49	0	0
lcl|NC_132970.1_mrna_XM_072902681.1_39	8583	8425.49	39.1973	0.473159
lcl|NC_132970.1_mrna_XM_072902685.1_40	8533	8375.49	0	0
lcl|NC_132970.1_mrna_XM_072902694.1_41	8457	8299.49	0	0
lcl|NC_132970.1_mrna_XM_072902702.1_42	8407	8249.49	0	0
lcl|NC_132970.1_mrna_XM_072902721.1_43	8200	8042.49	9.07914	0.114815
lcl|NC_132970.1_mrna_XM_072902655.1_44	8280	8122.49	0	0
lcl|NC_132970.1_mrna_XM_072902753.1_45	8040	7882.49	327.858	4.23027
lcl|NC_132970.1_mrna_XM_072902713.1_46	8247	8089.49	40.1985	0.5054
lcl|NC_132970.1_mrna_XM_072902730.1_47	5649	5491.49	0.078971	0.00146259
lcl|NC_132970.1_mrna_XM_072902740.1_48	5616	5458.49	225.321	4.19831
lcl|NC_132970.1_mrna_XM_072902747.1_49	5598	5440.49	857.664	16.0334
lcl|NC_132970.1_mrna_XM_072902733.1_50	5854	5696.49	0	0
lcl|NC_132970.1_mrna_XM_072902762.1_51	6316	6158.49	443.325	7.32139
lcl|NC_132970.1_miscrna_XR_012046362.1_52	4656	4498.49	33.947	0.767504
lcl|NC_132970.1_miscrna_XR_012046363.1_53	4648	4490.49	0	0
lcl|NC_132970.1_mrna_XM_072888574.1_54	4402	4244.49	1094.05	26.2155
lcl|NC_132970.1_mrna_XM_072888590.1_55	2094	1936.49	30	1.57562
lcl|NC_132970.1_mrna_XM_072892565.1_56	1991	1833.49	4.76434	0.264284
lcl|NC_132970.1_mrna_XM_072892548.1_57	1884	1726.49	0	0
lcl|NC_132970.1_mrna_XM_072892539.1_58	2106	1948.49	144.236	7.5287
lcl|NC_132970.1_mrna_XM_072892556.1_59	1960	1802.49	0	0
lcl|NC_132970.1_mrna_XM_072891001.1_60	2871	2713.49	799	29.9478
lcl|NC_132970.1_mrna_XM_072891015.1_61	2899	2741.49	277	10.2764
lcl|NC_132970.1_mrna_XM_072905574.1_62	526	369.337	508	139.89
lcl|NC_132970.1_mrna_XM_072905413.1_63	2188	2030.49	190.851	9.5596
lcl|NC_132970.1_mrna_XM_072905416.1_64	2159	2001.49	35.6689	1.81252
lcl|NC_132970.1_mrna_XM_072905419.1_65	2085	1927.49	221.48	11.6866
lcl|NC_132970.1_mrna_XM_072905448.1_66	2457	2299.49	31.5807	1.39681
lcl|NC_132970.1_mrna_XM_072905423.1_67	2458	2300.49	110.882	4.90217
lcl|NC_132970.1_mrna_XM_072905424.1_68	2406	2248.49	374.743	16.9507
lcl|NC_132970.1_mrna_XM_072905432.1_69	2417	2259.49	65.6159	2.95355
lcl|NC_132970.1_mrna_XM_072905426.1_70	2468	2310.49	6.29166e-05	2.76954e-06
lcl|NC_132970.1_mrna_XM_072905441.1_71	2208	2050.49	129.178	6.40734
lcl|NC_132970.1_mrna_XM_072905399.1_72	5221	5063.49	70.9421	1.42495
lcl|NC_132970.1_mrna_XM_072905403.1_73	4650	4492.49	629.177	14.244
lcl|NC_132970.1_mrna_XM_072905479.1_74	1986	1828.49	287.396	15.9858
lcl|NC_132970.1_mrna_XM_072905490.1_75	1950	1792.49	39.6039	2.24713
lcl|NC_132970.1_mrna_XM_072905510.1_76	15195	15037.5	177.179	1.19835
lcl|NC_132970.1_mrna_XM_072905503.1_77	15435	15277.5	532.957	3.54802
lcl|NC_132970.1_mrna_XM_072905519.1_78	15432	15274.5	2029.39	13.5128
lcl|NC_132970.1_mrna_XM_072905527.1_79	15432	15274.5	778.497	5.18366
lcl|NC_132970.1_mrna_XM_072905564.1_80	4044	3886.49	41	1.07293
lcl|NC_132970.1_mrna_XM_072905462.1_81	3206	3048.49	863.079	28.7946
lcl|NC_132970.1_mrna_XM_072886940.1_82	3065	2907.49	368.24	12.8813
lcl|NC_132970.1_mrna_XM_072886953.1_83	3693	3535.49	332.802	9.57375
lcl|NC_132970.1_mrna_XM_072898032.1_84	1817	1659.49	199	12.1962
lcl|NC_132970.1_ncrna_XR_012047987.1_85	3143	2985.49	24	0.817601
lcl|NC_132970.1_ncrna_XR_012047989.1_86	2770	2612.49	5.75947	0.22422
lcl|NC_132970.1_ncrna_XR_012047991.1_87	2667	2509.49	0	0
lcl|NC_132970.1_ncrna_XR_012047990.1_88	2767	2609.49	26.2459	1.02294
lcl|NC_132970.1_mrna_XM_072905410.1_89	5011	4853.49	1124.07	23.555
lcl|NC_132970.1_mrna_XM_072905549.1_90	913	755.575	891.483	120
lcl|NC_132970.1_mrna_XM_072905540.1_91	1091	933.493	1716.45	187.011
lcl|NC_132970.1_mrna_XM_072890312.1_92	1461	1303.49	875.325	68.2979
lcl|NC_132970.1_mrna_XM_072890321.1_93	1671	1513.49	293.675	19.7348
lcl|NC_132970.1_mrna_XM_072890299.1_94	1800	1642.49	2015	124.772
lcl|NC_132970.1_mrna_XM_072886385.1_95	808	650.648	26.8851	4.20255
lcl|NC_132970.1_mrna_XM_072886376.1_96	808	650.648	559.211	87.413
lcl|NC_132970.1_mrna_XM_072886393.1_97	795	637.648	5.90387	0.941677
lcl|NC_132970.1_mrna_XM_072886322.1_98	2262	2104.49	5863.03	283.348
lcl|NC_132970.1_mrna_XM_072886344.1_99	3623	3465.49	232.362	6.81941
lcl|NC_132970.1_mrna_XM_072886363.1_100	3570	3412.49	0	0
lcl|NC_132970.1_mrna_XM_072886353.1_101	3654	3496.49	373.638	10.8684
lcl|NC_132970.1_mrna_XM_072886335.1_102	3657	3499.49	0	0
lcl|NC_132970.1_mrna_XM_072896123.1_103	1746	1588.49	218.014	13.9587
lcl|NC_132970.1_mrna_XM_072896140.1_104	1820	1662.49	289.39	17.7039
lcl|NC_132970.1_mrna_XM_072896130.1_105	1674	1516.49	499.596	33.5062
lcl|NC_132970.1_mrna_XM_072886935.1_106	8362	8204.49	1028	12.7435
lcl|NC_132970.1_mrna_XM_072910819.1_107	8820	8662.49	0.0646597	0.000759166
lcl|NC_132970.1_mrna_XM_072910866.1_108	8706	8548.49	537.623	6.39638
lcl|NC_132970.1_mrna_XM_072910846.1_109	8778	8620.49	10.2788	0.121271
lcl|NC_132970.1_mrna_XM_072910856.1_110	8706	8548.49	1095.95	13.0391
lcl|NC_132970.1_mrna_XM_072910828.1_111	8808	8650.49	196.556	2.31096
lcl|NC_132970.1_mrna_XM_072910836.1_112	8781	8623.49	6.13394	0.072344
lcl|NC_132970.1_mrna_XM_072910874.1_113	8739	8581.49	1002.39	11.8801
